Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35090,-0.099,-0.948,0.284,-1.335,7.606,-8.554,0,78
35143,-0.129,-0.95,0.298,-2.797,6.71,-8.575,0,79
35197,-0.096,-0.94,0.271,-5.143,5.145,-8.815,0,98
35250,-0.119,-0.947,0.278,-9.13,6.777,-11.112,0,62
35305,-0.103,-0.944,0.304,-4.929,13.595,-5.23,0,60
35357,-0.107,-0.981,0.277,-8.932,20.427,-9.826,0,60
35414,-0.131,-0.969,0.291,-4.705,7.5,-8.97,0,60
35454,-0.086,-0.97,0.232,-7.109,10.885,-6.86,16,59
35505,-0.117,-0.983,0.266,-5.083,9.825,-6.551,0,58
35560,-0.069,-0.959,0.222,-5.396,10.976,-7.725,0,59
35612,-0.134,-0.983,0.268,-5.315,3.738,-9.854,0,59
35667,-0.07,-0.967,0.212,-5.044,0.006,-9.104,0,59
35720,-0.071,-0.979,0.212,-5.124,18.878,-5.068,0,58
35775,-0.076,-0.989,0.219,-3.316,22.13,-5.268,0,59
35827,-0.081,-0.987,0.219,-3.996,26.656,-6.419,0,59
35884,-0.035,-0.978,0.178,-4.476,34.26,-6.814,0,59
35937,-0.057,-1.0,0.186,-4.336,49.405,-8.892,0,75
35987,-0.071,-0.994,0.175,-2.08,51.107,-10.86,102,76
36034,-0.075,-1.002,0.167,-1.078,53.015,-14.812,101,78
36081,-0.094,-0.999,0.162,0.736,50.45,-16.244,93,78
36128,-0.106,-0.994,0.158,1.303,47.229,-13.414,95,76
36176,-0.125,-0.994,0.152,1.007,41.26,-14.848,96,85
36224,-0.132,-0.982,0.166,0.253,30.901,-15.872,98,85
36272,-0.127,-0.988,0.163,0.105,19.412,-13.705,98,85
36320,-0.122,-0.987,0.159,0.708,11.567,-10.249,104,91
36371,-0.108,-0.989,0.134,0.919,9.064,-6.062,104,91
36418,-0.107,-0.992,0.145,0.78,7.974,-3.042,65,90
36466,-0.098,-0.994,0.146,1.587,7.662,-0.558,105,90
