Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
28481,-0.207,-0.927,0.209,-3.298,26.282,29.183,60.0,0.0
28521,-0.216,-0.788,0.224,-8.443,19.504,63.519,88.0,0.0
28572,-0.257,-0.953,0.197,-5.519,6.282,70.038,61.0,181.0
28622,-0.304,-1.138,0.167,12.191,-33.107,55.435,62.0,165.0
28674,-0.204,-1.095,0.012,27.977,-55.977,23.511,61.0,171.0
28723,-0.039,-0.968,-0.095,30.534,-22.267,7.183,63.0,148.0
28772,-0.031,-0.899,-0.121,26.153,40.954,3.412,65.0,148.0
28832,-0.162,-0.886,-0.033,12.954,78.656,-1.290,0.0,148.0
28884,-0.290,-0.948,0.099,-3.534,57.153,-10.603,137.0,121.0
28937,-0.340,-0.934,0.152,-10.489,0.374,-12.893,135.0,122.0
28989,-0.257,-0.964,0.124,-13.252,-41.527,-15.847,133.0,126.0
29041,-0.184,-1.051,0.112,-14.855,-41.847,-16.076,127.0,131.0
29093,-0.147,-1.289,0.089,-14.595,-23.519,-18.595,124.0,132.0
29145,-0.214,-1.412,0.239,-27.153,-8.084,-34.282,107.0,134.0
29200,-0.188,-0.833,0.205,-8.092,1.321,-43.824,119.0,198.0
29254,-0.191,-0.519,0.312,-3.008,-18.115,1.206,114.0,175.0
29313,-0.217,-0.909,0.100,15.573,-53.145,18.290,105.0,196.0
29367,-0.146,-1.059,0.009,15.053,-46.580,14.237,105.0,0.0
29427,-0.061,-0.976,-0.081,13.313,-3.244,25.260,189.0,0.0
29479,-0.212,-0.798,0.056,-6.748,38.527,36.198,98.0,160.0
29537,-0.366,-0.838,0.158,-30.389,5.939,24.176,180.0,166.0
29589,-0.426,-0.969,0.087,-30.756,-61.656,20.534,89.0,171.0
29647,-0.285,-0.914,-0.079,-34.389,-81.137,15.534,168.0,0.0
29701,-0.265,-0.926,-0.119,-45.969,-45.412,30.023,74.0,0.0
29751,-0.377,-0.959,-0.093,-51.908,-33.649,36.511,67.0,95.0
29798,-0.374,-0.948,-0.139,-58.183,-47.802,30.679,62.0,95.0
29844,-0.397,-1.195,-0.213,-67.092,-73.412,16.779,57.0,101.0
29891,-0.457,-1.465,-0.333,-65.802,-123.435,-3.038,50.0,107.0
29942,-0.167,-0.785,-0.379,-51.641,-130.023,0.962,130.0,115.0
29993,-0.111,-0.970,-0.459,-53.107,-102.435,23.427,124.0,120.0
30046,-0.184,-1.043,-0.383,-37.397,-54.061,7.893,118.0,127.0
30097,-0.329,-0.917,-0.212,-44.405,-70.557,6.939,113.0,133.0
30152,-0.248,-0.938,-0.283,-37.679,-79.427,19.985,107.0,141.0
30210,-0.253,-0.806,-0.243,-40.168,-50.802,17.069,0.0,146.0
