Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33439,-0.534,-0.751,-0.284,-53.244,-84.282,1.286,0,134
33498,-0.504,-0.874,-0.391,-40.359,-85.847,-9.078,0,161
33556,-0.493,-0.908,-0.373,-32.87,-79.275,-16.603,0,167
33607,-0.463,-0.771,-0.25,-38.145,-64.336,1.378,0,23
33665,-0.399,-0.726,-0.237,-37.534,-45.985,17.359,0,90
33718,-0.523,-0.762,-0.142,-40.275,-38.252,5.577,0,85
33772,-0.548,-0.815,-0.165,-26.695,-43.74,-2.918,0,87
33836,-0.518,-0.765,-0.126,-20.435,-40.84,-1.362,0,0
33883,-0.567,-0.846,-0.109,-20.792,-41.382,-13.338,0,0
33923,-0.657,-0.979,-0.088,-18.855,-33.924,-16.444,0,92
33977,-0.655,-1.156,-0.154,-13.64,-39.366,-32.053,0,96
34037,-0.718,-1.263,-0.078,-7.109,-53.252,-48.076,0,0
34084,-0.511,-0.622,-0.042,7.352,-84.977,-22.618,0,0
34122,-0.37,-0.514,-0.081,-1.624,-94.893,27.674,0,48
34171,-0.323,-0.752,-0.153,-15.565,-83.038,21.412,0,16
34225,-0.289,-1.002,-0.197,24.351,-59.969,16.496,0,16
34278,-0.146,-1.022,-0.29,39.618,-6.177,-15.835,0,14
34331,-0.123,-0.738,-0.215,41.611,86.099,-29.504,0,16
34392,-0.387,-0.736,0.013,28.184,120.878,-25.679,0,0
34439,-0.654,-0.882,0.187,-8.134,30.511,-56.809,0,0
34473,-0.527,-0.831,0.106,-5.111,-44.29,-66.763,0,13
34524,-0.359,-0.832,-0.013,-26.08,-50.458,-57.588,0,11
34577,-0.321,-0.943,-0.039,-17.489,-25.781,-35.244,0,11
34625,-0.443,-1.03,0.044,-20.092,33.763,0.877,161,30
34681,-0.566,-1.107,0.129,-8.066,51.275,26.45,88,0
34722,-0.577,-1.192,0.088,-24.267,28.267,2.684,84,0
34776,-0.607,-1.283,0.032,-5.198,-16.008,-8.383,83,0
34816,-0.291,-0.745,-0.107,9.869,-39.87,0.212,78,0
34865,-0.254,-0.733,-0.136,20.3,-9.071,14.64,75,133
34907,-0.44,-0.946,-0.095,11.246,-24.316,-4.916,73,11
34949,-0.448,-1.021,-0.104,40.122,-40.473,-8.607,71,12
34991,-0.303,-0.893,-0.156,44.565,-22.574,18.511,70,13
35034,-0.214,-0.829,-0.153,35.466,28.595,43.221,67,17
35087,-0.278,-0.845,-0.085,24.061,60.832,56.366,65,170
35140,-0.337,-0.866,0.007,9.906,55.954,52.382,63,0
35178,-0.31,-0.858,0.018,8.2,31.405,37.351,62,0
35231,-0.278,-0.83,0.011,-0.714,19.73,21.191,61,0
35269,-0.264,-0.968,-0.021,0.208,8.57,-19.316,60,0
35321,-0.289,-1.151,-0.026,3.366,18.71,-41.504,59,0
35360,-0.346,-1.344,-0.017,22.567,23.992,-83.534,61,0
35410,-0.426,-1.427,0.03,25.275,25.985,-116.389,62,147
35460,-0.483,-1.045,0.141,30.458,3.85,-126.389,67,145
35507,-0.233,-0.663,0.13,2.783,-39.947,-53.198,66,31
35550,-0.077,-0.803,-0.045,4.286,8.263,16.473,65,36
35593,-0.123,-0.963,-0.086,7.47,70.473,41.099,65,31
35636,-0.167,-0.926,-0.1,23.634,113.832,48.588,65,37
35680,-0.281,-0.864,-0.033,33.229,136.031,41.061,68,37
35731,-0.339,-0.814,0.023,29.015,123.542,40.042,81,157
35776,-0.471,-0.811,0.134,4.65,74.29,-34.237,83,43
35827,-0.55,-0.88,0.197,-3.013,-16.565,-68.603,89,157
35915,-0.401,-0.977,0.09,-5.759,-67.023,-63.053,82,44
35962,-0.279,-1.026,0.021,-13.584,-32.588,-32.565,22,14
36007,-0.302,-1.036,0.062,-13.866,1.18,-9.444,72,50
36052,-0.487,-1.145,0.122,-24.504,18.893,20.397,68,56
36097,-0.529,-1.227,0.09,-17.389,-29.634,30.504,62,61
36141,-0.307,-0.976,-0.083,0.031,-51.107,40.611,57,58
36186,-0.303,-0.844,-0.062,-16.885,-43.931,49.038,51,60
36231,-0.382,-0.984,-0.084,-19.221,-50.244,56.809,62,70
36276,-0.347,-1.043,-0.159,2.621,-61.305,67.641,58,71
36332,-0.264,-0.825,-0.166,-26.901,-48.687,78.214,0,76
36386,-0.288,-0.906,-0.145,-8.529,-9.27,92.527,0,81
36441,-0.361,-0.906,-0.076,-16.58,-12.223,84.634,0,93
36495,-0.298,-0.873,-0.096,-16.947,-31.092,62.473,0,90
36550,-0.271,-0.855,-0.074,-15.919,-23.044,38.405,0,93
36605,-0.32,-0.984,-0.017,-6.341,-3.701,14.465,0,103
36661,-0.351,-1.157,0.002,-4.02,-13.036,-48.237,0,113
36717,-0.283,-1.232,-0.046,-4.075,3.505,-85.206,0,114
36772,-0.574,-1.26,0.185,-16.423,-5.355,-124.405,0,115
36826,-0.418,-0.646,0.182,-2.023,-84.366,-95.504,178,31
36868,-0.113,-0.719,-0.056,-4.521,-81.603,-35.511,64,12
36910,-0.032,-0.904,-0.149,-0.58,-19.908,-18.511,61,11
36952,-0.12,-0.99,-0.145,10.672,50.733,-27.743,59,11
37002,-0.281,-0.978,-0.086,46.725,129.74,36.008,170,31
37056,-0.409,-0.763,0.087,10.93,146.42,5.208,168,134
37111,-0.516,-0.907,0.12,-2.092,56.786,-20.152,190,103
37166,-0.381,-0.852,0.092,5.649,-19.715,-21.466,186,106
37220,-0.297,-0.912,-0.006,-21.292,-36.718,-32.84,125,107
37273,-0.347,-1.014,0.014,-4.014,-7.078,-23.076,155,110
37321,-0.365,-1.037,-0.018,-30.088,-39.471,-23.671,116,42
37374,-0.355,-1.244,-0.104,-20.794,1.88,3.669,111,170
37429,-0.489,-1.314,0.078,-7.708,26.756,27.557,105,173
37482,-0.37,-0.836,0.01,7.745,14.531,58.321,137,131
37538,-0.299,-0.719,0.009,-20.916,-31.202,84.962,137,174
37599,-0.4,-1.101,-0.017,-8.829,-29.667,73.626,0,0
37661,-0.292,-1.144,-0.137,36.574,-58.122,44.389,0,172
37719,-0.09,-0.921,-0.202,27.977,-12.16,27.718,128,0
37769,-0.169,-0.81,-0.123,21.583,46.374,27.26,122,91
37819,-0.28,-0.865,-0.038,7.2,40.443,3.723,120,91
37875,-0.243,-0.857,-0.033,25.301,26.626,12.259,116,0
37917,-0.241,-0.944,-0.066,7.311,26.687,-32.649,113,0
37974,-0.255,-1.072,-0.088,13.238,40.977,-51.603,112,0
38020,-0.379,-1.258,-0.01,23.102,45.58,-80.359,111,37
38066,-0.427,-1.305,0.01,22.939,30.733,-96.962,111,34
38114,-0.511,-1.393,0.067,29.137,-4.829,-112.771,71,34
38160,-0.252,-0.769,-0.058,41.779,38.131,-96.504,110,38
38206,-0.017,-0.446,-0.121,36.221,60.435,-33.473,110,39
38252,-0.173,-0.861,-0.138,22.586,107.176,9.391,110,33
38298,-0.271,-0.991,-0.128,24.023,109.214,-0.378,110,32
38343,-0.235,-0.893,-0.116,23.183,100.252,9.683,86,39
38388,-0.252,-0.784,-0.054,-1.604,99.58,-14.175,84,35
38476,-0.438,-0.925,0.093,-1.765,45.099,-28.87,79,43
38521,-0.449,-0.91,0.145,-8.864,5.471,-41.504,77,45
38569,-0.441,-0.922,0.154,-18.305,-61.237,-42.969,74,47
38615,-0.413,-1.028,0.141,-20.84,-43.328,-25.916,70,51
38660,-0.362,-1.155,0.067,-24.553,-34.328,-25.862,66,52
38705,-0.363,-1.11,0.066,1.112,3.526,35.655,62,57
38750,-0.366,-1.204,0.023,-8.47,-12.855,29.435,56,62
38794,-0.354,-1.084,-0.027,12.556,-8.602,42.885,51,68
38842,-0.246,-0.845,-0.037,2.211,-21.54,67.649,89,76
38888,-0.316,-1.106,-0.132,-8.758,-51.832,65.458,85,59
38944,-0.272,-0.924,-0.179,-5.483,-32.076,88.359,0,67
38999,-0.241,-0.983,-0.226,-17.805,-33.831,95.542,0,76
39055,-0.298,-0.999,-0.153,-1.202,-2.232,95.473,0,112
39111,-0.264,-0.913,-0.14,-8.087,-3.533,87.954,0,120
39169,-0.279,-0.906,-0.082,-8.38,1.124,65.321,0,127
39227,-0.295,-0.888,-0.054,-1.957,-2.896,27.847,0,154
39285,-0.307,-0.949,-0.046,-6.039,-25.66,-19.679,0,139
39344,-0.334,-1.111,-0.06,7.967,-4.966,-65.702,0,163
39402,-0.297,-1.174,-0.075,6.594,-9.943,-91.74,0,145
39462,-0.394,-1.334,-0.013,5.375,22.679,-98.092,0,119
39519,-0.316,-0.721,0.083,13.058,16.14,-78.076,0,120
39575,-0.104,-0.789,-0.083,1.708,37.763,-18.67,0,120
39629,-0.322,-1.117,-0.04,17.496,61.489,-26.061,152,121
39683,-0.274,-1.019,-0.07,27.206,49.847,-48.611,149,122
39737,-0.249,-0.814,-0.049,7.037,46.618,-46.878,147,122
39796,-0.348,-0.907,0.007,0.468,30.344,-47.74,146,124
39849,-0.418,-0.891,0.087,6.566,5.715,-52.611,143,126
39905,-0.336,-0.917,0.028,-6.711,-43.179,-45.008,139,129
39957,-0.336,-0.987,0.041,-9.192,-26.416,-24.939,128,134
40007,-0.33,-1.152,0.002,-8.357,-27.219,-18.48,122,97
40057,-0.285,-1.05,0.001,-5.134,-11.482,-12.508,129,102
40110,-0.419,-1.102,0.08,-2.732,6.715,28.664,157,107
40166,-0.463,-1.056,0.09,4.455,-34.336,40.466,0,119
40217,-0.338,-0.88,0.004,2.797,-66.947,64.695,0,48
40272,-0.374,-1.157,-0.118,-6.288,-94.145,76.702,0,58
40326,-0.237,-1.112,-0.22,0.625,-86.061,85.267,0,68
40381,-0.195,-1.058,-0.231,9.178,-40.87,82.084,0,77
40435,-0.255,-0.888,-0.142,-4.326,-52.661,84.794,0,86
40489,-0.247,-0.9,-0.136,3.559,-5.571,82.473,0,98
40544,-0.232,-0.917,-0.133,-11.069,-17.908,66.626,0,95
40597,-0.217,-0.89,-0.115,-19.298,-7.665,41.885,0,71
40654,-0.234,-0.957,-0.088,-22.45,-6.419,27.442,0,97
40709,-0.272,-1.067,-0.038,-20.473,-12.518,-24.084,0,79
