Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35915,-0.154,-0.887,-0.009,9.756,-12.826,2.628,190,155
35973,-0.429,-0.774,0.029,-13.982,3.149,-11.314,187,159
36030,-0.555,-0.853,0.085,-18.556,-40.865,-23.355,184,162
36087,-0.486,-0.866,0.052,-18.626,-72.626,-25.651,179,168
36145,-0.161,-0.812,-0.074,-21.412,-48.153,18.008,173,172
36202,-0.527,-0.847,-0.032,-32.481,-31.346,27.382,168,178
36259,-0.505,-0.886,-0.046,-41.0,-13.807,29.985,163,185
36315,-0.813,-0.823,-0.086,-51.901,-48.725,25.252,66,0
36362,-0.647,-1.09,-0.255,-64.84,-67.298,-3.262,59,98
36408,-0.536,-1.373,-0.272,-80.725,-105.542,22.177,56,104
36460,-0.418,-0.917,-0.389,-69.878,-155.748,-9.19,134,111
36511,-0.129,-0.812,-0.474,-73.542,-126.611,43.863,128,121
36568,-0.194,-1.074,-0.528,-67.992,-39.641,28.611,0,127
36624,-0.44,-0.849,-0.153,-66.229,-68.519,18.191,0,134
36681,-0.788,-0.893,-0.292,-50.191,-135.122,-15.346,0,142
36734,-0.244,-0.761,-0.352,-42.244,-106.183,-0.217,0,25
36789,-0.31,-0.852,-0.289,-39.824,-53.656,-4.147,0,26
36840,0.034,-0.797,-0.151,-21.16,-39.962,7.319,0,39
36895,-0.255,-0.871,-0.093,-20.145,-52.931,4.73,0,44
36956,-0.297,-0.884,-0.145,-26.718,-73.282,-5.307,0,0
37002,-0.652,-1.25,-0.245,-27.458,-54.954,-35.038,0,0
37049,-0.829,-1.374,-0.196,-23.115,-69.13,-52.802,0,0
37091,-0.86,-0.872,-0.213,-51.016,-90.87,-39.87,132,0
37147,-0.24,-0.518,-0.124,-9.995,-90.84,27.36,130,0
37197,-0.225,-0.921,-0.269,8.015,-74.107,45.092,0,0
37239,-0.191,-0.88,-0.235,24.657,17.644,38.802,0,123
37296,-0.262,-0.923,-0.211,29.168,29.33,28.916,0,124
37349,-0.249,-0.843,-0.167,-0.866,60.206,-28.75,0,91
37409,-0.366,-0.791,-0.05,15.733,75.267,-3.504,0,0
37456,-0.401,-0.795,0.054,6.668,17.702,-31.137,0,0
37502,-0.432,-0.802,-0.026,-3.718,-21.566,-33.817,0,0
37550,-0.357,-0.81,-0.07,-7.148,-11.35,-30.695,0,0
37616,-0.602,-0.908,-0.09,-17.959,-27.083,-44.692,0,0
37656,-0.396,-0.977,-0.116,9.461,61.603,1.24,84,0
37706,-0.634,-1.058,0.029,-12.369,68.168,-9.801,82,133
37762,-0.795,-1.289,0.083,-16.131,2.038,-16.787,0,118
37815,-0.441,-1.092,-0.066,20.815,-80.0,-6.676,75,0
37855,-0.221,-0.741,-0.185,8.499,-65.107,-3.471,71,0
37907,-0.266,-0.903,-0.172,59.591,23.182,36.991,70,0
37947,-0.335,-1.007,-0.159,45.359,15.439,-0.44,68,0
37989,-0.26,-0.997,-0.204,55.305,3.97,-11.373,67,13
38034,-0.162,-0.885,-0.193,49.466,28.527,26.352,66,15
38076,-0.2,-0.802,-0.132,31.588,63.679,-13.674,64,18
38129,-0.271,-0.793,-0.045,18.919,74.595,30.649,64,0
38168,-0.325,-0.836,0.018,1.2,48.13,30.42,63,0
38217,-0.283,-0.852,-0.013,-8.915,29.58,-9.498,62,142
38267,-0.258,-0.96,-0.007,2.874,20.023,15.587,63,164
38319,-0.251,-1.204,-0.067,27.235,23.023,6.051,62,181
38372,-0.302,-1.353,-0.031,10.535,35.756,-57.626,83,183
38422,-0.702,-1.5,0.034,1.184,44.137,-82.985,72,141
38518,-0.217,-0.583,0.241,22.892,21.053,-16.961,68,154
