Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
39197,-0.121,-0.974,0.163,3.793,-5.474,2.14,96,74
39244,-0.121,-0.981,0.135,1.325,-7.744,1.257,103,72
39291,-0.116,-0.98,0.157,1.85,-6.461,0.984,103,73
39339,-0.109,-0.987,0.205,4.682,-1.47,4.235,103,74
39386,-0.11,-0.984,0.112,-0.534,-7.023,-0.029,103,71
39433,-0.108,-0.983,0.201,3.524,-0.611,4.299,104,74
39481,-0.106,-0.981,0.175,2.048,-3.975,2.294,104,75
39531,-0.106,-0.98,0.18,1.732,-3.377,1.446,103,74
39578,-0.109,-0.978,0.156,1.06,-3.147,-1.06,104,74
39625,-0.11,-0.979,0.194,2.951,-0.057,-0.751,103,76
39672,-0.111,-0.978,0.136,0.45,-1.036,-2.785,97,75
39719,-0.121,-0.975,0.175,0.969,-0.642,-1.957,97,74
39767,-0.117,-0.978,0.199,1.088,-0.336,-0.494,103,75
39814,-0.114,-0.976,0.14,-0.987,-1.09,-2.087,104,74
39862,-0.118,-0.982,0.133,-0.96,-0.561,-1.315,105,75
39909,-0.113,-0.982,0.224,-0.178,0.465,0.492,104,77
39959,-0.119,-0.988,0.251,0.477,0.184,0.762,104,78
40006,-0.12,-0.976,0.231,0.601,-0.762,0.581,104,76
40054,-0.113,-0.974,0.196,0.647,-0.462,1.017,104,76
40101,-0.108,-0.994,0.208,1.545,0.461,1.506,103,76
40150,-0.106,-0.98,0.158,1.269,0.332,0.809,104,75
40197,-0.11,-0.979,0.173,0.73,1.049,2.236,103,76
40244,-0.114,-0.988,0.266,1.775,0.293,4.46,103,77
40291,-0.1,-0.975,0.21,0.433,-1.122,2.439,103,76
40339,-0.11,-0.985,0.222,0.21,0.883,2.453,103,77
40389,-0.103,-0.989,0.173,0.135,-0.301,0.57,96,74
40435,-0.106,-0.984,0.229,0.67,0.621,2.154,94,76
40482,-0.114,-0.992,0.198,0.632,0.895,0.672,95,76
40529,-0.112,-0.986,0.178,0.374,-0.67,-0.271,94,75
40577,-0.113,-0.989,0.161,0.335,-0.919,-0.09,94,75
40624,-0.105,-0.989,0.197,1.165,0.672,0.917,95,76
40671,-0.106,-0.988,0.13,-0.204,0.055,-0.738,95,75
40718,-0.115,-0.981,0.242,2.868,1.003,0.908,95,75
40764,-0.117,-0.99,0.152,0.068,-2.013,0.016,94,75
40814,-0.104,-0.982,0.153,1.226,-1.655,0.501,95,74
40861,-0.111,-0.983,0.196,2.106,0.518,1.484,95,75
40908,-0.115,-0.984,0.168,1.058,-0.634,0.471,95,75
40955,-0.112,-0.977,0.167,0.934,-1.651,0.297,95,74
41003,-0.107,-0.986,0.138,0.073,-1.843,-0.198,95,72
41050,-0.114,-0.983,0.2,1.407,-0.018,1.195,96,75
41097,-0.11,-0.985,0.164,0.563,-2.131,0.605,96,73
41143,-0.115,-0.973,0.246,2.337,0.416,3.241,97,74
41190,-0.112,-0.983,0.159,0.317,-0.858,0.663,97,73
41238,-0.119,-0.979,0.114,-0.473,-3.996,-1.113,103,70
41288,-0.114,-0.983,0.124,-1.024,-4.606,-0.652,103,71
41335,-0.116,-0.985,0.153,0.148,-2.997,0.842,103,71
41383,-0.111,-0.983,0.229,1.267,1.652,3.221,103,74
41431,-0.11,-0.983,0.127,-0.22,-1.239,-0.666,104,70
41479,-0.119,-0.976,0.127,-0.186,-2.532,0.045,104,71
41526,-0.115,-0.987,0.154,-0.249,-1.754,1.279,103,72
41616,-0.112,-0.988,0.163,-0.667,-1.359,0.399,104,73
41664,-0.115,-0.986,0.155,-0.734,-1.807,0.606,104,72
41711,-0.107,-0.989,0.193,0.012,0.301,1.243,98,74
41761,-0.111,-0.988,0.22,1.225,2.059,0.762,98,74
41808,-0.115,-0.986,0.176,0.632,-0.374,0.147,98,71
41856,-0.114,-0.991,0.221,1.483,0.06,1.12,104,73
41903,-0.112,-0.985,0.198,2.56,1.21,1.386,98,73
41950,-0.113,-0.982,0.162,1.074,1.555,1.105,98,71
41998,-0.113,-0.983,0.144,0.853,1.542,0.607,104,72
42045,-0.118,-0.982,0.201,1.806,1.133,1.691,98,75
42093,-0.107,-0.991,0.15,0.517,-0.632,0.431,105,73
42140,-0.112,-0.991,0.106,-0.073,0.293,-0.026,105,73
42191,-0.117,-0.985,0.128,-0.136,0.296,0.067,105,74
42245,-0.115,-0.983,0.187,1.264,-0.325,1.56,0,76
42298,-0.112,-0.989,0.181,2.593,1.27,1.816,0,77
42351,-0.126,-0.992,0.156,1.639,1.39,0.511,0,75
42404,-0.126,-0.987,0.147,0.84,-2.029,0.148,0,74
42458,-0.113,-0.988,0.183,2.185,-1.258,1.84,0,75
42512,-0.111,-0.987,0.159,2.243,-0.253,1.537,0,75
42565,-0.115,-0.993,0.212,3.817,1.365,2.087,0,75
42618,-0.128,-0.988,0.193,3.585,-2.351,1.154,0,76
42675,-0.117,-0.988,0.184,3.384,-2.64,0.786,0,76
42729,-0.114,-0.984,0.197,4.765,0.38,1.506,0,77
42782,-0.119,-0.986,0.166,3.018,-2.084,0.936,0,85
42836,-0.113,-0.98,0.138,0.949,-3.477,0.734,0,84
42891,-0.114,-0.988,0.233,7.475,1.651,4.232,0,88
42945,-0.119,-0.986,0.251,8.446,2.058,3.514,0,88
42999,-0.125,-0.989,0.176,3.584,-4.247,0.615,0,90
43054,-0.12,-0.99,0.175,4.64,-3.483,1.807,0,89
43103,-0.114,-0.98,0.159,3.708,-1.532,2.036,97,89
43153,-0.126,-0.989,0.227,11.189,1.237,6.222,97,73
43206,-0.123,-0.979,0.229,11.473,-1.004,6.958,0,71
43259,-0.11,-0.983,0.234,13.458,-0.797,8.756,0,73
43314,-0.114,-0.981,0.172,5.875,-1.398,3.661,0,84
43368,-0.118,-0.982,0.207,8.933,-0.366,5.897,0,84
43421,-0.116,-0.983,0.202,7.807,-2.069,5.106,0,82
43475,-0.103,-0.976,0.223,13.323,-1.53,8.536,0,82
43530,-0.108,-0.981,0.134,-1.271,-2.588,-0.547,0,82
43583,-0.113,-0.982,0.225,15.292,0.2,8.672,0,80
43637,-0.119,-0.969,0.181,6.999,0.341,3.743,0,80
43695,-0.123,-0.97,0.266,23.804,1.62,15.064,0,83
43749,-0.099,-0.965,0.225,21.627,8.904,14.547,0,84
43803,-0.066,-0.873,0.199,13.817,12.127,9.311,0,79
43857,-0.122,-0.897,0.33,23.108,56.695,18.87,0,81
43911,-0.617,-1.212,1.075,-18.962,40.618,36.641,0,79
43965,-0.938,-1.202,1.142,47.519,-59.275,42.084,0,76
44019,-0.662,-0.919,0.688,118.206,-120.374,45.748,0,82
44072,-0.589,-1.194,0.228,108.336,-147.931,35.824,0,68
44127,-0.171,-0.928,-0.194,142.893,-110.267,75.916,151,67
44181,-0.183,-0.916,-0.173,96.351,-66.779,120.679,0,77
44277,0.143,-0.115,-0.214,-14.84,77.084,144.076,0,70
44331,-0.197,-0.511,0.068,-121.397,164.542,118.252,0,71
44385,-0.578,-0.718,0.686,-158.916,79.443,-17.914,0,75
44442,-0.494,-0.941,0.708,-141.855,-91.267,-74.153,0,134
44495,0.053,-0.92,0.579,-135.748,-60.313,-107.229,0,61
44549,0.054,-1.124,0.442,-120.107,108.198,-100.313,0,57
44601,-0.611,-1.418,0.641,-88.74,148.435,-88.046,0,55
44657,-0.825,-1.33,0.698,-24.84,119.903,-109.679,0,50
44712,-0.379,-0.987,0.374,-2.215,-68.908,-79.916,0,47
44765,-0.077,-0.953,0.078,23.672,-24.264,-40.962,0,46
44817,-0.156,-0.96,0.111,25.344,57.038,-20.168,0,44
44869,-0.251,-0.888,0.114,28.947,64.443,-3.08,0,44
44919,-0.322,-1.004,0.138,26.588,30.969,12.675,164,44
44972,-0.279,-0.965,0.183,25.489,29.463,37.432,0,42
45024,-0.139,-0.536,0.15,29.565,-4.33,26.328,0,43
45076,-0.076,-1.236,0.004,11.544,10.107,43.947,0,42
45131,-0.245,-1.24,0.202,-31.87,21.564,26.524,0,43
45184,-0.134,-0.641,0.28,-32.824,-3.914,16.824,0,43
45229,-0.161,-0.874,0.233,-20.534,-2.24,20.023,81,43
45274,-0.284,-1.037,0.286,-29.74,-27.687,-11.102,79,43
45319,-0.236,-1.051,0.31,-42.672,-62.405,-28.58,78,43
45364,-0.178,-1.018,0.373,-47.046,-76.611,-25.366,77,42
45409,-0.118,-0.972,0.462,-13.802,-101.412,-1.334,77,42
45454,-0.148,-1.023,0.324,-18.499,-123.74,-18.569,78,41
45502,-0.004,-1.237,0.118,5.978,-105.0,-28.855,78,41
45553,0.11,-0.962,0.007,27.137,-30.397,-27.893,80,39
45597,0.139,-0.861,-0.002,34.183,62.282,-12.196,81,38
45641,-0.033,-0.954,-0.005,27.458,125.695,-9.19,83,36
45685,-0.204,-0.985,-0.008,28.305,140.076,-13.971,85,36
45729,-0.307,-0.939,0.126,25.099,111.427,-13.051,88,35
45773,-0.351,-0.926,0.206,17.116,59.573,-15.511,90,35
45825,-0.395,-0.981,0.231,2.342,-8.705,-20.053,91,152
45870,-0.314,-0.985,0.14,-4.259,-78.634,-19.855,90,35
45917,-0.196,-0.972,0.071,-4.289,-98.634,-10.447,89,37
45961,-0.088,-0.966,0.041,-0.627,-82.794,18.748,87,37
46005,-0.049,-0.973,-0.042,0.303,-51.076,43.298,86,37
46049,-0.076,-0.989,0.079,3.239,-21.821,58.504,84,37
46093,-0.133,-1.022,0.118,1.736,-13.129,62.87,83,39
46138,-0.164,-1.02,0.109,-0.366,-38.834,57.565,82,41
46182,-0.178,-1.013,0.176,0.889,-31.687,45.679,82,42
46233,-0.151,-1.001,0.148,0.185,-43.87,33.618,0,43
46284,-0.112,-1.014,0.156,5.466,-44.198,23.397,0,44
46339,-0.069,-1.014,0.178,15.275,15.03,17.015,0,46
46390,-0.035,-1.018,0.087,11.5,9.183,16.236,0,46
46441,-0.079,-0.974,0.092,5.094,33.0,2.739,0,45
46492,-0.16,-0.972,0.176,-0.123,30.756,-8.148,0,45
46537,-0.189,-0.976,0.257,-0.023,19.099,-25.878,80,44
46581,-0.177,-0.994,0.171,-6.788,-10.583,-37.229,80,43
46625,-0.148,-0.99,0.178,-4.567,-3.558,-37.153,81,42
46670,-0.144,-0.988,0.159,-5.447,6.527,-35.878,83,42
46757,-0.183,-0.989,0.18,-5.128,8.677,-33.473,84,38
46804,-0.176,-0.977,0.184,-3.722,5.41,-31.824,85,38
46851,-0.176,-0.979,0.225,-1.505,3.391,-28.466,85,67
46905,-0.172,-0.98,0.194,-0.48,-1.16,-22.122,86,0
46958,-0.151,-0.992,0.271,10.454,5.327,12.87,86,0
47003,-0.149,-0.977,0.286,16.999,10.008,29.707,86,47
47048,-0.147,-0.975,0.288,20.17,9.475,20.366,86,47
47093,-0.148,-0.98,0.193,8.138,-4.142,28.435,86,48
47138,-0.129,-0.982,0.1,-5.08,-14.268,32.336,85,50
47182,-0.111,-0.971,0.165,8.093,-6.874,34.412,85,40
47229,-0.111,-0.976,0.138,3.264,-6.672,34.13,84,40
47275,-0.121,-0.976,0.188,10.431,-3.368,31.939,84,39
47319,-0.116,-0.981,0.246,16.945,0.228,27.71,84,41
47364,-0.147,-0.979,0.172,2.695,-11.19,20.679,84,42
47410,-0.173,-0.96,0.277,15.706,-5.034,22.791,84,66
47455,-0.187,-0.96,0.21,6.564,-13.19,-2.657,83,64
47501,-0.179,-0.877,0.259,12.81,-2.708,-4.544,84,67
47546,-0.127,-0.934,0.111,-15.977,21.687,-14.756,25,12
47590,-0.176,-0.942,0.236,20.771,43.42,17.473,84,40
47638,-0.206,-0.926,0.202,31.076,55.534,29.42,84,39
47682,-0.258,-0.901,0.128,22.191,71.534,30.344,84,38
47727,-0.357,-0.936,0.164,0.332,63.611,20.878,85,39
47771,-0.403,-0.927,0.323,17.496,27.878,14.864,86,38
47816,-0.334,-0.924,0.321,5.083,4.901,2.213,86,38
47860,-0.284,-0.929,0.333,5.222,4.481,-2.651,87,38
47905,-0.28,-0.912,0.304,6.718,8.719,-6.093,87,37
47949,-0.291,-0.914,0.326,18.303,29.173,-2.861,88,35
47997,-0.325,-0.916,0.272,12.845,25.137,-5.963,89,35
48041,-0.344,-0.926,0.215,5.604,21.672,-5.335,91,34
48087,-0.305,-0.933,0.308,26.088,42.742,2.119,92,33
48138,-0.279,-0.899,0.227,15.692,24.573,-0.297,0,33
48188,-0.305,-0.719,0.242,15.312,31.924,-0.814,0,32
48233,-0.401,-0.942,0.271,-15.573,6.83,-0.729,97,32
48284,-0.436,-0.926,0.484,-27.484,29.542,-6.809,0,30
48335,-0.847,-1.176,1.077,-25.344,26.853,-16.885,0,37
