Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
39197,-0.121,-0.974,0.171,4.213,-4.799,2.435,96,74
39244,-0.121,-0.981,0.169,3.4,-4.344,2.78,103,73
39291,-0.116,-0.98,0.288,7.785,2.407,5.868,103,77
39339,-0.109,-0.987,0.197,3.686,-2.963,3.283,103,74
39386,-0.11,-0.984,0.19,3.35,-1.389,3.892,103,74
39433,-0.108,-0.983,0.166,1.888,-2.721,2.576,104,73
39481,-0.106,-0.981,0.266,5.262,-0.462,5.189,104,78
39531,-0.106,-0.98,0.241,3.898,-1.233,3.167,103,76
39578,-0.109,-0.978,0.226,3.75,-0.704,0.94,104,76
39625,-0.11,-0.979,0.262,4.682,1.238,0.624,103,78
39672,-0.111,-0.978,0.221,2.958,0.535,-0.639,97,78
39719,-0.121,-0.975,0.121,-0.09,-1.339,-3.252,97,72
39767,-0.117,-0.978,0.196,0.912,-0.444,-0.796,103,75
39814,-0.114,-0.976,0.351,1.861,1.27,1.964,104,80
39862,-0.118,-0.982,0.112,-1.087,-0.688,-1.435,105,74
39909,-0.113,-0.982,0.309,0.57,1.414,1.275,104,80
39959,-0.119,-0.988,0.202,-0.141,-0.622,0.169,104,76
40006,-0.12,-0.976,-0.059,-3.057,-4.646,-2.774,31,22
40054,-0.113,-0.974,0.263,1.621,0.486,1.948,104,78
40101,-0.108,-0.994,0.352,3.802,2.603,4.221,103,81
40150,-0.106,-0.98,0.233,2.625,1.579,2.697,104,77
40197,-0.11,-0.979,0.095,-0.497,-0.423,0.337,103,74
40244,-0.114,-0.988,0.236,1.098,-0.798,2.923,103,76
40291,-0.1,-0.975,0.241,0.678,-0.783,2.859,103,77
40339,-0.11,-0.985,0.201,-0.016,0.382,1.686,103,77
40389,-0.103,-0.989,0.112,-0.36,-1.017,-0.434,96,72
40435,-0.106,-0.984,0.237,0.674,0.611,2.023,94,77
40482,-0.114,-0.992,0.149,0.08,0.294,-0.034,95,74
40529,-0.112,-0.986,0.269,1.432,0.411,0.853,94,78
40577,-0.113,-0.989,0.246,1.587,0.37,0.781,94,77
40624,-0.105,-0.989,0.073,-0.955,-0.977,-0.288,95,73
40671,-0.106,-0.988,0.269,2.646,2.281,0.739,95,80
40718,-0.115,-0.981,0.042,-1.787,-2.415,-1.612,95,70
40764,-0.117,-0.99,0.244,2.469,-0.471,1.305,94,78
40814,-0.104,-0.982,-0.035,-3.025,-4.113,-2.087,95,69
40861,-0.111,-0.983,0.223,2.567,0.872,1.807,95,75
40908,-0.115,-0.984,0.268,3.56,1.04,2.058,95,78
40955,-0.112,-0.977,0.253,2.808,-0.307,1.592,95,76
41003,-0.107,-0.986,0.167,0.898,-1.011,0.364,95,73
41050,-0.114,-0.983,0.282,2.721,1.535,2.389,96,78
41097,-0.11,-0.985,0.114,-0.185,-3.005,-0.188,96,71
41143,-0.115,-0.973,0.161,0.717,-1.868,1.319,97,71
41190,-0.112,-0.983,0.103,-0.427,-2.17,-0.293,97,71
41238,-0.119,-0.979,0.153,0.285,-2.221,0.136,103,71
41288,-0.114,-0.983,0.189,-0.091,-2.447,1.003,103,73
41335,-0.116,-0.985,0.133,-0.018,-3.248,0.623,103,71
41383,-0.111,-0.983,0.255,1.39,1.648,3.244,103,75
41431,-0.11,-0.983,0.147,0.15,-0.369,0.29,104,71
41479,-0.119,-0.976,0.159,0.321,-1.618,1.09,104,73
41526,-0.115,-0.987,0.254,0.993,0.466,3.241,103,75
41616,-0.112,-0.988,0.149,-0.818,-1.614,0.174,104,72
41664,-0.115,-0.986,0.127,-1.053,-2.33,0.198,104,71
41711,-0.107,-0.989,0.174,-0.319,-0.18,0.936,98,73
