Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40027,-0.348,-0.921,0.319,-10.911,29.13,-52.626,192,87
40081,-0.292,-0.913,0.272,-9.425,28.947,-49.863,0,86
40128,-0.275,-0.965,0.266,-12.425,29.649,-55.412,76,90
40175,-0.227,-0.968,0.236,-12.473,27.687,-55.618,77,94
40221,-0.192,-0.984,0.227,-9.963,25.794,-57.817,59,98
40268,-0.171,-1.02,0.217,-12.559,13.899,-59.076,83,103
40317,-0.132,-1.029,0.209,-4.673,23.53,-54.916,95,100
40369,-0.103,-0.998,0.193,-0.063,22.48,-41.13,97,97
40417,-0.082,-0.982,0.154,4.332,28.824,-24.779,98,96
40465,-0.111,-0.965,0.162,1.503,34.802,-12.743,98,94
40513,-0.138,-0.98,0.192,0.087,29.679,-5.818,100,101
40565,-0.141,-0.981,0.211,-0.379,18.141,0.764,100,155
40617,-0.114,-0.969,0.197,-0.182,10.75,5.904,101,153
40675,-0.105,-0.977,0.205,-1.523,5.97,8.73,0,154
40729,-0.089,-1.005,0.184,0.188,4.339,11.845,0,100
40781,-0.113,-0.967,0.218,-1.46,-1.537,10.532,100,153
40836,-0.09,-0.985,0.183,-0.821,-9.915,9.966,101,154
40885,-0.098,-0.993,0.196,-3.063,-9.672,8.951,92,103
40933,-0.083,-1.023,0.189,-2.651,-11.122,2.959,100,102
40982,-0.079,-0.991,0.191,0.404,-6.262,4.286,97,103
41031,-0.051,-0.967,0.157,4.431,-3.768,6.985,98,100
41079,-0.069,-0.96,0.177,3.803,9.832,7.911,98,100
41134,-0.113,-1.017,0.182,-0.136,6.669,-0.73,0,101
41189,-0.132,-0.978,0.208,-2.639,0.685,-4.678,0,103
41247,-0.113,-0.971,0.198,-4.038,-14.361,-5.576,0,172
41300,-0.086,-0.984,0.167,-1.02,-2.912,-2.312,66,159
41351,-0.092,-0.989,0.177,-1.296,4.041,-6.083,63,156
41407,-0.115,-0.995,0.192,0.113,8.482,-1.312,0,137
41465,-0.114,-0.972,0.209,2.016,4.503,5.193,0,155
41516,-0.106,-0.981,0.197,2.367,1.898,5.475,99,134
41567,-0.09,-0.979,0.186,2.466,3.864,1.391,101,134
41616,-0.105,-0.979,0.173,1.614,7.07,-2.469,101,99
41670,-0.115,-0.985,0.177,1.918,8.094,-3.536,0,98
41728,-0.122,-0.985,0.183,1.339,8.36,-3.306,0,154
41788,-0.112,-0.984,0.179,1.182,7.834,-2.864,0,153
