Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40027,-0.345,-0.921,0.319,-11.981,29.13,-52.626,192,87
40081,-0.274,-0.913,0.272,-7.043,28.947,-49.863,0,86
40128,-0.305,-0.965,0.266,-18.188,29.649,-55.412,76,90
40175,-0.267,-0.968,0.236,-18.877,27.687,-55.618,77,94
40221,-0.235,-0.984,0.227,-17.703,25.794,-57.817,59,98
40268,-0.202,-1.02,0.217,-14.564,7.987,-59.076,83,103
40317,-0.132,-1.029,0.209,0.415,42.996,-54.916,95,100
40369,-0.103,-0.998,0.193,-2.673,6.914,-41.13,97,97
40417,-0.082,-0.982,0.154,5.608,28.824,-24.779,98,96
40465,-0.111,-0.965,0.162,0.858,34.802,-19.186,98,94
40513,-0.138,-0.98,0.192,0.66,29.679,-2.038,100,101
40565,-0.141,-0.981,0.211,-1.863,-7.346,-7.639,100,155
40617,-0.114,-0.969,0.197,0.069,13.874,7.397,101,153
40675,-0.105,-0.977,0.205,-1.74,4.582,7.414,0,154
40729,-0.089,-1.005,0.184,-0.083,2.753,9.595,0,100
40781,-0.113,-0.967,0.218,-3.843,-10.877,-2.573,100,153
40836,-0.09,-0.985,0.183,0.929,-3.168,17.434,101,154
40885,-0.098,-0.993,0.196,-0.03,3.135,19.339,92,103
40933,-0.083,-1.023,0.189,-2.343,-10.099,3.739,100,102
40982,-0.079,-0.991,0.191,-2.457,-13.799,-1.324,97,103
41031,-0.051,-0.967,0.157,8.505,8.238,14.207,98,100
41079,-0.069,-0.96,0.177,1.7,5.367,4.08,98,100
41134,-0.113,-1.017,0.182,0.866,8.742,0.905,0,101
41189,-0.132,-0.978,0.208,-3.228,-0.987,-5.709,0,103
41247,-0.113,-0.971,0.198,-5.028,-17.168,-7.349,0,172
41300,-0.086,-0.984,0.167,-3.844,-11.22,-8.25,66,159
41351,-0.092,-0.989,0.177,-1.371,3.923,-6.179,63,156
41407,-0.115,-0.995,0.192,-2.134,1.934,-7.495,0,137
41465,-0.114,-0.972,0.209,1.224,2.44,3.382,0,155
41516,-0.106,-0.981,0.197,3.766,5.332,7.764,99,134
41567,-0.09,-0.979,0.186,3.57,6.411,3.014,101,134
41616,-0.105,-0.979,0.173,0.967,5.416,-3.396,101,99
41670,-0.115,-0.985,0.177,1.822,7.809,-3.668,0,98
41728,-0.122,-0.985,0.183,-0.777,-2.404,-7.809,0,154
41788,-0.112,-0.984,0.179,-0.032,0.543,-7.051,0,153
41844,-0.126,-0.98,0.186,0.6,10.532,-2.355,0,122
41901,-0.126,-0.989,0.191,0.918,9.732,-0.231,0,121
41956,-0.131,-0.973,0.18,-1.631,2.21,-10.21,0,122
42015,-0.127,-0.976,0.181,0.237,4.51,0.289,0,170
42071,-0.134,-0.975,0.182,-1.256,1.026,-4.92,0,124
42122,-0.129,-0.984,0.182,-0.277,-0.791,-2.05,105,119
42177,-0.115,-0.982,0.164,0.427,0.624,-1.774,0,118
42233,-0.126,-0.987,0.171,0.722,2.128,1.596,0,122
42292,-0.125,-0.991,0.174,2.355,3.745,5.418,0,122
42350,-0.123,-0.974,0.183,1.29,1.382,3.515,0,153
42407,-0.109,-0.972,0.17,0.931,1.345,1.867,0,149
42465,-0.129,-0.982,0.198,1.146,1.639,1.94,0,152
42523,-0.12,-0.978,0.172,3.475,3.019,2.982,0,163
42577,-0.136,-0.976,0.188,-0.191,0.657,-0.4,0,93
42625,-0.136,-0.977,0.187,-0.021,-5.365,0.628,63,91
42713,-0.145,-0.983,0.188,-0.192,1.641,-0.483,61,91
42760,-0.164,-0.978,0.195,-1.651,-9.65,-5.746,62,91
42811,-0.125,-0.982,0.183,-3.84,-19.052,-13.292,65,121
42859,-0.133,-0.983,0.172,-1.909,-5.851,-5.536,64,121
42908,-0.116,-0.981,0.198,-1.051,-5.329,-2.298,64,148
42959,-0.115,-0.983,0.165,-0.11,-6.08,1.85,64,158
43005,-0.117,-0.975,0.194,-0.515,-4.305,1.847,66,81
43052,-0.146,-0.986,0.21,0.264,-5.664,3.534,64,81
43104,-0.201,-0.978,0.208,-0.392,-21.079,0.989,0,70
43150,-0.112,-0.982,0.211,-0.419,-23.733,4.902,63,72
43203,-0.116,-0.988,0.167,0.992,-25.267,4.677,0,80
43260,-0.101,-0.981,0.16,-0.679,-30.695,-0.084,0,82
43314,-0.097,-0.981,0.161,2.646,-6.673,3.201,0,82
43367,-0.141,-0.964,0.183,4.003,-0.487,4.82,0,71
43413,-0.162,-1.0,0.176,0.071,-4.501,1.647,67,71
43458,-0.059,-0.902,0.117,-2.801,27.389,3.18,66,75
43511,-0.088,-0.67,0.218,-4.432,59.573,4.486,0,76
43567,-0.099,-0.32,0.016,5.349,84.374,39.641,0,106
43613,-0.237,-0.803,0.081,-37.71,75.962,34.58,51,100
43659,-0.228,-1.086,-0.095,-16.74,47.527,-2.889,23,111
43711,-0.168,-1.038,-0.025,-5.153,12.039,-20.573,52,150
43759,-0.075,-1.262,-0.227,15.191,8.291,-28.344,62,114
43804,-0.062,-1.257,-0.166,3.823,47.901,-22.832,20,110
43849,-0.048,-1.156,-0.094,-21.626,57.16,13.815,21,107
43896,-0.161,-1.304,0.126,-30.267,55.672,17.13,28,135
43943,-0.167,-1.143,0.242,4.706,42.684,12.876,31,134
43991,-0.167,-1.047,0.194,-3.347,-9.089,-7.709,30,131
44038,-0.199,-1.179,0.254,-27.252,-2.399,-38.321,30,130
44088,-0.16,-1.253,0.124,-15.229,27.046,-72.641,34,127
44135,-0.172,-1.087,0.168,10.62,59.519,-66.168,36,125
44182,-0.333,-1.067,0.136,11.949,46.099,-55.916,38,123
44229,-0.273,-1.026,0.08,8.03,11.265,-40.504,38,122
44276,-0.162,-1.005,0.057,4.086,4.643,-32.511,42,122
44323,-0.139,-1.048,-0.026,0.874,-24.985,-16.053,43,121
44370,-0.078,-1.067,-0.054,9.995,-5.901,16.503,44,121
44418,-0.083,-0.913,-0.058,0.512,-8.438,22.031,41,120
44465,-0.168,-0.886,0.082,-0.974,-5.346,28.611,44,119
44517,-0.086,-1.087,-0.113,21.839,-14.246,24.511,44,138
44564,-0.089,-0.976,-0.09,22.557,6.951,16.87,43,120
44612,-0.129,-0.995,-0.104,21.513,16.305,15.565,46,140
44660,-0.136,-0.976,-0.066,2.754,8.133,8.664,42,140
44708,-0.159,-0.958,-0.038,2.643,-2.289,13.008,41,136
44756,-0.213,-0.931,-0.021,-2.851,-23.067,4.449,39,140
44803,-0.118,-0.961,-0.029,-3.516,-23.565,12.155,43,92
44848,-0.204,-0.977,-0.012,-11.993,-26.779,-1.789,40,92
44897,-0.118,-0.998,0.006,1.186,-34.321,2.044,41,141
44948,-0.202,-0.974,0.045,-8.062,-55.046,-5.02,40,145
44996,-0.143,-1.035,-0.027,-14.026,-79.099,-3.688,39,126
45044,-0.064,-0.968,-0.061,-9.783,-52.153,-1.024,37,143
45089,-0.137,-0.978,0.009,-10.212,-30.107,8.285,38,94
45178,-0.231,-1.019,0.065,-6.51,-50.58,4.234,36,95
45222,-0.14,-1.033,0.033,0.53,-68.733,16.672,40,72
45266,-0.068,-1.002,-0.036,4.483,-48.71,7.305,40,69
45312,-0.107,-0.967,0.017,7.116,-25.305,15.915,41,71
45359,-0.065,-0.998,0.077,12.908,-30.321,14.573,42,68
45403,-0.124,-1.03,0.021,2.028,-32.26,-3.88,42,63
45447,-0.115,-0.991,0.022,15.478,-6.755,4.568,46,68
45500,-0.154,-1.002,0.056,10.228,-17.476,4.044,0,66
45554,-0.152,-1.01,0.073,13.101,-17.579,3.302,0,67
45607,-0.213,-0.995,0.076,2.13,-24.618,-0.679,0,64
45661,-0.231,-0.996,0.097,1.493,-25.313,-1.843,0,64
45714,-0.21,-0.98,0.105,3.053,-32.588,0.326,0,66
45767,-0.129,-0.977,0.068,8.777,-24.191,4.063,0,69
45825,-0.154,-0.963,0.109,4.925,-11.453,4.763,0,67
45878,-0.176,-0.974,0.154,3.868,-10.372,2.75,0,68
45930,-0.154,-0.967,0.148,3.015,-14.194,2.115,0,56
45983,-0.195,-0.973,0.186,-0.571,-26.203,1.006,0,56
