Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
39197,-0.121,-0.974,0.16,3.056,-6.714,1.646,96,74
39244,-0.121,-0.981,0.164,3.749,-3.721,3.015,103,73
39291,-0.116,-0.98,0.161,1.49,-7.044,0.704,103,73
39339,-0.109,-0.987,0.166,2.163,-5.175,1.823,103,73
39386,-0.11,-0.984,0.169,2.536,-2.555,3.07,103,73
39433,-0.108,-0.983,0.177,2.181,-2.353,2.883,104,73
39481,-0.106,-0.981,0.176,2.044,-3.981,2.292,104,75
39531,-0.106,-0.98,0.192,2.451,-2.666,2.004,103,74
39578,-0.109,-0.978,0.186,2.453,-1.885,-0.036,104,75
39625,-0.11,-0.979,0.173,1.909,-0.793,-1.543,103,75
39672,-0.111,-0.978,0.154,0.639,-0.878,-2.608,29,23
39719,-0.121,-0.975,0.179,1.194,-0.517,-1.667,97,74
39767,-0.117,-0.978,0.173,0.548,-0.716,-1.329,103,74
39814,-0.114,-0.976,0.187,-0.216,-0.474,-0.935,104,75
39862,-0.118,-0.982,0.178,-0.36,0.046,-0.536,105,76
39909,-0.113,-0.982,0.185,-0.634,-0.202,-0.002,104,76
39959,-0.119,-0.988,0.193,-0.23,-0.728,0.082,104,76
40006,-0.12,-0.976,0.185,-0.116,-1.532,-0.064,104,75
40054,-0.113,-0.974,0.194,0.648,-0.462,1.017,104,76
40101,-0.108,-0.994,0.189,1.019,-0.029,0.837,103,76
40150,-0.106,-0.98,0.165,1.339,0.4,0.891,104,75
40197,-0.11,-0.979,0.169,0.595,0.875,1.993,103,76
40244,-0.114,-0.988,0.197,0.711,-1.294,2.308,103,75
40291,-0.1,-0.975,0.182,0.115,-1.718,1.597,103,75
40339,-0.11,-0.985,0.19,-0.079,0.347,1.677,103,76
40389,-0.103,-0.989,0.182,0.204,-0.212,0.685,96,74
40435,-0.106,-0.984,0.18,0.168,0.067,1.177,94,75
40482,-0.114,-0.992,0.176,0.366,0.603,0.324,95,75
40529,-0.112,-0.986,0.176,0.363,-0.681,-0.282,94,75
40577,-0.113,-0.989,0.168,0.314,-0.943,-0.075,94,75
40624,-0.105,-0.989,0.176,0.605,0.265,0.654,95,76
40671,-0.106,-0.988,0.186,1.15,1.089,-0.088,95,77
40718,-0.115,-0.981,0.19,1.242,-0.147,0.103,95,75
40764,-0.117,-0.99,0.185,1.187,-1.326,0.576,94,76
40814,-0.104,-0.982,0.172,1.712,-1.385,0.787,95,75
40861,-0.111,-0.983,0.178,1.582,0.15,1.163,95,74
40908,-0.115,-0.984,0.174,1.117,-0.582,0.523,95,75
40955,-0.112,-0.977,0.179,1.333,-1.382,0.554,95,74
41003,-0.107,-0.986,0.18,1.364,-0.541,0.673,95,73
41050,-0.114,-0.983,0.17,0.567,-1.056,0.455,96,74
41097,-0.11,-0.985,0.18,1.051,-1.531,1.133,96,73
41143,-0.115,-0.973,0.183,1.062,-1.399,1.721,97,72
41190,-0.112,-0.983,0.174,0.641,-0.185,1.117,97,73
41238,-0.119,-0.979,0.182,0.733,-1.262,0.831,103,72
41288,-0.114,-0.983,0.181,-0.168,-2.573,0.897,103,73
41335,-0.116,-0.985,0.162,0.144,-3.161,0.738,31,22
41383,-0.111,-0.983,0.166,0.36,-0.56,1.295,103,72
41431,-0.11,-0.983,0.179,0.544,0.408,1.132,104,72
41479,-0.119,-0.976,0.165,0.32,-1.678,1.011,104,73
41526,-0.115,-0.987,0.157,-0.25,-1.789,1.252,103,72
41616,-0.112,-0.988,0.168,-0.608,-1.249,0.495,104,73
41664,-0.115,-0.986,0.16,-0.698,-1.762,0.646,104,72
41711,-0.107,-0.989,0.171,-0.314,-0.157,0.938,98,73
41761,-0.111,-0.988,0.167,0.299,0.641,-0.095,98,72
41808,-0.115,-0.986,0.17,0.466,-0.524,0.032,98,71
41856,-0.114,-0.991,0.175,0.493,-0.96,0.434,104,71
41903,-0.112,-0.985,0.168,2.066,0.694,0.998,98,72
41950,-0.113,-0.982,0.159,0.866,1.353,0.946,98,71
41998,-0.113,-0.983,0.161,1.647,2.174,1.225,104,72
42045,-0.118,-0.982,0.146,0.112,-0.682,0.084,29,22
42093,-0.107,-0.991,0.161,0.831,-0.312,0.738,105,73
42140,-0.112,-0.991,0.147,0.945,1.144,1.088,105,74
42191,-0.117,-0.985,0.165,0.848,1.071,1.053,105,75
42245,-0.115,-0.983,0.183,1.368,-0.251,1.641,0,76
42298,-0.112,-0.989,0.159,1.921,0.728,1.306,0,76
42351,-0.126,-0.992,0.166,2.376,1.967,1.03,0,75
42404,-0.126,-0.987,0.167,1.834,-1.353,0.802,0,75
42458,-0.113,-0.988,0.162,0.912,-2.021,1.046,0,75
42512,-0.111,-0.987,0.156,1.991,-0.427,1.39,0,75
42565,-0.115,-0.993,0.172,1.571,-0.331,0.888,0,74
42618,-0.128,-0.988,0.167,1.553,-3.559,0.303,0,75
42675,-0.117,-0.988,0.177,3.141,-2.81,0.68,0,76
42729,-0.114,-0.984,0.177,3.716,-0.438,1.072,0,76
42782,-0.119,-0.986,0.158,1.505,-2.983,0.279,0,85
42836,-0.113,-0.98,0.173,3.769,-2.072,2.089,0,85
42891,-0.114,-0.988,0.175,3.143,-1.212,2.233,0,86
42945,-0.119,-0.986,0.182,2.757,-1.738,0.862,0,86
42999,-0.125,-0.989,0.173,2.657,-4.674,0.207,0,90
43054,-0.12,-0.99,0.178,4.651,-3.469,1.821,0,89
43103,-0.114,-0.98,0.187,7.287,-0.132,3.832,97,89
43153,-0.126,-0.989,0.187,6.336,-0.323,3.434,97,73
43206,-0.123,-0.979,0.185,5.078,-2.519,3.06,0,71
43259,-0.11,-0.983,0.175,5.707,-2.701,3.824,0,71
43314,-0.114,-0.981,0.182,7.486,-0.95,4.714,0,84
43368,-0.118,-0.982,0.188,5.509,-1.278,3.64,0,84
43421,-0.116,-0.983,0.203,8.208,-1.993,5.366,0,82
43475,-0.103,-0.976,0.2,10.916,-2.007,6.985,0,81
43530,-0.108,-0.981,0.199,9.79,-0.787,6.266,0,83
43583,-0.113,-0.982,0.186,6.269,-1.049,3.155,0,80
43637,-0.119,-0.969,0.204,10.958,0.751,6.157,0,81
43695,-0.123,-0.97,0.216,13.496,-1.539,8.549,0,83
43749,-0.099,-0.965,0.183,11.243,-2.677,6.24,0,83
43803,-0.066,-0.859,0.207,15.139,14.155,10.793,0,79
43857,-0.122,-0.897,0.33,9.089,56.695,18.87,0,81
43911,-0.617,-1.212,1.075,-18.962,40.618,36.641,0,81
43965,-0.938,-1.202,1.142,47.519,-59.275,42.084,0,76
44019,-0.662,-0.919,0.688,118.206,-120.374,45.748,0,82
44072,-0.589,-1.194,0.226,108.336,-147.931,35.824,0,68
44127,-0.171,-0.928,-0.194,142.893,-110.267,75.916,151,67
44181,-0.183,-0.916,-0.173,96.351,-66.779,120.679,0,77
44277,0.143,-0.115,-0.214,-14.84,77.084,144.076,0,70
44331,-0.197,-0.511,0.069,-121.397,164.542,118.252,0,71
44385,-0.578,-0.678,0.686,-158.916,79.443,9.989,0,75
44442,-0.494,-0.941,0.708,-141.855,-91.267,-74.153,0,134
44495,0.053,-0.92,0.579,-135.748,-60.313,-107.229,0,61
44549,0.054,-1.124,0.442,-120.107,108.198,-100.313,0,57
44601,-0.611,-1.418,0.641,-88.74,148.435,-88.046,0,55
44657,-0.825,-1.33,0.698,-24.84,15.585,-109.679,0,50
44712,-0.379,-0.987,0.374,20.955,-68.908,-79.916,0,47
44765,-0.077,-0.953,0.087,23.672,-22.975,-40.962,0,46
44817,-0.156,-0.96,0.077,25.344,57.038,-20.168,0,44
44869,-0.251,-0.888,0.139,28.947,64.443,4.537,0,44
44919,-0.322,-1.004,0.129,26.588,30.969,10.821,164,44
44972,-0.279,-0.965,0.084,25.489,-3.987,13.982,0,42
45024,-0.139,-0.757,0.068,4.504,-25.613,26.328,0,43
45076,-0.076,-1.236,0.004,2.587,5.131,43.947,0,42
45131,-0.245,-1.24,0.159,-31.87,16.344,13.227,0,43
45184,-0.134,-0.614,0.286,-32.824,-1.705,16.824,0,43
45229,-0.161,-0.885,0.232,-20.534,-4.881,20.023,81,43
45274,-0.284,-1.037,0.298,-29.74,-19.837,-5.981,79,43
45319,-0.236,-1.051,0.305,-42.672,-62.405,-28.58,78,43
45364,-0.178,-1.018,0.373,-47.046,-76.611,-25.366,77,42
45409,-0.118,-0.972,0.462,-13.802,-101.412,-1.073,77,42
45454,-0.148,-1.023,0.324,-7.908,-123.74,-8.655,78,41
45502,-0.004,-1.237,0.093,-8.387,-105.0,-28.855,78,41
45553,0.11,-0.962,0.007,27.137,-27.463,-27.893,80,39
45597,0.139,-0.795,-0.002,34.183,62.282,-5.412,81,38
45641,-0.033,-0.954,-0.005,27.458,125.695,-3.88,83,36
45685,-0.204,-0.985,0.048,28.305,140.076,-9.024,85,36
45729,-0.307,-0.939,0.145,25.099,111.427,-9.961,88,35
45773,-0.351,-0.926,0.199,16.796,59.573,-15.511,90,35
45825,-0.395,-0.981,0.223,-0.568,-22.754,-20.053,91,152
45870,-0.314,-0.985,0.173,-1.043,-78.634,-19.855,90,35
45917,-0.196,-0.972,0.089,-3.654,-98.634,-6.051,89,37
45961,-0.088,-0.966,0.052,-0.217,-82.794,18.748,87,37
46005,-0.049,-0.973,0.049,3.861,-51.076,43.298,86,37
46049,-0.076,-0.989,0.082,3.42,-18.732,58.504,84,37
46093,-0.133,-1.022,0.128,2.26,-7.309,62.87,83,39
46138,-0.164,-1.02,0.152,0.814,-23.176,57.565,82,41
46182,-0.178,-1.013,0.175,0.953,-31.687,45.679,82,42
46233,-0.151,-1.001,0.144,-0.318,-43.87,33.618,0,43
46284,-0.112,-1.014,0.107,1.282,-44.198,23.397,0,44
46339,-0.069,-1.014,0.084,6.421,-32.225,17.015,0,46
46390,-0.035,-1.018,0.062,8.609,-5.092,9.871,0,46
46441,-0.079,-0.974,0.111,6.609,33.0,5.098,0,45
46492,-0.16,-0.972,0.172,-0.829,30.756,-8.948,0,45
46537,-0.189,-0.976,0.218,-3.219,8.232,-25.878,80,44
46581,-0.177,-0.994,0.181,-5.846,-8.278,-37.229,80,43
46625,-0.148,-0.99,0.153,-7.503,-7.784,-37.153,81,42
46670,-0.144,-0.988,0.149,-7.024,4.13,-35.878,83,42
46757,-0.183,-0.989,0.204,-2.853,12.053,-33.473,84,38
46804,-0.176,-0.977,0.201,-2.562,7.331,-31.824,85,38
46851,-0.176,-0.979,0.206,-2.581,1.693,-28.466,85,67
46905,-0.172,-0.98,0.211,0.658,-0.091,-22.122,86,0
46958,-0.151,-0.992,0.175,1.346,-0.095,-19.262,86,0
47003,-0.149,-0.977,0.207,8.866,6.214,10.553,86,47
47048,-0.147,-0.975,0.224,10.73,4.784,20.366,86,47
47093,-0.148,-0.98,0.199,7.67,-4.341,28.435,86,48
47138,-0.129,-0.982,0.2,17.563,-4.89,32.336,85,50
47182,-0.111,-0.971,0.187,13.263,-4.831,34.412,85,40
47229,-0.111,-0.976,0.178,11.571,-2.864,34.13,84,40
47275,-0.121,-0.976,0.182,8.388,-4.376,31.939,84,39
47319,-0.116,-0.981,0.187,6.476,-6.817,27.71,84,41
47364,-0.147,-0.979,0.219,11.565,-3.945,20.679,84,42
47410,-0.173,-0.96,0.238,11.97,-7.725,17.892,84,65
47455,-0.187,-0.96,0.23,9.243,-10.823,-0.648,83,65
47501,-0.179,-0.877,0.256,11.084,-4.624,-5.502,84,67
47546,-0.127,-0.934,0.246,19.703,21.687,6.989,84,41
47590,-0.176,-0.942,0.284,20.771,43.42,17.473,84,40
47638,-0.206,-0.926,0.208,31.076,55.534,29.42,84,39
47682,-0.258,-0.901,0.191,22.191,71.534,30.344,84,38
47727,-0.357,-0.936,0.246,19.428,63.611,20.878,85,39
47771,-0.403,-0.927,0.323,11.716,27.878,7.593,86,38
47816,-0.334,-0.924,0.291,2.578,0.665,-0.896,86,38
47860,-0.284,-0.929,0.277,1.339,-1.557,-6.914,87,38
47905,-0.28,-0.912,0.294,6.48,8.369,-6.328,87,37
47949,-0.291,-0.914,0.256,10.241,15.849,-8.893,88,35
47997,-0.325,-0.916,0.266,11.042,25.137,-6.763,89,35
48041,-0.344,-0.926,0.247,9.865,21.672,-4.004,91,34
48087,-0.305,-0.933,0.236,13.595,17.165,-1.013,92,33
48138,-0.279,-0.899,0.192,8.592,24.573,-1.85,0,33
48188,-0.305,-0.837,0.189,5.582,31.924,-3.028,0,32
48233,-0.401,-0.818,0.313,-3.893,27.097,4.356,97,32
48284,-0.436,-0.926,0.484,-12.484,29.542,-2.766,0,30
48335,-0.847,-1.176,1.077,-25.344,14.757,-16.885,0,37
48387,-0.802,-0.922,0.993,82.977,-57.557,11.531,0,38
48441,-0.526,-1.072,0.641,137.534,-87.099,71.542,0,37
48493,-0.47,-2.0,-0.176,162.542,-74.0,41.71,0,42
48544,-0.238,-0.237,0.24,113.893,-10.839,48.527,0,44
48601,-0.394,-0.594,0.112,21.153,-34.575,41.397,0,115
48653,-0.427,-0.36,0.321,24.579,-61.511,20.605,0,53
48708,-0.357,-0.226,0.241,-17.076,-120.145,-15.183,0,116
48762,-0.151,-0.351,0.082,-55.168,-95.382,-26.87,0,81
48817,-0.089,-0.49,0.101,-77.031,-35.702,-8.145,5,28
48869,-0.151,-0.756,0.228,-92.198,15.656,4.54,0,47
48926,-0.336,-1.029,0.577,-133.427,-3.655,-22.87,0,90
48983,-0.482,-1.193,0.837,-164.351,-104.489,-52.939,0,115
49039,-0.034,-0.76,0.852,-92.183,-188.618,6.038,0,120
49094,0.182,-1.18,0.564,-9.907,-162.206,59.748,0,102
49148,0.361,-1.314,0.366,22.038,-58.397,46.947,0,94
49247,0.101,-0.743,0.421,35.565,89.832,97.145,0,97
49301,-0.121,-0.777,0.499,15.162,54.359,84.687,0,96
49356,-0.138,-0.814,0.423,8.806,2.935,43.45,0,93
49411,-0.116,-1.068,0.284,-13.456,-22.716,-18.611,0,92
49468,-0.078,-0.902,0.196,-26.573,-10.649,-73.519,0,97
49523,0.041,-0.897,0.13,-20.702,17.717,-58.26,0,94
49579,-0.048,-1.063,0.131,-19.534,57.863,-47.885,0,108
49635,-0.119,-1.09,0.16,-27.985,70.618,-49.695,0,123
49690,-0.155,-1.025,0.211,-29.069,68.031,-45.321,0,93
49743,-0.215,-1.047,0.262,-24.481,44.221,-39.901,0,72
49797,-0.194,-1.032,0.238,-20.718,9.877,-43.214,0,68
49846,-0.122,-1.018,0.195,-15.939,18.06,-43.16,118,66
49897,-0.112,-1.015,0.17,-8.438,31.183,-34.038,114,65
49945,-0.129,-0.987,0.172,-3.666,42.504,-19.573,115,65
49993,-0.154,-0.98,0.179,0.465,43.916,-3.769,116,65
50041,-0.178,-0.981,0.2,3.702,31.969,15.458,118,65
50089,-0.181,-0.968,0.19,4.558,10.301,27.962,117,64
50138,-0.153,-0.98,0.167,4.483,-0.63,35.344,117,68
50187,-0.133,-0.99,0.138,2.519,-8.814,38.145,116,69
50235,-0.13,-0.997,0.136,1.553,-10.486,37.397,116,67
50288,-0.111,-0.975,0.146,-0.076,-8.757,35.855,0,68
50344,-0.145,-0.996,0.141,-5.807,-28.416,31.069,0,70
50399,-0.12,-0.991,0.141,-5.431,-30.672,23.962,0,73
50452,-0.11,-0.98,0.124,-10.508,-32.382,17.153,0,76
50508,-0.112,-0.987,0.134,-10.565,-32.695,9.097,0,120
50564,-0.114,-0.977,0.124,-12.068,-32.794,1.083,0,89
50620,-0.083,-0.977,0.108,-10.915,-24.398,-2.792,0,120
50676,-0.08,-0.97,0.104,-11.454,-7.728,-5.258,0,120
50735,-0.124,-0.977,0.161,-8.782,8.698,-4.483,0,165
50790,-0.08,-0.973,0.141,-11.428,7.47,-9.512,0,88
50842,0.007,-0.958,0.064,-15.002,47.885,-12.527,110,81
50893,-0.097,-0.76,0.142,-24.313,87.237,-23.458,0,37
50949,-0.192,-0.695,0.145,-4.637,94.656,-41.901,0,34
50994,-0.308,-0.792,0.119,12.589,64.618,-62.809,92,34
51040,-0.274,-0.638,0.074,31.557,12.927,-49.511,96,35
51085,-0.174,-0.619,-0.026,47.443,-12.523,1.346,87,37
51130,-0.264,-1.097,0.082,28.87,-58.679,32.176,88,43
51176,-0.114,-1.964,-0.251,29.191,-92.053,41.0,83,63
51223,0.313,-1.248,-0.354,45.107,7.786,60.542,78,77
51273,0.186,-0.784,-0.071,-32.634,78.695,140.267,77,80
51321,-0.268,-0.982,0.123,-84.748,74.374,114.038,84,78
51368,-0.406,-1.018,0.29,-86.664,-28.433,39.099,82,78
51414,-0.235,-0.907,0.131,-52.214,-126.061,11.986,51,79
51462,-0.168,-0.927,0.059,-44.359,-160.817,-21.702,86,80
51507,-0.004,-1.076,-0.031,-18.542,-146.611,-45.038,38,79
51551,0.142,-1.105,-0.007,-17.674,-80.733,-59.237,10,24
51599,0.259,-1.186,-0.115,27.328,18.045,-56.389,84,76
51649,0.202,-1.064,-0.161,57.053,140.672,-33.511,78,74
51694,0.028,-0.894,-0.187,68.947,224.74,-6.709,74,51
51739,-0.186,-0.822,-0.063,66.298,250.13,16.534,74,50
51828,-0.428,-1.132,0.279,75.206,81.137,-12.192,78,53
51874,-0.241,-1.206,0.049,90.038,20.702,-35.496,81,51
51926,-0.035,-1.209,-0.088,95.45,47.817,-44.183,84,49
51968,-0.113,-1.049,0.15,91.542,135.366,-21.176,36,47
52013,-0.765,-1.066,0.838,71.718,116.58,-30.076,92,45
52061,-0.623,-1.079,0.778,96.924,-14.822,-28.84,141,50
52110,-0.521,-0.565,0.384,130.878,-46.382,-0.403,142,27
52152,-0.624,-0.413,0.333,79.481,-54.015,-7.607,50,24
52198,-0.651,-0.523,0.216,64.282,-36.366,-15.779,142,24
52245,-0.432,-0.45,0.363,78.458,30.328,24.473,141,26
52291,-0.389,-0.645,0.368,99.748,43.099,104.931,138,29
52338,-0.269,-0.798,0.369,71.458,68.359,104.069,135,33
52385,-0.349,-1.334,0.295,22.0,97.176,49.74,133,39
52432,-0.316,-1.18,0.652,-31.023,73.137,4.347,130,43
52483,-0.364,-0.805,1.554,33.405,-43.26,40.145,128,45
52534,0.032,-0.834,0.804,38.832,-0.52,7.857,0,46
52581,0.213,-0.689,1.009,12.326,65.863,-4.677,125,47
52629,-0.153,-0.595,0.351,47.198,143.969,-13.398,144,47
52680,-0.882,0.121,0.823,31.557,61.115,-43.595,0,44
52731,-1.273,-0.433,0.579,31.855,61.931,-22.09,0,46
52783,-1.25,-0.129,1.3,33.794,-30.122,-28.992,0,45
52832,-0.644,-0.367,0.65,22.255,-198.985,-61.382,158,45
52884,-0.207,-0.291,0.431,6.478,-174.397,-50.618,0,45
52928,-0.121,-0.552,0.777,-6.671,-99.702,-34.26,33,46
52970,-0.083,-0.559,0.71,8.922,-56.916,-56.435,34,47
53012,-0.183,-0.507,0.87,7.502,-32.924,-69.786,33,49
53055,-0.265,-0.465,1.02,9.854,-32.985,-81.542,34,50
53097,-0.371,-0.595,0.951,23.489,-86.527,-90.656,34,51
53139,-0.285,-0.573,0.843,67.076,-142.504,-106.71,35,53
53181,0.092,-0.418,0.642,51.611,-163.206,-113.137,32,54
53224,0.637,0.047,0.702,-14.573,-91.031,-122.359,31,58
53274,0.876,-0.271,0.688,-65.58,31.939,-87.321,34,141
53322,0.549,-0.871,0.712,-43.015,91.763,-74.809,30,160
53368,0.358,-0.538,0.785,-9.764,102.374,-78.71,27,129
53413,0.117,-0.244,0.898,-4.597,77.008,-10.606,26,105
53458,0.042,-0.422,1.064,7.513,-39.679,66.397,23,107
53505,0.276,-0.363,0.845,39.58,-128.886,71.603,19,133
53550,0.594,-0.235,0.548,30.099,-117.099,83.702,16,114
