Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40027,-0.348,-0.921,0.319,-10.779,29.13,-52.626,192,87
40081,-0.301,-0.913,0.272,-12.601,28.947,-49.863,0,86
40128,-0.279,-0.965,0.266,-14.008,29.649,-55.412,76,90
40175,-0.225,-0.968,0.236,-11.762,27.687,-55.618,77,94
40221,-0.19,-0.984,0.227,-9.315,25.794,-57.817,59,98
40268,-0.165,-1.02,0.217,-11.061,18.562,-59.076,83,103
40317,-0.132,-1.029,0.209,-5.225,21.341,-54.916,95,100
40369,-0.103,-0.998,0.193,-0.414,20.284,-41.13,97,97
40417,-0.082,-0.982,0.154,2.518,28.824,-24.779,98,96
40465,-0.111,-0.965,0.162,1.825,34.802,-8.852,98,94
40513,-0.138,-0.98,0.192,0.091,29.679,-5.789,100,101
40565,-0.141,-0.981,0.211,-0.258,20.735,1.597,100,155
40617,-0.114,-0.969,0.197,-0.436,5.192,3.358,101,153
40675,-0.105,-0.977,0.205,-1.412,6.946,9.652,0,154
40729,-0.089,-1.005,0.184,-0.126,2.295,8.927,0,100
40781,-0.113,-0.967,0.218,-1.312,-0.892,11.447,100,153
40836,-0.09,-0.985,0.183,-0.757,-9.64,10.272,101,154
40885,-0.098,-0.993,0.196,-3.341,-10.981,7.897,92,103
40933,-0.083,-1.023,0.189,-2.878,-11.899,2.369,100,102
40982,-0.079,-0.991,0.191,-0.718,-9.329,2.02,97,103
41031,-0.051,-0.967,0.157,5.091,-1.713,8.199,98,100
41079,-0.069,-0.96,0.177,4.343,11.043,8.941,98,100
41134,-0.113,-1.017,0.182,0.416,7.819,0.175,0,101
41189,-0.132,-0.978,0.208,-3.446,-1.571,-6.076,0,103
41247,-0.113,-0.971,0.198,-3.354,-12.19,-4.252,0,172
41300,-0.086,-0.984,0.167,-2.086,-6.232,-4.658,66,159
41351,-0.092,-0.989,0.177,-0.778,6.11,-4.813,63,156
41407,-0.115,-0.995,0.192,-0.452,6.693,-2.997,0,137
41465,-0.114,-0.972,0.209,1.733,3.739,4.525,0,155
41516,-0.106,-0.981,0.197,2.058,1.077,4.942,99,134
41567,-0.09,-0.979,0.186,2.814,4.706,1.916,101,134
41616,-0.105,-0.979,0.173,1.633,7.127,-2.439,101,99
41670,-0.115,-0.985,0.177,2.457,10.154,-2.712,0,98
41728,-0.122,-0.985,0.183,1.245,7.819,-3.523,0,154
41788,-0.112,-0.984,0.179,1.244,8.267,-2.62,0,153
41844,-0.126,-0.98,0.186,0.502,10.201,-2.634,0,122
41901,-0.126,-0.989,0.191,-0.305,4.21,-6.686,0,121
41956,-0.131,-0.973,0.18,-1.469,2.603,-9.598,0,122
42015,-0.127,-0.976,0.181,-1.63,1.034,-8.871,0,170
42071,-0.134,-0.975,0.182,-1.622,0.562,-6.48,0,124
42122,-0.129,-0.984,0.182,-0.726,-1.305,-3.464,105,119
42177,-0.115,-0.982,0.164,0.468,0.683,-1.637,0,118
42233,-0.126,-0.987,0.171,0.658,2.009,1.363,0,122
42292,-0.125,-0.991,0.174,1.131,1.987,2.812,0,122
42350,-0.123,-0.974,0.183,1.657,1.903,4.226,0,153
42407,-0.109,-0.972,0.17,2.608,3.148,4.582,0,149
42465,-0.129,-0.982,0.198,1.859,2.458,2.976,0,152
42523,-0.12,-0.978,0.172,2.148,0.802,1.246,0,163
42577,-0.136,-0.976,0.188,1.005,2.864,1.213,0,93
42625,-0.136,-0.977,0.187,0.102,-5.047,0.829,63,91
42713,-0.145,-0.983,0.188,-0.713,-0.579,-1.852,61,91
42760,-0.152,-0.978,0.195,-1.441,-8.787,-5.145,62,91
42811,-0.125,-0.982,0.183,-0.906,-7.29,-5.028,65,121
42859,-0.133,-0.983,0.172,-1.689,-4.59,-4.91,64,121
42908,-0.161,-0.981,0.198,-2.09,-10.653,-5.027,64,148
42959,-0.115,-0.983,0.165,-1.021,-10.45,-0.39,64,158
43005,-0.117,-0.975,0.194,-0.391,-3.405,2.186,66,81
43052,-0.146,-0.986,0.21,0.362,-4.242,3.881,64,81
43104,-0.149,-0.978,0.208,0.161,-10.673,3.507,0,71
43150,-0.149,-0.982,0.211,-1.023,-23.733,2.907,63,70
43203,-0.116,-0.988,0.167,0.473,-25.267,3.482,0,80
43260,-0.101,-0.981,0.16,2.006,-18.303,4.598,0,82
43314,-0.097,-0.981,0.161,4.402,-0.584,6.305,0,82
43367,-0.141,-0.964,0.183,4.19,-0.015,5.014,0,71
43413,-0.155,-1.0,0.176,0.54,-3.193,1.89,67,71
43458,-0.059,-0.902,0.117,-5.754,27.389,0.193,66,72
43511,-0.17,-0.67,0.218,-8.654,59.573,2.925,0,72
43567,-0.099,-0.32,0.016,6.382,84.374,39.641,0,106
43613,-0.255,-0.803,0.081,-37.71,75.962,34.58,51,100
43659,-0.258,-1.086,-0.095,-16.74,47.527,-6.309,23,111
43711,-0.169,-1.038,-0.025,-5.324,11.205,-20.573,52,150
43759,-0.075,-1.262,-0.227,17.472,17.386,-28.344,62,114
43804,-0.062,-1.257,-0.166,-0.826,47.901,-22.832,20,110
43849,-0.048,-1.156,-0.094,-21.626,57.16,9.119,20,107
43896,-0.191,-1.304,0.126,-30.267,55.672,17.13,28,135
43943,-0.232,-1.143,0.242,-14.485,13.56,2.921,30,134
43991,-0.165,-1.047,0.194,-4.866,-11.056,-8.551,30,131
44038,-0.212,-1.179,0.254,-27.252,-10.915,-38.321,30,130
44088,-0.177,-1.253,0.124,-15.229,27.046,-72.641,34,127
44135,-0.227,-1.087,0.168,-3.082,59.519,-66.168,36,125
44182,-0.329,-1.067,0.136,12.193,46.099,-55.916,38,123
44229,-0.273,-1.026,0.08,8.3,13.084,-40.504,38,122
44276,-0.241,-1.005,0.057,-2.894,-20.082,-32.511,41,122
44323,-0.139,-1.048,-0.026,0.319,-24.985,-16.053,43,121
44370,-0.078,-1.067,-0.054,7.75,-12.95,5.55,43,121
44418,-0.083,-0.913,-0.058,7.504,5.004,22.031,43,120
44465,-0.176,-0.886,0.082,-1.065,-5.431,28.611,44,119
44517,-0.086,-1.087,-0.113,16.353,-18.271,24.511,43,138
44564,-0.089,-0.976,-0.09,22.557,5.235,16.87,43,120
44612,-0.129,-0.995,-0.104,11.805,8.614,15.565,44,140
44660,-0.136,-0.976,-0.066,4.327,9.63,11.255,43,140
44708,-0.16,-0.958,-0.038,2.499,-2.613,13.008,41,136
44756,-0.16,-0.931,-0.021,0.601,-11.314,11.857,41,140
44803,-0.152,-0.961,-0.029,-6.103,-23.565,8.236,42,92
44848,-0.16,-0.977,-0.012,-7.008,-26.779,2.891,42,92
44897,-0.18,-0.998,0.006,-7.359,-34.321,-2.419,40,141
44948,-0.235,-0.974,0.045,-12.528,-55.046,-6.976,39,145
44996,-0.143,-1.035,-0.027,-10.48,-79.099,-1.754,39,126
45044,-0.064,-0.968,-0.061,-3.789,-52.153,3.125,39,143
45089,-0.137,-0.978,0.009,-8.095,-30.107,10.134,38,94
45178,-0.204,-1.019,0.065,-4.568,-50.58,6.813,37,95
45222,-0.14,-1.033,0.033,-7.232,-68.733,4.296,11,21
45266,-0.068,-1.002,-0.036,4.699,-48.71,7.627,40,70
45312,-0.107,-0.967,0.017,3.604,-25.305,11.295,39,69
45359,-0.186,-0.998,0.077,1.878,-30.321,4.258,39,67
45403,-0.124,-1.03,0.021,11.908,-32.26,2.819,43,66
45447,-0.115,-0.991,0.022,12.384,-14.723,3.313,44,67
45500,-0.164,-1.002,0.056,7.697,-23.128,3.409,0,66
45554,-0.17,-1.01,0.073,9.837,-24.828,2.519,0,67
45607,-0.16,-0.995,0.076,9.481,-24.618,1.121,0,65
45661,-0.179,-0.996,0.097,8.492,-25.313,-0.128,0,66
45714,-0.188,-0.98,0.105,4.352,-32.588,0.819,0,67
45767,-0.129,-0.977,0.068,6.817,-24.191,3.186,0,69
45825,-0.152,-0.963,0.109,4.647,-12.492,4.613,0,67
45878,-0.174,-0.974,0.154,3.932,-10.139,2.8,0,68
45930,-0.165,-0.967,0.148,2.412,-17.485,1.551,0,56
45983,-0.176,-0.973,0.186,-0.061,-23.05,1.421,0,57
46036,-0.169,-0.969,0.182,1.197,-24.779,1.264,0,56
46089,-0.129,-0.957,0.154,2.858,-27.838,1.024,0,56
46142,-0.116,-0.957,0.151,3.857,-8.421,2.086,0,58
46196,-0.131,-0.973,0.167,2.803,-3.883,-0.747,0,78
46251,-0.135,-0.978,0.183,2.832,1.026,-3.542,0,77
46307,-0.152,-0.966,0.205,0.892,1.251,-6.397,0,69
46361,-0.156,-0.971,0.215,0.623,-1.287,-6.867,0,69
46414,-0.162,-0.97,0.23,0.41,-5.021,-9.154,0,70
46474,-0.162,-0.969,0.225,2.008,-6.902,-9.191,0,66
46525,-0.161,-0.969,0.22,2.763,-8.61,-8.546,0,60
