Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
31793,-0.754,0.001,0.624,-5.147,2.925,-6.65,0,137
31849,-0.75,-0.019,0.606,-7.061,1.99,-9.587,0,136
31905,-0.751,-0.007,0.614,-5.987,3.797,-8.234,0,136
31962,-0.752,0.0,0.619,-5.549,2.729,-7.281,0,137
32018,-0.729,0.001,0.629,-5.235,3.826,-7.011,0,136
32075,-0.753,0.005,0.636,-4.667,4.172,-5.897,0,137
32132,-0.751,-0.011,0.597,-7.457,1.952,-9.923,0,147
32191,-0.755,0.003,0.632,-4.765,2.997,-6.226,0,136
32248,-0.753,-0.007,0.596,-6.704,2.909,-8.694,0,137
32305,-0.757,-0.009,0.619,-6.243,2.917,-8.075,0,137
32361,-0.755,-0.0,0.625,-5.682,2.386,-7.319,0,137
32417,-0.754,-0.011,0.616,-6.386,2.459,-8.48,0,136
32474,-0.761,-0.001,0.612,-6.01,2.688,-8.212,0,137
32531,-0.753,-0.006,0.627,-5.772,2.759,-7.722,0,137
32587,-0.749,-0.003,0.612,-6.01,2.094,-7.918,0,137
32644,-0.756,-0.011,0.616,-6.424,2.48,-8.703,0,136
32703,-0.75,0.0,0.622,-5.634,3.21,-7.62,0,136
32760,-0.759,-0.013,0.601,-7.218,1.997,-9.517,0,147
32817,-0.756,-0.009,0.593,-7.973,-1.014,-10.303,0,136
32874,-0.825,-0.006,0.639,-6.642,-9.655,-8.545,0,148
32931,-0.884,0.028,0.686,-7.408,-47.557,3.251,0,148
32989,-0.616,0.04,0.633,-14.975,-66.71,2.696,0,154
33047,-0.225,-0.062,0.612,-10.84,-8.676,-32.382,0,150
33104,-0.962,-0.039,0.868,-9.588,77.443,-13.738,0,146
33162,-0.848,-0.017,0.653,1.879,-6.407,10.473,0,147
33221,-0.639,0.034,0.661,-8.641,-30.733,-13.73,0,149
33278,-0.596,-0.042,0.732,-6.324,-5.888,-10.156,0,146
33336,-0.573,-0.022,0.659,-5.934,41.008,-5.808,0,147
33393,-0.769,-0.002,0.657,-6.321,46.603,-9.501,0,148
33451,-0.826,-0.007,0.636,-5.387,23.654,-8.835,0,136
33507,-0.794,-0.002,0.632,-6.082,-4.802,-7.249,0,138
33564,-0.702,-0.014,0.63,-6.136,-7.087,-8.645,0,147
33622,-0.694,-0.019,0.632,-6.873,10.53,-9.12,0,145
33679,-0.747,-0.017,0.629,-6.889,18.692,-9.484,0,137
33738,-0.793,-0.011,0.623,-5.801,12.637,-7.919,0,138
33795,-0.773,-0.005,0.614,-5.067,1.582,-6.774,0,136
33852,-0.748,-0.013,0.615,-6.602,-0.663,-8.707,0,137
33908,-0.743,-0.014,0.608,-6.545,4.818,-8.659,0,138
33966,-0.767,-0.004,0.63,-4.525,4.021,-5.819,0,137
34022,-0.753,-0.006,0.62,-5.689,1.012,-7.18,0,137
34079,-0.752,-0.008,0.613,-5.645,3.17,-7.412,0,137
34136,-0.762,-0.009,0.619,-5.592,4.293,-7.285,0,137
34193,-0.758,-0.019,0.602,-7.171,0.843,-9.625,0,137
34252,-0.75,-0.007,0.614,-5.953,2.274,-7.933,0,137
34310,-0.757,-0.014,0.607,-6.057,3.739,-8.036,0,137
34366,-0.757,-0.009,0.619,-5.703,2.25,-7.263,0,137
34423,-0.756,-0.011,0.617,-5.456,1.717,-7.21,0,138
34481,-0.748,-0.01,0.616,-5.79,1.899,-7.58,0,137
34537,-0.75,-0.016,0.601,-7.694,2.637,-10.007,0,137
