Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26851,-0.543,-0.02,0.811,0.246,-0.118,0.328,1,135
26906,-0.554,-0.03,0.805,-0.007,1.758,0.219,0,133
26962,-0.567,-0.021,0.817,0.181,0.177,0.187,0,132
27019,-0.552,-0.024,0.812,0.306,-1.409,0.021,0,134
27075,-0.548,-0.037,0.812,-0.212,0.532,-0.089,0,134
27131,-0.561,-0.022,0.815,0.07,2.47,0.489,0,135
27188,-0.561,-0.04,0.804,-0.054,-1.073,0.089,0,133
27247,-0.541,-0.044,0.811,-0.165,-1.43,0.078,0,134
27303,-0.551,-0.041,0.801,-0.291,0.388,0.049,0,135
27360,-0.561,-0.039,0.8,-0.042,0.551,0.113,0,132
27416,-0.562,-0.029,0.804,0.121,-0.732,0.341,0,132
27472,-0.551,-0.011,0.812,0.043,0.218,0.442,1,134
27529,-0.548,-0.03,0.807,-0.14,0.185,0.286,0,133
27585,-0.556,-0.035,0.808,-0.172,0.303,0.182,0,132
27641,-0.551,-0.034,0.804,0.062,-0.482,0.423,0,134
27698,-0.557,-0.048,0.803,-0.26,-0.063,-0.151,0,134
27754,-0.558,-0.047,0.806,-0.349,-0.02,-0.039,0,132
27813,-0.549,-0.022,0.798,-0.027,-0.009,0.12,0,134
27870,-0.546,-0.033,0.807,0.037,-1.116,0.225,0,133
27926,-0.544,-0.018,0.8,0.093,0.861,0.051,0,135
27982,-0.559,-0.048,0.814,-0.186,-0.266,-0.051,0,135
28040,-0.557,-0.026,0.806,0.028,-0.351,0.035,0,135
28096,-0.546,-0.029,0.812,-0.022,0.489,-0.011,0,134
28152,-0.552,-0.045,0.82,-0.083,1.332,-0.113,0,133
28209,-0.565,-0.013,0.799,0.147,0.02,0.16,0,132
28265,-0.557,-0.034,0.797,0.132,-0.637,0.064,0,134
28324,-0.549,-0.039,0.812,-0.06,0.35,0.023,0,135
28381,-0.564,-0.038,0.8,0.042,-0.004,-0.073,0,133
28437,-0.551,-0.055,0.799,-0.017,-0.964,-0.324,0,134
28493,-0.556,-0.059,0.801,-0.199,-0.969,-0.033,0,133
28550,-0.557,-0.034,0.808,0.033,0.45,-0.073,0,132
28607,-0.558,-0.044,0.811,0.049,-1.185,-0.097,0,134
28663,-0.553,-0.024,0.81,0.055,-0.135,0.119,0,135
28720,-0.549,-0.029,0.816,-0.028,0.589,0.008,0,133
28776,-0.561,-0.025,0.803,-0.105,0.996,-0.016,0,132
28835,-0.555,-0.029,0.815,0.09,-1.455,0.142,0,133
28893,-0.546,-0.03,0.802,0.098,0.503,0.256,0,132
28949,-0.56,-0.032,0.797,-0.219,1.69,0.011,0,134
29005,-0.562,-0.031,0.809,0.21,-0.896,0.337,0,133
29062,-0.545,-0.03,0.805,0.097,-0.884,0.018,0,132
29118,-0.555,-0.035,0.8,-0.039,1.354,0.245,0,132
29175,-0.561,-0.05,0.802,-0.25,-0.432,0.033,0,132
29232,-0.549,-0.034,0.809,0.156,-1.01,0.177,0,133
29288,-0.549,-0.04,0.798,0.072,0.419,0.205,0,132
29347,-0.56,-0.024,0.813,-0.043,0.698,0.39,0,133
29405,-0.551,-0.021,0.809,0.278,-0.23,0.469,0,133
29461,-0.554,-0.035,0.816,-0.257,-0.137,0.138,0,132
29517,-0.552,-0.017,0.809,0.199,-0.308,0.51,0,132
29574,-0.552,-0.038,0.812,-0.037,0.644,0.12,0,133
29631,-0.569,-0.025,0.81,-0.113,0.501,0.228,0,133
29730,-0.549,-0.041,0.806,-0.102,-0.719,0.225,0,132
29787,-0.555,-0.009,0.808,0.047,1.614,0.604,1,133
29843,-0.564,-0.034,0.808,-0.125,-0.119,0.053,0,132
29903,-0.549,-0.032,0.807,0.03,-0.997,0.054,0,135
29960,-0.548,-0.038,0.802,-0.131,-0.087,0.079,0,135
30017,-0.559,-0.032,0.808,0.004,0.293,0.269,0,132
30073,-0.561,-0.024,0.804,0.015,-0.173,0.388,0,132
30130,-0.553,-0.031,0.813,-0.012,-0.321,0.15,0,132
30187,-0.556,-0.026,0.802,-0.028,1.084,-0.044,0,132
30243,-0.55,-0.019,0.812,0.188,-0.116,0.186,0,132
30300,-0.547,-0.021,0.8,0.123,0.524,0.117,0,135
30357,-0.552,-0.04,0.818,-0.127,0.58,0.017,0,132
30416,-0.555,-0.056,0.811,-0.173,-0.249,-0.169,0,133
30474,-0.554,-0.027,0.803,-0.069,-0.448,-0.11,0,134
30530,-0.561,-0.017,0.806,0.324,0.973,0.14,0,133
30587,-0.559,-0.037,0.804,0.043,0.011,0.05,0,134
30644,-0.55,-0.051,0.805,-0.104,-1.44,-0.23,0,133
30700,-0.554,-0.029,0.809,0.08,0.45,-0.027,0,132
30757,-0.552,-0.034,0.802,0.026,0.368,0.224,0,133
30814,-0.557,-0.044,0.807,0.019,-0.443,-0.088,0,134
30871,-0.554,-0.03,0.807,0.04,-0.048,0.196,0,133
