Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34248,-0.414,-0.013,0.897,-0.612,1.662,-0.254,0,132
34305,-0.426,-0.031,0.899,-1.026,0.446,-0.378,0,131
34361,-0.437,-0.046,0.899,-1.648,0.056,-0.668,0,132
34417,-0.393,0.011,0.887,-0.011,1.361,-0.139,0,132
34472,-0.426,-0.026,0.887,-0.98,0.168,-0.271,0,131
34529,-0.402,-0.009,0.897,-0.519,0.236,-0.115,0,131
34585,-0.425,-0.02,0.892,-0.907,-0.153,-0.131,0,133
34644,-0.417,-0.032,0.892,-0.881,0.052,-0.367,0,132
34701,-0.445,-0.056,0.891,-1.329,0.004,-0.585,5,40
34757,-0.434,-0.034,0.886,-1.114,-0.357,-0.533,0,133
34813,-0.425,-0.023,0.9,-0.631,-0.141,-0.224,0,133
34870,-0.41,-0.028,0.902,-0.822,-0.268,-0.238,0,133
34926,-0.418,-0.023,0.895,-0.866,0.662,-0.288,0,133
34982,-0.429,-0.028,0.893,-0.733,-0.361,-0.353,0,131
35039,-0.436,-0.052,0.901,-1.216,-0.704,-0.637,0,131
35095,-0.4,0.007,0.89,-0.208,0.516,-0.102,0,132
35154,-0.41,-0.019,0.896,-0.392,0.349,-0.174,0,132
35211,-0.428,-0.03,0.883,-0.582,-0.088,-0.448,0,132
35267,-0.415,-0.006,0.899,-0.459,0.351,-0.161,0,132
35323,-0.426,-0.032,0.886,-0.771,-0.271,-0.496,0,133
35380,-0.417,-0.018,0.895,-0.507,0.45,-0.505,0,133
35444,-0.41,0.005,0.889,-0.331,0.265,-0.146,0,133
35501,-0.405,-0.003,0.894,-0.105,-0.105,0.073,0,133
35556,-0.414,-0.006,0.894,-0.458,-0.418,-0.173,0,133
35612,-0.42,-0.023,0.887,-0.675,0.016,-0.391,0,131
35672,-0.446,-0.042,0.89,-1.047,-0.748,-0.645,0,132
35728,-0.424,-0.021,0.885,-0.564,-0.505,-0.345,0,133
35784,-0.415,-0.016,0.895,-0.387,-0.272,-0.232,0,133
35841,-0.43,-0.034,0.894,-0.822,-0.483,-0.439,0,133
35897,-0.404,0.005,0.891,-0.276,-0.209,0.04,0,133
35953,-0.429,-0.032,0.883,-0.623,-0.167,-0.432,0,132
36009,-0.414,0.001,0.896,-0.423,-0.133,-0.185,0,132
36066,-0.408,-0.008,0.885,-0.389,-0.418,-0.098,0,132
36122,-0.439,-0.037,0.883,-1.009,-0.158,-0.347,0,132
36180,-0.427,-0.02,0.888,-0.723,-0.248,-0.365,0,132
36237,-0.435,-0.029,0.888,-0.793,-0.955,-0.428,0,132
36293,-0.427,-0.029,0.897,-0.873,-0.252,-0.222,0,132
36349,-0.412,-0.011,0.885,-0.488,0.166,-0.014,0,132
36406,-0.427,-0.021,0.89,-0.843,-0.792,-0.242,0,132
