Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34248,-0.412,-0.011,0.897,-0.625,1.642,-0.246,0,132
34305,-0.366,0.036,0.899,0.075,1.773,0.286,0,131
34361,-0.454,-0.062,0.899,-1.639,0.069,-0.739,0,132
34417,-0.49,-0.101,0.887,-1.987,-0.152,-1.209,0,132
34472,-0.38,0.026,0.887,-0.141,0.734,0.182,0,131
34529,-0.54,-0.168,0.897,-3.07,-1.207,-1.507,0,131
34585,-0.476,-0.08,0.892,-1.806,-0.586,-0.611,0,133
34644,-0.325,0.075,0.892,0.782,0.856,0.552,0,132
34701,-0.341,0.071,0.891,0.76,0.997,0.538,0,132
34757,-0.405,0.002,0.886,-0.556,-0.077,-0.217,0,133
34813,-0.375,0.034,0.9,0.192,0.388,0.262,0,133
34870,-0.326,0.071,0.902,0.654,0.656,0.629,0,133
34926,-0.401,-0.003,0.895,-0.576,0.853,-0.119,0,133
34982,-0.428,-0.027,0.893,-0.692,-0.339,-0.336,0,131
35039,-0.385,0.01,0.901,-0.203,0.009,-0.016,0,131
35095,-0.408,-0.006,0.89,-0.479,0.377,-0.27,0,132
35154,-0.448,-0.064,0.896,-0.996,-0.019,-0.608,0,132
35211,-0.398,0.005,0.883,-0.109,0.188,-0.101,0,132
35267,-0.46,-0.061,0.899,-1.204,-0.101,-0.74,0,132
35323,-0.458,-0.068,0.886,-1.144,-0.526,-0.812,0,133
35380,-0.408,-0.007,0.895,-0.387,0.532,-0.411,0,133
35444,-0.53,-0.137,0.889,-2.252,-1.084,-1.572,0,133
35501,-0.376,0.027,0.894,0.142,0.111,0.296,0,133
35556,-0.355,0.061,0.894,0.371,0.166,0.433,0,133
35612,-0.268,0.157,0.887,1.695,1.858,1.3,0,131
35672,-0.524,-0.13,0.89,-2.044,-1.562,-1.418,0,132
35728,-0.373,0.038,0.885,0.181,0.058,0.213,0,133
35784,-0.466,-0.076,0.895,-1.186,-0.924,-0.789,0,133
35841,-0.408,-0.007,0.894,-0.418,-0.187,-0.165,0,133
35897,-0.382,0.027,0.891,-0.117,-0.056,0.193,0,133
35953,-0.436,-0.039,0.883,-0.662,-0.207,-0.472,0,132
36009,-0.41,0.002,0.896,-0.493,-0.153,-0.196,0,132
36066,-0.421,-0.026,0.885,-0.698,-0.588,-0.276,0,132
36122,-0.428,-0.021,0.883,-0.661,0.085,-0.165,0,132
36180,-0.48,-0.081,0.888,-1.518,-0.849,-0.861,0,132
36237,-0.366,0.054,0.888,0.413,-0.218,0.242,0,132
36293,-0.442,-0.044,0.897,-1.037,-0.385,-0.339,0,132
36349,-0.508,-0.128,0.885,-2.262,-1.119,-0.972,0,132
36406,-0.462,-0.063,0.89,-1.469,-1.182,-0.568,0,132
36462,-0.312,0.107,0.889,1.243,0.877,0.77,0,132
36518,-0.518,-0.123,0.888,-2.268,-1.448,-1.086,0,134
36575,-0.398,0.011,0.883,-0.182,0.226,0.024,0,133
36632,-0.362,0.056,0.882,0.427,0.225,0.313,0,132
36690,-0.458,-0.062,0.891,-1.119,-0.699,-0.545,0,132
36748,-0.455,-0.066,0.886,-1.286,-1.506,-0.507,0,133
36804,-0.429,-0.028,0.886,-0.667,0.265,-0.272,0,132
36860,-0.43,-0.017,0.885,-0.678,-0.2,-0.218,0,132
36917,-0.48,-0.092,0.885,-1.59,-1.418,-0.993,0,133
36973,-0.447,-0.055,0.891,-0.969,-1.048,-0.434,0,133
37029,-0.48,-0.086,0.891,-1.594,-0.434,-0.71,0,134
37129,-0.353,0.054,0.889,0.513,-0.077,0.476,0,133
37185,-0.406,0.004,0.888,-0.386,0.215,0.082,0,132
37244,-0.436,-0.03,0.879,-1.099,0.296,-0.964,0,132
37301,-0.449,-0.042,0.897,-1.661,0.388,-1.8,0,132
37357,-0.392,0.005,0.881,0.001,-0.517,0.31,0,132
37413,-0.424,-0.017,0.886,-0.41,1.05,0.162,0,132
37471,-0.367,0.046,0.891,0.373,6.548,1.72,0,132
37527,-0.456,-0.009,0.911,-0.665,-1.425,0.37,0,131
37583,-0.62,-0.096,0.891,-1.898,-34.916,12.013,0,131
37640,0.008,0.287,0.84,-3.541,-46.351,5.367,0,132
37696,-0.435,-0.095,1.055,-30.031,75.847,-56.611,0,133
37757,-0.566,0.052,0.893,9.192,-106.519,30.061,0,161
37816,0.49,0.035,0.57,-3.65,-24.015,-18.553,0,159
37872,-0.356,-0.094,1.057,5.924,82.695,4.406,0,132
37928,-0.482,-0.091,0.831,6.348,72.084,4.682,0,134
37985,-0.618,-0.104,0.926,2.874,27.168,7.663,0,130
38042,-0.482,0.001,0.902,-0.167,26.565,2.618,0,131
38098,-0.482,0.003,0.816,-0.64,18.765,-2.048,0,130
38155,-0.526,-0.023,0.892,-1.775,-3.779,-0.855,0,131
38211,-0.441,-0.008,0.855,-1.454,0.851,-0.635,0,131
38270,-0.438,0.024,0.853,-0.285,7.364,0.045,0,132
38327,-0.577,-0.086,0.858,-2.098,0.359,-0.985,0,131
38384,-0.39,0.096,0.84,1.071,3.867,0.743,0,131
38440,-0.475,-0.002,0.856,-0.348,-1.778,-0.412,0,130
38497,-0.561,-0.098,0.853,-2.092,-2.21,-1.084,0,130
38553,-0.487,-0.013,0.847,-0.732,1.676,0.106,0,130
38609,-0.672,-0.194,0.85,-3.149,-2.957,-1.665,5,39
38667,-0.486,-0.016,0.844,-0.529,-0.761,-0.214,0,131
38726,-0.474,0.001,0.854,-0.318,-0.227,0.112,0,131
38782,-0.479,-0.002,0.847,-0.526,0.112,-0.08,0,131
38839,-0.573,-0.11,0.852,-2.055,-1.572,-0.772,0,130
38896,-0.59,-0.113,0.849,-2.076,-1.003,-0.975,0,131
38952,-0.475,-0.001,0.851,-0.605,-0.554,0.058,0,131
39009,-0.397,0.074,0.858,0.657,0.97,0.471,0,130
39066,-0.506,-0.035,0.847,-0.832,-0.013,-0.295,0,130
39122,-0.341,0.137,0.854,1.457,1.156,0.996,0,131
39179,-0.516,-0.051,0.856,-0.957,-1.279,-0.377,0,130
39238,-0.463,0.002,0.853,-0.339,0.49,0.021,0,131
39296,-0.477,0.006,0.858,-0.24,-0.28,0.007,0,130
39352,-0.451,0.015,0.848,-0.064,-0.135,-0.021,0,131
39408,-0.565,-0.094,0.849,-1.943,-1.211,-0.915,0,131
39465,-0.537,-0.076,0.847,-2.199,-5.233,-1.511,0,130
39522,-0.396,0.06,0.886,5.757,6.374,12.983,0,131
39579,-0.395,0.314,1.199,18.497,43.328,24.923,0,131
39635,-1.005,0.074,1.621,42.244,13.343,61.282,0,133
