Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26851,-0.543,0.007,0.811,0.435,0.213,0.527,1,135
26906,-0.554,-0.077,0.805,-0.392,0.388,-0.191,0,133
26962,-0.567,-0.099,0.817,-0.519,-2.062,-0.51,0,132
27019,-0.552,-0.065,0.812,-0.063,-2.828,-0.375,0,134
27075,-0.548,-0.024,0.812,-0.101,0.86,0.028,0,134
27131,-0.561,-0.085,0.815,-0.499,0.365,-0.171,0,135
27188,-0.561,-0.106,0.804,-0.609,-2.528,-0.544,0,133
27247,-0.541,-0.085,0.811,-0.468,-2.157,-0.281,0,134
27303,-0.551,-0.013,0.801,-0.068,1.116,0.352,1,135
27360,-0.561,-0.016,0.8,0.152,1.003,0.336,1,132
27416,-0.562,-0.028,0.804,0.109,-0.8,0.322,0,132
27472,-0.551,0.033,0.812,0.371,0.64,0.784,2,134
27529,-0.548,-0.13,0.807,-1.035,-1.268,-0.786,0,133
27585,-0.556,0.042,0.808,0.526,1.198,0.932,3,132
27641,-0.551,-0.016,0.804,0.22,-0.289,0.591,1,134
27698,-0.557,-0.035,0.803,-0.105,0.168,0.002,0,134
27754,-0.558,-0.103,0.806,-0.805,-0.776,-0.517,0,132
27813,-0.549,-0.04,0.798,-0.196,-0.382,-0.03,0,134
27870,-0.546,0.028,0.807,0.531,-0.284,0.685,2,133
27926,-0.544,-0.019,0.8,0.072,0.721,0.032,0,135
27982,-0.559,-0.065,0.814,-0.31,-0.459,-0.176,0,135
28040,-0.557,-0.041,0.806,-0.087,-0.637,-0.078,0,135
28096,-0.546,-0.078,0.812,-0.396,-0.364,-0.37,0,134
28152,-0.552,-0.073,0.82,-0.295,0.851,-0.32,0,133
28209,-0.565,-0.085,0.799,-0.403,-1.482,-0.402,0,132
28265,-0.557,-0.032,0.797,0.144,-0.62,0.076,0,134
28324,-0.549,-0.141,0.812,-0.826,-1.034,-0.748,0,135
28381,-0.564,0.05,0.8,0.719,1.262,0.668,3,133
28437,-0.551,0.018,0.799,0.532,0.156,0.336,2,134
28493,-0.556,-0.025,0.801,0.083,-0.247,0.289,0,133
28550,-0.557,-0.027,0.808,0.083,0.549,-0.018,0,132
28607,-0.558,-0.042,0.811,0.066,-1.088,-0.074,0,134
28663,-0.553,-0.143,0.81,-0.874,-2.246,-0.774,5,40
28720,-0.549,0.003,0.816,0.217,1.265,0.239,1,133
28776,-0.561,-0.007,0.803,0.026,1.232,0.117,1,132
28835,-0.555,0.003,0.815,0.337,-0.933,0.376,1,133
28893,-0.546,-0.045,0.802,-0.058,-0.085,0.104,0,132
28949,-0.56,0.01,0.797,0.114,2.667,0.347,2,134
29005,-0.562,0.023,0.809,0.652,0.225,0.792,2,133
29062,-0.545,-0.041,0.805,-0.014,-1.225,-0.09,0,132
29118,-0.555,-0.063,0.8,-0.285,0.584,-0.023,0,132
29175,-0.561,-0.071,0.802,-0.41,-0.715,-0.134,0,132
29232,-0.549,-0.078,0.809,-0.239,-1.931,-0.283,0,133
29288,-0.549,-0.011,0.798,0.324,0.906,0.502,1,132
29347,-0.56,-0.009,0.813,0.066,0.847,0.506,1,133
29405,-0.551,-0.041,0.809,0.077,-0.616,0.192,0,133
29461,-0.554,-0.057,0.816,-0.443,-0.44,-0.084,0,132
29517,-0.552,-0.06,0.809,-0.211,-1.001,0.047,0,132
29574,-0.552,-0.124,0.812,-0.789,-0.596,-0.719,0,133
29631,-0.569,-0.016,0.81,-0.055,0.544,0.284,1,133
29730,-0.549,-0.062,0.806,-0.287,-1.035,0.031,0,132
29787,-0.555,-0.01,0.808,-0.007,1.35,0.542,1,133
29843,-0.564,-0.081,0.808,-0.517,-0.928,-0.392,0,132
29903,-0.549,-0.009,0.807,0.201,-0.69,0.251,1,135
29960,-0.548,-0.018,0.802,0.025,0.224,0.273,0,135
30017,-0.559,-0.01,0.808,0.156,0.581,0.458,1,132
30073,-0.561,-0.067,0.804,-0.325,-0.84,-0.058,0,132
30130,-0.553,0.035,0.813,0.485,0.618,0.745,2,132
30187,-0.556,-0.048,0.802,-0.206,0.679,-0.246,0,132
30243,-0.55,0.053,0.812,0.725,0.895,0.732,3,132
30300,-0.547,-0.026,0.8,0.077,0.334,0.069,0,135
30357,-0.552,0.043,0.818,0.49,1.743,0.643,2,132
30416,-0.555,-0.116,0.811,-0.614,-0.935,-0.59,0,133
30474,-0.554,0.049,0.803,0.517,0.567,0.443,3,134
30530,-0.561,-0.02,0.806,0.291,0.79,0.108,0,133
30587,-0.559,-0.073,0.804,-0.238,-0.609,-0.228,0,134
30644,-0.55,-0.013,0.805,0.184,-0.755,0.079,1,133
