Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34248,-0.351,0.057,0.897,0.408,2.839,0.353,0,132
34305,-0.472,-0.081,0.899,-1.694,-0.336,-0.822,0,131
34361,-0.462,-0.071,0.899,-1.755,-0.049,-0.815,0,132
34417,-0.344,0.064,0.887,0.583,1.863,0.276,0,132
34472,-0.441,-0.042,0.887,-1.226,-0.003,-0.41,0,131
34529,-0.33,0.071,0.897,0.568,0.909,0.539,0,131
34585,-0.367,0.046,0.892,0.076,0.326,0.398,0,133
34644,-0.412,-0.025,0.892,-0.723,0.108,-0.298,0,132
34701,-0.322,0.093,0.891,1.031,1.156,0.71,0,132
34757,-0.355,0.058,0.886,0.205,0.354,0.257,0,133
34813,-0.474,-0.078,0.9,-1.399,-0.644,-0.688,0,133
34870,-0.447,-0.069,0.902,-1.355,-0.626,-0.578,0,133
34926,-0.375,0.026,0.895,-0.182,1.124,0.125,0,133
34982,-0.518,-0.127,0.893,-2.047,-1.312,-1.206,0,131
35039,-0.39,0.004,0.901,-0.293,-0.056,-0.074,0,131
35095,-0.469,-0.075,0.89,-1.324,-0.19,-0.9,0,132
35154,-0.529,-0.156,0.896,-2.129,-0.754,-1.455,0,132
35211,-0.464,-0.07,0.883,-1.03,-0.388,-0.802,0,132
35267,-0.375,0.037,0.899,-0.018,0.675,0.213,0,132
35323,-0.417,-0.02,0.886,-0.534,-0.167,-0.324,0,133
35380,-0.413,-0.014,0.895,-0.468,0.481,-0.471,0,133
35444,-0.457,-0.052,0.889,-1.148,-0.296,-0.741,0,133
35501,-0.482,-0.095,0.894,-1.438,-0.979,-0.895,0,133
35556,-0.466,-0.068,0.894,-1.337,-0.999,-0.78,0,133
35612,-0.462,-0.072,0.887,-1.268,-0.455,-0.826,0,131
35672,-0.421,-0.009,0.89,-0.504,-0.35,-0.279,0,132
35728,-0.304,0.118,0.885,1.147,0.798,0.947,0,133
35784,-0.401,0.0,0.895,-0.212,-0.121,-0.097,0,133
35841,-0.54,-0.161,0.894,-2.308,-1.654,-1.548,0,133
35897,-0.553,-0.171,0.891,-2.636,-1.853,-1.589,0,133
35953,-0.324,0.091,0.883,1.038,1.037,0.679,0,132
36009,-0.384,0.033,0.896,-0.099,0.123,0.06,0,132
36066,-0.315,0.097,0.885,0.893,0.449,0.794,0,132
36122,-0.455,-0.052,0.883,-1.073,-0.238,-0.436,0,132
36180,-0.353,0.065,0.888,0.412,0.605,0.333,0,132
36237,-0.435,-0.027,0.888,-0.695,-0.918,-0.4,0,132
36293,-0.407,-0.004,0.897,-0.461,0.032,-0.007,0,132
36349,-0.458,-0.068,0.885,-1.39,-0.479,-0.488,0,132
36406,-0.439,-0.035,0.89,-1.055,-0.926,-0.355,0,132
36462,-0.425,-0.027,0.889,-0.717,-0.34,-0.299,0,132
36518,-0.441,-0.031,0.888,-0.942,-0.457,-0.304,0,134
36575,-0.527,-0.143,0.883,-2.235,-1.191,-1.255,0,133
36632,-0.431,-0.026,0.882,-0.692,-0.683,-0.347,0,132
36690,-0.478,-0.085,0.891,-1.404,-0.94,-0.728,0,132
36748,-0.352,0.058,0.886,0.38,-0.09,0.507,0,133
36804,-0.43,-0.03,0.886,-0.692,0.244,-0.288,0,132
36860,-0.465,-0.058,0.885,-1.22,-0.709,-0.556,0,132
36917,-0.47,-0.08,0.885,-1.407,-1.277,-0.888,0,133
36973,-0.424,-0.028,0.891,-0.6,-0.711,-0.205,0,133
37029,-0.449,-0.049,0.891,-1.081,0.009,-0.399,0,134
37129,-0.433,-0.041,0.889,-0.872,-1.149,-0.435,0,133
37185,-0.442,-0.039,0.888,-1.105,-0.256,-0.486,0,132
37244,-0.376,0.042,0.879,0.036,1.206,-0.045,0,132
37301,-0.325,0.109,0.897,0.649,2.272,0.059,0,132
37357,-0.411,-0.018,0.881,-0.357,-0.903,0.01,0,132
37413,-0.552,-0.171,0.886,-2.76,-3.568,-1.591,0,132
37471,-0.523,-0.124,0.891,-2.266,-11.736,-3.172,0,132
37527,-0.46,-0.012,0.911,-0.716,-2.086,0.277,0,131
37583,-0.62,-0.096,0.891,-7.291,-34.916,1.985,0,131
37640,0.008,0.538,0.84,-1.276,-46.351,10.271,0,132
37696,-0.497,-0.095,1.055,-30.031,75.847,-56.611,0,133
37757,-0.582,-0.041,0.893,8.244,-106.519,30.061,0,161
37816,0.49,-0.069,0.554,-8.092,-24.015,-27.765,0,159
37872,-0.377,-0.094,1.057,-1.244,82.695,-10.878,0,132
37928,-0.353,-0.091,0.831,19.845,72.084,28.073,0,134
37985,-0.565,-0.02,0.926,8.26,27.168,14.703,0,130
38042,-0.517,-0.038,0.902,-2.507,26.565,-0.581,0,131
38098,-0.734,-0.23,0.816,-11.163,-21.267,-17.338,5,39
