Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32202,-0.647,-0.385,0.815,-1.238,-2.001,-1.074,0,89
32257,-0.752,-0.39,0.815,-1.467,-2.585,-1.324,0,89
32310,-0.4,-0.386,0.821,0.198,0.496,0.092,0,89
32364,-0.411,-0.388,0.825,-0.368,-1.284,-0.005,0,89
32417,-0.408,-0.387,0.823,-0.698,-1.277,-0.197,0,89
32472,-0.799,-0.39,0.822,-2.073,-3.351,-1.242,0,89
32525,-0.282,-0.389,0.808,0.235,-0.048,0.251,0,89
32581,-0.749,-0.393,0.814,-2.056,-3.283,-1.193,0,89
32635,-0.968,-0.391,0.814,-2.317,-4.454,-1.984,5,27
32690,-0.315,-0.39,0.823,0.347,1.801,0.256,0,89
32743,-0.345,-0.386,0.815,0.016,-0.654,0.077,0,90
32797,-0.503,-0.389,0.812,-0.445,-1.525,-0.657,0,89
32850,-0.282,-0.394,0.823,0.695,1.091,0.286,0,88
32905,-0.758,-0.392,0.822,-1.197,-1.415,-1.219,0,90
32958,-0.438,-0.388,0.825,-0.139,-0.81,-0.232,0,88
33012,-0.109,-0.394,0.823,0.957,1.37,0.889,0,88
33065,-0.177,-0.389,0.809,0.987,1.417,1.036,0,89
33123,-0.464,-0.393,0.81,-0.845,-1.909,-0.55,0,88
33176,-0.52,-0.387,0.816,-1.235,-1.974,-0.549,0,89
33230,-0.555,-0.39,0.816,-0.511,-0.994,-0.477,0,89
33284,-0.615,-0.395,0.821,-0.27,-0.962,-0.748,0,90
33338,-0.436,-0.394,0.817,-0.015,-0.011,-0.131,0,89
33391,-0.208,-0.392,0.819,1.022,0.209,0.455,0,88
33445,-0.542,-0.394,0.807,-0.459,-1.096,-0.461,0,88
33500,-0.494,-0.387,0.812,-0.243,-0.796,-0.344,0,89
33553,-0.219,-0.39,0.822,0.565,0.215,0.448,0,89
33610,-0.169,-0.391,0.817,0.613,0.496,0.564,0,88
33664,-0.193,-0.393,0.818,0.69,0.591,0.53,0,90
33718,-0.351,-0.391,0.82,0.536,-0.786,0.25,0,90
33772,-0.252,-0.393,0.823,0.341,0.211,0.422,0,91
33826,-0.671,-0.401,0.823,-0.891,-3.098,-1.285,0,90
33881,-0.357,-0.393,0.823,0.128,-0.031,0.015,0,94
33935,-0.337,-0.392,0.822,0.195,-0.711,-0.06,0,94
33989,-0.381,-0.391,0.809,-0.027,-1.079,-0.495,0,95
34043,-0.362,-0.392,0.819,0.067,-1.078,-0.346,0,95
34101,-0.272,-0.385,0.822,0.076,-0.074,0.206,0,95
34155,-0.668,-0.391,0.816,-0.878,-3.318,-1.824,0,95
34209,-0.475,-0.392,0.819,-0.323,-1.576,-0.964,0,95
34264,-0.439,-0.389,0.825,-0.634,-2.061,-0.853,0,95
34318,-0.339,-0.394,0.818,0.338,-1.07,0.14,0,95
34372,-0.842,-0.389,0.823,-1.539,-3.958,-2.662,0,95
34426,-0.433,-0.389,0.827,0.161,-1.141,-0.677,0,95
34481,-0.174,-0.394,0.822,0.895,0.774,0.759,0,95
34535,-0.746,-0.393,0.826,-1.498,-5.236,-2.81,0,95
34592,-0.639,-0.395,0.828,-0.754,-4.338,-2.515,0,95
34648,-0.186,-0.396,0.821,0.607,0.28,0.467,0,95
34702,-0.345,-0.391,0.832,0.022,-0.854,-0.943,0,95
34756,-0.109,-0.399,0.823,1.26,1.766,1.136,0,95
34810,-0.244,-0.399,0.838,0.339,-0.028,0.424,0,94
34865,-0.159,-0.398,0.828,0.432,0.523,0.537,0,94
34962,-0.358,-0.397,0.827,-0.423,-3.848,-1.333,0,94
35016,-0.013,-0.398,0.824,1.563,4.852,2.323,0,94
35070,-0.759,-0.403,0.832,-4.11,-15.205,-6.694,0,95
35129,-0.584,-0.406,0.836,-3.551,-11.415,-4.61,0,94
35183,-0.46,-0.402,0.824,-2.56,-8.985,-3.164,0,94
35237,-0.486,-0.405,0.834,-3.173,-10.792,-3.486,0,94
35292,-0.28,-0.402,0.825,-1.037,-4.045,-0.79,0,94
35347,-0.252,-0.408,0.841,-1.295,-3.924,0.221,0,94
35401,-0.282,-0.405,0.839,-2.266,-7.031,0.246,0,95
35456,-0.616,-0.413,0.839,-10.415,-44.036,-28.231,0,94
35510,-0.5,-0.396,0.894,4.766,-8.421,14.649,0,84
35564,-0.675,-0.362,0.563,2.244,69.664,97.351,0,85
35621,-0.918,-0.444,1.072,-15.237,76.153,141.275,0,100
35673,0.178,-0.427,0.791,-19.839,-146.527,71.634,133,104
