Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36324,-0.513,-0.421,0.731,-0.544,-1.676,-0.365,0,106
36378,-0.499,-0.4,0.726,0.705,-0.383,0.171,0,106
36433,-0.521,-0.401,0.726,0.721,-0.851,-0.276,0,106
36488,-0.515,-0.415,0.721,-0.076,-1.466,-0.221,0,106
36543,-0.511,-0.381,0.728,0.553,-0.376,-0.081,0,106
36597,-0.511,-0.401,0.723,0.449,-0.37,-0.058,0,107
36653,-0.521,-0.422,0.724,0.495,-1.81,-0.423,0,107
36710,-0.517,-0.409,0.732,-0.149,-1.472,-0.728,0,107
36765,-0.51,-0.422,0.723,0.104,-1.927,-0.48,0,106
36819,-0.51,-0.418,0.731,-0.149,-1.891,-1.045,0,106
36875,-0.513,-0.427,0.719,0.065,-1.883,-0.733,0,106
36929,-0.506,-0.437,0.722,0.004,-2.497,-0.341,0,106
36984,-0.509,-0.377,0.722,0.201,0.223,0.123,0,106
37039,-0.506,-0.398,0.73,0.068,-1.249,-0.414,0,107
37094,-0.519,-0.426,0.735,-0.154,-2.06,-0.789,0,107
37148,-0.504,-0.427,0.715,0.198,-2.027,-0.386,0,106
37207,-0.511,-0.419,0.728,-0.032,-2.276,-0.913,0,107
37261,-0.515,-0.424,0.722,0.03,-1.824,-0.385,0,107
37316,-0.505,-0.426,0.723,0.059,-1.807,-0.176,0,107
37371,-0.508,-0.413,0.731,0.405,-1.487,-0.78,0,107
37426,-0.507,-0.426,0.729,0.62,-1.172,-0.49,0,107
37481,-0.507,-0.431,0.723,0.543,-1.202,-0.138,0,107
37535,-0.509,-0.426,0.719,1.106,-0.836,0.015,0,106
37591,-0.509,-0.419,0.73,1.049,-0.861,-0.096,0,106
37646,-0.514,-0.428,0.73,0.459,-1.108,-0.253,0,106
37703,-0.507,-0.414,0.731,1.04,-0.999,0.29,0,107
37758,-0.509,-0.421,0.735,0.908,-0.929,0.031,0,107
37813,-0.508,-0.481,0.721,-0.102,-1.709,-0.535,5,32
37868,-0.52,-0.411,0.729,1.008,-1.1,-0.02,0,106
37923,-0.514,-0.417,0.728,1.022,-0.752,-0.079,0,107
37978,-0.508,-0.409,0.721,0.906,-1.411,-0.414,0,107
38033,-0.511,-0.412,0.737,1.112,-1.393,0.047,0,106
38088,-0.507,-0.443,0.733,0.548,-0.755,-0.151,0,107
38142,-0.52,-0.391,0.719,1.482,-0.287,-0.228,0,107
38201,-0.507,-0.455,0.726,-0.692,-2.949,-0.565,0,107
38256,-0.508,-0.407,0.725,0.957,-0.967,0.329,0,106
38312,-0.585,-0.472,0.778,-8.782,-1.134,-1.101,0,128
38366,-0.513,-0.508,0.576,10.399,-0.664,8.158,0,89
38421,-0.536,-0.375,0.625,-19.878,25.809,-3.213,0,106
