Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40845,-0.43,-0.277,0.841,0.154,-0.492,-0.471,0,93
40898,-0.434,-0.255,0.862,-0.382,-2.301,0.318,0,93
40952,-0.411,-0.265,0.847,0.308,-1.884,-0.363,0,92
41007,-0.416,-0.286,0.835,0.116,0.417,-0.802,0,92
41060,-0.433,-0.264,0.855,-0.52,-0.549,0.221,0,93
41114,-0.413,-0.274,0.855,-0.634,-1.331,0.2,0,93
41168,-0.425,-0.27,0.859,-0.159,0.596,0.055,0,94
41223,-0.42,-0.29,0.834,-0.593,-0.921,0.0,0,94
41279,-0.412,-0.276,0.853,-0.641,0.2,0.515,0,93
41333,-0.427,-0.295,0.838,0.493,1.145,-0.012,0,94
41388,-0.432,-0.269,0.845,-0.293,-0.283,0.358,0,93
41442,-0.413,-0.282,0.839,-0.318,-0.767,0.237,0,94
41495,-0.427,-0.284,0.843,-0.371,-0.653,0.34,0,94
41549,-0.427,-0.286,0.842,-0.38,-0.343,0.122,0,93
41604,-0.42,-0.259,0.858,0.313,-0.637,0.822,0,93
41658,-0.412,-0.283,0.844,0.686,0.305,0.435,0,93
41711,-0.427,-0.279,0.838,0.16,2.547,0.133,0,93
41768,-0.432,-0.284,0.831,0.348,1.316,-0.265,0,93
41823,-0.434,-0.259,0.849,0.59,2.223,0.126,0,94
41877,-0.427,-0.293,0.827,0.595,1.813,-0.065,0,93
41930,-0.448,-0.279,0.833,0.315,2.163,0.129,0,93
41985,-0.444,-0.259,0.839,0.425,1.112,-0.378,0,94
42039,-0.444,-0.271,0.845,0.486,0.278,-0.226,0,93
42093,-0.438,-0.27,0.84,0.556,-0.161,-0.138,0,93
42147,-0.438,-0.295,0.827,-0.189,0.292,-0.699,0,94
42202,-0.45,-0.271,0.843,-0.083,-0.644,-0.169,0,93
42259,-0.441,-0.265,0.853,0.338,0.27,-0.416,0,93
42312,-0.442,-0.292,0.828,-0.002,-0.663,-0.972,0,94
42366,-0.447,-0.264,0.845,-0.096,-1.719,-0.612,0,93
42421,-0.434,-0.3,0.821,-0.092,-1.396,-0.859,0,94
42475,-0.44,-0.264,0.848,0.522,-0.57,-0.564,0,92
42529,-0.433,-0.286,0.828,0.301,0.166,-1.254,0,92
42584,-0.45,-0.263,0.852,0.34,-0.377,-0.883,0,92
42638,-0.437,-0.248,0.85,0.359,0.081,-0.986,0,92
42692,-0.449,-0.282,0.844,0.416,-1.086,-1.584,0,92
42749,-0.439,-0.258,0.847,-0.16,-2.198,-1.108,0,92
42804,-0.43,-0.274,0.845,0.058,-1.798,-1.681,0,93
42858,-0.446,-0.284,0.841,-0.841,-3.416,-2.31,0,92
42912,-0.429,-0.267,0.845,-1.004,-3.571,-2.112,0,92
42967,-0.434,-0.271,0.845,-0.826,-3.879,-2.486,0,92
43021,-0.429,-0.31,0.835,-2.246,-6.652,-3.71,5,28
43075,-0.418,-0.266,0.855,-0.513,-2.556,-1.955,0,91
43129,-0.427,-0.288,0.845,-2.117,-6.651,-3.373,0,93
43184,-0.417,-0.298,0.847,-2.492,-7.292,-2.61,0,92
43241,-0.398,-0.287,0.843,-1.846,-6.712,-2.918,0,91
43293,-0.406,-0.313,0.843,-2.398,-8.26,-3.947,0,60
43350,-0.402,-0.283,0.871,-1.722,-7.127,-3.189,0,59
43402,-0.382,-0.286,0.857,-1.985,-5.52,-1.544,0,58
43457,-0.38,-0.307,0.856,-2.935,-8.166,-2.607,0,59
43510,-0.376,-0.296,0.848,-2.952,-7.414,-2.709,0,58
43606,-0.35,-0.328,0.853,-2.737,-8.056,-3.275,0,58
43661,-0.362,-0.31,0.874,-2.702,-5.938,-1.24,0,58
43714,-0.356,-0.335,0.873,-2.302,-6.878,-1.759,0,59
43769,-0.349,-0.288,0.872,-3.268,-8.097,-1.25,0,59
43822,-0.341,-0.331,0.869,-4.729,-13.768,-3.864,0,59
43875,-0.321,-0.307,0.882,-3.71,-10.344,-2.214,0,59
43927,-0.312,-0.35,0.88,-5.933,-16.904,-3.344,0,59
43979,-0.286,-0.339,0.871,-5.064,-13.394,-1.584,0,59
44033,-0.297,-0.339,0.881,-7.839,-17.947,-3.466,0,60
44085,-0.277,-0.346,0.888,-6.655,-15.02,-3.624,0,60
44137,-0.264,-0.354,0.897,-8.31,-19.074,-4.466,0,60
44190,-0.24,-0.365,0.893,-7.878,-19.408,-5.513,0,60
44246,-0.227,-0.38,0.898,-6.585,-16.575,-2.543,0,60
44299,-0.18,-0.399,0.883,-8.169,-17.062,-4.156,0,61
44351,-0.178,-0.404,0.891,-5.718,-11.303,-6.711,0,61
44404,-0.174,-0.401,0.88,-5.813,-10.234,-7.471,0,61
44456,-0.206,-0.411,0.905,-3.758,-8.545,-5.227,0,61
