Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40845,-0.43,-0.318,0.81,-0.137,-1.55,-0.758,0,93
40898,-0.434,-0.277,0.847,-0.533,-2.876,0.126,0,93
40952,-0.411,-0.283,0.833,0.172,-2.267,-0.505,0,92
41007,-0.416,-0.284,0.836,0.136,0.5,-0.79,0,92
41060,-0.433,-0.259,0.86,-0.476,-0.463,0.257,0,93
41114,-0.413,-0.298,0.838,-0.844,-1.669,0.066,0,93
41168,-0.425,-0.277,0.854,-0.232,0.501,0.023,0,94
41223,-0.42,-0.264,0.852,-0.335,-0.546,0.116,0,94
41279,-0.412,-0.285,0.846,-0.724,0.096,0.464,0,93
41333,-0.427,-0.257,0.864,0.835,1.6,0.211,0,94
41388,-0.432,-0.296,0.826,-0.517,-0.581,0.173,0,93
41442,-0.413,-0.303,0.824,-0.476,-0.995,0.114,0,94
41495,-0.427,-0.27,0.853,-0.28,-0.503,0.45,0,94
41549,-0.427,-0.271,0.852,-0.273,-0.197,0.236,0,93
41604,-0.42,-0.332,0.807,-0.223,-1.817,0.263,0,93
41658,-0.412,-0.229,0.882,1.1,1.313,0.816,0,93
41711,-0.427,-0.273,0.842,0.215,2.724,0.179,0,93
41768,-0.432,-0.24,0.861,0.769,2.506,-0.05,0,93
41823,-0.434,-0.295,0.825,0.278,1.011,-0.015,0,94
41877,-0.427,-0.234,0.866,1.129,3.457,0.212,0,93
41930,-0.448,-0.283,0.83,0.288,2.106,0.111,0,93
41985,-0.444,-0.284,0.821,0.175,0.602,-0.505,0,94
42039,-0.444,-0.272,0.845,0.48,0.264,-0.231,0,93
42093,-0.438,-0.279,0.833,0.491,-0.247,-0.202,0,93
42147,-0.438,-0.342,0.793,-0.5,-0.033,-1.02,5,28
42202,-0.45,-0.252,0.857,0.022,-0.503,-0.008,0,93
42259,-0.441,-0.299,0.829,0.201,-0.149,-0.761,0,93
42312,-0.442,-0.256,0.852,0.135,-0.15,-0.607,0,94
42366,-0.447,-0.263,0.846,-0.089,-1.711,-0.605,0,93
42421,-0.434,-0.227,0.869,0.286,-0.319,0.106,0,94
42475,-0.44,-0.271,0.844,0.484,-0.69,-0.677,0,92
42529,-0.433,-0.277,0.834,0.358,0.277,-1.075,0,92
42584,-0.45,-0.26,0.855,0.356,-0.362,-0.87,0,92
42638,-0.437,-0.286,0.825,0.105,-0.569,-1.861,0,92
42692,-0.449,-0.253,0.863,0.584,-0.499,-0.909,0,92
42749,-0.439,-0.289,0.827,-0.382,-3.1,-1.962,0,92
42804,-0.43,-0.235,0.872,0.439,-0.335,-0.578,0,93
42858,-0.446,-0.295,0.833,-0.966,-3.902,-2.643,0,92
42912,-0.429,-0.298,0.823,-1.482,-5.252,-3.214,0,92
42967,-0.434,-0.248,0.862,-0.443,-2.64,-1.689,0,92
43021,-0.429,-0.247,0.876,-0.891,-2.232,-1.071,0,92
43075,-0.418,-0.273,0.851,-0.727,-3.257,-2.321,0,91
43129,-0.427,-0.282,0.849,-1.938,-6.097,-3.102,0,93
43184,-0.417,-0.308,0.84,-2.723,-8.003,-2.963,0,92
43241,-0.398,-0.251,0.868,-0.822,-3.412,-1.407,0,91
43293,-0.406,-0.263,0.876,-0.84,-3.31,-1.888,0,60
43350,-0.402,-0.238,0.902,-0.397,-3.035,-1.503,0,59
43402,-0.382,-0.316,0.838,-3.07,-8.707,-2.793,0,58
43457,-0.38,-0.247,0.895,-0.849,-2.249,-0.336,0,59
43510,-0.376,-0.31,0.839,-3.453,-8.703,-3.148,0,58
43606,-0.35,-0.38,0.817,-4.545,-12.694,-4.815,0,57
43661,-0.362,-0.308,0.874,-2.628,-5.76,-1.184,0,58
43714,-0.356,-0.335,0.871,-2.549,-7.548,-1.935,0,59
43769,-0.349,-0.396,0.872,-8.216,-21.065,-4.396,5,18
43822,-0.341,-0.331,0.869,-3.692,-10.922,-3.201,0,59
43875,-0.321,-0.345,0.882,-5.849,-16.113,-3.4,0,59
43927,-0.312,-0.35,0.88,-3.913,-11.606,-2.246,0,59
43979,-0.286,-0.339,0.871,-4.517,-12.045,-1.305,0,59
44033,-0.297,-0.339,0.881,-10.274,-23.754,-4.69,0,60
44085,-0.277,-0.346,0.888,-5.198,-11.61,-2.846,0,60
44137,-0.264,-0.354,0.897,-7.116,-16.289,-3.818,0,60
44190,-0.24,-0.365,0.893,-8.641,-21.137,-5.947,0,60
44246,-0.227,-0.38,0.898,-6.309,-15.989,-2.352,0,60
44299,-0.18,-0.399,0.883,-7.809,-16.298,-3.874,0,61
44351,-0.178,-0.404,0.891,-3.442,-6.568,-4.726,0,61
44404,-0.174,-0.401,0.88,-4.252,-6.696,-5.729,0,61
44456,-0.206,-0.411,0.905,-7.21,-14.513,-9.263,0,61
44510,-0.18,-0.399,0.882,-4.823,-15.258,-3.222,0,61
44563,-0.3,-0.459,1.01,-31.695,-15.924,-15.657,0,62
44609,-0.296,-0.832,1.113,-63.145,-5.901,-54.458,82,63
44656,-0.024,-1.038,0.885,-35.038,106.344,-61.473,112,63
44712,-0.552,-0.706,1.221,12.42,55.557,-19.405,0,64
44770,-0.347,-0.427,0.718,59.931,-62.725,18.015,0,67
44818,0.019,-0.05,0.593,80.221,-148.557,42.557,126,71
44866,0.398,-0.102,0.296,48.275,-38.725,-12.416,104,74
44915,0.075,-0.215,0.687,1.652,42.282,0.718,121,74
44968,-0.197,-0.553,0.922,-0.858,-24.519,-17.415,194,75
45022,0.184,-0.362,0.886,5.446,-40.626,-23.985,193,77
45071,0.223,-0.295,0.892,1.84,-16.916,12.802,108,78
45124,0.154,-0.145,0.95,-6.733,0.093,2.489,192,77
45175,0.11,-0.311,0.953,-31.595,-27.252,-20.082,99,78
45221,0.156,-0.399,0.901,-35.511,-37.87,-5.775,72,80
45270,0.218,-0.308,0.882,-26.954,-25.473,-3.545,105,80
45319,0.186,-0.363,0.848,-40.336,-6.118,-6.89,107,78
45365,0.133,-0.47,0.805,-38.969,-1.964,-14.207,72,76
45411,0.124,-0.512,0.81,-40.405,-11.684,-7.674,71,77
45458,0.301,-0.487,0.731,-36.679,18.35,0.02,95,75
45506,0.085,-0.536,0.941,-31.496,52.87,5.313,101,74
45555,-0.053,-0.507,0.935,-33.069,2.847,-11.195,71,73
45601,0.161,-0.561,0.782,-34.397,-12.832,-5.291,71,73
45647,0.276,-0.578,0.807,-33.061,8.637,-12.167,70,74
45693,0.264,-0.645,0.69,-29.519,39.023,-19.359,71,72
45740,-0.007,-0.727,0.958,-20.84,45.206,-42.771,71,70
45786,0.07,-0.739,0.689,-25.656,6.404,-56.977,72,69
45832,0.223,-0.747,0.591,-28.099,30.16,-53.069,73,68
45878,0.116,-0.808,0.553,-33.328,58.099,-56.046,74,67
45924,-0.005,-0.683,0.663,-31.473,63.695,-49.832,75,67
45977,0.008,-0.676,0.65,-23.42,42.496,-31.672,148,66
46024,-0.031,-0.514,0.671,-23.489,27.267,-7.229,92,65
46071,0.112,-0.661,0.53,-29.534,0.18,-21.861,78,64
46159,0.128,-0.703,0.626,-45.427,12.088,-28.702,65,65
46204,0.067,-0.663,0.685,-53.328,-26.12,-55.427,65,65
46251,0.143,-0.545,0.483,-46.985,-36.405,-77.061,63,64
46297,0.059,-0.578,0.52,-41.069,-38.42,-77.496,62,89
46346,0.236,-0.531,0.46,-29.565,-63.023,-74.679,84,99
46393,0.431,-0.811,0.312,-4.071,-50.947,-66.954,73,99
46436,0.606,-0.813,0.31,38.687,-22.71,-64.763,71,54
46483,0.708,-0.856,0.27,63.214,57.344,-26.764,63,97
46528,0.377,-1.271,0.335,83.802,85.611,77.58,66,55
46573,0.279,-1.551,1.448,-23.741,-7.022,56.489,63,53
46617,1.137,-2.0,0.329,16.807,-147.863,106.511,59,55
46662,0.734,-1.381,0.56,61.565,-113.924,25.0,65,52
46707,0.895,-1.381,0.347,-40.565,1.042,-21.481,65,56
46752,0.387,-1.979,0.819,33.481,74.466,-29.618,72,51
46803,0.082,-1.087,0.81,144.244,-38.847,-89.359,71,96
