Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32202,-0.392,-0.385,0.815,-0.292,-0.643,-0.192,0,89
32257,-0.741,-0.39,0.815,-1.357,-2.507,-1.206,0,89
32310,-0.494,-0.386,0.821,-0.2,-0.157,-0.207,0,89
32364,-0.05,-0.388,0.825,1.074,1.072,1.092,0,89
32417,-0.387,-0.387,0.823,-0.605,-1.125,-0.129,0,89
32472,-0.252,-0.39,0.822,0.576,0.76,0.482,0,89
32525,-0.201,-0.389,0.808,0.575,0.475,0.475,0,89
32581,0.009,-0.393,0.814,0.826,1.649,1.119,0,89
32635,-0.163,-0.391,0.814,0.836,1.389,0.532,0,89
32690,-0.241,-0.39,0.823,0.595,2.346,0.473,0,89
32743,-0.438,-0.386,0.815,-0.29,-1.271,-0.229,0,90
32797,-0.597,-0.389,0.812,-0.717,-2.188,-0.913,0,89
32850,-0.367,-0.394,0.823,0.404,0.55,-0.002,0,88
32905,-0.592,-0.392,0.822,-0.617,-0.464,-0.62,0,90
32958,-0.233,-0.388,0.825,0.498,0.178,0.411,0,88
33012,-0.273,-0.394,0.823,0.357,0.37,0.28,0,88
33065,-0.179,-0.389,0.809,0.941,1.405,0.984,0,89
33123,-0.418,-0.393,0.81,-0.632,-1.625,-0.376,0,88
33176,-0.471,-0.387,0.816,-0.962,-1.68,-0.356,0,89
33230,-0.421,-0.39,0.816,0.228,-0.182,-0.019,0,89
33284,-0.584,-0.395,0.821,-0.088,-0.783,-0.603,0,90
33338,-0.225,-0.394,0.817,0.929,0.822,0.468,0,89
33391,-0.333,-0.392,0.819,0.477,-0.334,0.067,0,88
33445,-0.409,-0.394,0.807,-0.008,-0.421,-0.058,0,88
33500,-0.128,-0.387,0.812,0.929,1.432,0.749,0,89
33553,-0.343,-0.39,0.822,0.167,-0.587,0.046,0,89
33610,-0.152,-0.391,0.817,0.619,0.627,0.561,0,88
33664,-0.322,-0.393,0.818,0.225,-0.417,0.095,0,90
33718,-0.446,-0.391,0.82,0.208,-1.555,-0.067,0,90
33772,-0.681,-0.393,0.823,-1.05,-2.865,-0.985,0,91
33826,-0.241,-0.401,0.823,0.551,0.071,0.248,0,90
33881,-0.611,-0.393,0.823,-0.584,-1.891,-0.967,0,94
33935,-0.337,-0.392,0.822,0.183,-0.704,-0.066,0,94
33989,-0.341,-0.391,0.809,0.089,-0.761,-0.315,0,95
34043,-0.361,-0.392,0.819,0.062,-1.065,-0.346,0,95
34101,-0.168,-0.385,0.822,0.366,0.789,0.714,0,95
34155,-0.601,-0.391,0.816,-0.584,-2.758,-1.449,0,95
34209,-0.591,-0.392,0.819,-0.722,-2.599,-1.477,0,95
34264,-0.291,-0.389,0.825,-0.069,-0.872,-0.148,0,95
34318,-0.548,-0.394,0.818,-0.492,-2.727,-0.872,0,95
34372,-0.182,-0.389,0.823,1.212,1.325,0.45,0,95
34426,-0.589,-0.389,0.827,-0.427,-2.398,-1.394,0,95
34481,-0.187,-0.394,0.822,0.807,0.684,0.67,0,95
34535,-0.415,-0.393,0.826,-0.346,-1.989,-0.832,0,95
34592,-0.11,-0.395,0.828,0.845,1.13,1.016,0,95
34648,-0.42,-0.396,0.821,-0.142,-2.271,-1.214,0,95
34702,-0.214,-0.391,0.832,0.413,0.666,0.009,0,95
34756,-0.236,-0.399,0.823,0.731,0.195,0.16,0,95
34810,-0.247,-0.399,0.838,0.308,0.001,0.414,0,94
34865,-0.497,-0.398,0.828,-1.391,-5.505,-2.439,0,94
34962,-0.142,-0.397,0.827,0.893,0.878,0.872,0,94
35016,-0.499,-0.398,0.824,-2.027,-6.929,-3.141,0,94
35070,-0.381,-0.403,0.832,-1.049,-5.307,-2.298,0,95
35129,-0.307,-0.406,0.836,-0.961,-3.387,-1.151,0,94
35183,-0.343,-0.402,0.824,-1.385,-5.321,-1.758,0,94
35237,-0.5,-0.405,0.834,-3.391,-11.542,-3.671,0,94
35292,-0.392,-0.402,0.825,-2.538,-8.352,-1.803,0,94
35347,-0.229,-0.408,0.841,-0.908,-2.744,0.4,0,94
35401,-0.245,-0.405,0.839,-1.539,-5.227,0.996,0,95
35456,-0.276,-0.413,0.839,-2.126,-6.053,1.867,0,94
35510,-0.312,-0.396,0.894,13.988,23.248,14.649,0,84
35564,-0.675,-0.362,0.55,0.987,69.664,97.351,0,85
35621,-0.918,-0.444,1.072,-15.237,76.153,141.275,0,100
35673,0.178,-0.427,0.791,1.541,-146.527,71.634,133,104
35723,0.561,-0.312,0.413,1.552,-58.847,-54.405,133,70
35774,-0.11,-0.259,0.469,-19.511,123.321,-52.061,134,102
35823,-1.284,-0.404,1.217,-15.168,76.229,-33.313,136,63
35876,-0.806,-0.354,1.018,-20.557,-73.191,-32.489,0,64
35934,-0.057,-0.227,0.598,-11.218,-12.329,9.688,0,87
35988,-0.428,-0.486,0.799,-34.038,43.763,-2.949,0,87
36043,-0.491,-0.56,0.808,-22.191,11.651,-22.153,0,101
36102,-0.446,-0.537,0.802,-1.035,23.879,-5.987,0,102
36157,-0.399,-0.46,0.773,5.818,3.693,0.381,0,102
36211,-0.391,-0.442,0.792,-3.304,9.802,-3.615,0,101
36267,-0.215,-0.464,0.968,2.138,4.825,2.993,0,100
36322,-0.395,-0.475,0.801,0.149,0.329,-0.287,0,99
36377,-0.521,-0.461,0.678,-1.011,1.116,-6.256,0,99
36431,-0.429,-0.487,0.769,3.175,1.527,-3.417,0,100
36483,-0.181,-0.464,0.95,4.025,4.39,3.851,139,99
36535,-0.333,-0.472,0.834,0.203,0.018,-1.067,139,100
36587,-0.158,-0.481,0.977,3.224,3.858,7.223,0,100
36642,-0.772,-0.475,0.453,-10.856,-20.758,-23.911,5,30
36698,-0.379,-0.509,0.841,-0.763,-3.107,-4.036,0,99
36752,-0.6,-0.585,0.881,-7.139,-15.198,-17.388,0,84
36805,-0.415,-0.666,0.886,19.061,7.789,11.796,0,61
36857,-0.178,-0.5,0.928,20.656,-29.435,-21.573,0,60
36913,-0.739,-0.686,0.794,-7.791,-62.542,-65.595,0,92
36966,-0.647,-1.489,0.465,26.725,-94.542,-93.718,0,77
37022,0.021,-0.111,0.869,74.099,29.328,-88.74,0,62
37080,-0.181,0.191,1.115,24.779,-2.279,-26.71,0,63
37126,0.155,-0.079,1.006,-25.107,-139.84,-53.26,93,64
37173,0.244,-0.278,0.843,-29.015,-109.023,-72.931,92,65
37220,0.445,-0.501,0.663,-26.489,-67.435,-72.0,95,64
37267,0.485,-0.528,0.828,-21.832,-10.565,-70.321,97,64
37315,0.5,-0.654,0.736,-16.053,31.977,-94.886,98,65
37366,0.376,-0.457,0.664,-26.893,52.641,-93.588,137,107
37417,0.254,-0.486,0.53,-36.885,46.817,-100.107,141,78
37473,0.198,-0.562,0.666,-51.443,32.672,-116.366,157,96
37528,0.228,-0.606,0.804,-81.176,-6.519,-116.679,0,93
37585,0.247,-0.631,0.867,-85.779,-39.658,-137.221,130,0
37683,0.255,-0.679,0.567,-32.443,61.817,-153.336,78,0
37723,0.114,-0.611,0.544,-34.145,60.183,-151.725,79,0
37777,0.072,-0.556,0.508,-25.952,51.458,-146.443,76,0
37815,0.222,-0.196,-0.244,46.16,103.321,-133.542,39,0
37866,-0.176,0.737,0.525,-20.58,146.534,-81.687,35,0
37918,-0.011,-0.09,0.937,-136.176,-2.49,-28.71,42,0
37974,0.278,-0.485,0.918,-68.466,-87.267,66.603,34,0
38025,0.529,-0.582,0.789,-55.756,-87.168,146.511,31,0
38077,0.473,-0.747,0.903,42.515,-42.023,149.855,47,0
38116,0.685,-0.627,0.571,-16.107,-55.565,128.16,43,0
38164,0.718,-0.694,0.479,-22.146,-29.435,61.71,41,136
38211,0.886,-1.153,0.272,19.656,10.181,103.336,37,137
38258,0.898,-1.593,0.892,28.916,37.879,127.634,52,99
38309,0.892,-2.0,0.358,82.107,106.092,48.855,125,95
38358,-0.253,-1.138,1.4,91.466,131.046,17.366,41,81
38404,-0.107,-0.744,1.169,55.71,-41.304,-115.573,23,118
38451,-0.076,-1.12,0.065,158.809,-37.004,-126.366,30,120
38497,-0.002,0.169,0.555,106.748,87.87,-106.389,28,118
38544,-0.266,-0.567,0.833,10.478,106.725,-93.282,31,118
38595,-0.32,-1.227,1.044,29.136,55.317,-118.893,34,0
38647,-0.095,0.104,0.9,96.527,22.897,-75.916,35,0
38699,-0.19,-0.087,1.198,24.985,-37.267,-23.168,31,0
38750,0.085,-0.841,0.65,34.885,-94.573,-23.733,31,0
38805,0.347,-0.266,0.576,69.87,-26.565,-29.286,28,0
38856,0.23,-0.348,1.064,-10.146,-1.147,-4.855,29,0
38914,0.225,-0.24,1.347,21.511,-28.645,-22.901,29,0
38965,0.49,0.183,1.241,81.817,-27.099,-34.771,49,0
39019,0.448,-0.169,0.804,99.321,-36.784,-23.908,87,0
39072,0.443,0.735,0.252,98.382,74.061,18.523,86,0
39126,0.196,0.654,0.475,-101.738,128.779,26.939,74,0
39172,0.635,-0.573,0.839,-20.435,177.573,74.305,73,89
39222,-0.34,0.549,1.29,30.153,153.053,105.511,73,161
39276,-0.156,0.096,0.889,-44.969,29.328,89.901,73,160
39325,-0.077,0.152,0.839,-16.405,-9.892,54.008,73,144
39375,-0.011,0.106,0.686,-21.267,-12.288,-6.298,74,144
39425,-0.358,0.039,0.839,-64.412,5.652,-20.762,75,142
39477,-0.63,0.177,1.336,-64.756,-66.763,-7.797,75,183
39530,-0.708,-0.149,1.514,-50.435,-250.137,-1.095,77,0
39584,0.909,-0.643,0.64,95.427,-228.0,2.639,80,0
39639,0.713,0.211,0.476,41.565,-50.519,-1.606,100,0
39696,0.649,-0.05,0.915,11.217,9.573,-5.339,99,0
39750,0.758,0.156,0.741,8.167,53.214,-7.278,98,0
39804,0.387,-0.114,0.931,-16.733,92.481,-4.874,98,0
39858,0.184,0.045,1.099,10.884,56.634,2.929,85,0
39909,0.106,0.233,1.047,43.985,92.66,12.369,90,160
39960,0.267,0.017,0.979,11.541,-18.092,3.694,82,160
40014,0.296,0.001,0.894,19.008,-0.298,-1.243,92,0
40066,0.193,0.025,1.033,4.008,1.934,2.87,44,0
40120,0.165,-0.095,1.246,0.847,-29.21,-5.52,92,0
40158,0.342,0.068,0.97,19.992,-26.679,-5.032,47,0
40258,0.337,0.189,0.897,15.516,24.183,-17.97,95,0
40310,0.255,0.185,0.907,9.35,22.534,-29.466,70,0
40364,0.226,0.218,0.851,6.851,28.07,-35.557,71,0
40416,0.199,0.219,0.8,7.548,27.519,-32.908,50,0
40456,0.152,0.18,0.874,-17.481,42.603,-30.809,52,6
40497,-1.322,-0.082,1.593,-24.901,4.321,-60.489,57,5
40538,0.374,-0.062,0.673,-19.206,-100.137,-35.42,57,6
40580,0.248,-0.195,0.941,-30.953,-35.107,-27.696,18,5
40621,0.272,0.16,1.097,9.858,-5.989,7.695,58,7
40664,0.269,0.113,0.965,8.478,4.706,4.989,57,6
40705,0.213,0.229,0.982,13.02,-0.888,8.183,60,5
40745,0.24,0.03,0.969,1.536,-7.545,0.64,61,5
40788,0.29,0.019,0.919,0.331,-5.887,-1.082,98,7
40841,0.244,0.157,0.979,2.547,-5.19,11.427,57,0
40893,0.285,0.16,0.968,9.596,-4.971,12.901,57,0
40945,0.218,0.146,0.982,15.85,-10.767,13.763,57,0
40985,0.37,0.168,0.903,28.171,-29.076,18.107,74,0
