Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40845,-0.43,-0.186,0.912,0.79,1.518,0.158,0,93
40898,-0.434,-0.096,0.989,0.687,0.6,1.566,0,93
40952,-0.411,-0.268,0.844,0.285,-1.951,-0.387,0,92
41007,-0.416,-0.235,0.874,0.552,1.515,-0.449,0,92
41060,-0.433,-0.32,0.812,-0.95,-1.37,-0.14,0,93
41114,-0.413,-0.235,0.886,-0.326,-0.887,0.428,0,93
41168,-0.425,-0.22,0.9,0.274,1.114,0.334,0,94
41223,-0.42,-0.289,0.833,-0.568,-0.871,-0.005,0,94
41279,-0.412,-0.264,0.862,-0.546,0.315,0.575,0,93
41333,-0.427,-0.276,0.851,0.666,1.376,0.099,0,94
41388,-0.432,-0.226,0.879,0.044,0.139,0.651,0,93
41442,-0.413,-0.332,0.799,-0.689,-1.267,-0.07,0,94
41495,-0.427,-0.194,0.912,0.209,0.195,1.006,0,94
41549,-0.427,-0.271,0.854,-0.27,-0.199,0.238,0,93
41604,-0.42,-0.27,0.851,0.224,-0.859,0.729,0,93
41658,-0.412,-0.297,0.834,0.584,0.092,0.339,0,93
41711,-0.427,-0.271,0.843,0.228,2.764,0.19,0,93
41768,-0.432,-0.195,0.897,1.138,3.314,0.202,0,93
41823,-0.434,-0.354,0.779,-0.195,-0.409,-0.309,0,94
41877,-0.427,-0.268,0.844,0.821,2.499,0.055,0,93
41930,-0.448,-0.255,0.85,0.527,2.671,0.253,0,93
41985,-0.444,-0.179,0.9,1.119,2.354,0.057,0,94
42039,-0.444,-0.19,0.908,1.086,1.267,0.311,0,93
42093,-0.438,-0.137,0.942,1.456,0.993,0.744,0,93
42147,-0.438,-0.264,0.849,0.022,0.513,-0.48,0,94
42202,-0.45,-0.309,0.814,-0.301,-0.917,-0.473,0,93
42259,-0.441,-0.117,0.969,1.055,1.854,0.94,0,93
42312,-0.442,-0.391,0.749,-0.488,-1.803,-1.856,0,94
42366,-0.447,-0.287,0.828,-0.22,-2.02,-0.864,0,93
42421,-0.434,-0.249,0.856,0.181,-0.678,-0.212,0,94
42475,-0.44,-0.329,0.8,0.132,-1.451,-1.404,0,92
42529,-0.433,-0.299,0.817,0.221,0.069,-1.374,0,92
42584,-0.45,-0.305,0.822,0.038,-0.81,-1.64,0,92
42638,-0.437,-0.248,0.853,0.363,0.005,-1.107,0,92
42692,-0.449,-0.386,0.764,-0.211,-2.857,-3.597,0,92
42749,-0.439,-0.243,0.861,-0.056,-2.025,-0.94,0,92
42804,-0.43,-0.242,0.869,0.35,-0.817,-0.93,0,93
42858,-0.446,-0.211,0.895,-0.077,-0.546,-0.332,0,92
42912,-0.429,-0.276,0.839,-1.152,-4.113,-2.465,0,92
42967,-0.434,-0.275,0.843,-0.926,-4.261,-2.722,0,92
43021,-0.429,-0.136,0.963,0.909,3.041,2.183,0,92
43075,-0.418,-0.352,0.791,-2.291,-7.839,-4.828,0,91
43129,-0.427,-0.293,0.841,-2.17,-6.768,-3.442,0,93
43184,-0.417,-0.426,0.751,-5.164,-15.282,-6.637,0,92
43241,-0.398,-0.284,0.846,-1.791,-6.553,-2.84,0,91
43293,-0.406,-0.367,0.8,-3.572,-11.684,-5.454,0,59
43350,-0.402,-0.287,0.869,-1.948,-7.878,-3.483,0,59
43402,-0.382,-0.285,0.86,-2.16,-6.124,-1.752,0,58
43457,-0.38,-0.207,0.929,-0.07,-0.291,0.502,0,61
43510,-0.376,-0.109,0.985,2.533,6.17,2.123,0,61
43606,-0.35,-0.338,0.844,-2.934,-8.501,-3.449,0,58
43661,-0.362,-0.298,0.874,-2.36,-5.121,-0.979,0,58
43714,-0.356,-0.335,0.867,-2.802,-8.223,-2.119,0,59
43769,-0.349,-0.319,0.872,-4.667,-11.756,-2.141,0,59
43822,-0.341,-0.331,0.869,-6.508,-18.484,-5.034,0,58
43875,-0.321,-0.494,0.882,-12.301,-33.059,-7.096,0,56
43927,-0.312,-0.35,0.88,-4.358,-12.801,-2.481,0,59
43979,-0.286,-0.339,0.871,-3.824,-10.388,-0.937,0,60
44033,-0.297,-0.339,0.881,-11.633,-26.843,-5.428,0,59
44085,-0.277,-0.346,0.888,-15.87,-36.339,-8.63,0,58
44137,-0.264,-0.354,0.897,-3.077,-7.019,-1.572,0,61
44190,-0.24,-0.365,0.893,-0.935,-3.694,-1.56,0,61
44246,-0.227,-0.38,0.898,-10.347,-25.005,-5.015,0,60
44299,-0.18,-0.399,0.883,-11.544,-24.308,-6.786,0,60
44351,-0.178,-0.404,0.891,-8.997,-18.088,-9.576,0,60
44404,-0.174,-0.401,0.88,-2.664,-3.17,-3.958,0,62
44456,-0.206,-0.411,0.905,-2.166,-5.816,-3.353,0,62
44510,-0.18,-0.399,0.882,-7.915,-18.567,-8.136,0,61
44563,-0.3,-0.459,1.01,-31.695,-11.322,-11.348,0,63
44609,-0.296,-0.832,1.113,-63.145,-9.158,-54.458,82,61
44656,-0.024,-1.038,0.885,-35.038,106.344,-61.473,112,64
44712,-0.552,-0.706,1.221,29.914,55.557,-19.405,0,66
44770,-0.347,-0.427,0.725,59.931,-62.725,18.015,0,67
44818,0.019,-0.02,0.593,80.221,-148.557,42.557,126,72
44866,0.285,-0.154,0.296,48.275,-38.725,-13.656,104,74
44915,0.075,-0.029,0.687,19.656,42.282,13.946,121,78
44968,-0.197,-0.553,0.922,-0.78,-24.519,-17.323,194,75
45022,0.184,-0.362,0.865,3.087,-40.626,-23.985,193,77
45071,0.223,-0.274,0.892,4.404,-11.427,12.802,108,78
45124,0.154,-0.148,0.95,-8.827,-2.926,0.979,192,77
45175,0.11,-0.259,0.953,-31.595,-27.252,-13.918,99,78
45221,0.156,-0.399,0.901,-35.511,-37.87,-16.37,72,80
45270,0.218,-0.308,0.882,-26.954,-25.473,-3.801,105,80
45319,0.186,-0.363,0.809,-40.336,-14.332,-10.947,107,78
45365,0.133,-0.47,0.937,-38.969,20.701,-2.173,72,76
45411,0.124,-0.512,0.807,-40.405,-9.644,-7.013,71,77
45458,0.128,-0.487,0.669,-36.679,5.192,-5.16,95,74
45506,0.085,-0.536,0.941,-31.496,52.87,5.623,101,75
45555,-0.053,-0.507,0.935,-33.069,-12.516,-16.308,71,71
45601,0.161,-0.561,0.708,-34.397,-37.724,-14.606,71,71
45647,0.684,-0.578,0.96,-33.061,55.324,11.283,70,79
45693,0.113,-0.645,0.628,-29.519,39.023,-19.359,71,71
45740,-0.007,-0.727,0.958,-20.84,45.206,-42.771,71,70
45786,0.07,-0.739,0.689,-25.656,33.876,-56.977,72,73
45832,0.223,-0.747,0.591,-28.099,30.16,-53.069,73,69
45878,0.116,-0.808,0.553,-33.328,58.099,-56.046,74,66
45924,-0.005,-0.683,0.663,-31.473,63.695,-49.832,75,65
45977,0.008,-0.676,0.65,-23.42,42.496,-31.672,148,65
46024,-0.031,-0.514,0.671,-23.489,27.267,20.095,92,68
46071,0.112,-0.661,0.53,-29.534,3.451,-15.689,78,64
46159,0.128,-0.703,0.626,-45.427,-22.976,-28.702,20,20
46204,0.067,-0.663,0.764,-53.328,-9.443,-55.427,65,66
46251,0.143,-0.545,0.483,-46.985,-36.405,-77.061,63,64
46297,0.059,-0.578,0.52,-41.069,-38.42,-77.496,62,89
46346,0.236,-0.531,0.46,-29.565,-63.023,-74.679,84,99
46393,0.517,-0.811,0.312,21.139,-50.947,-66.954,73,99
46436,0.606,-0.813,0.31,38.687,78.971,-64.763,71,54
46483,0.708,-0.856,0.27,63.214,57.344,-3.568,63,97
46528,0.384,-1.271,0.335,83.802,85.611,77.58,66,55
46573,0.287,-1.551,1.448,6.882,-1.798,56.489,63,53
46617,1.137,-2.0,0.329,-51.37,-147.863,106.511,57,54
46662,0.734,-1.381,0.56,61.565,-113.924,25.0,65,52
46707,0.895,-1.381,0.347,-40.565,26.351,-21.481,65,57
46752,0.443,-1.979,0.866,33.481,74.466,-29.618,72,52
46803,0.082,-1.087,0.777,144.244,-38.847,-89.359,71,96
46855,0.283,-0.6,0.344,171.634,-50.977,-157.405,128,98
46909,0.227,-0.46,0.034,170.489,-5.779,-158.954,84,0
46962,0.253,0.167,0.287,111.084,81.45,-104.137,59,0
47003,0.023,0.157,0.665,60.366,53.595,-49.099,90,0
47062,0.107,-0.187,0.523,75.817,-15.259,-27.107,164,0
47106,0.524,-0.132,0.366,107.969,34.924,-23.34,139,0
47159,0.642,0.288,0.096,91.092,151.412,-7.7,137,127
47208,0.041,0.43,0.494,26.626,207.634,-1.693,72,112
47260,-0.17,0.5,0.945,-19.198,84.443,-7.423,73,109
47308,-0.008,0.113,0.929,-37.427,-51.42,-26.275,74,108
47363,0.322,0.278,0.802,-45.58,-52.626,-42.565,77,112
47411,0.251,0.11,1.014,-94.656,24.6,-75.328,80,107
47458,0.175,-0.016,1.148,-75.008,33.214,-80.229,112,56
47503,-0.054,-0.258,1.287,-77.008,-10.937,-75.802,85,53
47551,0.005,-0.127,1.147,-72.733,-3.67,-57.397,137,53
47599,-0.1,-0.402,1.321,-72.847,-59.954,-40.916,89,114
47656,0.012,-0.164,1.6,-77.092,-82.55,-50.901,141,0
47713,0.298,-0.448,1.102,-21.0,-77.863,-1.501,152,132
47766,0.315,-0.191,0.938,26.87,-19.25,-6.596,152,133
47820,0.183,-0.189,1.062,21.498,14.099,31.939,152,135
47878,0.252,-0.289,0.938,34.885,-21.989,39.687,153,0
47922,0.233,-0.182,1.073,24.878,-34.076,24.832,153,0
