Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36709,-0.165,-0.962,0.218,-1.836,-5.51,-8.207,100,89
36757,-0.162,-0.957,0.216,4.652,-0.468,-1.893,100,90
36805,-0.169,-0.971,0.218,6.161,2.067,-0.397,101,89
36853,-0.17,-0.954,0.233,4.858,1.319,0.6,101,91
36901,-0.168,-0.964,0.236,1.986,-3.767,-0.706,100,90
36950,-0.159,-0.965,0.245,2.663,-2.945,-0.256,100,91
36998,-0.155,-0.958,0.232,1.857,-2.998,-1.957,101,92
37049,-0.162,-0.967,0.24,0.609,-8.37,-5.158,107,87
37097,-0.158,-0.969,0.235,2.317,-5.252,-2.379,108,85
37145,-0.153,-0.956,0.236,3.088,-0.971,-0.064,108,85
37193,-0.15,-0.962,0.235,0.698,-9.907,-5.773,108,83
37241,-0.153,-0.962,0.229,1.598,-6.076,-3.876,107,84
37289,-0.147,-0.959,0.227,1.26,-5.931,-4.242,108,83
37338,-0.148,-0.955,0.233,1.396,-5.805,-4.156,107,81
37385,-0.145,-0.952,0.229,0.566,-7.346,-5.84,107,82
37433,-0.151,-0.949,0.227,-0.419,-7.473,-6.721,108,81
37484,-0.147,-0.967,0.217,-0.136,-3.67,-3.711,108,82
37532,-0.149,-0.955,0.21,-0.394,-2.111,-3.959,108,82
37580,-0.151,-0.962,0.221,-2.604,-2.568,-4.064,108,81
37628,-0.157,-0.967,0.227,-0.04,-0.308,0.837,107,83
37677,-0.153,-0.96,0.216,-3.181,-3.951,-1.449,108,83
37725,-0.145,-0.97,0.218,-4.844,-3.856,-2.544,95,84
37772,-0.149,-0.956,0.221,0.224,0.606,-0.419,95,84
37819,-0.149,-0.97,0.213,-1.94,-1.116,-1.162,95,84
37867,-0.154,-0.983,0.22,-6.269,-5.639,-5.13,106,85
37919,-0.149,-0.973,0.219,-0.246,0.179,0.225,105,91
37967,-0.156,-0.974,0.217,-4.159,-5.942,-6.065,106,91
38017,-0.152,-0.978,0.222,0.5,-0.316,0.448,105,91
38065,-0.15,-0.984,0.203,-0.556,-4.095,-4.776,105,91
38113,-0.15,-0.969,0.205,-3.433,-13.442,-12.867,32,27
38162,-0.153,-0.978,0.216,0.345,-4.085,-3.232,106,90
38209,-0.152,-0.98,0.211,3.087,-0.088,0.519,94,91
38257,-0.151,-0.971,0.204,2.98,0.333,-0.222,94,91
38305,-0.157,-0.973,0.211,0.858,-5.396,-4.296,93,91
38363,-0.151,-0.967,0.185,0.046,-7.982,-6.73,0,91
38416,-0.153,-0.973,0.187,1.727,-1.628,-3.059,0,91
38470,-0.156,-0.969,0.202,1.85,2.519,1.514,0,91
38524,-0.161,-0.975,0.215,-0.15,-5.186,-2.536,0,90
38579,-0.144,-0.979,0.199,0.711,-1.319,-0.652,0,91
38633,-0.154,-0.977,0.199,-1.538,-11.883,-12.614,0,92
38687,-0.148,-0.97,0.203,2.52,-0.119,0.215,0,91
38742,-0.144,-0.976,0.194,3.375,1.132,1.417,0,92
38796,-0.15,-0.97,0.19,1.82,0.922,-1.653,0,93
38853,-0.155,-0.968,0.199,-0.594,-6.635,-9.595,0,91
38907,-0.157,-0.966,0.188,1.649,-2.615,-2.048,0,91
38962,-0.153,-0.971,0.189,-0.256,-8.091,-9.298,0,92
39015,-0.16,-0.974,0.196,2.839,2.008,0.88,0,87
39069,-0.16,-0.978,0.195,-1.532,-10.008,-3.709,0,85
39123,-0.15,-0.974,0.198,3.422,0.093,1.992,0,86
39177,-0.162,-0.97,0.209,2.563,-3.51,0.223,0,91
39274,-0.135,-0.973,0.192,3.893,-2.217,0.542,0,92
39328,-0.137,-0.976,0.192,2.076,-3.2,-0.806,0,93
39386,-0.156,-0.976,0.206,4.848,-0.323,-0.297,0,91
39440,-0.15,-0.973,0.199,-2.073,-10.378,-7.68,0,91
39494,-0.155,-0.975,0.193,5.261,2.213,0.96,0,91
39548,-0.15,-0.971,0.188,3.158,0.005,0.011,0,91
39603,-0.153,-0.978,0.193,2.554,-1.91,-0.733,0,91
39657,-0.146,-0.981,0.201,2.393,-0.726,-1.903,0,91
39711,-0.154,-0.976,0.2,5.396,4.603,0.891,0,91
39766,-0.165,-0.972,0.211,-0.944,-4.598,-8.154,0,92
39820,-0.154,-0.966,0.218,-0.576,-6.427,-6.502,0,91
39877,-0.15,-0.972,0.198,3.195,-2.731,-2.969,0,92
39931,-0.158,-0.969,0.205,0.016,-3.998,-5.186,0,91
39986,-0.167,-0.965,0.208,-2.67,-7.861,-7.715,0,91
40040,-0.147,-0.963,0.2,0.545,-5.331,-5.207,0,87
40094,-0.149,-0.969,0.202,4.706,2.425,-0.545,0,86
40148,-0.161,-0.975,0.214,3.199,0.134,-2.381,0,86
40203,-0.172,-0.964,0.219,0.597,-4.389,-4.778,0,90
40257,-0.151,-0.973,0.201,1.146,-3.547,-6.148,0,88
40311,-0.159,-0.97,0.205,3.746,1.431,-2.273,0,91
40364,-0.167,-0.96,0.226,4.045,-0.221,-1.194,97,91
40412,-0.163,-0.975,0.223,2.314,-2.251,-3.255,97,91
40460,-0.156,-0.967,0.227,6.929,1.851,0.197,97,90
40508,-0.163,-0.986,0.236,-1.496,-0.95,-3.87,97,86
40556,-0.165,-0.979,0.238,10.342,4.874,0.826,97,85
40604,-0.152,-0.947,0.264,13.564,9.133,6.026,97,85
40652,-0.165,-0.963,0.255,22.908,11.61,11.979,98,84
40700,-0.163,-0.956,0.229,4.723,-2.107,-6.342,106,85
40750,-0.153,-0.938,0.206,-6.734,-5.578,-26.325,106,85
40801,-0.174,-0.951,0.211,0.845,2.991,-18.615,107,85
40850,-0.186,-0.943,0.208,1.045,2.301,-16.885,107,89
40899,-0.189,-0.927,0.202,0.118,2.43,-7.507,107,90
