Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33842,-0.126,-0.999,0.171,2.562,2.077,7.778,84,86
33890,-0.114,-0.98,0.173,-0.307,-6.822,-2.109,86,98
33937,-0.101,-0.99,0.181,-1.618,-6.712,-6.177,85,98
33985,-0.104,-1.005,0.185,-0.255,-3.375,-5.606,85,95
34032,-0.104,-0.982,0.191,1.74,-2.594,-4.012,85,94
34079,-0.111,-0.994,0.183,2.85,-2.102,-4.647,86,92
34126,-0.107,-0.986,0.158,2.963,-0.991,-6.046,86,92
34177,-0.115,-0.975,0.166,0.702,2.133,-5.562,86,93
34223,-0.131,-0.973,0.167,2.619,1.76,-1.306,58,93
34270,-0.132,-0.967,0.177,-0.474,-3.045,-1.398,87,94
34316,-0.102,-0.961,0.148,-0.972,-1.08,0.32,58,93
34361,-0.092,-0.947,0.154,0.286,5.973,4.604,58,94
34409,-0.118,-0.965,0.159,0.21,10.563,4.85,87,94
34456,-0.135,-0.976,0.181,-0.782,11.068,5.159,88,94
34504,-0.142,-1.03,0.186,-0.785,6.839,7.73,88,95
34551,-0.112,-1.009,0.197,-0.817,-1.205,5.741,87,94
34599,-0.087,-0.976,0.173,-0.585,2.637,6.747,39,95
34647,-0.124,-0.985,0.198,-2.773,2.01,0.517,86,94
34694,-0.127,-0.979,0.195,-3.819,-6.859,-7.273,86,94
34742,-0.142,-1.043,0.199,-8.261,-12.244,-11.848,87,94
34789,-0.162,-1.079,0.259,-3.228,-18.939,-9.411,81,95
34837,-0.032,-0.92,0.159,13.174,-8.335,8.432,87,94
34884,0.013,-0.819,0.09,8.693,0.658,22.519,86,96
34932,-0.107,-0.964,0.106,5.838,31.076,16.676,87,95
34979,-0.187,-1.035,0.138,-9.717,15.437,-17.772,88,95
35031,-0.218,-0.997,0.213,-19.412,-7.483,-38.718,94,94
35079,-0.176,-0.945,0.208,-21.877,-38.313,-26.74,88,93
35126,-0.14,-0.986,0.187,-23.984,-51.389,-9.773,26,28
35180,-0.078,-1.042,0.147,-1.002,-43.84,12.763,0,96
35227,-0.069,-1.034,0.158,-1.302,-23.624,8.469,84,82
35274,-0.081,-1.0,0.172,12.086,-5.039,22.221,70,96
35319,-0.087,-0.987,0.179,17.776,0.393,29.71,58,83
35374,-0.089,-0.993,0.153,17.869,2.476,31.679,0,84
35427,-0.088,-0.989,0.123,8.317,1.874,29.0,0,89
35484,-0.082,-0.971,0.116,12.951,12.942,22.695,0,92
35532,-0.106,-0.946,0.137,9.329,16.248,19.643,88,95
35580,-0.111,-0.966,0.148,-0.889,4.057,-0.4,88,94
35628,-0.092,-0.983,0.139,-4.739,1.961,-9.794,90,89
35682,-0.096,-1.001,0.169,-6.894,8.07,-15.129,0,96
35737,-0.107,-0.994,0.187,-2.824,21.502,-7.511,0,105
35785,-0.115,-0.986,0.184,-5.376,15.668,-24.84,91,99
35833,-0.129,-0.998,0.184,-9.467,10.188,-29.466,91,104
35883,-0.129,-0.997,0.191,-5.387,18.734,-33.115,93,94
35933,-0.136,-1.0,0.196,-6.37,11.251,-32.16,87,93
35979,-0.14,-0.997,0.19,-4.376,9.513,-27.092,57,94
36027,-0.14,-0.99,0.191,-1.158,12.606,-16.334,96,94
36076,-0.156,-0.982,0.169,0.143,10.421,-7.113,96,94
36124,-0.152,-0.976,0.169,-0.603,-1.496,-7.472,96,93
36172,-0.134,-0.985,0.167,-1.172,-8.472,3.215,96,92
36220,-0.128,-0.985,0.156,-0.616,-12.957,16.198,95,93
36312,-0.11,-0.99,0.153,0.642,-10.916,26.786,87,94
36360,-0.105,-0.986,0.153,1.854,-7.959,29.275,93,97
36410,-0.109,-0.994,0.155,1.053,-18.654,28.672,64,104
36458,-0.093,-0.994,0.159,0.858,-13.75,25.74,86,98
36505,-0.093,-0.999,0.148,0.432,-12.498,20.855,91,84
36554,-0.077,-0.996,0.147,0.692,-12.168,12.539,91,112
36603,-0.08,-0.993,0.15,-0.299,-6.484,7.112,91,107
36652,-0.09,-0.997,0.157,0.816,0.425,4.798,91,86
36699,-0.081,-0.998,0.146,1.915,4.07,-1.172,90,87
36747,-0.1,-0.996,0.156,3.729,15.886,-0.351,78,104
36795,-0.118,-0.987,0.167,4.689,17.215,-3.713,91,105
36847,-0.109,-0.989,0.158,2.364,7.564,-20.274,91,104
36895,-0.119,-0.986,0.172,4.359,19.104,-10.016,79,98
36943,-0.122,-0.98,0.165,3.465,15.458,-17.963,94,97
36999,-0.132,-0.98,0.172,2.802,15.912,-15.843,0,97
37053,-0.137,-0.99,0.181,1.985,10.415,-16.178,0,102
37101,-0.135,-0.983,0.181,1.595,7.877,-12.586,64,103
37148,-0.154,-0.976,0.188,0.376,3.109,-9.517,65,103
37202,-0.15,-0.977,0.191,1.197,1.779,-1.113,0,97
37258,-0.142,-0.989,0.192,1.194,-2.012,4.096,0,103
37310,-0.125,-0.982,0.193,2.572,-1.367,10.453,0,101
37364,-0.125,-0.98,0.197,2.68,-3.512,12.612,0,94
37420,-0.125,-0.985,0.192,1.218,-10.853,5.174,0,95
37469,-0.11,-0.983,0.19,5.023,-5.288,17.591,94,102
37517,-0.109,-0.984,0.187,2.868,-6.981,8.948,80,103
37564,-0.107,-0.986,0.19,6.223,-1.744,14.103,79,91
37611,-0.105,-0.984,0.192,3.879,-2.013,6.18,79,86
37658,-0.109,-0.983,0.196,3.596,-0.619,5.337,79,83
37705,-0.111,-0.98,0.192,2.199,-1.845,1.096,90,85
37756,-0.104,-0.974,0.183,3.462,1.835,1.478,89,84
37805,-0.107,-0.973,0.195,2.178,3.497,-2.462,90,86
37852,-0.127,-0.968,0.192,0.969,3.653,-4.182,80,86
37899,-0.128,-0.973,0.187,-0.999,2.22,-10.034,90,88
37948,-0.125,-0.97,0.198,-1.302,4.345,-6.467,91,96
37997,-0.13,-0.963,0.206,-2.256,2.555,-10.143,92,105
38045,-0.133,-0.973,0.182,-2.279,2.981,-9.063,80,103
38093,-0.126,-0.978,0.185,-2.602,5.838,-7.053,93,101
38142,-0.146,-0.963,0.204,-3.76,4.907,-6.244,95,94
38200,-0.144,-0.965,0.216,-5.485,-1.152,-3.506,0,95
38255,-0.132,-0.983,0.214,-2.914,-3.762,2.722,0,95
38310,-0.108,-0.982,0.192,-3.151,-0.583,3.648,0,102
38366,-0.128,-0.98,0.215,-1.277,0.544,6.527,0,103
38414,-0.116,-0.991,0.219,-0.273,-2.636,6.175,81,96
38462,-0.104,-1.001,0.206,2.034,-0.484,7.691,80,96
38509,-0.101,-0.985,0.205,3.462,2.711,5.474,79,96
38557,-0.119,-0.982,0.213,3.007,2.414,4.132,79,95
38605,-0.114,-0.988,0.206,3.621,-0.319,1.521,95,96
38658,-0.103,-0.971,0.189,5.286,2.345,-0.003,95,96
38707,-0.114,-0.975,0.191,2.171,3.273,-1.664,95,95
38755,-0.127,-0.975,0.189,4.777,6.033,-0.328,95,96
38847,-0.129,-0.969,0.193,0.715,3.596,-1.339,95,95
38896,-0.125,-0.977,0.197,0.148,2.872,-0.616,96,95
38944,-0.118,-0.975,0.189,-2.126,1.046,-2.896,95,97
38993,-0.135,-0.973,0.201,-1.771,2.909,-1.974,95,103
39044,-0.129,-0.981,0.208,-1.355,1.431,-0.916,95,102
39092,-0.123,-0.975,0.205,-0.647,2.372,0.247,80,97
39143,-0.124,-0.983,0.207,-0.179,3.778,1.213,81,96
39192,-0.13,-0.977,0.208,-0.075,2.194,0.92,96,103
39241,-0.124,-0.975,0.2,0.307,2.731,1.512,96,95
39289,-0.124,-0.984,0.206,0.771,2.074,1.463,96,95
39339,-0.124,-0.971,0.205,0.248,1.616,0.648,96,94
39387,-0.126,-0.982,0.197,0.401,1.004,0.269,95,94
39436,-0.129,-0.977,0.184,-0.125,0.118,0.405,95,92
39484,-0.124,-0.978,0.205,-0.171,0.098,0.475,95,92
39533,-0.126,-0.981,0.202,-0.619,0.237,0.062,95,93
39583,-0.121,-0.985,0.196,-0.24,0.316,0.419,72,93
39631,-0.133,-0.978,0.207,-1.001,-1.267,-0.913,73,94
39680,-0.126,-0.97,0.204,-0.202,-1.782,-0.561,90,95
39729,-0.125,-0.983,0.19,0.165,-1.197,0.248,89,95
39776,-0.122,-0.98,0.193,0.972,0.676,1.1,73,94
39824,-0.121,-0.991,0.191,0.009,0.858,0.66,90,93
39873,-0.121,-0.975,0.206,-0.183,0.297,-0.102,94,94
39922,-0.121,-0.974,0.216,-1.222,-0.978,-1.254,95,94
39971,-0.127,-0.98,0.198,-1.318,-1.727,-2.427,95,94
40023,-0.124,-0.978,0.199,-1.208,-0.468,-1.959,89,94
40077,-0.129,-0.977,0.201,-0.565,-0.423,-1.867,88,93
40124,-0.127,-0.983,0.198,-0.085,0.337,-0.838,88,92
40172,-0.125,-0.976,0.196,0.313,0.834,-0.145,87,93
40219,-0.129,-0.971,0.205,0.176,0.592,0.082,87,93
40266,-0.137,-0.98,0.197,0.658,0.418,1.566,86,93
40313,-0.128,-0.974,0.187,1.097,0.946,2.035,87,92
40360,-0.121,-0.972,0.192,0.544,0.662,1.177,87,92
40408,-0.12,-0.975,0.203,0.704,0.498,2.008,88,93
40458,-0.122,-0.982,0.187,0.831,0.914,1.874,88,92
40505,-0.115,-0.987,0.209,0.883,2.832,2.328,88,92
40553,-0.119,-0.98,0.21,0.811,2.279,1.211,87,93
40600,-0.119,-0.989,0.209,0.048,-0.555,-1.554,26,28
40647,-0.116,-0.974,0.205,1.371,2.64,-1.53,87,92
40694,-0.124,-0.977,0.209,1.188,1.652,-1.823,87,93
40742,-0.126,-0.98,0.211,2.455,1.365,-1.543,88,91
40790,-0.122,-0.972,0.2,3.212,2.982,-0.951,88,93
40837,-0.136,-0.976,0.208,1.634,3.177,-1.798,88,93
40888,-0.14,-0.961,0.204,1.057,0.277,-1.133,96,92
40936,-0.135,-0.971,0.19,0.586,0.013,0.352,96,92
40983,-0.13,-0.964,0.197,-0.17,0.492,0.536,96,92
41031,-0.124,-0.967,0.213,-1.06,1.071,1.465,96,91
41079,-0.127,-0.973,0.218,-1.162,-1.334,1.308,96,93
41127,-0.119,-0.975,0.201,-0.636,-0.148,1.306,96,93
