Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35090,-0.099,-0.948,0.259,-2.418,4.631,-11.508,0,78
35143,-0.129,-0.95,0.323,-0.72,10.855,-4.415,0,79
35197,-0.096,-0.94,0.247,-6.768,2.311,-11.588,0,98
35250,-0.119,-0.947,0.267,-9.696,5.821,-11.874,0,62
35305,-0.103,-0.944,0.325,-3.654,15.558,-3.578,0,60
35357,-0.107,-0.981,0.293,-6.362,20.427,-6.738,0,60
35414,-0.131,-0.969,0.245,-10.801,-3.307,-16.394,0,60
35454,-0.086,-0.97,0.252,-4.091,16.549,-3.012,16,59
35505,-0.117,-0.983,0.257,-6.36,7.915,-8.377,0,58
35560,-0.069,-0.959,0.224,-5.47,10.869,-7.839,0,59
35612,-0.134,-0.983,0.267,-5.249,3.85,-9.757,0,59
35667,-0.07,-0.967,0.155,-10.829,-12.975,-17.769,0,56
35720,-0.071,-0.979,0.244,-1.911,18.878,-0.131,0,59
35775,-0.076,-0.989,0.215,-3.943,22.13,-6.199,0,59
35827,-0.081,-0.987,0.18,-7.271,26.656,-11.3,0,57
35884,-0.035,-0.978,0.178,-7.322,34.26,-12.661,0,58
35937,-0.057,-1.0,0.186,-1.197,49.405,0.055,0,75
35987,-0.071,-0.994,0.175,-1.095,51.107,-6.985,102,76
36034,-0.075,-1.002,0.167,0.7,53.015,-4.168,101,78
36081,-0.094,-0.999,0.162,1.882,50.45,-5.772,93,78
36128,-0.106,-0.994,0.158,0.515,47.229,-23.4,95,76
36176,-0.125,-0.994,0.152,1.127,41.26,-12.931,96,85
36224,-0.132,-0.982,0.166,0.011,30.901,-18.947,98,85
36272,-0.127,-0.988,0.163,0.011,19.412,-14.964,98,85
36320,-0.122,-0.987,0.159,1.353,24.095,-2.263,104,91
36371,-0.108,-0.989,0.134,0.946,9.134,-6.009,104,91
36418,-0.107,-0.992,0.145,1.072,9.627,-2.149,65,90
36466,-0.098,-0.994,0.146,2.495,11.295,0.748,105,90
36514,-0.102,-0.997,0.156,4.96,18.453,4.67,106,88
36569,-0.069,-0.994,0.141,0.135,0.982,-0.773,0,91
36622,-0.123,-0.99,0.181,-1.694,4.331,0.399,0,92
36676,-0.124,-0.99,0.126,-1.68,-7.819,-0.054,0,91
36730,-0.091,-0.993,0.168,1.09,-11.204,0.284,0,92
36785,-0.076,-0.998,0.147,2.845,-1.876,0.639,0,92
36839,-0.064,-0.983,0.14,9.01,17.265,0.694,0,90
36883,-0.134,-0.982,0.179,0.089,7.647,-3.963,73,91
36930,-0.14,-0.993,0.194,4.934,3.411,-1.564,74,92
36978,-0.093,-0.988,0.168,2.827,-6.274,-5.592,107,91
37026,-0.092,-0.979,0.16,1.552,-0.078,-5.518,95,91
37072,-0.11,-0.984,0.178,1.76,0.383,-5.918,73,86
37120,-0.12,-0.982,0.172,1.69,-0.376,-4.304,74,91
37169,-0.109,-0.995,0.155,1.286,-0.762,-3.7,107,91
37217,-0.098,-0.984,0.16,1.085,4.247,-2.844,106,91
37264,-0.103,-0.99,0.17,0.33,6.988,-1.774,74,91
37316,-0.083,-0.976,0.168,3.342,21.579,0.574,106,92
37364,-0.121,-0.998,0.191,2.757,18.926,-0.073,106,93
37413,-0.126,-0.973,0.195,0.011,1.109,-5.692,106,94
37463,-0.097,-0.986,0.179,3.19,3.953,-5.069,107,92
37511,-0.127,-0.977,0.212,3.012,7.121,-4.407,107,92
37558,-0.127,-0.999,0.18,1.459,-5.444,-7.474,75,94
37655,-0.134,-0.979,0.192,4.303,4.792,-0.698,0,91
37702,-0.106,-0.982,0.165,4.306,-1.277,-0.778,74,91
37749,-0.117,-0.978,0.18,1.201,-1.084,-0.411,74,91
