Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35090,-0.099,-0.948,0.352,0.901,13.521,-2.683,0,78
35143,-0.129,-0.95,0.327,-1.243,9.737,-5.538,0,79
35197,-0.096,-0.94,0.249,-5.611,4.412,-9.534,0,98
35250,-0.119,-0.947,0.601,11.846,42.65,17.32,0,63
35305,-0.103,-0.944,0.18,-15.192,-2.393,-18.626,0,60
35357,-0.107,-0.981,0.106,-20.83,20.427,-23.983,0,60
35414,-0.131,-0.969,0.238,-8.724,0.5,-13.83,0,60
35454,-0.086,-0.97,0.384,3.847,30.952,6.951,17,61
35505,-0.117,-0.983,0.163,-11.785,-0.008,-15.972,0,54
35560,-0.069,-0.959,0.298,-1.103,16.622,-1.765,0,62
35612,-0.134,-0.983,0.232,-7.312,0.52,-12.692,0,58
35667,-0.07,-0.967,0.22,-4.156,2.005,-7.771,0,59
35720,-0.071,-0.979,0.288,-1.086,18.878,0.999,0,61
35775,-0.076,-0.989,0.16,-6.559,22.13,-9.949,0,57
35827,-0.081,-0.987,0.106,-9.213,26.656,-14.013,0,55
35884,-0.035,-0.978,0.178,-5.044,34.26,-7.981,0,59
35937,-0.057,-1.0,0.186,-3.095,49.405,-5.511,0,75
35987,-0.071,-0.994,0.175,4.832,51.107,14.514,102,76
36034,-0.075,-1.002,0.167,-0.619,53.015,-12.231,101,78
36081,-0.094,-0.999,0.162,0.968,50.45,-14.12,93,78
36128,-0.106,-0.994,0.158,0.894,47.229,-17.792,95,76
36176,-0.125,-0.994,0.152,2.38,41.26,0.765,96,85
36224,-0.132,-0.982,0.166,-0.851,30.901,-27.06,98,85
36272,-0.127,-0.988,0.163,-0.946,19.412,-24.394,98,85
36320,-0.122,-0.987,0.159,2.535,37.148,6.254,104,91
36371,-0.108,-0.989,0.134,2.024,17.546,-0.505,104,91
36418,-0.107,-0.992,0.145,0.88,8.312,-2.837,65,90
36466,-0.098,-0.994,0.146,7.57,29.282,7.713,105,90
36514,-0.102,-0.997,0.156,8.712,30.393,8.53,106,88
36569,-0.069,-0.994,0.141,5.803,15.785,4.322,0,91
36622,-0.123,-0.99,0.181,14.624,36.825,14.617,0,92
36676,-0.124,-0.99,0.145,1.821,-2.358,2.58,0,91
36730,-0.091,-0.993,0.168,14.98,8.426,8.439,0,92
36785,-0.076,-0.998,0.147,-0.034,-5.692,-0.772,0,92
36839,-0.064,-0.983,0.14,18.112,30.41,5.005,0,90
36883,-0.134,-0.982,0.179,9.353,23.123,1.613,73,91
36930,-0.14,-0.993,0.194,3.438,0.479,-2.773,74,92
36978,-0.093,-0.988,0.168,1.572,-8.185,-7.203,107,91
37026,-0.092,-0.979,0.16,-1.902,-2.848,-10.977,95,91
37072,-0.11,-0.984,0.178,10.148,6.752,8.098,73,86
37120,-0.12,-0.982,0.172,4.999,2.312,1.126,74,91
37169,-0.109,-0.995,0.155,3.36,2.387,-0.224,107,91
37217,-0.098,-0.984,0.16,0.449,2.531,-3.778,106,91
37264,-0.103,-0.99,0.17,-2.653,-6.211,-6.144,74,91
37316,-0.083,-0.976,0.168,3.391,20.776,0.51,106,92
37364,-0.121,-0.998,0.191,2.158,15.765,-1.092,106,93
37413,-0.126,-0.973,0.456,7.204,26.19,5.374,106,94
37463,-0.097,-0.986,0.179,-3.529,-12.668,-16.715,107,92
37511,-0.127,-0.977,0.155,0.945,3.708,-7.604,107,92
37558,-0.127,-0.999,0.22,3.518,-3.027,-5.089,75,94
37655,-0.134,-0.979,0.192,1.277,1.511,-3.721,0,91
37702,-0.106,-0.982,0.165,2.789,-2.825,-1.898,74,91
37749,-0.117,-0.978,0.18,4.069,2.062,0.923,74,91
37807,-0.103,-0.987,0.169,-1.453,-8.44,-1.47,0,91
37861,-0.106,-0.968,0.197,1.767,4.521,0.408,0,91
37915,-0.125,-0.986,0.127,-0.949,-8.477,-0.904,0,91
37962,-0.092,-0.965,0.171,6.203,6.784,3.477,74,91
38008,-0.109,-0.987,0.437,5.763,8.729,3.9,75,91
38063,-0.09,-0.983,0.191,-1.961,-3.89,-5.257,0,91
38117,-0.122,-0.977,0.197,-4.218,-8.154,-9.002,0,91
38171,-0.124,-0.979,0.197,3.844,4.242,3.396,0,91
38225,-0.11,-0.982,0.177,0.863,-0.477,-1.179,0,91
38276,-0.129,-0.987,0.19,-0.801,-6.318,-3.925,75,91
38323,-0.127,-0.976,0.19,-1.03,-8.579,-2.648,75,91
38370,-0.12,-0.983,0.195,-2.48,-13.18,-2.466,75,91
38417,-0.096,-0.982,0.168,-2.183,-11.359,-2.209,75,92
38464,-0.11,-0.975,0.175,-2.928,-5.268,-1.203,74,91
38512,-0.127,-0.98,0.292,0.373,-0.426,0.934,76,91
38566,-0.1,-0.98,0.172,-2.49,-7.907,-1.342,0,91
38621,-0.115,-0.982,0.196,-4.558,-11.676,-3.804,0,91
38668,-0.1,-0.993,0.18,-0.258,-6.469,-1.457,74,92
38718,-0.11,-0.98,0.196,1.224,1.765,0.367,74,93
38765,-0.123,-0.99,0.194,-0.106,-8.557,-2.616,75,93
38814,-0.104,-0.974,0.181,-1.103,-10.196,-3.769,106,93
38861,-0.115,-0.978,0.186,2.394,1.924,0.655,76,92
38908,-0.12,-0.98,0.181,1.06,-2.55,-1.064,75,92
38958,-0.125,-0.975,0.181,-1.125,-9.003,-2.51,106,92
39007,-0.106,-0.987,0.176,-1.769,-13.781,-3.473,106,94
39056,-0.112,-0.975,0.181,-0.511,-2.174,0.21,106,92
39108,-0.099,-0.985,0.17,-1.056,-8.151,-1.833,106,93
39157,-0.127,-0.979,0.071,-1.731,-6.627,-1.034,106,94
39206,-0.109,-0.984,0.193,-0.079,-6.915,-0.653,106,94
39256,-0.109,-0.977,0.19,2.657,6.553,3.232,107,93
39304,-0.098,-0.985,0.179,-1.782,-14.621,-6.181,75,93
39351,-0.102,-0.968,0.191,3.629,2.196,0.895,78,92
39405,-0.117,-0.981,0.193,0.391,-7.368,-5.481,0,91
39459,-0.09,-0.989,0.163,3.071,-1.488,-1.581,0,93
39515,-0.111,-0.976,0.178,-1.608,-1.68,-9.56,0,92
39572,-0.111,-0.981,0.187,-0.497,-1.706,-6.133,0,90
39626,-0.115,-0.98,0.196,-0.506,-1.026,-3.672,0,90
39675,-0.113,-0.978,0.155,-1.101,-1.285,-8.352,106,90
39725,-0.137,-0.97,0.137,-2.026,-5.035,-10.933,106,88
39774,-0.139,-0.983,0.255,0.097,-5.12,-4.114,106,88
39823,-0.11,-0.987,0.102,-1.764,-11.119,-10.507,106,88
39872,-0.115,-0.98,0.303,7.404,6.634,1.982,106,89
39921,-0.136,-0.981,0.169,2.349,-0.411,-1.292,107,90
39970,-0.135,-0.977,0.033,-4.755,-7.961,-3.661,106,90
40028,-0.124,-0.983,0.558,25.529,5.772,18.915,0,91
40075,-0.109,-0.969,0.196,0.133,-4.593,0.702,77,91
40124,-0.116,-0.979,0.243,6.48,-0.255,6.528,107,91
40217,-0.11,-0.969,0.389,10.091,2.099,10.956,107,92
40264,-0.105,-0.967,0.211,2.418,-4.359,3.238,74,91
40318,-0.108,-0.977,0.143,-1.087,-7.75,0.25,0,87
40366,-0.111,-0.973,0.41,3.544,6.766,4.912,74,87
40413,-0.117,-0.971,0.328,1.037,1.779,2.42,73,88
40460,-0.125,-0.981,0.201,-3.311,-6.243,-3.047,73,90
40511,-0.114,-0.984,0.182,-2.872,-5.345,-4.621,73,91
40565,-0.132,-0.984,0.296,-0.301,1.17,-0.52,0,89
40614,-0.133,-0.982,0.268,0.495,-3.003,-1.233,104,89
40664,-0.123,-0.973,-0.081,-5.085,-13.464,-7.575,103,90
40713,-0.124,-0.979,0.156,0.705,-3.508,-0.857,103,90
40762,-0.136,-0.972,0.194,2.776,-1.623,1.922,104,90
40811,-0.131,-0.978,0.289,2.865,-0.278,3.528,104,91
40860,-0.127,-0.981,0.192,3.497,2.693,4.489,104,87
40908,-0.115,-0.974,0.188,0.351,-2.455,1.33,105,86
40967,-0.12,-0.975,0.192,3.485,12.219,3.849,0,87
41021,-0.125,-0.977,0.55,6.238,11.906,5.374,0,85
41075,-0.124,-0.982,0.113,-4.132,-6.398,-4.126,0,86
41131,-0.109,-0.972,0.224,-0.448,-1.984,-1.365,0,86
41185,-0.124,-0.975,0.193,6.537,8.648,8.787,0,86
41234,-0.114,-0.967,0.172,7.617,8.901,9.609,105,86
41283,-0.132,-0.977,0.187,3.827,4.096,5.01,105,86
41332,-0.115,-0.969,0.183,-11.401,-5.12,-15.063,104,86
41381,-0.126,-0.986,0.186,-7.4,-2.121,-9.199,105,91
41434,-0.114,-0.997,0.176,-0.983,3.307,-2.387,104,92
41489,-0.141,-0.988,0.17,-4.511,-0.236,-7.748,104,90
41537,-0.133,-0.981,0.195,1.657,-2.463,2.484,104,91
41585,-0.111,-0.982,0.181,3.497,3.141,2.995,104,90
41634,-0.133,-0.981,0.114,-0.756,-2.046,-7.915,105,91
41688,-0.134,-0.978,0.186,4.031,-0.186,0.21,0,90
41741,-0.13,-0.981,0.187,6.782,1.913,5.054,0,86
41795,-0.125,-0.978,0.179,3.912,-2.392,2.843,0,85
41848,-0.116,-0.984,0.182,3.528,-2.687,3.661,0,86
41905,-0.119,-0.973,0.189,0.858,-3.946,1.378,0,94
41959,-0.12,-0.984,0.214,4.458,-1.154,4.635,0,94
42013,-0.114,-0.977,0.196,6.743,0.569,6.621,0,93
42067,-0.119,-0.976,0.194,4.277,1.853,3.587,0,93
42114,-0.13,-0.985,0.19,3.388,-0.083,0.806,69,95
42160,-0.129,-0.981,0.183,2.719,0.175,-0.887,71,94
42207,-0.137,-0.974,0.18,6.492,1.616,2.508,68,94
42253,-0.135,-0.974,0.177,0.158,-2.099,-2.557,67,93
42299,-0.14,-0.971,0.175,-1.465,0.042,-4.212,69,94
42349,-0.147,-0.974,0.18,4.339,6.865,6.54,71,93
42395,-0.138,-0.968,0.192,-4.388,-3.7,-5.606,71,93
42442,-0.146,-0.974,0.189,-3.775,-4.222,-4.165,68,93
42488,-0.137,-0.978,0.195,-1.753,-2.918,-2.704,68,92
42534,-0.135,-0.978,0.312,1.331,1.977,0.213,69,92
42582,-0.143,-0.982,0.276,2.032,1.82,0.347,69,93
42628,-0.144,-0.98,0.12,-0.252,-2.456,-1.613,68,93
42674,-0.127,-0.975,0.183,8.024,3.04,5.692,69,94
42764,-0.137,-0.985,0.185,9.098,3.122,6.082,71,92
