Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33842,-0.126,-0.999,0.171,2.478,1.757,7.465,84,86
33890,-0.114,-0.98,0.173,-0.886,-8.929,-4.482,86,98
33937,-0.101,-0.99,0.181,-2.1,-8.228,-7.987,85,98
33985,-0.104,-1.005,0.185,0.685,-0.589,-2.718,85,95
34032,-0.104,-0.982,0.191,1.408,-3.039,-4.76,85,94
34079,-0.111,-0.994,0.183,2.753,-2.203,-4.822,86,92
34126,-0.107,-0.986,0.158,4.717,0.365,-3.701,86,92
34177,-0.115,-0.975,0.166,2.843,3.898,-3.029,86,93
34223,-0.131,-0.973,0.167,1.787,1.055,-2.202,58,93
34270,-0.132,-0.967,0.177,-0.979,-4.147,-2.264,87,94
34316,-0.102,-0.961,0.148,-1.334,-2.781,-0.768,58,93
34361,-0.092,-0.947,0.154,0.642,9.127,6.365,58,94
34409,-0.118,-0.965,0.159,1.311,17.959,9.594,87,94
34456,-0.135,-0.976,0.181,-1.342,7.405,2.537,88,94
34504,-0.142,-1.03,0.186,-2.086,0.026,1.95,88,95
34551,-0.112,-1.009,0.197,-1.545,-3.264,3.626,87,94
34599,-0.087,-0.976,0.173,0.103,3.725,8.304,40,95
34647,-0.124,-0.985,0.198,-1.387,4.075,3.161,86,94
34694,-0.127,-0.979,0.195,-3.981,-7.213,-7.576,86,94
34742,-0.142,-1.043,0.199,-7.122,-9.522,-10.468,87,94
34789,-0.162,-1.079,0.259,-5.005,-22.448,-11.951,81,95
34837,-0.032,-0.92,0.159,6.007,-27.474,-2.39,87,94
34884,0.013,-0.819,0.09,11.54,9.173,22.519,86,96
34932,-0.107,-0.964,0.106,3.076,31.076,14.883,87,95
34979,-0.187,-1.035,0.138,6.57,35.217,-14.638,88,95
35031,-0.218,-0.997,0.213,-19.412,-3.217,-38.718,94,94
35079,-0.176,-0.945,0.208,-10.84,-38.313,-26.74,88,93
35126,-0.14,-0.986,0.187,-3.778,-51.389,1.46,88,93
35180,-0.078,-1.042,0.147,3.696,-43.84,17.526,0,96
35227,-0.069,-1.034,0.158,6.46,-16.635,20.164,84,82
35274,-0.081,-1.0,0.172,16.62,-0.922,22.221,70,96
35319,-0.087,-0.987,0.179,23.189,3.137,29.71,58,83
35374,-0.089,-0.993,0.153,6.042,-2.104,31.679,0,84
35427,-0.088,-0.989,0.123,27.617,11.559,29.0,0,89
35484,-0.082,-0.971,0.116,13.14,13.085,22.695,0,92
35532,-0.106,-0.946,0.137,5.742,12.18,13.043,88,95
35580,-0.111,-0.966,0.148,-2.768,0.807,-4.087,88,94
35628,-0.092,-0.983,0.139,-5.37,0.553,-11.244,90,89
35682,-0.096,-1.001,0.169,-6.553,8.857,-14.164,0,96
35737,-0.107,-0.994,0.187,-11.143,4.697,-32.899,0,105
35785,-0.115,-0.986,0.184,-6.517,13.388,-24.84,91,99
35833,-0.129,-0.998,0.184,-5.9,17.827,-29.466,91,104
35883,-0.129,-0.997,0.191,-4.22,21.415,-33.115,93,94
35933,-0.136,-1.0,0.196,-4.794,15.373,-32.16,87,93
35979,-0.14,-0.997,0.19,0.128,23.868,-27.092,57,94
36027,-0.14,-0.99,0.191,-3.794,2.454,-37.807,96,94
36076,-0.156,-0.982,0.169,-1.888,0.528,-25.712,96,94
36124,-0.152,-0.976,0.169,-0.979,-4.19,-12.061,96,93
36172,-0.134,-0.985,0.167,-0.825,-4.938,9.616,96,92
36220,-0.128,-0.985,0.156,0.265,-5.473,16.198,95,93
36312,-0.11,-0.99,0.153,0.457,-12.489,26.786,87,94
36360,-0.105,-0.986,0.153,1.257,-13.937,29.275,93,97
36410,-0.109,-0.994,0.155,2.089,-7.595,28.672,64,104
36458,-0.093,-0.994,0.159,0.879,-13.549,25.74,86,98
36505,-0.093,-0.999,0.148,0.848,-7.688,20.855,91,84
36554,-0.077,-0.996,0.147,0.472,-15.167,8.09,91,112
36603,-0.08,-0.993,0.15,-0.253,-6.045,7.701,91,107
36652,-0.09,-0.997,0.157,-0.424,-6.626,-3.11,91,86
36699,-0.081,-0.998,0.146,1.679,3.059,-2.256,90,87
36747,-0.1,-0.996,0.156,1.771,9.038,-8.51,78,104
36795,-0.118,-0.987,0.167,2.918,10.894,-12.047,91,105
36847,-0.109,-0.989,0.158,2.929,9.811,-17.303,91,104
36895,-0.119,-0.986,0.172,3.589,15.881,-14.436,79,98
36943,-0.122,-0.98,0.165,4.033,17.915,-14.644,94,97
36999,-0.132,-0.98,0.172,3.251,17.971,-13.257,0,97
37053,-0.137,-0.99,0.181,1.289,7.19,-19.924,0,102
37101,-0.135,-0.983,0.181,2.62,12.353,-7.825,64,103
37148,-0.154,-0.976,0.188,0.56,3.814,-8.752,65,103
37202,-0.15,-0.977,0.191,1.15,1.659,-1.261,0,97
37258,-0.142,-0.989,0.192,2.081,-0.236,7.038,0,103
37310,-0.125,-0.982,0.193,1.544,-3.18,6.945,0,101
37364,-0.125,-0.98,0.197,2.198,-4.441,10.782,0,94
37420,-0.125,-0.985,0.192,0.14,-12.792,1.364,0,95
37469,-0.11,-0.983,0.19,4.205,-6.567,14.945,94,102
37517,-0.109,-0.984,0.187,2.11,-7.898,6.967,80,103
37564,-0.107,-0.986,0.19,5.979,-1.944,13.538,79,91
37611,-0.105,-0.984,0.192,5.158,-1.341,8.516,79,86
37658,-0.109,-0.983,0.196,5.398,0.04,7.921,79,83
37705,-0.111,-0.98,0.192,1.367,-2.205,-0.004,90,85
37756,-0.104,-0.974,0.183,4.562,2.576,3.297,89,84
37805,-0.107,-0.973,0.195,0.982,2.092,-5.52,90,86
37852,-0.127,-0.968,0.192,1.265,4.141,-3.057,80,86
37899,-0.128,-0.973,0.187,0.544,5.092,-2.04,90,88
37948,-0.125,-0.97,0.198,-1.799,3.468,-9.15,91,96
37997,-0.13,-0.963,0.206,-0.328,5.75,-2.033,92,105
38045,-0.133,-0.973,0.182,-1.92,3.547,-7.918,80,103
38093,-0.126,-0.978,0.185,-0.245,8.736,-1.782,93,101
38142,-0.146,-0.963,0.204,-3.572,5.145,-5.936,95,94
38200,-0.144,-0.965,0.216,-3.078,1.392,-0.215,0,95
38255,-0.132,-0.983,0.214,-3.525,-4.258,1.828,0,95
38310,-0.108,-0.982,0.192,-2.965,-0.444,4.008,0,102
38366,-0.128,-0.98,0.215,-2.793,-1.068,2.221,0,103
38414,-0.116,-0.991,0.219,0.165,-2.24,7.545,81,96
38462,-0.104,-1.001,0.206,3.101,0.625,10.515,80,96
38509,-0.101,-0.985,0.205,4.996,3.897,8.135,79,96
38557,-0.119,-0.982,0.213,4.688,3.327,5.9,79,95
38605,-0.114,-0.988,0.206,3.457,-0.425,1.398,95,96
38658,-0.103,-0.971,0.189,3.163,0.872,-1.223,95,96
38707,-0.114,-0.975,0.191,2.632,3.66,-1.431,95,95
38755,-0.127,-0.975,0.189,3.056,4.021,-1.451,95,96
38847,-0.129,-0.969,0.193,-0.554,1.719,-2.608,95,95
38896,-0.125,-0.977,0.197,-0.874,1.238,-1.971,96,95
38944,-0.118,-0.975,0.189,-2.004,1.249,-2.706,95,97
38993,-0.135,-0.973,0.201,-1.705,2.986,-1.905,95,103
39044,-0.129,-0.981,0.208,-0.873,2.046,-0.505,95,102
39092,-0.123,-0.975,0.205,-2.178,0.036,-0.956,80,97
39143,-0.124,-0.983,0.207,-0.832,2.54,0.643,81,96
39192,-0.13,-0.977,0.208,0.34,3.088,1.374,96,103
