Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35090,-0.099,-0.948,0.286,-1.036,8.485,-7.683,0,78
35143,-0.129,-0.95,0.212,-7.458,-2.379,-17.695,0,79
35197,-0.096,-0.94,0.215,-8.392,-0.473,-14.315,0,98
35250,-0.119,-0.947,0.305,-6.077,12.108,-6.92,0,62
35305,-0.103,-0.944,0.335,-3.603,15.6,-3.532,0,60
35357,-0.107,-0.981,0.398,4.12,20.427,5.797,0,60
35414,-0.131,-0.969,0.332,-0.955,14.072,-4.425,0,60
35454,-0.086,-0.97,0.112,-18.241,-9.72,-20.96,15,57
35505,-0.117,-0.983,0.281,-3.853,11.642,-4.812,0,59
35560,-0.069,-0.959,0.198,-7.969,7.54,-11.361,0,58
35612,-0.134,-0.983,0.364,2.841,17.113,1.892,0,63
35667,-0.07,-0.967,0.138,-10.519,-12.105,-17.235,0,56
35720,-0.071,-0.979,0.197,-6.101,18.878,-6.548,0,57
35775,-0.076,-0.989,0.21,-4.244,22.13,-6.634,0,59
35827,-0.081,-0.987,0.223,-3.567,26.656,-5.772,0,59
35884,-0.035,-0.978,0.178,-5.899,34.26,-9.716,0,58
35937,-0.057,-1.0,0.186,-3.909,49.405,-7.67,0,75
35987,-0.071,-0.994,0.175,-2.75,51.107,-13.567,102,76
36034,-0.075,-1.002,0.167,-1.126,53.015,-14.991,101,78
36081,-0.094,-0.999,0.162,2.287,50.45,-2.93,93,78
36128,-0.106,-0.994,0.158,1.081,47.229,-16.172,95,76
36176,-0.125,-0.994,0.152,1.897,41.26,-2.987,96,85
36224,-0.132,-0.982,0.166,1.172,30.901,-3.746,98,85
36272,-0.127,-0.988,0.163,-0.777,19.412,-24.43,98,85
36320,-0.122,-0.987,0.159,0.945,15.521,-7.716,104,91
36371,-0.108,-0.989,0.134,1.059,10.065,-5.403,104,91
36418,-0.107,-0.992,0.145,1.704,13.003,-0.305,65,90
36466,-0.098,-0.994,0.146,2.392,10.812,0.59,105,90
36514,-0.102,-0.997,0.156,-4.337,-14.408,-4.936,106,88
36569,-0.069,-0.994,0.141,7.229,19.479,5.606,0,91
36622,-0.123,-0.99,0.181,1.231,10.361,2.922,0,92
36676,-0.124,-0.99,0.054,-5.253,-13.185,-2.834,0,91
36730,-0.091,-0.993,0.168,-4.896,-19.665,-3.228,0,92
36785,-0.076,-0.998,0.147,0.329,-5.265,-0.509,0,92
36839,-0.064,-0.983,0.14,10.348,19.212,1.311,0,90
36883,-0.134,-0.982,0.179,2.162,11.198,-2.768,73,91
36930,-0.14,-0.993,0.194,2.909,-0.465,-3.219,74,92
36978,-0.093,-0.988,0.168,3.247,-5.612,-5.04,107,91
37026,-0.092,-0.979,0.16,0.349,-1.025,-7.471,95,91
37072,-0.11,-0.984,0.178,2.714,1.08,-4.248,73,86
37120,-0.12,-0.982,0.172,6.282,3.288,3.459,74,91
37169,-0.109,-0.995,0.155,-0.545,-3.626,-6.877,107,91
37217,-0.098,-0.984,0.16,1.2,4.657,-2.647,106,91
37264,-0.103,-0.99,0.17,0.888,9.649,-0.93,74,91
37316,-0.083,-0.976,0.168,2.64,17.246,-0.605,106,92
37364,-0.121,-0.998,0.191,2.412,17.119,-0.657,106,93
37413,-0.126,-0.973,0.278,3.094,12.486,-0.813,106,94
37463,-0.097,-0.986,0.179,6.348,12.158,0.601,107,92
37511,-0.127,-0.977,0.236,3.858,8.521,-3.097,107,92
37558,-0.127,-0.999,0.209,3.189,-3.408,-5.465,75,94
37655,-0.134,-0.979,0.192,3.167,3.554,-1.833,0,91
37702,-0.106,-0.982,0.165,4.033,-1.557,-0.974,74,91
37749,-0.117,-0.978,0.18,1.382,-0.882,-0.342,74,91
37807,-0.103,-0.987,0.169,-0.19,-6.531,-0.819,0,91
37861,-0.106,-0.968,0.197,1.105,3.311,0.011,0,91
37915,-0.125,-0.986,0.214,0.442,-5.633,-0.068,0,91
37962,-0.092,-0.965,0.171,0.274,-3.462,0.024,74,91
38008,-0.109,-0.987,0.267,2.945,4.129,1.783,75,91
38063,-0.09,-0.983,0.191,-1.722,-3.803,-5.022,5,27
38117,-0.122,-0.977,0.197,-0.342,-0.269,-3.652,0,91
38171,-0.124,-0.979,0.197,1.789,-0.931,-0.255,0,91
38225,-0.11,-0.982,0.177,0.67,-1.033,-1.56,0,91
38276,-0.129,-0.987,0.19,0.654,1.526,-0.347,75,91
38323,-0.127,-0.976,0.19,-0.891,-8.08,-2.428,75,91
38370,-0.12,-0.983,0.195,-0.729,-5.946,-0.143,75,91
38417,-0.096,-0.982,0.168,-1.848,-10.498,-1.897,75,92
38464,-0.11,-0.975,0.175,0.038,4.696,0.76,74,91
38512,-0.127,-0.98,0.21,-0.793,-3.423,0.109,76,91
38566,-0.1,-0.98,0.172,-0.077,-2.295,0.149,0,91
38621,-0.115,-0.982,0.196,-2.03,-5.798,-1.868,0,91
38668,-0.1,-0.993,0.18,0.525,-4.461,-0.728,74,92
38718,-0.11,-0.98,0.196,0.334,-0.675,-0.573,74,93
38765,-0.123,-0.99,0.194,2.973,0.105,0.59,75,93
38814,-0.104,-0.974,0.181,1.521,-3.084,-0.671,106,93
38861,-0.115,-0.978,0.186,1.801,0.163,-0.105,76,92
38908,-0.12,-0.98,0.181,0.708,-4.097,-1.615,75,92
38958,-0.125,-0.975,0.181,-1.907,-13.357,-3.745,106,92
39007,-0.106,-0.987,0.176,-0.142,-6.967,-1.32,106,94
39056,-0.112,-0.975,0.181,-0.997,-4.297,-0.358,106,92
39108,-0.099,-0.985,0.17,1.371,3.325,0.763,106,93
39157,-0.127,-0.979,0.207,-0.438,-1.149,0.365,106,94
39206,-0.109,-0.984,0.193,-0.052,-6.719,-0.604,106,94
39256,-0.109,-0.977,0.19,-0.702,-8.595,-2.464,107,93
39304,-0.098,-0.985,0.179,0.128,-7.193,-2.804,75,93
39351,-0.102,-0.968,0.191,0.056,-7.304,-4.964,78,92
39405,-0.117,-0.981,0.193,4.416,1.364,1.175,0,91
39459,-0.09,-0.989,0.163,1.645,-4.074,-4.442,0,93
39515,-0.111,-0.976,0.178,1.51,3.72,-2.048,0,92
39572,-0.111,-0.981,0.187,0.868,0.286,-1.722,0,90
39626,-0.115,-0.98,0.196,-0.212,-0.474,-2.023,0,90
39675,-0.113,-0.978,0.255,0.214,2.012,-1.0,106,90
39725,-0.137,-0.97,0.098,-2.999,-8.432,-16.597,106,88
39774,-0.139,-0.983,0.108,-3.468,-12.765,-15.122,106,88
39823,-0.11,-0.987,0.224,1.903,-5.394,-4.3,106,88
39872,-0.115,-0.98,0.142,0.575,-1.84,-5.758,106,89
39921,-0.136,-0.981,0.163,1.007,-1.548,-2.341,107,90
39970,-0.135,-0.977,0.2,3.994,-3.332,2.194,106,90
40028,-0.124,-0.983,0.05,-7.781,-10.026,-5.428,5,27
40075,-0.109,-0.969,0.196,4.844,-1.486,4.814,77,91
40124,-0.116,-0.979,0.322,12.332,4.518,12.262,107,91
40217,-0.11,-0.969,0.336,10.002,2.043,10.905,107,92
40264,-0.105,-0.967,0.179,1.265,-6.344,1.956,74,91
40318,-0.108,-0.977,0.266,2.086,0.441,3.503,0,87
40366,-0.111,-0.973,0.297,1.681,2.538,3.056,74,87
40413,-0.117,-0.971,0.154,-3.216,-8.74,-2.119,73,88
40460,-0.125,-0.981,0.197,-3.518,-6.661,-3.258,73,90
40511,-0.114,-0.984,0.198,-2.549,-4.735,-4.227,73,91
40565,-0.132,-0.984,0.298,0.321,2.648,0.457,0,89
40614,-0.133,-0.982,0.217,-0.577,-5.01,-2.702,104,89
40664,-0.123,-0.973,0.225,1.027,-2.4,-0.749,103,90
40713,-0.124,-0.979,0.232,2.234,-0.073,0.874,103,90
40762,-0.136,-0.972,0.194,3.253,-0.197,2.407,104,90
40811,-0.131,-0.978,0.153,0.048,-8.266,1.167,104,91
40860,-0.127,-0.981,0.192,0.248,-5.725,1.64,104,87
40908,-0.115,-0.974,0.188,-2.317,-9.995,-1.161,105,86
40967,-0.12,-0.975,0.192,-2.994,-3.778,-1.629,0,87
41021,-0.125,-0.977,0.204,-1.264,-2.457,-1.111,0,85
41075,-0.124,-0.982,0.227,-1.39,-2.791,-1.235,0,86
41131,-0.109,-0.972,0.154,-2.07,-4.378,-3.606,0,86
41185,-0.124,-0.975,0.193,-1.383,-0.196,-2.357,0,86
41234,-0.114,-0.967,0.172,-4.12,-0.164,-7.276,105,86
41283,-0.132,-0.977,0.187,-2.061,1.125,-2.755,105,86
41332,-0.115,-0.969,0.183,-8.378,-3.419,-11.012,104,86
41381,-0.126,-0.986,0.186,-9.6,-2.918,-12.248,105,91
41434,-0.114,-0.997,0.176,-0.601,3.571,-1.724,104,92
41489,-0.141,-0.988,0.267,-1.107,3.314,-1.001,104,90
41537,-0.133,-0.981,0.195,-4.028,-10.287,-11.658,104,91
41585,-0.111,-0.982,0.181,0.409,-1.697,-4.324,104,90
41634,-0.133,-0.981,0.162,-0.021,-0.841,-6.495,105,91
41688,-0.134,-0.978,0.186,-1.806,-7.241,-8.927,0,90
41741,-0.13,-0.981,0.187,2.58,-2.222,0.563,0,86
