Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
30659,0.221,-0.925,0.234,13.541,148.229,30.174,66,49
30703,-0.569,-0.932,0.22,-26.155,149.878,-56.976,68,29
30755,-0.242,-0.938,0.21,-6.774,142.679,-19.906,71,0
30795,-0.1,-0.98,0.194,5.969,120.557,-6.65,75,0
30851,-0.446,-1.08,0.164,-1.896,108.931,-28.092,129,0
30898,-0.216,-1.16,0.114,0.815,109.87,-40.0,0,0
30944,0.042,-1.269,0.062,16.164,110.962,-37.947,1,0
31007,-0.314,-1.254,0.016,3.632,124.26,-31.252,0,0
31068,0.046,-0.891,-0.036,22.046,134.137,21.946,3,0
31127,-0.132,-0.677,-0.03,26.573,134.427,40.008,0,0
31187,-0.161,-1.05,-0.099,34.618,130.87,54.916,0,0
31248,-0.1,-1.103,-0.125,54.595,154.809,24.656,1,0
31308,-0.115,-0.794,0.008,38.359,169.55,18.633,1,0
31369,-0.192,-0.819,0.09,28.137,155.153,22.979,3,0
31415,-0.485,-0.939,0.126,30.504,96.664,-45.122,0,0
31461,-0.545,-0.906,0.144,25.542,36.344,-73.626,0,0
31524,-0.455,-0.904,0.115,3.276,-16.471,-79.87,0,0
31585,-0.186,-1.055,0.001,9.093,9.698,-63.71,3,0
31645,-0.329,-1.069,-0.024,-20.707,-7.014,-52.977,0,0
31706,-0.115,-1.18,0.086,-16.924,63.611,-32.969,5,0
31765,-0.186,-1.121,0.166,27.078,54.473,53.514,5,0
31825,-0.521,-0.738,0.193,25.74,53.695,39.397,0,0
31873,-0.606,-1.176,0.2,-23.774,-41.404,69.313,0,0
31919,-0.346,-1.141,0.099,38.321,-29.702,83.313,0,0
31965,-0.41,-0.994,0.047,34.725,-48.007,97.733,0,0
32014,-0.212,-1.007,-0.04,34.687,-8.795,104.817,0,0
32072,-0.319,-0.917,0.013,29.298,7.105,98.656,0,164
32128,0.103,-0.91,0.02,51.635,23.75,74.641,5,99
32182,-0.027,-0.851,0.009,27.085,18.717,43.344,3,100
32236,-0.313,-0.868,0.039,-6.927,3.85,-24.065,0,102
32292,-0.428,-0.998,0.084,-22.288,-7.977,-53.26,0,132
32349,-0.008,-1.292,0.093,7.35,1.738,-104.87,6,123
32406,-0.329,-1.276,0.135,-13.836,-1.108,-126.87,0,148
32464,-0.375,-0.943,0.196,-21.794,-8.933,-106.939,0,162
32523,-0.044,-0.684,0.151,20.402,51.574,5.614,3,115
32581,-0.006,-1.103,-0.016,26.002,58.351,33.336,3,158
32642,-0.0,-0.987,-0.019,36.906,105.847,26.396,4,0
32702,-0.374,-0.802,0.049,2.849,111.527,-36.857,0,0
32762,-0.405,-0.813,0.146,4.71,74.527,-35.305,0,0
32822,-0.538,-0.883,0.195,-11.306,-16.824,-76.053,190,0
32882,-0.498,-0.937,0.199,-15.94,-44.534,-87.0,186,0
