Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
28481,-0.207,-0.927,0.2,-4.354,26.282,29.183,60,0
28521,-0.216,-0.788,0.17,-15.03,0.993,63.519,88,0
28572,-0.257,-0.953,0.257,1.141,22.378,70.038,61,181
28622,-0.304,-1.138,0.216,15.429,-33.107,55.435,62,165
28674,-0.204,-1.095,0.012,27.977,-55.977,23.511,61,171
28723,-0.039,-0.968,-0.095,30.534,-22.267,7.183,63,148
28772,-0.031,-0.899,-0.121,26.153,40.954,3.354,65,148
28832,-0.162,-0.886,-0.033,16.966,78.656,0.452,0,148
28884,-0.29,-0.948,0.099,-7.062,57.153,-14.224,137,121
28937,-0.34,-0.934,0.152,-2.99,11.54,-4.365,135,122
28989,-0.257,-0.964,0.124,-15.262,-41.527,-18.204,133,126
29041,-0.184,-1.051,0.112,-17.456,-41.847,-18.139,127,131
29093,-0.147,-1.289,0.089,-16.692,-26.626,-19.781,124,132
29145,-0.214,-1.412,0.294,-27.153,5.832,-34.282,107,134
29200,-0.188,-0.833,0.247,-0.219,13.212,-43.824,119,198
29254,-0.191,-0.476,0.334,0.796,-11.163,1.79,114,175
29313,-0.217,-0.909,0.1,13.908,-53.145,18.29,105,196
29367,-0.146,-1.059,0.009,10.505,-46.58,9.029,105,0
29427,-0.061,-0.976,-0.081,11.573,-6.38,25.26,189,0
29479,-0.212,-0.798,0.056,-24.045,38.527,36.198,98,160
29537,-0.366,-0.838,0.256,-30.389,39.326,24.176,180,166
29589,-0.37,-0.969,0.087,-30.756,-61.656,20.534,89,171
29647,-0.285,-0.914,-0.079,-34.389,-81.137,13.494,168,0
29701,-0.265,-0.926,-0.119,-45.969,-45.412,30.023,74,0
29751,-0.377,-0.959,-0.093,-51.908,-33.649,36.511,67,95
29798,-0.374,-0.948,-0.139,-58.183,-47.802,30.679,62,95
29844,-0.397,-1.195,-0.213,-67.092,-73.412,22.207,57,101
29891,-0.377,-1.465,-0.333,-65.802,-123.435,4.537,52,107
29942,-0.167,-0.785,-0.379,-51.641,-130.023,15.143,130,115
29993,-0.111,-0.97,-0.459,-53.107,-102.435,23.427,124,120
30046,-0.184,-1.043,-0.383,-37.397,-54.061,2.816,118,127
30097,-0.329,-0.917,-0.212,-44.405,-70.557,-1.143,113,133
30152,-0.248,-0.938,-0.283,-37.679,-79.427,19.985,107,141
30210,-0.253,-0.806,-0.243,-40.168,-50.802,33.273,0,146
30260,-0.394,-0.923,-0.246,-30.779,-42.443,8.1,0,24
30314,-0.373,-0.896,-0.244,-19.802,-47.489,15.273,0,28
30365,-0.545,-0.907,-0.223,-23.084,-52.611,-7.722,0,32
30420,-0.453,-0.869,-0.215,-22.267,-41.634,9.676,0,40
30472,-0.461,-1.108,-0.198,-31.74,-48.275,28.245,0,48
30536,-0.524,-1.38,-0.215,-26.237,-62.328,-2.224,0,0
30579,-0.321,-0.478,-0.17,-23.595,-75.87,-3.969,139,0
30633,-0.235,-0.558,-0.22,-33.359,-71.947,22.16,136,101
30695,-0.26,-0.88,-0.296,-10.537,-47.099,10.777,0,0
30741,-0.381,-0.9,-0.205,-2.71,-43.122,-7.09,0,0
30786,-0.359,-0.899,-0.234,-0.573,-35.153,-15.443,0,173
30842,-0.365,-0.779,-0.172,-3.251,-17.514,-15.198,0,119
30902,-0.576,-0.773,-0.017,-29.903,-68.78,-38.782,0,178
30962,-0.411,-0.837,-0.094,-14.535,-50.275,-16.226,0,0
31024,-0.378,-0.865,-0.108,-19.817,-32.489,-22.809,0,0
31073,-0.508,-0.952,-0.064,-17.824,-12.646,-15.589,0,0
31176,-0.524,-1.041,-0.107,-24.55,-20.154,-4.482,0,0
31230,-0.662,-1.11,0.01,-33.443,-29.904,-3.326,79,0
31281,-0.589,-0.959,-0.039,-10.823,-55.786,15.199,76,145
31334,-0.269,-0.695,-0.109,9.626,-30.496,39.802,72,0
31373,-0.361,-0.991,-0.156,28.221,9.498,29.718,68,0
31426,-0.33,-1.017,-0.182,47.802,-3.589,12.42,64,0
31465,-0.242,-0.966,-0.245,51.641,33.252,4.833,63,0
31515,-0.189,-0.873,-0.258,45.229,66.061,14.442,62,160
31568,-0.28,-0.796,-0.153,32.557,96.061,24.478,61,163
31620,-0.453,-0.828,-0.019,19.794,61.153,-11.844,62,158
31670,-0.413,-0.875,-0.039,17.088,0.681,-33.672,62,159
31722,-0.291,-0.867,-0.165,18.855,-28.074,-49.855,62,0
31762,-0.298,-1.064,-0.188,20.221,27.672,-59.481,63,0
31814,-0.398,-1.305,-0.121,23.115,43.771,-64.344,64,0
31854,-0.439,-1.6,-0.08,29.374,44.977,-76.542,66,0
31903,-0.418,-1.379,-0.047,33.389,34.939,-88.878,65,148
31947,-0.253,-0.365,0.038,31.397,55.313,-51.214,77,23
31993,-0.313,-0.596,0.105,1.271,45.939,-2.409,74,23
32036,-0.302,-0.86,-0.002,22.382,27.344,21.305,72,22
32081,-0.2,-1.042,-0.095,29.779,30.924,26.565,90,25
32124,-0.104,-0.991,-0.179,30.412,70.626,27.817,71,27
32168,-0.144,-0.803,-0.117,20.885,122.763,30.473,74,32
32212,-0.389,-0.77,0.098,13.724,125.718,38.015,86,37
32259,-0.604,-0.847,0.194,-8.203,49.389,-23.972,93,41
32304,-0.476,-0.805,0.218,0.741,-33.427,-25.168,88,37
32351,-0.365,-0.878,0.059,-19.033,-44.344,-27.344,83,38
32396,-0.368,-1.005,0.009,10.718,20.455,10.774,79,46
32441,-0.383,-1.169,0.021,0.943,18.768,1.685,75,48
32486,-0.635,-1.223,0.08,-25.061,-48.582,-12.359,70,51
32530,-0.511,-1.371,0.013,-21.977,-63.901,14.709,65,54
32575,-0.149,-0.795,-0.204,0.264,-61.626,31.985,59,63
32620,-0.156,-0.706,-0.199,-21.687,-34.169,43.435,55,70
32665,-0.344,-0.972,-0.209,-33.557,29.258,32.443,51,77
32711,-0.492,-0.948,-0.123,-22.344,-43.061,28.901,60,78
32759,-0.323,-0.837,-0.207,-28.649,-72.481,29.84,57,73
32804,-0.265,-0.876,-0.252,-29.885,-53.198,42.924,55,72
32850,-0.265,-0.848,-0.231,-29.908,-2.223,49.702,53,76
