Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
46197,-0.218,-0.978,0.048,-2.028,-1.487,1.257,0,0
46258,-0.213,-0.985,0.048,-2.14,-2.164,0.95,0,0
46318,-0.208,-0.972,0.047,-1.958,-0.948,1.689,0,0
46377,-0.219,-1.009,0.049,-3.108,-3.132,1.574,0,0
46438,-0.206,-0.966,0.059,-1.975,0.585,2.274,0,0
46498,-0.224,-0.988,0.057,-3.257,-2.161,1.048,0,0
46559,-0.205,-0.976,0.035,-2.642,-3.24,1.234,0,0
46619,-0.203,-0.976,0.026,-3.096,-1.419,1.155,0,0
46682,-0.211,-0.977,0.032,-4.242,1.297,2.436,0,0
46742,-0.208,-0.986,0.025,-4.611,-2.472,1.695,0,0
46802,-0.206,-0.992,0.036,-5.263,2.912,2.746,0,0
46863,-0.228,-0.982,0.027,-4.956,-1.731,1.121,0,0
46922,-0.199,-0.959,0.032,-7.275,-0.789,2.198,0,0
46983,-0.219,-0.965,0.025,-7.176,-1.764,2.921,0,0
47043,-0.199,-0.909,0.002,-6.405,-1.984,2.621,0,0
47104,-0.222,-0.985,-0.02,-2.482,0.408,4.497,0,0
47164,-0.278,-1.128,-0.036,1.148,-0.857,-6.702,0,0
47226,-0.247,-1.006,-0.033,2.122,11.296,-6.771,0,0
47287,-0.303,-0.951,-0.018,0.277,2.371,-11.511,0,0
47347,-0.235,-0.914,-0.054,-1.983,-3.329,-8.649,0,0
47408,-0.259,-0.985,-0.021,-2.504,5.692,0.489,0,0
47468,-0.248,-0.956,-0.007,1.464,5.232,5.856,0,0
47527,-0.191,-0.905,-0.05,12.672,21.893,10.473,0,0
47588,-0.205,-0.731,-0.001,22.015,52.87,13.397,0,0
47648,-0.291,-0.689,0.06,18.389,35.695,19.794,0,0
47709,-0.246,-0.667,0.044,18.977,19.127,15.595,0,0
47772,-0.268,-0.843,0.012,23.878,14.79,7.099,0,0
47833,-0.275,-1.468,-0.111,36.672,21.015,-7.305,0,196
