Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
46197,-0.22,-0.98,0.046,-2.076,-1.525,1.224,0,0
46258,-0.206,-0.978,0.055,-1.489,-1.614,1.336,0,0
46318,-0.198,-0.963,0.057,-1.232,-0.394,2.194,0,0
46377,-0.215,-1.005,0.053,-2.874,-2.957,1.719,0,0
46438,-0.22,-0.979,0.045,-3.289,-0.458,1.463,0,0
46498,-0.238,-1.001,0.042,-4.592,-3.186,0.291,0,0
46559,-0.225,-0.994,0.014,-4.678,-4.438,0.041,0,0
46619,-0.218,-0.99,0.009,-4.752,-2.432,0.339,0,0
46682,-0.178,-0.949,0.07,-0.05,3.735,4.612,0,0
46742,-0.212,-0.989,0.022,-4.877,-2.599,1.571,0,0
46802,-0.213,-0.998,0.028,-6.614,2.417,2.216,0,0
46863,-0.233,-0.987,0.021,-6.287,-2.188,0.625,0,0
46922,-0.196,-0.956,0.035,-7.275,-0.666,2.343,0,0
46983,-0.22,-0.966,0.025,-7.176,-1.772,2.911,0,0
47043,-0.184,-0.902,0.002,-6.405,-1.351,4.295,0,0
47104,-0.224,-0.985,-0.02,-2.763,0.17,4.275,0,0
47164,-0.295,-1.128,-0.036,-0.133,-2.563,-6.702,0,0
47226,-0.261,-1.008,-0.033,1.415,9.776,-6.771,0,0
47287,-0.311,-0.954,-0.018,-0.142,1.25,-11.511,0,0
47347,-0.23,-0.91,-0.054,-1.738,-2.59,-8.649,0,0
47408,-0.247,-0.974,-0.021,-1.219,8.195,1.33,0,0
47468,-0.265,-0.984,-0.007,-3.081,-4.534,3.032,0,0
47527,-0.191,-0.894,-0.05,12.672,21.893,10.473,0,0
47588,-0.224,-0.731,-0.001,22.015,52.87,13.397,0,0
47648,-0.283,-0.689,0.07,18.389,35.695,19.794,0,0
47709,-0.242,-0.667,0.05,18.977,21.126,15.595,0,0
47772,-0.266,-0.843,0.012,23.878,15.708,7.414,0,0
47833,-0.277,-1.468,-0.111,36.672,21.015,-7.305,0,196
47892,-0.091,-1.089,-0.093,13.038,92.237,11.924,0,195
47952,-0.516,-1.338,0.215,-15.84,63.267,14.992,0,197
48013,-0.5,-1.281,0.272,-9.939,-37.496,-3.193,0,200
48073,-0.13,-0.873,0.091,-8.328,-22.985,7.664,0,0
48134,-0.262,-0.802,0.136,-5.475,22.802,11.954,0,0
48194,-0.306,-0.836,0.124,2.516,-10.531,5.022,0,0
48254,-0.307,-0.855,0.114,-6.087,-22.178,0.678,0,0
48318,-0.265,-0.666,0.126,-8.275,-31.924,8.5,0,0
48378,-0.146,-0.664,0.022,-6.303,-29.275,8.443,0,0
48438,-0.191,-0.698,0.061,10.573,6.309,-5.122,0,190
48496,-0.208,-0.634,0.071,7.458,3.01,-2.43,0,165
48556,-0.234,-0.966,0.045,-3.337,-4.103,5.105,0,170
48616,-0.21,-1.599,-0.169,6.802,0.638,-10.55,0,0
48674,-0.455,-1.719,0.115,-27.939,10.816,7.603,0,165
