Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
48261,-0.139,-0.996,0.097,5.759,0.892,0.119,0,0
48321,-0.106,-0.985,0.088,8.632,2.854,2.029,0,0
48381,-0.173,-0.993,0.086,2.971,-0.744,-0.262,0,0
48442,-0.201,-0.976,0.101,-0.015,-0.522,-0.098,0,0
48501,-0.172,-0.982,0.089,1.549,-1.091,-0.433,0,0
48562,-0.141,-0.988,0.092,1.663,-2.147,-0.822,0,0
48622,-0.18,-0.992,0.094,-0.253,-0.135,-0.619,0,0
48683,-0.132,-0.997,0.086,2.266,2.825,-0.246,0,0
48745,-0.109,-0.993,0.116,4.309,5.627,0.071,0,0
48805,-0.196,-0.984,0.067,0.267,-4.637,-3.275,0,0
48866,-0.087,-1.013,0.053,8.26,11.955,-0.169,0,0
48926,-0.203,-1.003,0.129,2.425,12.988,-1.811,0,0
48987,-0.164,-0.979,0.108,5.995,-1.6,-5.84,0,0
49046,-0.122,-0.998,0.095,-2.504,-15.153,-3.832,0,0
49106,-0.1,-1.023,0.111,-1.228,-13.404,-0.386,0,0
49167,-0.045,-1.019,0.048,7.992,24.695,1.59,0,0
49227,-0.185,-0.961,0.169,2.694,43.046,1.694,0,0
49290,-0.221,-1.007,0.172,4.912,13.455,0.786,0,0
49350,-0.202,-0.965,0.185,-0.355,3.97,3.756,0,0
49411,-0.147,-0.84,0.234,4.396,24.662,9.644,0,0
49471,-0.243,-0.845,0.272,4.257,27.138,9.513,0,0
49531,-0.243,-0.898,0.134,-2.625,-17.07,-3.005,0,0
49591,-0.185,-0.801,0.128,-3.412,-17.223,-1.651,0,0
49651,-0.168,-0.795,0.193,-8.901,-19.794,2.592,0,0
49712,-0.193,-0.758,0.121,-5.565,-19.986,3.606,0,0
49772,-0.266,-0.799,0.101,-4.504,-7.301,-2.597,0,0
49832,-0.052,-0.894,0.039,13.359,40.16,9.145,0,0
49890,-0.28,-0.958,0.263,-0.054,53.405,12.282,0,187
49949,-0.262,-1.578,-0.033,12.847,32.26,0.109,0,190
50010,-0.338,-1.705,-0.055,-0.644,10.872,-7.198,0,193
50069,-0.172,-0.931,0.215,-0.868,0.13,21.458,0,195
50129,-0.24,-1.159,0.063,-12.382,-20.924,7.802,0,197
50190,-0.096,-0.797,0.084,4.464,-21.992,3.809,0,200
50250,-0.121,-0.975,-0.025,-4.045,-17.875,-9.26,0,0
50311,-0.194,-0.886,0.09,1.908,-9.653,-13.947,0,0
50374,-0.178,-0.976,0.013,3.696,-7.055,-10.046,0,0
50435,-0.193,-0.847,0.064,2.599,3.911,2.764,0,0
50494,-0.245,-0.863,0.087,3.095,-6.056,-0.564,0,183
50553,-0.143,-0.647,0.048,10.954,-2.895,0.931,0,184
50614,-0.19,-0.705,0.009,11.099,1.095,-3.634,0,0
50674,-0.207,-0.667,0.065,12.168,21.206,-2.866,0,187
50734,-0.207,-1.184,0.04,-0.69,32.687,-0.487,0,188
50794,-0.204,-1.347,0.117,-14.779,-5.245,14.695,0,192
50853,-0.289,-1.623,0.362,-27.061,-13.242,14.641,0,194
50917,-0.084,-1.262,0.141,1.324,-34.55,-10.412,0,197
50977,-0.026,-1.138,0.11,-15.206,10.28,11.321,0,199
51039,-0.146,-0.789,0.157,8.397,36.847,16.733,0,0
51099,-0.184,-0.789,0.12,3.798,21.328,3.4,0,0
51158,-0.205,-0.839,0.094,2.232,-9.849,-6.824,0,169
51211,-0.153,-0.864,0.063,-3.171,-2.763,-5.458,0,80
51307,-0.208,-0.689,0.137,-3.718,-3.921,-8.244,0,80
51360,-0.142,-0.628,0.117,4.601,-3.427,3.398,0,72
51414,-0.051,-0.649,0.002,0.541,9.783,2.706,0,68
51467,-0.159,-0.991,0.086,-5.908,20.924,14.756,0,73
51523,-0.302,-1.502,-0.045,-4.237,9.477,9.611,0,63
51575,-0.336,-1.757,-0.005,-7.756,-29.889,-4.565,0,64
51629,-0.316,-1.385,0.09,-19.672,-29.29,2.16,0,64
51682,-0.202,-1.432,-0.164,-15.802,-24.252,-12.107,0,66
51735,-0.311,-1.019,0.198,-11.084,17.498,-16.206,0,67
51788,-0.31,-0.789,0.12,-0.019,-17.342,-26.29,0,80
51842,-0.218,-0.64,0.033,9.388,-22.725,-13.718,0,74
51895,-0.161,-0.741,-0.065,4.83,-8.51,1.396,0,73
51952,-0.07,-0.969,-0.197,8.992,8.4,11.733,0,76
52005,-0.145,-0.766,-0.031,8.905,39.0,17.557,0,75
52059,-0.237,-0.722,0.066,1.65,25.252,6.53,0,78
52113,-0.269,-0.747,0.09,8.066,-10.071,-0.835,0,77
52166,-0.111,-0.77,-0.081,12.962,-14.945,-8.344,0,78
52219,-0.066,-0.805,-0.09,8.939,13.867,5.958,0,68
52273,-0.134,-1.37,-0.1,-3.29,29.046,2.961,0,76
52326,-0.154,-1.284,0.099,-9.45,4.592,9.588,0,63
52379,-0.273,-1.583,0.232,-27.145,-30.542,8.173,0,64
52435,-0.054,-1.411,0.085,-1.009,-16.384,3.777,0,69
52489,-0.209,-1.249,0.117,7.87,-5.47,-3.437,0,69
52542,-0.112,-1.133,0.056,20.863,17.181,-9.603,0,69
52595,-0.121,-0.882,0.035,10.908,32.153,-8.107,0,71
