Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27247,-0.14,-1.072,-0.025,0.318,-4.578,-2.572,108,46
27292,-0.125,-0.955,0.085,3.288,0.43,-0.075,104,45
27338,-0.098,-0.938,0.095,3.687,-3.34,1.951,105,46
27384,-0.127,-0.986,0.046,2.736,-5.097,1.036,106,44
27430,-0.135,-1.066,-0.026,0.133,-1.112,-0.999,104,44
27478,-0.064,-0.908,0.148,6.554,2.399,1.107,129,44
27523,-0.141,-0.996,0.031,3.008,-1.216,0.146,104,45
27572,-0.131,-0.9,0.123,7.56,3.941,2.435,105,42
27617,-0.152,-1.035,0.011,1.515,4.525,-1.015,106,43
27663,-0.171,-1.007,0.079,3.331,1.413,-2.584,104,43
27708,-0.249,-1.075,-0.019,-1.238,-6.302,-4.962,106,42
27754,-0.198,-1.01,0.057,2.405,-7.342,-2.791,105,42
27800,-0.196,-1.032,0.029,1.736,-9.216,-1.795,113,43
27846,-0.142,-1.069,-0.009,-0.593,-7.673,-0.864,104,44
27891,-0.142,-0.975,0.078,6.29,3.519,1.248,105,44
27937,-0.162,-1.004,0.083,5.678,1.617,-1.146,104,43
27985,-0.083,-0.906,0.158,6.481,4.161,-0.94,104,44
28032,-0.138,-0.916,0.125,7.74,5.779,0.128,103,45
28078,-0.172,-1.007,0.043,6.534,4.74,-0.912,102,46
28123,-0.15,-0.86,0.202,19.22,18.364,2.506,105,46
28169,-0.129,-0.993,0.089,8.573,14.323,-1.722,105,47
28215,-0.084,-0.858,0.1,10.45,21.237,8.032,102,46
28261,-0.111,-0.941,0.154,9.908,35.748,8.496,105,48
28307,-0.21,-1.099,0.193,11.779,36.947,6.863,105,49
28353,-0.224,-0.989,0.217,9.176,25.878,4.385,105,47
28403,-0.227,-1.007,0.176,2.3,10.933,-0.635,123,48
28449,-0.266,-0.887,0.163,6.504,15.41,-0.434,102,49
28495,-0.268,-0.972,0.145,0.075,-16.056,-10.687,103,49
28541,-0.232,-0.92,0.116,0.241,-14.794,-16.122,101,49
28588,-0.191,-0.86,0.129,-6.374,-20.267,-13.0,102,49
28634,-0.211,-0.962,0.157,-9.206,-19.191,-9.794,99,50
28679,-0.122,-0.882,0.151,-11.817,-21.191,-9.328,99,51
28725,-0.124,-0.905,0.148,-9.366,-16.687,-11.336,99,51
