Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
49906,-0.15,-0.979,0.139,-0.444,5.248,-3.676,84,124
49955,-0.148,-0.964,0.14,-0.732,4.569,-2.426,84,123
50009,-0.141,-0.966,0.145,-0.963,3.328,-2.855,85,0
50058,-0.14,-0.985,0.124,-0.593,6.491,-4.066,84,123
50107,-0.171,-0.977,0.159,-1.071,4.93,-6.236,84,123
50155,-0.162,-0.984,0.129,-0.24,-0.313,-7.784,84,101
50203,-0.125,-0.969,0.136,1.565,9.86,-2.317,85,99
50253,-0.159,-1.016,0.095,1.795,10.151,-10.716,85,97
50301,-0.166,-0.986,0.13,2.419,13.465,-9.813,85,100
50349,-0.156,-0.981,0.145,4.306,18.261,-9.954,85,99
50398,-0.161,-0.994,0.164,2.127,6.182,-10.328,96,102
50446,-0.085,-0.934,0.126,3.287,4.12,-10.704,96,104
50496,-0.106,-0.968,0.16,1.905,33.598,-0.435,98,128
50550,-0.154,-1.086,0.184,-0.95,15.064,-9.321,96,0
50591,-0.107,-0.976,0.229,-0.649,18.957,-4.723,95,0
50639,-0.165,-0.989,0.228,-3.997,5.6,-4.064,94,99
50691,-0.114,-0.933,0.221,1.737,18.508,0.773,94,101
50739,-0.116,-0.956,0.195,0.66,19.87,-11.977,95,104
50789,-0.146,-0.946,0.211,-4.176,12.72,-20.344,105,106
50836,-0.11,-0.94,0.146,-2.202,12.399,-21.832,115,71
50888,-0.178,-0.932,0.185,-6.611,7.851,-17.687,117,131
50938,-0.126,-0.918,0.146,-8.466,10.28,-12.053,116,103
50993,-0.147,-0.958,0.159,-11.573,7.825,-8.111,0,106
51045,-0.128,-0.96,0.183,-18.557,4.234,-5.249,116,135
51095,-0.11,-1.017,0.198,-20.687,-0.387,-14.176,114,111
51147,-0.085,-1.109,0.171,-19.771,1.671,-18.092,113,83
51194,-0.102,-1.197,0.214,-19.405,-5.9,-11.756,112,57
51241,-0.027,-1.352,0.155,-18.176,-5.78,-8.435,110,57
51290,-0.081,-1.381,0.151,-11.756,7.112,-6.204,103,88
51339,-0.084,-1.353,0.116,-12.015,-15.931,1.817,100,110
51386,0.033,-0.886,0.018,3.511,-10.143,10.298,97,64
