Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27240,-0.197,-1.078,-0.029,5.626,-6.468,-4.542,100,82
27288,-0.155,-0.98,-0.03,5.489,3.902,-4.237,100,86
27336,-0.185,-0.964,-0.001,-2.605,21.954,-4.605,100,84
27383,-0.3,-1.134,0.134,-3.519,22.433,-2.679,99,83
27431,-0.287,-1.065,0.247,7.603,35.386,3.589,99,89
27481,-0.155,-0.93,0.184,10.565,26.871,6.25,99,104
27527,-0.187,-0.97,-0.105,12.137,-6.09,-2.286,99,56
27577,-0.261,-0.945,0.024,15.855,26.008,-2.202,99,86
27630,-0.239,-0.926,0.017,8.435,20.57,-5.275,184,88
27676,-0.196,-0.904,-0.019,5.032,21.126,-4.618,97,56
27723,-0.25,-0.937,0.022,-5.405,2.879,-9.168,97,82
27771,-0.278,-0.972,0.011,-8.313,-8.44,-15.26,94,87
27816,-0.211,-0.882,0.119,-14.076,-7.584,-19.244,93,53
27863,-0.176,-1.045,-0.022,-10.588,9.568,-17.702,91,55
27909,-0.269,-1.037,-0.037,-6.168,39.809,-15.336,90,64
27957,-0.417,-1.14,0.076,-6.29,31.672,-12.687,88,97
28008,-0.36,-1.191,-0.079,-15.809,-21.099,-4.901,26,35
28055,-0.248,-1.338,0.012,-18.45,-32.885,-5.939,82,93
28101,-0.119,-1.315,-0.082,-8.336,-32.481,16.76,81,65
28149,-0.039,-0.965,-0.048,-6.336,-9.325,7.481,78,117
28197,-0.087,-0.988,-0.093,-6.351,5.89,17.305,76,103
28244,-0.151,-1.051,-0.017,-5.099,-27.702,17.031,73,102
28293,0.043,-1.053,-0.186,-8.031,-43.481,14.092,85,109
28343,0.02,-0.933,-0.135,-6.611,-18.115,4.004,111,115
28395,-0.061,-0.811,-0.081,-0.161,-5.732,-6.389,174,73
28450,-0.086,-0.643,0.031,-5.878,-6.511,-8.885,159,96
28498,-0.103,-0.718,-0.031,-4.924,-15.809,-6.313,108,75
28549,-0.091,-1.044,-0.119,-4.22,-18.748,-8.42,104,124
28600,-0.093,-1.097,-0.14,2.282,-5.162,-11.366,101,134
28647,-0.112,-1.107,-0.146,0.17,13.11,-7.687,103,72
28695,-0.193,-1.166,-0.052,-0.884,23.378,-5.45,101,76
28744,-0.183,-1.245,-0.028,0.861,17.584,-0.809,138,77
28794,-0.295,-1.408,-0.042,6.893,-1.463,-5.891,135,80
28846,-0.097,-1.476,-0.034,10.504,5.71,-6.809,98,90
28899,-0.096,-0.955,-0.049,19.977,11.108,17.087,144,140
28950,-0.048,-0.625,-0.013,2.518,-0.469,22.931,151,88
