Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27240,-0.197,-1.143,-0.029,5.626,-16.146,-4.542,100,80
27288,-0.155,-0.816,-0.03,5.489,35.599,-4.237,100,92
27336,-0.185,-0.856,0.156,5.777,21.954,1.366,100,89
27383,-0.3,-1.134,0.134,-3.519,26.292,-1.831,99,85
27431,-0.287,-1.065,0.04,7.603,-0.43,-2.634,99,87
27481,-0.185,-0.93,0.146,10.565,18.356,4.997,99,104
27527,-0.187,-0.974,-0.149,12.137,-11.214,-3.316,99,56
27577,-0.315,-0.962,-0.032,15.855,26.008,-4.689,99,85
27630,-0.333,-0.985,-0.076,8.435,1.831,-5.275,184,85
27676,-0.339,-1.046,-0.019,-0.898,-5.594,-4.618,97,56
27723,-0.254,-0.94,0.018,-5.405,2.648,-9.168,97,82
27771,-0.297,-0.991,-0.009,-8.313,-9.535,-15.26,94,87
27816,-0.211,-1.0,-0.0,-14.076,-15.57,-19.244,93,53
27863,-0.176,-1.001,-0.022,-10.588,10.697,-17.702,91,55
27909,-0.273,-1.037,-0.037,-6.168,39.809,-15.336,90,64
27957,-0.417,-1.14,0.177,-6.29,31.672,-12.687,88,97
28008,-0.36,-1.191,0.12,-15.809,-21.099,-4.901,85,116
28055,-0.19,-1.338,0.15,-18.45,-32.885,-5.939,83,93
28101,-0.119,-1.315,-0.082,-8.336,-32.481,7.734,83,65
28149,-0.039,-1.03,-0.048,-6.336,-15.865,7.481,77,117
28197,-0.087,-0.887,-0.093,-6.351,12.66,17.305,79,103
28244,-0.151,-1.051,-0.017,-5.099,-27.702,17.031,74,102
28293,0.043,-1.072,-0.186,-8.031,-43.481,14.092,85,109
28343,0.02,-0.952,-0.135,-6.611,-18.115,2.132,111,115
28395,-0.061,-0.811,-0.081,-6.147,-12.852,-6.389,174,72
28450,-0.086,-0.643,0.05,-5.878,-4.339,-8.885,159,96
28498,-0.103,-0.718,-0.031,-4.924,-15.809,-6.313,108,77
28549,-0.091,-0.853,-0.119,0.904,-18.748,-8.42,104,124
28600,-0.093,-1.097,-0.14,-4.203,-39.081,-11.366,101,134
28647,-0.112,-1.107,-0.146,3.035,33.058,-7.687,103,73
28695,-0.193,-1.166,-0.052,-11.547,-17.639,-5.45,30,22
28744,-0.062,-1.245,-0.028,4.937,31.363,6.657,138,78
