Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29718,0.139,-0.819,-0.01,30.725,64.26,22.893,94,77
29765,-0.003,-0.803,0.044,20.809,77.206,14.748,92,76
29812,-0.076,-0.623,0.073,16.206,61.641,1.348,92,80
29859,-0.057,-0.674,0.021,16.565,39.687,-6.768,91,83
29906,-0.109,-0.882,0.033,6.552,35.748,-20.817,94,82
29954,-0.136,-1.01,0.059,-2.205,42.374,-19.672,91,80
30001,-0.299,-1.237,0.106,-2.124,43.916,-23.687,95,81
30052,-0.398,-1.36,0.104,-2.216,38.641,-25.031,92,84
30101,-0.408,-1.353,0.087,-12.069,18.916,-13.405,131,88
30149,-0.404,-1.115,0.025,-11.046,7.282,-2.157,93,87
30198,-0.343,-0.896,0.074,-4.214,-12.137,18.817,122,92
30248,-0.309,-0.922,-0.059,1.571,-25.122,29.878,120,94
30299,-0.19,-0.732,-0.083,0.745,-32.519,45.908,117,113
30350,-0.161,-0.66,-0.058,-6.627,-21.481,52.542,136,105
30401,-0.05,-0.657,-0.101,-7.352,-31.29,44.969,132,107
30452,-0.029,-0.769,-0.105,-1.314,-19.507,28.443,128,113
30511,-0.11,-1.065,-0.101,-2.208,-13.097,1.726,126,179
30562,-0.228,-1.487,-0.014,-5.611,-21.016,-21.351,122,118
30613,-0.257,-1.619,-0.059,1.95,-25.42,-35.969,120,119
30664,-0.221,-1.512,0.012,9.55,-19.565,-40.336,120,121
30710,-0.22,-1.074,0.083,17.351,-9.162,-46.137,118,37
30764,-0.046,-0.557,0.055,34.725,7.725,-26.496,117,150
30810,-0.153,-0.822,0.073,14.931,25.779,-7.912,116,40
30864,-0.16,-0.799,-0.008,15.847,33.359,-4.97,114,179
30921,-0.245,-0.702,0.105,5.221,18.954,0.48,112,194
30973,-0.216,-0.778,0.026,3.138,-3.231,-0.492,110,135
31025,-0.183,-0.76,0.031,0.257,-12.506,-5.992,104,138
31078,-0.161,-0.983,0.006,-7.313,-9.469,-8.504,106,168
31132,-0.3,-1.124,0.102,-13.435,1.448,-18.74,99,0
31178,-0.384,-1.188,0.107,-18.618,-28.519,-10.809,96,51
31224,-0.355,-1.187,0.095,-23.641,-45.855,-7.348,98,55
31277,-0.299,-1.226,-0.02,-27.023,-44.42,1.266,95,169
31331,-0.293,-0.986,0.008,-19.672,-47.847,6.875,85,0
31387,-0.327,-0.982,-0.016,-9.595,-71.084,25.641,86,185
31443,-0.167,-0.992,-0.203,-0.065,-79.504,29.595,138,0
31498,-0.175,-0.83,-0.125,-3.852,-55.641,38.634,77,0
31551,-0.132,-0.759,-0.172,-6.117,-49.901,46.802,73,0
31599,-0.162,-0.727,-0.096,-9.954,-50.13,52.137,142,51
31648,-0.121,-0.804,-0.17,-13.504,-56.42,46.947,141,57
31697,-0.125,-0.901,-0.161,-12.527,-41.824,29.603,41,18
31746,-0.197,-1.057,-0.115,-14.779,-33.855,11.214,134,63
31798,-0.276,-1.212,0.008,-15.916,-35.374,-11.763,128,68
31847,-0.292,-1.453,-0.019,-9.847,-43.0,-29.908,125,71
31894,-0.323,-1.631,-0.03,4.432,-43.779,-53.16,123,55
31942,-0.252,-0.942,0.055,4.254,-42.237,-65.947,117,56
31989,-0.074,-0.62,0.108,5.137,-35.069,-30.466,113,57
32036,-0.202,-1.006,0.032,3.596,-26.87,-15.145,111,58
32083,-0.205,-1.049,-0.008,8.506,-11.375,-21.298,108,61
32131,-0.261,-0.95,0.043,3.902,-11.549,-8.094,108,63
32179,-0.243,-0.835,0.022,-2.156,-29.206,-5.93,32,20
32271,-0.155,-0.752,-0.028,-8.305,-40.588,0.714,101,68
32319,-0.164,-0.826,-0.05,-4.11,-33.908,-0.824,105,71
32367,-0.161,-0.781,-0.001,-14.618,-27.397,5.551,114,69
32414,-0.216,-0.932,0.042,-22.489,-35.313,8.11,88,78
32461,-0.22,-1.116,0.01,-20.015,-38.115,4.114,91,81
32509,-0.268,-1.352,-0.052,-18.855,-24.229,-3.511,89,86
32557,-0.303,-1.344,-0.008,-24.374,-25.855,1.123,76,89
32605,-0.326,-1.382,-0.005,-21.748,-43.351,0.7,91,86
32655,-0.08,-0.864,-0.052,-11.672,-48.565,21.573,84,92
32703,-0.155,-1.125,-0.093,-20.595,-49.992,34.901,80,99
32750,-0.135,-1.113,-0.122,-14.489,-53.0,39.656,77,82
32798,-0.109,-1.008,-0.088,-14.206,-57.427,31.977,96,82
32845,-0.054,-0.831,-0.123,-8.939,-46.084,28.557,93,87
32893,-0.054,-0.719,-0.087,-7.194,-46.053,29.595,90,90
32944,0.001,-0.709,-0.134,-3.393,-28.176,24.641,89,117
32993,-0.038,-0.721,-0.099,-4.58,-18.268,11.863,108,97
33044,-0.058,-0.973,-0.12,-1.428,-9.596,-1.89,105,134
33097,-0.1,-1.144,-0.108,1.319,2.068,-15.687,103,103
33145,-0.253,-1.444,-0.007,-1.32,2.014,-32.573,82,106
33196,-0.312,-1.574,-0.033,6.069,-18.899,-44.046,72,136
33244,-0.246,-1.234,-0.012,15.45,-30.191,-53.527,71,109
33292,-0.055,-0.508,0.068,14.229,-9.942,-32.008,71,111
33340,-0.109,-1.055,-0.045,0.054,19.092,-6.745,69,116
33390,-0.106,-1.022,-0.048,11.305,42.771,3.858,69,142
33438,-0.199,-0.869,0.067,-0.934,45.397,9.559,92,103
33491,-0.259,-0.765,0.132,-2.791,1.245,8.378,91,108
33541,-0.144,-0.776,0.015,2.842,-18.762,-3.099,89,118
33590,-0.088,-0.797,-0.054,7.842,-3.817,-8.969,88,121
33640,-0.136,-0.823,-0.011,7.236,16.382,-6.744,86,127
33691,-0.22,-1.025,0.016,-0.862,8.275,-8.832,84,134
