Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
48669,-0.193,-0.776,0.366,5.024,14.695,6.222,0,0
48730,-0.2,-0.828,0.325,2.022,6.787,2.481,0,0
48789,-0.394,-1.129,-0.052,-3.651,-3.131,-3.766,0,0
48849,-0.206,-1.059,0.026,-0.839,-6.863,-2.234,0,0
48910,0.059,-0.728,0.462,5.56,9.167,3.133,0,0
48970,-0.192,-0.904,0.215,4.409,8.133,2.114,0,0
49030,0.075,-0.709,0.485,8.294,7.095,7.989,0,0
49090,-0.188,-0.803,0.314,5.343,6.323,8.22,0,0
49154,-0.259,-1.033,0.078,0.919,2.009,1.087,0,0
49213,-0.19,-1.003,0.086,-0.013,-1.866,1.459,0,0
49273,-0.191,-1.166,-0.11,-2.339,-3.392,-2.714,0,0
49334,-0.189,-0.966,0.131,1.581,1.414,1.921,0,0
49394,-0.196,-1.003,0.1,-0.707,-1.307,1.337,0,0
49455,-0.185,-0.884,0.231,1.449,4.503,5.027,0,0
49514,-0.199,-0.937,0.16,0.66,4.559,2.54,0,0
49574,-0.188,-1.12,-0.064,-2.122,-4.233,-0.659,0,0
49635,-0.203,-0.991,0.125,-2.768,2.731,-0.393,0,0
49698,-0.201,-1.135,-0.08,-4.432,1.015,-3.653,0,0
49758,-0.1,-0.86,0.235,-3.626,6.1,4.772,0,0
49818,-0.187,-0.935,0.13,-7.244,-3.192,-2.931,0,0
49879,-0.163,-1.057,0.004,-8.282,-2.941,-5.542,0,0
49939,-0.155,-0.79,0.284,-3.802,23.42,-7.763,0,0
49999,-0.317,-1.03,0.155,-7.267,7.752,-3.679,0,0
50060,-0.284,-1.025,0.043,-6.061,-5.392,-3.107,0,0
50120,-0.143,-1.119,-0.144,-4.977,4.455,-5.963,0,0
50180,-0.199,-1.146,-0.076,-5.962,7.173,-4.103,0,0
50240,-0.195,-0.789,0.115,2.648,25.046,10.298,0,0
50304,-0.288,-1.221,-0.02,-3.489,2.678,7.168,0,0
50364,-0.331,-1.126,-0.021,-5.422,-5.75,-1.375,0,0
50424,-0.221,-1.024,-0.049,-3.076,-0.233,-5.924,0,0
50485,-0.274,-1.005,-0.01,-3.771,-12.431,-9.099,0,0
50545,-0.268,-1.027,-0.021,-3.744,-6.976,-7.069,0,0
50606,-0.204,-0.877,0.048,6.65,4.056,-2.061,0,0
50666,-0.195,-0.695,0.271,30.822,43.701,13.352,0,0
50725,-0.187,-0.833,0.112,21.275,18.221,9.838,0,0
50786,-0.179,-0.735,0.171,27.962,36.603,9.359,0,0
50849,-0.165,-0.587,-0.102,31.29,41.71,16.198,0,190
50909,-0.23,-0.713,-0.015,24.992,41.13,15.527,0,189
50968,-0.188,-1.415,-0.066,20.557,35.748,-4.58,0,190
51028,-0.283,-1.319,0.079,9.785,27.649,-21.458,0,193
51089,-0.381,-1.386,0.24,-14.802,14.801,8.244,0,193
51148,-0.296,-1.228,0.197,-9.824,-25.221,11.595,0,195
51209,-0.097,-1.141,0.089,-4.13,-2.324,10.706,0,197
51269,-0.18,-1.031,0.175,-1.908,36.939,18.298,0,199
51330,-0.299,-1.071,0.214,-0.992,-10.359,11.763,0,200
51393,-0.19,-0.772,0.212,5.897,-21.611,5.822,0,0
51453,-0.205,-0.809,-0.088,-2.732,-28.663,-10.522,0,0
51515,-0.282,-0.778,-0.07,-9.361,-23.435,-6.542,0,0
51575,-0.126,-0.694,0.206,3.452,-24.26,-3.962,0,0
51636,-0.146,-0.719,-0.064,2.194,-7.449,-4.835,0,0
51737,-0.252,-0.749,0.05,4.202,6.865,14.374,0,166
51798,-0.167,-0.736,0.115,1.373,5.948,24.038,0,0
51858,-0.333,-1.577,-0.043,-6.481,21.046,17.74,0,0
51916,-0.298,-1.583,0.077,-5.687,42.74,36.389,0,164
51980,-0.414,-1.483,0.325,-7.863,40.58,15.534,0,0
52038,-0.446,-1.226,0.231,3.382,21.665,-20.748,0,166
52097,-0.386,-1.039,0.001,3.028,-20.384,-40.412,0,167
52156,-0.012,-0.672,0.087,14.634,-17.16,-29.008,0,168
52214,0.12,-0.662,0.035,7.283,38.199,-7.229,0,169
52269,-0.143,-0.825,-0.178,15.043,46.281,10.618,0,80
52328,-0.235,-0.634,-0.02,5.542,29.206,17.954,0,171
52381,-0.285,-0.683,-0.016,-3.527,1.501,20.344,0,75
52434,-0.203,-0.651,0.028,-4.092,-10.869,19.809,0,66
52490,-0.175,-0.688,0.035,0.949,7.66,18.756,0,67
52543,-0.291,-1.231,0.053,-8.214,4.163,14.863,0,66
52596,-0.447,-1.657,0.006,-1.321,-5.061,-9.16,0,65
52649,-0.423,-1.34,0.207,-14.649,-2.58,-6.763,0,63
52703,-0.442,-1.401,0.095,-7.771,-35.748,-15.748,0,72
52756,-0.301,-1.191,0.003,-4.817,-19.145,-2.954,0,60
52809,-0.322,-1.14,0.041,-3.115,7.307,9.313,0,73
52862,-0.282,-0.836,0.056,3.679,4.102,19.458,0,73
52917,-0.173,-0.811,0.306,17.375,7.85,23.427,0,84
52973,-0.191,-0.728,0.003,2.827,-11.488,-3.916,0,75
53027,-0.171,-0.798,0.218,13.408,11.939,-2.458,0,82
53081,-0.204,-0.737,0.104,3.153,8.963,-0.344,0,82
53134,-0.25,-0.771,0.069,3.708,6.997,-5.053,0,70
53188,-0.259,-0.637,0.043,4.003,1.422,-1.098,0,77
53240,-0.177,-0.626,0.181,14.22,37.73,12.889,0,67
53294,-0.116,-0.67,0.201,11.326,25.221,7.153,0,67
53347,-0.359,-1.367,-0.022,3.643,21.794,6.376,0,64
53399,-0.305,-1.36,-0.083,11.42,-3.37,-4.212,0,59
53455,-0.538,-1.818,-0.238,-16.458,-7.552,12.282,0,55
53509,-0.358,-1.412,-0.017,1.296,-3.008,-3.534,0,65
53562,-0.335,-1.162,-0.05,-10.779,13.368,-13.26,0,60
53614,-0.359,-0.754,0.189,11.797,29.412,2.735,0,68
53667,-0.431,-0.641,0.134,13.397,-4.298,-8.344,0,66
53721,-0.287,-0.8,-0.054,16.634,-20.26,-12.206,0,72
53775,-0.118,-0.857,-0.118,27.053,12.366,-12.015,0,73
53828,-0.345,-0.928,-0.017,21.023,5.434,-9.382,0,71
53881,-0.276,-0.795,-0.041,19.405,21.406,4.066,0,75
53939,-0.332,-0.527,-0.042,-8.212,-9.396,14.382,0,66
53992,-0.11,-0.527,0.143,15.486,28.78,35.206,0,77
