Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
46197,-0.22,-0.979,0.046,-2.022,-1.485,1.258,0,0
46258,-0.258,-1.03,0.001,-4.776,-4.41,-0.661,0,0
46318,-0.226,-0.99,0.029,-3.096,-1.82,0.892,0,0
46377,-0.177,-0.966,0.091,-0.575,-1.228,3.158,0,0
46438,-0.191,-0.951,0.074,-1.01,1.357,2.883,0,0
46498,-0.257,-1.02,0.023,-5.404,-3.828,-0.203,0,0
46559,-0.196,-0.969,0.044,-1.952,-2.83,1.643,0,0
46619,-0.227,-0.999,-0.001,-4.879,-2.532,0.246,0,0
46682,-0.182,-0.951,0.064,-1.771,2.763,3.752,0,0
46742,-0.242,-1.018,-0.013,-7.805,-3.967,0.242,0,0
46802,-0.254,-1.038,-0.018,-11.237,0.649,0.33,0,0
46863,-0.235,-0.989,0.019,-6.226,-2.176,0.639,0,0
46922,-0.195,-0.956,0.035,-7.275,-0.734,2.259,0,0
46983,-0.194,-0.948,0.058,-7.176,-0.816,4.591,0,0
47043,-0.225,-0.92,0.002,-6.405,-2.761,0.667,0,0
47104,-0.24,-0.987,-0.02,-4.159,-1.019,3.178,0,0
47164,-0.264,-1.128,-0.036,1.843,0.059,-6.702,0,0
47226,-0.257,-1.007,-0.033,1.774,10.573,-6.771,0,0
47287,-0.268,-0.937,-0.018,1.522,5.564,-11.511,0,0
47347,-0.223,-0.906,-0.054,-1.575,-2.146,-8.649,0,0
47408,-0.234,-0.962,-0.021,-0.7,9.159,1.655,0,0
47468,-0.199,-0.888,-0.007,9.968,23.368,11.144,0,0
47527,-0.191,-0.945,-0.05,12.672,21.893,10.473,0,0
47588,-0.211,-0.731,-0.001,22.015,52.87,13.397,0,0
47648,-0.271,-0.689,0.084,18.389,35.695,19.794,0,0
47709,-0.247,-0.667,0.041,18.977,17.722,15.595,0,0
47772,-0.257,-0.843,0.012,23.878,20.824,9.176,0,0
47833,-0.286,-1.468,-0.111,36.672,21.015,-7.305,5,59
47892,-0.091,-1.089,-0.093,13.038,92.237,11.924,0,195
47952,-0.516,-1.338,0.215,-15.84,63.267,14.992,0,197
48013,-0.5,-1.281,0.272,-9.939,-37.496,12.176,0,200
48073,-0.13,-0.863,0.091,-8.328,-22.985,7.664,0,0
48134,-0.234,-0.802,0.136,-1.39,22.802,11.954,0,0
48194,-0.306,-0.836,0.124,3.193,-8.971,5.909,0,0
48254,-0.275,-0.855,0.114,-2.924,-10.25,5.478,0,0
48318,-0.234,-0.666,0.126,-8.275,-31.924,11.345,0,0
48378,-0.146,-0.664,-0.02,-12.389,-29.275,8.443,0,0
48438,-0.183,-0.698,0.066,10.573,8.135,-5.122,0,190
48496,-0.193,-0.634,0.077,7.458,5.326,-0.415,0,165
48556,-0.18,-0.95,0.05,0.519,0.049,12.067,0,170
48616,-0.236,-1.599,-0.169,6.802,-4.06,-10.55,0,0
48674,-0.455,-1.719,0.115,-27.939,3.872,7.603,0,165
48733,-0.309,-1.194,0.064,-7.008,37.527,7.71,0,165
48791,-0.438,-1.28,0.047,-5.12,12.834,-33.26,0,165
48852,-0.386,-0.876,0.109,5.243,-3.569,-35.916,0,168
48912,-0.322,-0.708,0.105,-6.763,-25.681,-4.718,0,166
48970,-0.309,-0.759,0.079,-3.871,-25.588,7.696,0,169
49031,-0.287,-0.811,0.002,2.841,-30.847,0.71,0,199
49084,-0.143,-0.744,-0.113,15.542,10.137,11.028,0,79
49138,-0.249,-0.645,-0.004,9.496,7.295,10.313,0,76
49233,-0.244,-0.688,0.061,-1.633,-6.914,9.901,0,67
49287,-0.145,-1.047,0.011,11.244,10.212,8.74,0,67
49339,-0.262,-1.512,0.109,5.909,8.306,1.049,0,67
49395,-0.279,-1.457,0.174,-3.353,23.527,4.733,0,68
49448,-0.422,-1.475,0.209,-7.855,-37.74,-21.122,0,68
49502,-0.194,-1.255,0.104,-4.026,-39.282,-11.947,0,69
49555,-0.13,-0.988,0.079,-8.74,2.728,4.194,0,72
49608,-0.216,-0.876,0.134,-3.597,17.562,7.779,0,76
49661,-0.193,-0.778,0.112,-1.362,11.257,6.553,0,76
49716,-0.221,-0.778,0.12,-2.459,6.088,-1.6,0,75
49769,-0.276,-0.836,0.155,-1.53,-7.37,-2.873,0,76
49822,-0.165,-0.785,0.038,-1.108,-10.127,-5.345,0,76
49880,-0.213,-0.754,0.101,-0.068,9.278,-6.672,0,85
49934,-0.18,-0.696,0.031,2.01,-4.227,-1.8,0,82
49987,-0.202,-0.669,0.056,1.414,11.007,0.239,0,86
50040,-0.256,-0.639,0.01,-0.507,8.52,7.969,0,63
50094,-0.213,-0.903,0.079,-1.006,9.386,11.176,0,64
50146,-0.319,-1.49,-0.034,1.008,-7.291,10.794,0,61
50199,-0.217,-1.38,0.063,-7.229,16.214,31.534,0,62
50251,-0.395,-1.83,-0.077,-12.313,3.635,14.183,0,63
50305,-0.337,-1.226,0.09,2.213,15.417,3.44,0,66
50361,-0.372,-1.034,0.065,-7.183,7.776,-19.0,0,67
50414,-0.329,-0.753,0.095,0.545,-21.962,-9.107,0,69
