Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
48261,-0.079,-0.996,0.097,8.224,1.738,0.781,0,0
48321,-0.113,-0.985,0.088,6.621,2.373,1.694,0,0
48381,-0.207,-0.993,0.086,1.586,-1.235,-0.646,0,0
48442,-0.124,-0.976,0.101,3.705,1.485,1.142,0,0
48501,-0.053,-0.982,0.089,5.383,1.465,0.998,0,0
48562,-0.24,-0.988,0.092,-1.136,-4.811,-2.027,0,0
48622,-0.04,-0.992,0.094,3.579,4.412,1.473,0,0
48683,-0.132,-0.997,0.086,1.203,1.657,-1.122,0,0
48745,-0.107,-0.993,0.116,3.479,4.665,-0.332,0,0
48805,-0.184,-0.984,0.087,1.546,-2.266,-3.275,0,0
48866,-0.087,-1.013,0.053,8.877,12.7,0.011,0,0
48926,-0.149,-1.003,0.201,5.565,18.033,-1.541,0,0
48987,-0.233,-0.979,0.108,0.607,-11.175,-5.84,0,0
49046,-0.122,-0.998,0.095,-9.399,-30.146,-3.832,0,0
49106,-0.1,-1.021,0.111,1.468,-4.346,0.155,0,0
49167,-0.045,-1.019,0.048,7.992,24.695,-0.276,0,0
49227,-0.166,-0.785,0.414,13.873,43.046,6.549,0,0
49290,-0.221,-1.007,0.067,0.949,-4.982,-2.402,0,0
49350,-0.27,-0.965,0.035,-4.233,-17.228,-1.134,0,0
49411,-0.1,-0.787,0.296,5.291,28.134,10.959,0,0
49471,-0.243,-0.678,0.483,6.816,45.246,15.732,0,0
49531,-0.243,-0.944,0.062,-3.355,-24.364,-4.77,0,0
49591,-0.205,-0.801,0.1,-3.412,-21.097,-2.45,0,0
49651,-0.165,-0.795,0.189,-8.901,-19.794,2.097,0,0
49712,-0.178,-0.758,0.143,-5.565,-16.442,4.925,0,0
49772,-0.294,-0.799,0.077,-4.504,-6.377,-2.093,0,0
49832,-0.052,-0.857,0.039,13.359,40.16,9.145,0,0
49890,-0.28,-0.93,0.279,0.236,53.405,12.282,0,187
49949,-0.262,-1.578,-0.033,12.847,32.26,2.342,0,190
50010,-0.338,-1.705,-0.055,0.555,13.541,-7.198,0,193
50069,-0.178,-0.943,0.208,-4.81,-8.611,21.458,0,195
50129,-0.24,-1.159,0.063,-12.382,-20.924,7.802,0,197
50190,-0.054,-0.751,0.084,6.035,-21.992,5.043,0,200
50250,-0.121,-0.975,-0.025,-3.581,-16.492,-9.26,0,0
50311,-0.114,-0.787,0.09,5.353,1.146,-13.947,0,0
50374,-0.089,-0.864,0.013,9.271,1.8,-10.046,0,0
50435,-0.245,-0.922,0.064,-0.818,0.576,1.65,0,0
50494,-0.245,-1.086,0.087,-9.358,-15.341,-4.557,0,183
50553,-0.277,-0.647,0.048,10.954,-20.208,-2.566,0,184
50614,-0.09,-0.705,0.009,11.099,21.697,-3.634,0,0
50674,-0.262,-0.667,0.065,12.168,21.206,-5.552,0,187
50734,-0.115,-1.184,0.04,5.375,32.687,9.366,0,188
50794,-0.197,-1.347,0.117,-14.779,-2.227,14.695,0,192
50853,-0.289,-1.623,0.362,-27.061,-14.788,14.641,0,194
50917,-0.084,-1.262,0.132,0.154,-34.55,-10.412,0,197
50977,-0.026,-1.138,0.11,-15.206,8.406,11.321,0,199
51039,-0.134,-0.789,0.263,8.397,36.847,16.733,0,0
51099,-0.187,-0.789,0.12,3.261,21.328,2.654,0,0
51158,-0.156,-0.752,0.094,7.491,3.451,-6.824,0,169
51211,-0.022,-0.771,0.063,4.154,12.154,-5.458,0,80
51307,-0.105,-0.689,0.251,-3.718,3.986,-8.244,0,82
51360,-0.252,-0.628,0.117,-1.439,-18.527,-7.991,0,72
51414,-0.051,-0.649,0.002,-1.918,4.323,-1.921,0,68
51467,-0.23,-0.991,0.086,-5.908,20.924,14.756,0,73
51523,-0.302,-1.502,-0.045,-4.237,27.868,9.611,0,63
51575,-0.336,-1.757,-0.005,-7.756,-34.108,-6.804,0,64
51629,-0.316,-1.385,0.09,-19.672,-29.29,10.265,0,64
51682,-0.157,-1.432,-0.164,-15.802,-24.252,-12.107,0,66
51735,-0.311,-1.019,0.124,-11.084,0.435,-16.206,0,67
51788,-0.31,-0.789,0.12,6.873,-4.797,-26.29,0,80
51842,-0.218,-0.64,0.033,-2.739,-22.725,-13.718,0,74
51895,-0.251,-0.741,-0.065,-0.864,-15.214,-3.689,0,73
51952,-0.07,-0.891,-0.197,8.992,9.733,11.733,0,76
52005,-0.155,-0.766,-0.031,7.332,39.0,17.557,0,75
52059,-0.237,-0.722,0.066,-2.548,25.252,6.027,0,78
52113,-0.269,-0.747,0.09,-17.876,-35.786,-10.701,5,23
52166,-0.111,-0.77,-0.081,12.962,-46.786,-8.344,0,78
52219,-0.066,-0.805,-0.09,8.939,21.633,9.569,0,68
52273,-0.151,-1.37,-0.1,-3.29,29.046,0.334,0,76
52326,-0.232,-1.284,0.099,-9.45,2.801,4.468,0,63
52379,-0.273,-1.583,0.215,-27.145,-30.542,7.134,0,64
52435,-0.054,-1.411,0.085,-1.367,-16.736,2.204,0,69
52489,-0.153,-1.249,0.179,7.87,-0.563,1.029,0,69
52542,-0.112,-1.133,0.056,20.863,13.75,-9.603,0,69
52595,-0.261,-1.113,0.035,10.908,32.153,-8.107,0,71
52648,-0.24,-0.794,0.112,12.0,29.107,-9.221,0,73
52702,-0.253,-0.663,0.078,8.542,-6.144,-3.718,0,73
52756,-0.125,-0.703,0.064,8.761,14.948,-7.176,0,75
52809,-0.124,-0.643,0.008,5.491,-2.454,-10.084,0,75
52864,-0.122,-0.681,-0.012,-2.504,-4.846,-9.817,0,77
52920,0.044,-0.588,0.067,-8.176,15.656,-2.275,0,78
52973,-0.12,-0.667,0.038,-10.771,13.028,9.122,0,66
53026,-0.124,-1.146,0.034,-11.702,5.611,15.069,0,68
53080,-0.284,-1.542,-0.073,-9.146,24.962,15.015,0,61
53133,-0.341,-1.622,0.012,-14.527,-13.424,32.672,0,64
53185,-0.224,-1.544,-0.16,-5.863,-11.519,14.847,0,63
53238,-0.286,-1.193,-0.006,-3.084,3.413,4.068,0,67
53292,-0.367,-1.259,0.014,7.958,3.357,-20.237,0,67
53346,-0.276,-0.942,0.004,16.527,-6.397,-26.542,0,71
53402,-0.221,-0.808,-0.025,9.139,-11.998,1.193,0,74
53456,-0.111,-0.761,-0.073,14.29,12.84,7.58,0,77
53510,-0.076,-0.691,-0.073,12.481,12.867,12.924,0,77
53564,-0.038,-0.592,-0.042,11.45,18.489,14.756,0,78
53618,-0.004,-0.664,-0.086,12.237,20.366,3.632,0,78
53671,-0.053,-0.574,-0.049,12.901,27.244,8.706,0,67
53725,-0.135,-0.686,0.001,-4.624,18.542,-7.053,0,65
53778,-0.214,-1.266,0.034,-5.229,-6.763,-10.885,0,63
53831,-0.295,-1.592,-0.004,-23.237,-16.544,-12.405,0,65
