Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
48261,-0.219,-0.996,0.097,0.66,-0.635,-1.001,0,0
48321,-0.203,-0.985,0.088,2.238,0.93,0.535,0,0
48381,-0.179,-0.993,0.086,2.887,-0.794,-0.307,0,0
48442,-0.218,-0.976,0.101,0.062,-0.546,-0.167,0,0
48501,-0.221,-0.982,0.089,0.369,-1.912,-0.938,0,0
48562,-0.088,-0.988,0.092,2.812,-1.05,-0.266,0,0
48622,-0.113,-0.992,0.094,1.732,2.229,0.444,0,0
48683,-0.132,-0.997,0.086,3.87,4.583,1.081,0,0
48745,-0.3,-0.993,0.116,-2.704,-2.286,-3.908,0,0
48805,-0.102,-0.984,0.185,4.681,3.231,-3.275,0,0
48866,-0.087,-1.013,0.053,-6.043,-6.882,-3.928,0,0
48926,-0.131,-1.003,0.225,6.429,19.405,-1.467,0,0
48987,-0.154,-0.979,0.108,6.886,0.001,-5.84,0,0
49046,-0.122,-0.998,0.095,-6.654,-24.088,-3.832,0,0
49106,-0.1,-0.836,0.111,13.674,33.877,2.775,0,0
49167,-0.045,-1.019,0.048,7.992,24.695,0.564,0,0
49227,-0.174,-0.861,0.309,9.191,43.046,4.508,0,0
49290,-0.221,-1.007,-0.11,-5.468,-34.672,-7.575,0,0
49350,-0.164,-0.965,0.268,1.843,16.041,6.531,0,0
49411,-0.196,-0.896,0.15,2.328,14.874,6.372,0,0
49471,-0.243,-0.737,0.406,5.724,37.028,12.998,0,0
49531,-0.243,-1.039,-0.088,-5.166,-43.108,-9.108,0,0
49591,-0.425,-0.801,-0.194,-3.412,-59.026,-10.36,0,0
49651,-0.045,-0.795,0.359,-8.901,-19.794,6.878,0,0
49712,0.047,-0.758,0.428,-5.565,16.456,17.608,0,0
49772,-0.116,-0.799,0.305,-4.504,12.969,12.654,0,0
49832,-0.052,-0.868,0.039,13.359,40.16,9.145,0,0
49890,-0.28,-0.996,0.239,-0.41,53.405,12.282,0,187
49949,-0.262,-1.578,-0.033,12.847,32.26,-3.981,0,190
50010,-0.338,-1.705,-0.055,3.375,19.669,-7.198,0,193
50069,-0.178,-0.944,0.208,-5.024,-9.072,21.458,0,195
50129,-0.24,-1.159,0.063,-12.382,-20.924,7.802,0,197
50190,-0.122,-0.835,0.084,0.723,-21.992,0.421,0,200
50250,-0.121,-0.737,-0.025,9.058,17.945,-9.26,0,0
