Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27247,-0.14,-0.872,0.156,5.883,3.27,0.711,108,46
27292,-0.154,-0.983,0.062,2.313,-1.33,-0.602,104,45
27338,-0.128,-0.966,0.071,2.409,-5.378,1.413,105,46
27384,-0.127,-1.059,-0.02,0.626,-8.309,0.207,106,44
27430,-0.135,-0.95,0.08,4.261,4.373,0.272,104,44
27478,-0.549,-1.361,-0.278,-9.007,-11.213,-3.579,129,44
27523,-0.141,-0.924,0.098,5.719,0.856,0.79,104,45
27572,-0.131,-1.108,-0.07,-1.104,-1.914,-0.609,105,42
27617,-0.152,-0.902,0.135,7.173,8.095,1.59,106,43
27663,-0.165,-1.001,0.085,3.507,1.577,-2.478,104,43
27708,-0.2,-1.024,0.025,2.031,-2.354,-3.247,106,42
27754,-0.241,-1.053,0.016,1.085,-8.833,-3.613,105,42
27800,-0.003,-0.839,0.205,9.671,-0.384,1.904,113,43
27846,-0.142,-0.984,0.066,3.929,-2.889,0.76,104,44
27891,-0.142,-0.859,0.186,11.183,6.953,3.095,105,44
27937,-0.33,-1.171,-0.071,-3.462,-2.627,-4.283,104,43
27985,-0.126,-0.948,0.122,6.481,1.83,-2.226,104,44
28032,-0.138,-1.0,0.046,7.74,2.223,-1.988,103,45
28078,-0.26,-1.137,-0.083,6.534,-1.108,-3.551,102,46
28123,-0.15,-0.954,0.11,8.225,5.764,-0.528,105,46
28169,-0.129,-0.963,0.089,8.573,16.285,-0.987,105,47
28215,-0.084,-0.815,0.1,10.45,21.237,8.318,102,46
28261,-0.111,-1.008,0.154,9.908,35.748,8.496,105,48
28307,-0.229,-1.099,0.193,11.779,36.947,6.863,105,49
28353,-0.207,-0.962,0.217,9.176,25.878,5.957,105,47
28403,-0.227,-0.879,0.176,5.942,20.613,4.92,123,48
28449,-0.266,-0.939,0.163,6.504,8.889,-2.179,102,49
28495,-0.268,-1.037,0.145,-1.657,-20.838,-10.687,103,49
28541,-0.232,-0.774,0.116,7.529,-14.794,-16.122,101,49
28588,-0.291,-1.151,0.129,-6.374,-20.267,-13.0,102,49
28634,-0.038,-0.693,0.157,-9.206,-19.191,-9.794,99,50
28679,-0.42,-1.211,0.151,-11.817,-21.191,-9.328,99,51
28725,-0.31,-1.089,0.148,-9.366,-16.687,-11.336,99,51
28773,-0.145,-0.857,0.105,-8.878,7.255,-14.191,118,56
28821,-0.293,-1.093,0.148,-8.344,-0.287,-12.176,92,51
28867,-0.535,-1.095,0.164,-5.565,-16.229,-8.55,89,43
28913,-0.004,-1.155,0.133,-4.183,18.372,10.029,91,62
28961,-0.14,-1.228,0.116,-9.748,25.52,6.718,87,101
29009,-0.446,-1.364,0.186,-18.458,-31.572,-18.522,111,64
29058,-0.13,-1.404,0.104,-14.809,-27.305,-17.756,112,88
29104,0.001,-1.587,-0.003,-7.107,-24.71,-14.069,26,17
29149,-0.031,-0.743,-0.003,-5.847,9.381,15.885,83,59
29196,-0.053,-1.138,-0.059,-1.117,-9.863,7.832,107,60
29249,-0.072,-0.762,-0.003,6.544,-13.649,11.092,105,115
29296,-0.072,-0.77,-0.025,-5.275,-30.168,8.924,103,67
29343,-0.028,-0.79,-0.033,1.009,-27.588,7.253,102,67
29391,0.028,-0.691,-0.056,-2.366,-18.931,6.097,100,70
29438,-0.022,-0.736,-0.02,-3.183,-2.491,7.22,101,77
29488,-0.005,-0.892,-0.091,-8.505,-22.209,-5.775,99,96
29535,-0.038,-1.034,-0.072,-3.786,-2.617,-5.347,95,76
29625,-0.133,-1.169,-0.017,-8.817,-8.722,-16.292,93,67
29675,-0.359,-1.28,-0.081,-7.786,1.786,-8.832,91,70
29722,-0.139,-1.277,0.067,6.463,10.377,-15.931,89,79
29769,-0.206,-1.546,0.024,9.947,-1.679,-20.947,87,83
29816,-0.119,-1.437,-0.278,19.71,23.092,-21.29,79,85
29864,-0.07,-0.913,0.179,16.916,-4.002,0.02,86,88
29914,0.119,-0.676,-0.037,26.015,0.216,20.45,91,111
29965,0.129,-0.838,-0.067,21.504,30.824,25.084,148,92
30017,-0.034,-0.883,-0.103,16.626,44.893,25.046,146,112
30069,-0.043,-0.862,0.419,20.247,18.309,26.695,144,99
30130,-0.024,-0.77,0.177,7.64,23.741,17.855,143,0
30186,-0.071,-0.737,0.158,7.635,24.031,12.397,142,178
30237,-0.141,-0.834,-0.121,-9.879,-9.408,-9.019,141,103
30289,0.11,-0.633,0.108,-6.916,30.097,18.531,140,101
30345,0.001,-0.832,0.112,-10.374,13.277,-11.29,138,172
30396,-0.225,-1.258,0.189,-3.046,-4.506,-14.649,137,104
30448,-0.225,-0.546,0.123,19.28,16.002,-12.183,135,116
30500,-0.185,-1.183,0.07,5.312,8.31,-12.573,133,107
30556,-0.16,-1.231,0.066,-6.504,9.768,-9.511,131,171
30613,-0.305,-1.368,0.256,-25.122,-22.656,2.832,129,166
30667,-0.027,-1.2,0.026,-12.42,-51.008,-8.588,120,158
30724,-0.032,-0.861,0.016,5.19,-4.707,9.176,125,0
