Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26846,-0.274,-1.113,0.215,-7.964,-0.718,-13.554,0,51
26897,-0.197,-0.946,0.171,3.75,-2.866,-7.916,0,50
26943,-0.006,-0.764,0.12,2.565,11.52,-7.84,101,50
26988,-0.123,-0.878,0.109,3.427,10.15,-6.626,96,50
27034,-0.314,-1.043,0.112,-3.722,2.77,-11.979,97,50
27080,-0.361,-1.067,0.147,-12.483,-6.183,-10.459,99,51
27125,-0.2,-0.899,0.135,-6.733,-2.576,-0.399,98,53
27174,-0.247,-0.99,0.121,-9.466,-14.645,-10.67,97,52
27220,-0.243,-0.99,0.108,-11.137,-14.77,-11.115,101,55
27267,-0.168,-0.91,0.109,-12.473,-3.761,-14.168,97,54
27313,-0.318,-1.212,-0.042,-15.374,-21.664,-15.198,90,55
27358,-0.21,-1.037,0.107,-19.252,1.973,-15.458,89,59
27404,-0.182,-1.164,0.119,-19.198,31.997,-8.954,87,58
27450,-0.32,-1.32,0.221,-22.58,-1.375,-3.107,84,65
27498,-0.26,-1.503,0.127,-21.489,-18.853,-8.652,83,112
27546,-0.295,-1.401,0.133,-16.092,-19.092,14.72,106,83
27595,-0.077,-0.786,0.017,-6.303,-32.198,18.313,105,58
27648,-0.094,-0.992,0.004,-6.87,-18.169,32.405,105,140
27697,-0.046,-0.907,-0.17,4.687,-1.84,26.733,102,114
27748,-0.067,-0.798,-0.038,-2.058,-5.856,20.771,102,134
27796,-0.062,-0.726,-0.041,-8.695,-1.737,13.893,100,76
27843,-0.076,-0.708,0.004,-8.198,-23.496,47.43,98,73
27889,-0.042,-0.757,-0.065,-8.198,-24.344,-13.89,99,67
27937,-0.09,-0.956,-0.092,-11.496,-21.618,-14.115,96,76
27984,-0.115,-0.836,-0.093,-12.351,4.274,-23.908,96,87
