Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27240,-0.197,-1.034,-0.029,5.626,-2.582,-4.542,100,84
27288,-0.155,-0.911,-0.03,5.489,21.95,-4.237,100,87
27336,-0.185,-0.932,0.046,0.068,21.954,-2.708,100,85
27383,-0.3,-1.134,0.134,-3.519,29.333,-1.33,99,83
27431,-0.287,-1.065,0.125,7.603,14.557,-0.041,99,88
27481,-0.243,-0.93,0.076,10.565,4.416,2.9,99,104
27527,-0.187,-0.961,-0.003,12.137,14.947,1.507,99,56
27577,-0.257,-0.943,0.027,15.855,26.008,-2.36,99,86
27630,-0.241,-0.927,0.015,8.435,23.116,-5.275,184,88
27676,-0.237,-0.945,-0.019,3.027,12.065,-4.618,97,56
27723,-0.249,-0.935,0.023,-5.405,2.014,-9.168,97,82
27771,-0.245,-0.938,0.048,-8.313,-5.124,-15.26,94,87
27816,-0.211,-0.966,0.034,-14.076,-14.656,-19.244,93,53
27863,-0.176,-0.947,-0.022,-10.588,11.982,-17.702,91,55
27909,-0.262,-1.037,-0.037,-6.168,39.809,-15.336,90,64
27957,-0.417,-1.14,0.078,-6.29,31.672,-12.687,88,97
28008,-0.36,-1.191,0.067,-15.809,-21.099,-4.901,85,116
28055,-0.246,-1.338,0.016,-18.45,-32.885,-5.939,82,93
28101,-0.119,-1.315,-0.082,-8.336,-32.481,-3.237,80,65
28149,-0.039,-0.916,-0.048,-6.336,-1.986,7.481,78,117
28197,-0.087,-0.98,-0.093,-6.351,7.759,17.305,76,103
28244,-0.151,-1.051,-0.017,-5.099,-27.702,17.031,74,102
28293,0.043,-1.06,-0.186,-8.031,-43.481,14.092,26,33
28343,0.02,-0.975,-0.135,-6.611,-18.115,-1.453,111,115
28395,-0.061,-0.811,-0.081,-7.148,-14.275,-6.389,52,22
28450,-0.086,-0.643,-0.012,-5.878,-14.258,-8.885,159,96
28498,-0.103,-0.718,-0.031,-4.924,-15.809,-6.313,108,75
28549,-0.091,-0.907,-0.119,-0.193,-18.748,-8.42,104,124
28600,-0.093,-1.097,-0.14,1.479,-9.614,-11.366,101,134
28647,-0.112,-1.107,-0.146,-0.062,11.173,-7.687,103,72
28695,-0.193,-1.166,-0.052,-5.04,6.732,-5.45,101,73
28744,-0.215,-1.245,-0.028,-0.09,14.403,-2.545,138,77
28794,-0.223,-1.408,-0.042,6.893,7.846,-0.4,135,80
28846,-0.27,-1.476,-0.034,10.504,-8.514,-6.809,98,90
28899,-0.096,-0.98,-0.049,19.977,-0.38,0.052,144,140
28950,-0.048,-0.625,0.089,4.195,11.787,22.931,151,88
29000,-0.054,-0.962,-0.041,10.649,16.153,36.351,124,91
29052,0.004,-0.97,-0.065,9.237,27.267,38.244,146,114
29103,-0.083,-0.846,0.026,-0.755,52.313,31.069,126,96
29154,-0.236,-0.812,0.136,-3.576,23.817,24.45,124,99
29204,-0.117,-0.714,0.032,-1.412,6.466,17.802,130,101
29259,-0.165,-0.769,0.001,-8.855,2.103,13.29,137,175
29318,-0.198,-0.979,-0.017,-4.916,1.402,1.178,120,189
29369,-0.262,-1.001,-0.013,-6.176,3.122,-9.885,124,105
29423,-0.325,-1.024,0.006,-5.931,8.414,-17.992,118,168
29476,-0.376,-1.082,0.049,-3.901,-8.095,-21.153,132,145
29528,-0.32,-1.109,0.002,-4.435,-8.065,-18.473,131,108
29579,-0.29,-1.219,-0.06,-10.618,13.12,-17.0,109,113
29634,-0.415,-1.387,0.033,-3.901,0.946,-19.023,127,183
29687,-0.243,-0.899,0.033,-4.702,-35.901,-14.389,107,160
29788,-0.091,-1.055,-0.148,-2.514,-30.985,9.924,101,195
29843,-0.088,-0.966,-0.117,-6.107,-17.243,4.335,103,0
29894,-0.136,-0.881,-0.087,-6.237,-14.834,1.314,110,128
29948,-0.16,-0.694,-0.025,-9.046,-30.695,-5.123,95,191
30001,-0.065,-0.706,-0.087,-9.756,-36.237,-1.631,98,165
30053,-0.097,-0.866,-0.104,-8.817,-22.069,-4.709,105,139
30104,-0.134,-1.023,-0.114,-5.771,-22.568,-6.656,103,133
30156,-0.207,-0.981,-0.068,-13.229,-0.143,-6.779,106,139
30205,-0.211,-1.085,-0.08,-13.069,-20.802,-6.198,99,49
30257,-0.193,-1.07,-0.037,-8.344,-19.794,-10.015,103,138
