Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27240,-0.197,-0.911,-0.029,5.626,25.863,-4.542,100,89
27288,-0.155,-0.845,-0.03,5.489,29.486,-4.237,100,91
27336,-0.185,-1.123,-0.232,-13.734,21.954,-12.585,30,26
27383,-0.3,-1.134,0.134,-3.519,10.152,-5.339,99,81
27431,-0.287,-1.065,0.004,7.603,-5.563,-3.564,99,87
27481,-0.156,-0.93,0.18,10.565,23.557,5.826,99,104
27527,-0.187,-0.946,0.162,12.137,43.599,6.817,99,56
27577,-0.229,-0.934,0.056,15.855,26.008,-0.672,99,86
27630,-0.327,-0.981,-0.07,8.435,3.639,-5.275,184,85
27676,-0.328,-1.035,-0.019,-0.302,-2.892,-4.618,97,56
27723,-0.277,-0.963,-0.006,-5.405,-0.007,-9.168,97,82
27771,-0.195,-0.887,0.103,-8.313,-1.207,-15.26,94,87
27816,-0.211,-0.974,0.026,-14.076,-13.886,-19.244,93,53
27863,-0.176,-0.879,-0.022,-10.588,13.076,-17.702,91,55
27909,-0.269,-1.037,-0.037,-6.168,39.809,-15.336,90,64
27957,-0.417,-1.14,0.019,-6.29,31.672,-12.687,88,97
28008,-0.36,-1.191,0.093,-15.809,-21.099,-4.901,85,116
28055,-0.294,-1.338,-0.098,-18.45,-32.885,-5.939,81,93
28101,-0.119,-1.315,-0.082,-8.336,-32.481,-6.44,78,65
28149,-0.039,-0.972,-0.048,-6.336,-10.074,7.481,78,117
28197,-0.087,-1.101,-0.093,-6.351,-1.941,17.305,74,103
28244,-0.151,-1.051,-0.017,-5.099,-27.702,17.031,75,102
28293,0.043,-1.091,-0.186,-8.031,-43.481,14.092,85,109
28343,0.02,-1.031,-0.135,-6.611,-18.115,-4.738,111,115
28395,-0.061,-0.811,-0.081,-2.166,-8.13,-6.389,174,73
28450,-0.086,-0.643,0.002,-5.878,-12.275,-8.885,159,96
28498,-0.103,-0.718,-0.031,-4.924,-15.809,-6.313,108,73
28549,-0.091,-1.053,-0.119,-4.18,-18.748,-8.42,104,124
28600,-0.093,-1.097,-0.14,3.275,-0.086,-11.366,101,134
28647,-0.112,-1.107,-0.146,3.711,37.49,-7.687,103,74
28695,-0.193,-1.166,-0.052,1.683,32.934,-5.45,101,79
28744,-0.12,-1.245,-0.028,2.73,23.835,2.603,138,78
28794,-0.171,-1.408,-0.042,6.893,10.529,1.27,135,80
28846,-0.185,-1.476,-0.034,10.504,-2.179,-6.809,98,90
28899,-0.096,-0.978,-0.049,19.977,0.795,1.866,144,140
28950,-0.048,-0.625,0.02,3.096,3.76,22.931,151,88
29000,-0.054,-0.959,-0.041,10.649,16.815,36.351,124,91
