Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29718,0.139,-0.819,-0.01,30.725,64.26,22.893,94,77
29765,-0.003,-0.757,0.044,20.809,77.206,14.748,92,76
29812,-0.076,-0.657,0.073,16.206,61.641,-2.89,92,80
29859,-0.057,-0.788,0.021,16.565,39.687,-21.097,91,83
29906,-0.162,-0.882,0.033,0.326,35.748,-20.817,94,82
29954,-0.114,-1.01,0.059,-0.58,42.374,-19.672,91,80
30001,-0.299,-1.237,0.106,-1.59,43.916,-23.687,95,81
30052,-0.398,-1.36,0.104,-2.563,38.641,-25.031,92,84
30101,-0.408,-1.353,0.087,-12.069,18.916,-13.405,131,88
30149,-0.404,-1.115,0.025,-11.046,7.282,5.043,93,87
30198,-0.343,-0.896,0.074,-4.241,-12.224,18.817,122,92
30248,-0.309,-0.922,-0.059,1.297,-25.122,29.878,120,94
30299,-0.19,-0.732,-0.083,0.715,-32.519,45.908,117,113
30350,-0.146,-0.595,-0.058,-4.383,-21.481,52.542,136,105
30401,-0.05,-0.686,-0.101,-8.42,-31.29,44.969,132,107
30452,-0.029,-0.828,-0.105,-4.607,-29.042,28.443,128,113
30511,-0.11,-1.065,-0.101,-2.391,-14.015,0.926,126,179
30562,-0.228,-1.487,-0.014,-4.488,-15.472,-21.351,122,118
30613,-0.257,-1.619,-0.059,2.238,-25.42,-35.969,120,119
30664,-0.221,-1.512,0.012,12.966,-9.035,-40.336,120,121
30710,-0.22,-1.074,0.083,17.351,-13.677,-46.137,118,36
30764,-0.046,-0.557,0.055,34.725,7.725,-26.496,117,150
30810,-0.128,-0.822,0.073,14.931,25.779,-5.351,116,40
30864,-0.129,-0.739,-0.008,15.847,33.359,-2.134,114,179
30921,-0.245,-0.599,0.105,10.771,18.954,4.424,112,194
30973,-0.216,-0.85,0.026,-1.434,-7.312,-3.769,110,135
31025,-0.183,-0.729,0.031,2.342,-10.426,-3.619,104,138
31078,-0.171,-0.983,0.006,-8.655,-11.203,-8.504,106,168
31132,-0.3,-1.124,0.102,-13.435,-12.785,-18.74,99,0
31178,-0.384,-1.188,0.107,-18.618,-28.519,-10.809,96,51
31224,-0.355,-1.187,0.095,-23.641,-45.855,-6.313,98,55
31277,-0.299,-1.226,-0.02,-27.023,-44.42,-8.699,95,169
31331,-0.293,-0.986,0.008,-19.672,-47.847,-6.307,85,0
31387,-0.327,-0.982,-0.016,-9.595,-71.084,25.641,86,185
31443,-0.172,-0.992,-0.203,-5.106,-79.504,29.595,138,0
31498,-0.166,-0.83,-0.125,-1.318,-55.641,38.634,77,0
31551,-0.132,-0.759,-0.172,-6.155,-49.901,46.802,73,0
31599,-0.186,-0.764,-0.096,-9.954,-50.13,52.137,142,51
31648,-0.063,-0.721,-0.17,-13.504,-56.42,46.947,141,57
31697,-0.124,-0.901,-0.161,-12.527,-41.824,29.603,136,60
31746,-0.197,-1.057,-0.115,-14.779,-33.855,11.214,134,63
31798,-0.276,-1.212,0.008,-15.916,-35.374,-11.763,128,68
31847,-0.292,-1.453,-0.019,-9.847,-43.0,-29.908,125,71
31894,-0.323,-1.631,-0.03,10.743,-43.779,-53.16,123,55
31942,-0.252,-0.942,0.055,9.751,-42.237,-65.947,117,56
31989,-0.074,-0.62,0.108,5.078,-35.069,-30.466,113,57
32036,-0.202,-1.006,0.032,4.628,-26.87,-15.145,111,58
32083,-0.205,-1.049,-0.008,7.328,-16.97,-21.298,108,61
32131,-0.261,-0.95,0.043,-4.002,-46.495,-21.727,32,19
32179,-0.243,-0.835,0.022,-1.732,-29.206,-5.355,106,65
32271,-0.211,-0.837,-0.028,-8.305,-40.588,-3.673,101,68
