Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35084,0.129,-0.964,0.197,4.044,1.49,8.747,0,90
35137,-0.189,-0.965,0.199,0.009,-0.763,2.446,0,81
35192,-0.169,-0.964,0.191,0.787,-0.37,1.152,0,123
35249,-0.282,-0.986,0.19,-1.645,-2.71,-2.449,0,125
35304,-0.121,-1.002,0.181,1.695,4.36,-1.305,0,124
35357,-0.224,-0.945,0.202,-1.295,2.613,-5.081,0,83
35410,-0.023,-0.974,0.226,2.821,8.199,2.63,0,82
35464,-0.324,-0.989,0.205,-10.361,-29.75,-24.955,0,78
35520,-0.164,-1.007,0.211,-4.999,-11.997,-10.481,0,79
35569,-0.081,-1.007,0.234,1.439,-8.004,1.781,121,81
35617,-0.253,-1.004,0.201,-4.767,-31.749,-10.607,120,76
35671,-0.055,-0.882,0.165,12.241,10.581,10.975,0,81
35724,-0.167,-0.941,0.167,5.724,23.725,10.418,0,78
35780,-0.312,-0.987,0.188,-5.991,15.87,-11.329,0,126
35836,-0.41,-0.971,0.22,-21.526,-59.988,-37.099,0,126
35890,-0.158,-0.973,0.205,-8.291,-33.351,-17.208,0,82
35941,-0.147,-0.97,0.192,-6.655,-31.794,-11.524,121,78
35990,-0.432,-1.014,0.215,-15.851,-63.426,-28.085,120,69
36039,-0.219,-0.994,0.214,-0.794,-23.64,0.569,121,75
36091,-0.09,-0.997,0.184,-0.282,-21.367,2.554,0,73
36145,-0.076,-0.971,0.169,7.173,3.86,12.114,0,75
36198,-0.151,-0.963,0.187,8.736,22.557,14.698,0,77
36251,-0.247,-0.98,0.228,0.867,-1.459,3.354,0,75
36304,-0.295,-0.958,0.183,-4.487,-21.181,-9.639,0,74
36359,-0.092,-0.978,0.174,1.863,2.346,2.317,0,79
36414,-0.153,-0.97,0.2,0.365,2.745,-6.491,0,78
36468,-0.231,-0.969,0.227,-2.019,-0.915,-17.356,0,81
36524,-0.029,-0.963,0.227,0.08,0.254,-0.686,0,126
36577,-0.218,-0.974,0.219,-2.344,-6.528,-26.103,0,78
36626,-0.162,-0.963,0.216,-0.656,-1.015,-18.238,120,77
36675,-0.086,-0.964,0.219,1.914,6.213,-5.135,121,76
