Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40437,-0.183,-0.975,0.195,-1.998,0.426,3.822,0,98
40483,-0.139,-0.964,0.152,-3.11,-13.662,4.448,58,96
40534,-0.152,-0.991,0.161,-4.713,-20.319,7.963,128,97
40588,-0.121,-0.983,0.181,-2.483,-22.262,11.498,0,99
40643,-0.125,-0.978,0.333,1.809,5.168,32.204,0,104
40696,-0.114,-0.969,0.269,1.29,-5.133,15.582,0,76
40749,-0.115,-0.985,0.246,1.708,-8.853,9.605,0,73
40805,-0.107,-0.995,0.152,0.808,-17.694,1.729,0,74
40857,-0.094,-0.973,0.199,1.276,-4.125,1.894,0,74
40910,-0.128,-0.967,0.149,-2.942,-9.92,-5.165,0,75
40964,-0.116,-0.954,0.315,1.14,-0.74,0.664,0,75
41017,-0.096,-0.958,0.063,-4.796,-8.235,-14.13,0,74
41069,-0.132,-0.975,0.275,-0.549,11.82,-0.838,0,74
41122,-0.125,-0.992,0.288,0.992,13.924,1.033,0,74
41176,-0.146,-0.986,0.233,-0.457,7.917,-0.958,0,74
41229,-0.125,-0.983,0.264,0.881,7.254,0.712,0,75
41284,-0.146,-0.972,0.004,-10.115,-7.002,-26.461,5,22
41337,-0.126,-0.99,0.14,-3.936,-3.176,-16.019,0,75
41391,-0.143,-0.975,0.144,-4.722,-2.464,-15.119,0,74
41444,-0.138,-0.983,0.134,-2.725,-11.455,-9.989,0,75
41497,-0.143,-0.993,0.214,0.464,-7.141,-3.489,0,74
41545,-0.117,-0.995,0.12,1.55,-16.304,-7.409,128,75
41594,-0.082,-0.927,0.024,-1.924,-9.33,-7.075,126,76
41644,-0.12,-0.948,0.158,2.675,5.538,13.096,125,75
41692,-0.141,-0.978,0.308,12.996,19.464,27.756,126,74
41743,-0.167,-0.971,0.044,-20.102,-42.126,-23.703,125,73
41792,-0.141,-0.973,0.186,-10.638,-27.339,-10.264,126,73
