Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32619,-0.14,-0.976,0.158,-2.485,-2.677,4.026,0,67
32671,-0.135,-0.977,0.185,-1.938,-2.508,2.091,0,66
32723,-0.202,-0.975,0.11,-6.377,-5.308,-2.775,0,66
32776,-0.018,-0.975,0.297,2.812,1.401,2.677,0,66
32829,-0.188,-0.978,0.104,-6.674,-2.825,-4.828,0,67
32881,-0.031,-0.979,0.293,2.718,2.289,1.952,0,66
32932,-0.173,-0.977,0.136,-5.734,-1.26,-5.227,178,66
32988,-0.157,-0.974,0.152,-5.086,-0.637,-4.199,0,65
33040,-0.191,-0.988,0.129,-7.313,-0.828,-6.036,0,64
33093,-0.129,-0.946,0.204,-2.967,-0.703,-2.516,0,64
33145,-0.138,-0.974,0.192,-4.685,-2.184,-1.761,0,63
33198,-0.281,-0.979,0.047,-12.845,-7.139,-4.964,0,63
33250,0.005,-0.981,0.317,5.419,4.087,1.88,0,64
33302,-0.064,-0.976,0.263,1.613,2.358,0.741,0,62
33354,-0.126,-0.981,0.194,-3.211,-3.072,-0.214,0,57
33406,-0.178,-0.974,0.11,-8.289,-4.409,-1.742,0,58
33462,-0.042,-0.977,0.259,2.644,2.402,1.454,0,70
33515,-0.186,-0.975,0.118,-10.594,-3.895,-3.512,0,67
33567,0.009,-0.807,0.309,7.916,1.953,3.781,0,61
33619,-0.086,-0.973,0.21,-1.955,1.629,0.22,0,61
33672,-0.178,-0.98,0.142,-11.918,-0.595,-7.168,0,62
33724,-0.058,-0.892,0.235,0.765,1.566,-0.501,0,63
33775,-0.227,-1.07,0.05,-23.782,-0.644,-15.452,170,60
33825,0.025,-0.794,0.334,16.499,5.686,11.483,169,59
33875,-0.092,-0.908,0.204,-2.6,3.833,-1.518,169,58
33930,-0.185,-1.008,0.079,-23.806,1.773,-14.892,167,64
33980,-0.134,-0.939,0.158,-15.595,5.118,-7.608,160,57
34031,-0.052,-0.865,0.213,-16.214,20.198,0.58,165,73
