Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32619,0.02,-0.976,0.315,3.424,3.429,10.58,0,67
32671,-0.084,-0.977,0.236,0.096,-0.549,3.989,0,66
32723,-0.096,-0.975,0.216,-1.775,-1.473,1.351,0,66
32776,-0.208,-0.975,0.105,-6.403,-4.462,-3.738,0,66
32829,-0.09,-0.978,0.205,-1.399,-0.268,-1.167,0,67
32881,-0.127,-0.979,0.191,-2.913,0.302,-2.555,0,66
32932,-0.174,-0.977,0.134,-5.728,-1.27,-5.223,178,66
32988,-0.108,-0.974,0.203,-2.047,0.058,-1.559,0,65
33040,-0.067,-0.988,0.257,0.823,1.682,0.205,0,64
33093,-0.184,-1.011,0.147,-6.598,-2.158,-4.895,0,64
33145,-0.071,-0.974,0.26,-0.36,-0.279,0.676,0,63
33198,-0.129,-0.979,0.2,-2.807,-2.437,-0.525,0,63
33250,-0.167,-0.981,0.142,-5.865,-2.434,-1.627,0,64
33302,-0.116,-0.976,0.209,-1.873,0.276,-0.182,0,62
33354,-0.204,-0.981,0.111,-8.475,-5.646,-1.538,0,57
33406,-0.167,-0.974,0.122,-7.278,-3.919,-1.485,0,58
33462,-0.023,-0.977,0.279,3.807,2.957,1.826,0,70
33515,-0.079,-0.975,0.236,-0.677,-0.709,-0.2,0,67
33567,-0.183,-1.028,0.099,-12.053,-2.406,-4.572,0,61
33619,-0.287,-0.973,-0.008,-24.183,-2.438,-11.379,0,61
33672,-0.161,-0.98,0.161,-9.691,-0.299,-5.886,0,62
33724,-0.24,-1.099,0.032,-23.639,-1.244,-15.403,0,63
33775,-0.17,-1.006,0.115,-14.792,0.492,-9.616,170,60
33825,-0.195,-1.037,0.074,-20.485,-1.205,-12.585,169,59
33875,-0.187,-1.012,0.089,-20.463,-0.047,-12.755,169,58
33930,-0.164,-0.984,0.106,-18.892,2.845,-11.87,167,64
33980,-0.16,-0.967,0.124,-15.595,2.435,-11.058,160,57
34031,-0.052,-0.866,0.211,-16.214,19.231,0.033,165,73
34081,-0.144,-0.942,0.013,-15.618,8.263,-12.311,158,66
34131,-0.293,-0.975,-0.05,-27.125,40.771,-12.825,156,68
34183,-0.394,-1.016,-0.001,-18.135,59.267,-4.493,162,72
34229,-0.442,-1.002,-0.17,-5.806,104.985,-8.68,86,64
34275,-0.61,-0.549,-0.293,-14.501,134.008,-40.5,83,82
34323,-0.676,-0.429,-0.232,-24.774,105.748,-27.021,72,106
34374,-0.444,-1.013,-0.129,-24.954,72.641,34.183,73,116
34423,-0.486,-1.275,0.342,-30.313,52.397,83.672,66,143
34471,0.287,-1.475,0.164,-35.992,-27.116,208.863,59,114
34522,-0.176,-2.0,0.492,-56.58,-56.654,119.0,77,152
34571,0.064,-1.517,0.438,41.008,-84.519,-73.664,51,135
34617,0.125,-1.417,-0.518,73.794,55.137,-119.573,52,95
34664,0.033,-1.469,-0.707,117.886,242.443,29.338,59,121
34712,-0.715,-1.136,0.555,70.069,111.275,39.015,50,123
34762,0.076,-1.392,-0.291,39.374,-36.58,-85.176,53,125
34811,-0.013,-0.611,-0.174,27.763,81.924,-72.969,50,157
34860,-0.993,-0.813,0.474,-20.817,26.069,-61.267,16,159
34907,-0.434,-0.275,0.381,-29.603,-118.557,-49.71,17,160
34955,0.043,-1.05,-0.306,17.854,-59.55,-29.313,16,162
35003,0.182,-0.959,-0.078,-5.316,-3.039,-7.963,16,164
35051,-0.006,-0.893,0.301,-14.719,-10.232,-1.528,16,163
35098,0.05,-0.781,0.344,29.028,33.401,4.984,16,163
35189,0.014,-0.893,0.043,18.771,22.866,-12.074,16,165
35240,-0.054,-0.977,0.058,21.008,-22.759,-12.69,16,165
35290,-0.059,-1.007,0.035,14.904,13.082,3.526,38,163
35339,0.267,-0.704,0.018,45.413,-28.908,7.73,45,163
35387,0.104,-1.005,0.004,8.205,15.879,-0.716,18,164
35434,-0.189,-1.027,0.172,-6.878,-8.083,-12.977,16,164
35482,-0.023,-0.945,0.128,3.231,-4.24,-11.6,16,163
35531,-0.045,-1.035,0.144,11.308,7.783,1.675,42,162
35579,-0.054,-1.027,0.086,10.669,-1.506,5.483,19,163
35628,-0.136,-1.058,0.053,-3.318,-21.078,-0.821,17,162
35678,-0.051,-0.905,0.056,1.541,10.874,5.348,16,162
35726,-0.102,-1.101,0.228,3.166,2.324,18.631,17,163
35781,-0.02,-0.905,0.34,4.578,-5.918,26.672,0,113
35830,-0.264,-0.912,0.125,-5.057,-11.998,25.794,79,112
35881,-0.287,-0.962,0.17,1.645,-35.158,22.863,76,162
35933,-0.167,-1.147,-0.049,-3.898,-31.331,23.298,76,162
35984,-0.21,-0.869,0.4,-0.337,20.896,39.069,75,162
36033,-0.15,-1.032,0.163,9.23,-27.126,16.283,73,111
36087,-0.076,-0.981,0.318,10.895,23.039,26.789,74,162
36135,-0.329,-0.98,0.037,-6.461,-17.294,-11.951,67,111
36187,0.115,-0.601,0.515,28.579,19.265,21.847,73,162
36235,-0.106,-0.823,0.46,17.931,18.094,29.794,73,112
36286,-0.325,-0.857,0.174,9.639,7.958,29.71,73,162
36335,-0.143,-0.879,0.19,17.602,6.446,22.947,75,111
36390,-0.358,-0.976,0.186,-2.393,-7.643,4.074,0,111
36449,-0.322,-0.841,0.345,3.847,10.407,31.382,0,164
36505,-0.324,-1.085,0.103,-0.28,-21.973,-16.836,0,113
36558,-0.354,-0.926,0.229,-1.79,-3.144,7.779,89,133
36609,-0.354,-0.784,0.347,4.445,-0.989,29.294,81,132
36658,-0.314,-0.939,0.155,0.644,-5.997,1.858,80,112
36713,-0.368,-0.886,0.282,-6.454,-8.599,15.261,0,109
36770,-0.308,-0.851,0.216,-2.025,1.066,11.186,0,132
36827,-0.316,-0.793,0.37,-0.129,-3.991,22.695,0,138
36884,-0.329,-0.802,0.267,1.026,6.656,14.063,0,132
36942,-0.344,-0.882,0.338,-25.745,-11.937,10.568,0,158
37000,-0.199,-1.215,0.952,-14.906,43.13,43.031,0,127
37058,-0.17,-1.405,0.657,38.832,45.405,43.107,0,103
37112,-0.62,-0.881,0.662,28.992,-48.878,26.038,0,95
37167,0.077,-0.395,-0.327,95.939,-32.908,27.588,0,88
37222,-0.304,-0.191,-0.567,57.695,140.916,-5.92,0,89
37277,-0.86,-0.64,-1.316,61.977,234.87,-53.229,197,110
37332,-0.872,-0.978,-0.386,-130.298,144.427,-52.382,176,132
37390,-1.06,-0.871,0.375,-89.595,79.405,-25.244,0,129
37447,-0.943,-1.155,0.167,-31.137,-7.979,-34.832,0,127
37505,-0.657,-0.975,0.034,-23.165,-14.079,-24.359,195,149
37563,-0.609,-1.009,-0.24,28.153,58.885,-23.504,159,127
37617,-0.677,-0.934,-0.102,-25.453,25.244,-41.0,160,131
37671,-0.527,-0.622,-0.143,55.767,76.451,-24.71,162,122
37727,-0.363,-1.05,-0.291,-2.891,-12.193,-45.421,164,126
37780,-0.635,-0.837,0.015,25.137,30.641,-34.634,167,102
37878,-0.312,-0.819,-0.159,36.718,-88.542,-34.962,0,94
37936,-0.277,-0.94,0.203,-8.473,-68.733,-31.275,0,133
37995,-0.488,-1.564,0.549,22.843,-97.847,1.254,0,177
38055,-0.425,-0.806,0.557,58.374,38.298,33.107,0,132
38112,-0.578,-0.801,0.046,76.679,-6.042,7.319,181,133
38170,-0.451,-0.482,-0.293,48.496,-26.603,-9.461,181,175
38230,-0.372,-0.573,-0.042,20.214,51.519,5.495,186,173
38283,-0.46,-0.703,0.363,-25.939,31.183,-2.016,187,87
38338,-0.325,-1.088,0.469,-31.295,30.595,-7.404,0,83
38392,-0.298,-0.816,0.325,21.852,29.656,2.009,0,83
38451,-0.319,-0.88,0.069,-6.21,47.809,-33.602,0,165
38509,-0.252,-0.759,0.2,-17.076,39.359,-21.99,195,151
38565,-0.148,-1.003,0.044,-2.2,57.527,-29.534,184,76
38620,-0.301,-1.155,-0.087,3.189,112.443,-42.71,0,70
38671,-0.497,-1.137,-0.026,-3.292,77.618,-53.351,122,111
38728,-0.378,-1.065,-0.364,-3.089,43.573,-44.16,0,136
38784,-0.48,-1.048,-0.215,-45.015,59.088,-52.71,127,164
38833,-0.501,-1.033,-0.04,-32.267,13.052,-38.412,129,59
38880,-0.513,-1.037,-0.04,-19.092,26.982,-26.863,97,57
38933,-0.402,-0.987,-0.102,-15.176,-32.055,-37.97,96,160
