Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
30561,-0.633,-0.011,0.914,2.177,-4.853,1.234,0,164
30621,-0.42,-0.005,0.719,-1.592,-53.842,-6.929,0,0
30667,-0.316,-0.012,0.821,-0.67,24.535,-0.681,0,0
30713,-0.455,-0.023,0.818,-0.736,34.573,4.028,0,0
30759,-0.571,-0.017,0.793,0.39,30.756,0.668,0,0
30806,-0.588,-0.032,0.707,-0.149,-8.947,-3.952,0,0
30852,-0.603,-0.012,0.81,1.137,-4.557,1.599,0,0
30912,-0.553,-0.001,0.635,-4.108,-29.333,-2.02,0,0
30961,-0.499,0.006,0.935,1.699,22.336,6.074,0,0
31021,-0.535,-0.007,0.797,-0.164,17.14,1.826,0,0
31068,-0.604,-0.008,0.714,0.11,0.694,-0.658,0,0
31127,-0.623,-0.014,0.96,2.257,10.575,3.437,0,0
31174,-0.556,-0.009,0.882,0.932,-2.033,2.449,0,0
31234,-0.54,-0.013,0.9,0.571,3.857,3.917,0,0
31280,-0.556,-0.005,0.775,0.268,5.578,1.741,0,0
31340,-0.597,-0.009,0.784,0.351,2.09,1.431,0,0
31386,-0.589,-0.001,0.813,0.623,-4.936,1.069,0,0
31449,-0.551,-0.006,0.814,-0.034,-5.267,0.81,0,0
31496,-0.538,-0.018,0.872,0.465,7.072,2.608,0,0
31555,-0.573,-0.012,0.984,1.545,14.407,6.625,0,0
31602,-0.587,-0.002,0.742,-0.234,-2.571,0.776,0,0
31662,-0.567,-0.004,0.697,-0.634,-7.837,-1.473,0,0
31709,-0.558,-0.009,0.863,0.49,-1.067,2.254,0,0
31768,-0.553,-0.008,0.885,0.776,3.486,4.006,0,0
31815,-0.577,-0.008,0.887,3.474,7.529,20.237,0,0
31875,-0.602,-0.005,0.76,-2.401,-25.723,-30.795,0,0
31922,-0.534,-0.059,0.71,14.816,-63.256,60.748,0,0
31984,-0.904,0.14,0.604,43.855,153.618,229.809,0,0
32031,-2.0,0.83,0.574,-2.308,250.13,250.13,0,0
32088,-1.785,0.537,0.412,-112.504,89.824,250.13,133,0
32128,-0.901,0.374,0.378,-154.947,-97.847,250.13,82,0
32176,-0.425,-0.266,0.462,-156.321,-134.641,208.015,78,117
32224,0.011,-0.08,0.581,-151.0,-167.389,155.084,60,124
32272,0.205,-0.071,1.018,-135.511,-226.29,106.511,52,131
32322,0.694,-0.363,0.49,-75.519,-216.275,35.504,23,0
32375,0.71,0.603,0.308,158.247,-35.137,-69.137,22,0
32427,0.311,0.569,0.37,-63.443,119.16,44.244,28,0
32477,0.056,0.204,1.131,-90.664,52.198,74.313,20,0
32528,0.767,-0.696,1.045,-44.389,-67.634,79.389,46,0
32580,0.913,-0.003,1.027,74.702,34.145,-65.71,48,0
32632,-0.201,0.915,0.923,66.282,198.565,-39.466,49,0
32679,-1.265,0.851,0.6,-162.732,182.641,78.008,44,123
32727,-0.909,0.452,1.014,-106.802,-47.305,134.901,55,123
32779,0.041,-0.604,0.649,-119.542,-218.863,120.626,43,0
32833,1.364,-0.473,0.441,-54.344,-152.939,-27.008,12,5
32884,1.554,-0.12,0.584,53.153,-39.076,-25.389,40,0
