Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34254,-2.0,-0.628,-0.3,-74.046,58.626,206.779,155,89
34299,-1.542,-0.773,-0.137,-48.229,-24.101,200.153,48,93
34345,-0.45,-0.509,-0.149,-23.0,-52.588,135.237,38,99
34391,0.116,-0.476,-0.267,-2.031,-18.124,21.289,57,90
34436,0.38,-0.455,-0.278,-5.731,42.099,-97.908,45,87
34480,0.128,-0.432,-0.111,14.298,92.618,-134.84,36,70
34527,-0.464,-0.457,0.058,21.695,95.824,-118.71,76,97
34575,-1.704,-0.719,-0.194,91.122,35.885,-104.237,79,70
34621,-2.0,-0.522,-0.418,102.267,75.29,-76.481,73,70
34666,-1.989,0.031,-0.172,85.771,70.29,9.418,80,58
34710,-1.549,0.15,-0.197,64.534,2.209,2.884,52,57
34760,-0.929,0.265,-0.279,54.939,-16.457,20.939,149,83
34811,-0.514,0.554,-0.18,35.427,-11.029,3.943,44,27
34863,-0.231,0.726,-0.095,-15.131,-2.379,20.481,143,97
34908,-0.686,0.738,-0.228,-73.466,48.824,81.183,51,96
34957,-1.406,0.634,-0.629,-179.588,52.321,133.969,105,93
35009,-2.0,0.004,-1.168,-238.053,-11.256,125.137,105,95
35057,-1.809,-0.49,-0.843,-191.702,-106.382,101.031,115,81
35106,-0.493,-0.574,-0.522,-118.664,-62.26,44.115,100,99
35155,0.047,-0.549,-0.178,-55.29,3.583,-32.26,106,91
35204,0.374,-0.776,-0.057,-13.253,4.118,-103.557,114,79
35253,0.517,-0.512,0.009,77.382,4.581,-139.023,111,81
35299,-0.085,-0.489,-0.243,127.115,24.099,-139.374,51,98
35349,-2.0,-0.808,-1.29,216.611,147.321,-141.099,127,92
35401,-2.0,-0.301,-0.505,86.977,203.733,11.942,129,90
35451,-2.0,-0.067,-0.208,51.626,-80.107,-21.235,126,93
35502,-0.842,0.315,-0.557,52.214,-83.046,-16.724,125,95
35552,-0.472,0.642,-0.268,27.366,15.649,8.059,122,99
35601,-0.349,0.8,-0.015,-57.988,-30.992,3.971,121,75
35651,-0.128,0.906,-0.27,-108.092,-56.145,21.267,120,99
35701,-0.575,0.909,-1.148,-196.061,-7.086,53.588,121,98
35750,-2.0,0.624,-1.612,-250.137,102.634,110.992,124,73
35804,-2.0,-0.279,-1.408,-250.137,-80.397,95.962,121,98
35854,-1.099,-0.521,-1.012,-203.954,-71.565,74.702,117,104
35904,-0.253,-0.509,-0.356,-160.489,-11.894,39.718,112,111
35959,0.393,-0.649,-0.083,-107.489,-15.112,-34.366,105,0
36015,0.619,-0.77,-0.119,2.607,-29.046,-102.328,103,0
36065,-0.026,-0.748,-0.228,42.649,-16.005,-146.0,105,103
36114,-1.98,-0.854,-0.931,107.832,73.977,-199.847,108,96
36160,-2.0,-0.186,-1.263,78.603,219.855,-94.656,52,95
36218,-2.0,0.188,-0.278,11.992,-8.275,-40.032,112,0
36261,-0.924,0.433,-0.334,8.924,-72.29,-18.937,128,0
36315,-0.596,0.485,-0.189,28.748,-15.846,16.618,126,151
36365,-0.341,0.72,0.03,18.458,-9.759,24.924,102,101
36414,-0.237,1.253,-0.324,-66.229,-58.008,22.627,100,102
36461,-0.626,1.238,-1.15,-250.137,-16.288,45.198,51,112
36507,-2.0,0.513,-1.961,-250.137,66.55,71.534,50,96
36556,-2.0,-0.29,-1.872,-250.137,-52.229,56.389,103,96
36605,-1.504,-0.711,-1.424,-250.137,-98.496,83.931,99,102
36658,-0.386,-0.652,-0.659,-216.031,-14.191,61.076,92,109
