Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34254,-2.0,-0.647,-0.3,-74.046,58.626,206.779,155,88
34299,-1.542,-0.773,-0.154,-48.229,-28.518,200.153,48,93
34345,-0.412,-0.498,-0.127,-16.932,-52.588,135.237,38,99
34391,0.116,-0.554,-0.267,-20.247,-47.902,-17.567,57,89
34436,0.38,-0.454,-0.278,-5.474,42.099,-97.908,45,87
34480,0.128,-0.346,0.002,14.298,92.618,-134.84,36,70
34527,-0.45,-0.418,0.112,21.695,95.824,-118.71,76,97
34575,-1.704,-0.719,-0.162,91.122,35.885,-104.237,79,70
34621,-2.0,-0.519,-0.418,102.267,75.29,-76.481,73,70
34666,-1.989,0.031,-0.069,85.771,70.29,34.147,80,58
34710,-1.549,0.15,-0.274,64.534,-14.104,-9.412,52,57
34760,-0.929,0.265,-0.279,54.939,-16.095,20.939,149,83
34811,-0.497,0.554,-0.175,35.427,-8.069,7.247,146,89
34863,-0.231,0.726,-0.133,-38.618,-10.469,20.481,143,97
34908,-0.861,0.738,-0.228,-73.466,48.824,81.183,51,94
34957,-1.406,0.634,-0.629,-179.588,52.321,133.969,105,93
35009,-2.0,0.004,-1.168,-238.053,-13.724,125.137,105,95
35057,-1.809,-0.564,-0.843,-191.702,-106.382,101.031,115,81
35106,-0.76,-0.645,-0.522,-118.664,-62.26,44.115,99,99
35155,0.047,-0.53,-0.14,-55.29,9.266,-32.26,106,91
35204,0.374,-0.776,-0.031,2.619,8.505,-103.557,114,79
35253,0.517,-0.622,-0.218,77.382,-41.289,-139.023,111,80
35299,-0.085,-0.514,-0.243,127.115,24.099,-139.374,51,98
35349,-2.0,-0.808,-1.29,216.611,147.321,-141.099,127,92
35401,-2.0,-0.057,-0.505,86.977,203.733,99.119,129,91
35451,-2.0,-0.067,-0.197,51.626,-80.107,-18.596,126,93
35502,-0.842,0.315,-0.557,52.214,-83.046,-16.783,125,95
35552,-0.508,0.642,-0.268,27.366,7.909,5.633,122,99
35601,-0.429,0.8,-0.142,-87.151,-51.634,-8.848,121,75
35651,-0.128,0.906,-0.27,-108.092,-56.145,21.267,120,100
35701,-0.6,0.909,-1.148,-196.061,-12.513,53.588,121,98
35750,-2.0,0.624,-1.612,-250.137,102.634,110.992,124,73
35804,-2.0,-0.625,-1.408,-250.137,-80.397,95.962,121,97
35854,-1.099,-0.336,-1.012,-203.954,-71.565,74.702,117,104
35904,-0.253,-0.444,-0.356,-160.489,23.379,39.718,112,111
35959,0.393,-0.649,0.02,-107.489,-1.055,-34.366,105,0
36015,0.619,-0.77,-0.266,-74.045,-29.046,-102.328,103,0
36065,-0.026,-0.748,-0.228,42.649,2.652,-146.0,105,103
36114,-1.98,-0.854,-0.931,107.832,73.977,-199.847,108,96
36160,-2.0,-0.183,-1.263,78.603,219.855,-94.656,52,95
36218,-2.0,0.188,-0.177,11.992,-4.933,-28.902,112,0
36261,-0.924,0.433,-0.334,8.924,-72.29,-29.336,128,0
36315,-0.381,0.485,-0.063,28.748,-12.353,37.11,126,151
36365,-0.312,0.72,0.074,18.458,-5.72,24.924,102,101
36414,-0.237,1.253,-0.324,-66.229,-58.008,17.755,100,102
36461,-0.64,1.238,-1.15,-250.137,-36.843,45.198,51,112
36507,-2.0,0.513,-1.961,-250.137,66.55,71.534,50,95
36556,-2.0,-0.222,-1.872,-250.137,-52.229,56.389,103,97
36605,-1.504,-0.711,-1.424,-250.137,-98.496,83.931,98,102
36658,-0.221,-0.588,-0.659,-216.031,11.823,61.076,92,109
36750,0.531,-0.828,0.011,-69.87,23.803,-58.565,87,113
36799,0.38,-0.433,0.165,13.115,29.314,-104.29,92,109
36845,-0.267,-0.229,-0.066,36.076,50.586,-141.382,43,101
36894,-2.0,-0.691,-1.341,52.924,176.977,-164.389,106,92
36950,-2.0,-0.096,-0.815,20.557,164.26,-52.153,112,0
37001,-1.51,0.04,-0.386,-45.626,-74.267,-34.69,51,0
37047,-0.846,0.137,-0.367,-42.386,-40.878,-19.118,51,109
37097,-0.562,0.298,-0.033,-8.24,-8.162,-8.733,50,124
37144,-0.228,0.587,-0.033,-54.481,-38.664,-45.056,50,117
37190,-0.1,0.877,-0.239,-76.038,-33.069,-35.557,51,108
37245,-0.593,1.042,-0.732,-162.916,29.405,20.244,122,0
37296,-2.0,0.874,-1.584,-250.137,52.397,72.267,115,96
37345,-2.0,-0.02,-1.801,-250.137,-120.137,98.809,119,97
37393,-1.094,-0.563,-1.182,-197.427,-59.496,96.786,114,72
37441,-0.493,-0.645,-0.452,-130.931,-3.159,46.863,110,79
37489,0.222,-0.864,-0.183,-61.13,-41.519,-54.492,104,86
37540,0.594,-0.801,-0.23,37.992,-36.71,-137.275,104,86
37590,0.073,-0.851,-0.582,89.886,30.55,-173.641,110,101
37636,-1.766,-0.552,-0.735,101.153,160.954,-127.626,50,97
37686,-2.0,-0.481,-0.533,109.695,140.29,-56.015,124,94
37736,-2.0,-0.064,-0.375,96.191,-22.183,-39.122,124,97
37786,-1.319,0.163,-0.654,75.901,-25.33,-37.676,121,97
37836,-0.912,0.33,-0.238,36.42,-1.951,11.247,120,101
37886,-0.563,0.821,-0.246,-66.144,-48.998,-22.48,117,102
37939,-0.141,0.759,-0.289,-54.115,-34.508,44.969,118,100
37985,-0.499,0.805,-0.398,-118.053,57.176,74.916,51,98
38035,-1.736,0.413,-0.961,-189.55,66.389,86.061,124,95
38084,-2.0,-0.174,-1.446,-215.313,-63.985,78.71,119,95
38134,-1.817,-0.463,-1.186,-210.878,-85.397,97.42,114,97
38183,-0.613,-0.654,-0.64,-121.595,-32.679,47.878,109,101
38234,0.22,-0.758,-0.169,-61.511,13.025,-17.964,105,103
38282,0.497,-0.909,-0.068,21.947,-5.773,-94.679,104,99
38335,0.172,-0.719,-0.259,93.916,-15.882,-148.45,108,108
38384,-1.029,-0.558,-0.74,122.237,46.962,-117.756,115,89
38435,-2.0,-0.373,-1.158,143.542,182.328,-33.313,150,85
38487,-2.0,-0.107,-0.323,94.992,79.695,-13.031,151,85
38537,-1.308,0.058,-0.511,79.473,-46.74,-15.629,149,84
38588,-0.685,0.388,-0.314,68.076,4.445,-0.967,147,87
38639,-0.415,0.688,-0.087,42.84,14.684,2.785,145,90
38690,-0.505,0.77,-0.277,-70.597,-5.867,23.176,146,89
38742,-0.584,0.672,-0.346,-118.023,3.429,60.885,148,89
38796,-2.0,0.391,-1.46,-176.084,26.084,77.74,150,90
38846,-2.0,-0.69,-1.567,-182.817,-38.618,89.275,149,68
38897,-1.488,-0.627,-0.968,-169.466,-67.298,51.115,143,101
38949,-0.406,-0.406,-0.477,-139.382,-44.26,12.991,136,108
39001,0.307,-0.659,0.265,-95.542,-39.336,14.317,132,112
39053,0.799,-0.697,0.015,14.427,-29.45,-83.756,131,110
39104,0.466,-0.485,-0.499,99.466,100.87,-101.344,136,104
39155,-1.757,-0.482,-0.647,138.679,106.947,-75.084,144,98
39211,-2.0,-0.681,-1.276,152.519,35.786,-48.537,148,94
39306,-1.226,-0.048,-0.536,91.176,6.344,23.316,145,107
39357,-0.85,0.361,-0.234,100.687,-37.764,22.145,141,104
39409,-0.099,0.659,0.19,39.305,10.516,23.848,139,104
39460,-0.034,0.96,-0.061,-64.341,-70.443,-11.242,139,103
39513,0.076,1.219,-0.647,-154.42,-30.137,-43.537,42,31
39564,-1.041,1.126,-1.729,-250.137,88.359,19.557,146,98
39616,-2.0,-0.081,-2.0,-250.137,-57.115,39.687,148,99
39670,-1.772,-0.675,-2.0,-250.137,-63.389,70.74,144,99
39723,-0.701,-0.592,-0.717,-202.137,12.437,41.672,138,105
39780,0.081,-0.69,-0.324,-142.313,-0.875,-35.406,135,0
39833,0.395,-0.708,0.209,-51.344,15.175,-62.344,132,139
39889,0.272,-0.613,-0.102,37.901,-13.826,-110.542,136,0
39933,-1.533,-0.927,-1.116,117.42,17.568,-180.458,143,0
39991,-2.0,-0.279,-1.721,96.031,115.763,-111.977,148,0
40035,-2.0,0.073,-0.47,22.48,-9.262,-13.173,148,0
40095,-1.12,0.302,-0.476,-19.666,-66.779,-37.511,145,0
40139,-0.564,0.38,-0.292,4.451,-43.275,10.546,142,0
40190,-0.311,0.577,-0.079,18.917,-15.714,18.806,140,102
40243,-0.09,0.982,0.046,-64.542,-6.736,2.672,140,104
