Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21481,-0.173,-0.481,0.868,0.912,26.946,-2.542,0,20
21534,-0.286,-0.521,0.878,4.794,21.913,-0.253,0,21
21586,-0.233,-0.54,0.836,4.52,-0.301,-1.452,0,65
21643,-0.219,-0.501,0.781,0.439,-7.46,-5.347,0,61
21695,-0.184,-0.533,0.833,-3.631,-11.695,-8.201,0,60
21751,-0.042,-0.519,0.825,3.094,8.914,-2.504,0,67
21804,-0.213,-0.508,0.863,1.237,3.932,-5.816,0,62
21859,-0.169,-0.521,0.832,2.271,-7.192,-3.954,0,63
21914,-0.171,-0.49,0.845,-3.046,-11.483,-4.903,0,65
21970,-0.168,-0.512,0.842,0.085,-2.865,-5.693,0,62
22023,-0.023,-0.345,0.858,-10.715,19.567,-0.36,0,61
22078,-0.324,0.538,0.927,-55.618,142.695,-20.298,0,64
22128,-0.939,-0.346,0.861,-66.0,110.473,-37.092,160,66
22171,-0.531,-1.364,0.499,12.879,-38.519,-80.702,16,68
22220,-0.077,-1.547,0.415,-26.885,-82.939,-191.069,152,67
22268,0.885,-0.512,0.537,-71.672,54.565,-150.58,32,21
22320,-0.278,-0.539,0.743,-23.527,110.29,-32.298,129,69
22367,-0.231,-0.752,1.073,44.122,-45.405,58.237,105,70
22410,-0.075,-0.796,0.653,25.832,-75.466,-11.141,16,67
22458,0.233,-0.621,0.576,16.875,-27.092,-4.043,123,73
22505,-0.02,-0.786,0.612,8.62,5.691,-0.601,104,69
22554,-0.223,-0.717,0.787,-3.523,-14.365,-13.621,142,66
22603,-0.152,-0.726,0.653,16.366,-27.693,-11.815,142,67
22651,0.024,-0.57,0.832,28.362,9.949,5.946,104,71
22699,-0.126,-0.628,0.716,8.216,-13.093,0.995,104,69
22749,-0.029,-0.638,0.753,12.132,-6.667,1.545,102,70
22796,0.05,-0.587,0.775,18.762,1.78,3.124,102,72
22843,-0.08,-0.777,0.853,1.841,-30.019,-4.145,102,68
22890,0.064,-0.663,0.831,16.224,-5.399,-5.643,102,70
22937,-0.017,-0.647,0.831,17.42,-15.955,-12.193,103,71
22985,-0.003,-0.624,0.787,17.679,-24.139,-15.81,109,71
23032,-0.029,-0.597,0.797,18.214,-27.595,-21.347,108,70
23080,0.032,-0.604,0.795,5.464,-26.947,-18.779,108,71
23131,0.162,-0.516,0.741,17.389,-7.681,-10.986,147,73
23176,0.015,-0.623,0.815,16.969,-14.256,-14.094,107,72
23224,0.038,-0.521,0.82,15.863,-12.066,-12.408,107,75
23273,0.033,-0.627,0.781,16.389,-16.287,-11.265,137,73
23321,0.068,-0.519,0.853,11.999,-0.206,-4.62,106,75
23369,0.254,-0.529,0.838,30.16,-4.0,4.873,105,78
23419,0.21,-0.511,0.826,19.335,-5.098,-1.993,147,78
23468,0.184,-0.513,0.806,12.164,6.954,-7.599,107,79
23515,0.207,-0.511,0.788,15.503,0.978,-3.388,100,77
23566,0.066,-0.467,0.796,1.965,-9.33,-17.79,100,76
23613,0.179,-0.502,0.771,-0.197,-0.772,-14.935,99,77
23660,0.171,-0.501,0.764,-5.039,-1.998,-20.211,98,77
23708,0.251,-0.719,0.827,-11.51,-7.319,-24.094,98,79
23758,0.362,-0.661,0.9,2.849,8.031,-15.61,98,131
23808,0.192,-0.713,1.043,5.239,7.257,-29.26,99,98
23857,-0.014,-0.933,0.825,6.713,62.237,-46.481,100,110
23908,-0.749,-0.28,0.672,21.099,156.061,4.439,118,117
24002,-0.296,-0.196,0.75,-2.197,-128.45,70.84,138,86
24057,0.355,-0.694,0.74,-9.127,-171.053,47.573,134,130
24110,1.014,-0.674,0.583,7.777,-165.328,-2.139,116,140
24161,0.758,-0.286,0.572,32.489,9.422,25.588,81,141
24211,0.254,-0.177,0.6,-12.646,63.878,-15.747,81,140
24261,0.216,-0.322,0.948,-26.824,58.107,22.115,79,141
24311,0.164,-0.443,0.915,2.269,-5.114,48.603,78,145
24363,0.28,-0.369,0.76,-25.659,-64.557,27.099,75,158
24412,0.358,-0.372,0.629,-42.13,-39.046,6.611,74,126
24461,0.241,-0.488,0.823,-40.214,53.004,41.156,76,119
24515,0.047,-0.516,0.975,-20.786,-104.038,50.305,74,165
24566,0.496,-0.514,0.812,-17.084,-113.305,56.679,62,172
24615,0.691,-0.587,0.627,-17.153,0.023,62.031,74,131
24669,0.488,-0.657,0.444,-38.031,33.58,53.252,70,195
24717,0.244,-0.677,0.626,-46.84,24.183,53.275,114,72
24763,0.23,-0.897,0.787,-53.962,-26.559,24.328,22,22
24808,0.302,-0.777,0.664,-45.542,-6.024,21.237,64,71
24856,0.204,-0.849,0.652,-44.855,3.671,13.905,109,73
24905,0.173,-0.871,0.523,-43.893,-46.026,-19.322,59,68
24952,0.385,-0.842,0.452,-34.847,-67.855,-22.313,62,119
25009,0.45,-0.723,0.331,-53.031,18.23,-28.718,0,115
25059,-0.226,-0.865,0.488,-50.229,32.366,-11.768,107,102
25105,-0.227,-0.918,0.567,-31.924,-45.282,51.779,60,101
25152,0.177,-0.922,0.365,-29.733,-35.931,68.359,60,101
25201,0.201,-0.957,0.407,-24.519,-28.382,69.366,87,101
25249,0.255,-0.999,0.38,-26.305,-37.511,52.817,86,103
25300,0.415,-0.979,0.305,-26.206,-18.581,35.237,116,105
25352,0.242,-1.018,0.44,-19.565,25.755,21.084,86,91
25398,0.195,-1.106,0.369,-2.638,4.685,23.74,57,90
25445,0.194,-0.923,0.29,3.1,4.661,9.026,86,90
25492,-0.027,-0.932,0.18,-6.155,33.008,-4.08,56,104
25539,-0.21,-0.996,0.333,-26.126,34.664,-27.159,15,31
25585,-0.182,-0.976,0.426,-0.913,-0.579,30.595,51,103
25633,0.038,-1.054,0.348,12.615,-7.459,35.397,53,118
25682,0.13,-0.969,0.24,13.376,-6.561,24.145,120,88
25731,-0.111,-0.987,0.252,-4.411,3.392,20.863,88,88
25784,-0.069,-0.917,0.277,0.457,2.864,8.339,119,88
25834,-0.115,-1.007,0.311,-3.127,13.825,12.96,120,90
25882,-0.041,-0.996,0.348,9.741,10.417,25.43,89,88
25932,-0.043,-0.984,0.345,3.233,3.265,6.302,121,102
