Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
24781,-0.62,-0.495,0.717,-13.416,-10.741,-0.89,18,84
24824,-0.494,-0.516,0.712,-5.176,-1.529,-0.346,18,86
24879,-0.455,-0.517,0.698,0.255,3.474,0.742,0,89
24922,-0.529,-0.508,0.671,-3.014,1.579,-2.128,20,88
24965,-0.51,-0.503,0.684,-2.021,2.429,0.026,18,88
25008,-0.436,-0.479,0.695,0.656,-3.087,-0.13,18,89
25052,-0.45,-0.479,0.714,-3.193,-5.644,-2.182,16,89
25108,-0.341,-0.504,0.706,-0.255,4.364,0.343,0,92
25161,-0.35,-0.505,0.689,1.976,3.898,2.344,0,91
25216,-0.255,-0.503,0.689,8.336,7.945,5.784,0,94
25269,-0.522,-0.49,0.695,-5.54,-9.762,-2.914,0,86
25323,-0.38,-0.518,0.702,-1.338,-1.473,-1.152,0,91
25376,-0.361,-0.525,0.691,0.762,-0.383,1.87,0,92
25432,-0.529,-0.56,0.649,-9.717,-11.689,-10.997,0,111
25487,-0.583,-0.478,0.677,-11.95,-14.234,-21.358,0,112
25541,-0.598,-0.563,0.71,-2.141,-3.23,-4.306,0,91
25600,-0.257,-0.524,0.73,3.776,-2.108,5.686,0,112
25655,-0.379,-0.511,0.718,1.126,-2.121,-3.76,0,111
25709,-0.262,-0.506,0.705,2.331,12.693,4.366,0,99
25763,-0.462,-0.524,0.703,-1.603,1.385,-3.698,0,100
25818,-0.517,-0.518,0.71,-6.704,-14.671,-7.847,0,95
25872,-0.295,-0.528,0.712,0.714,-0.928,2.701,0,102
25926,-0.45,-0.542,0.721,-9.742,-15.539,-7.69,0,95
25981,-0.468,-0.551,0.71,-9.075,-16.363,-10.585,0,96
26036,-0.374,-0.558,0.72,-3.077,-2.458,-4.107,0,104
26095,-0.403,-0.551,0.719,-1.677,-5.292,-3.752,0,131
26151,-0.492,-0.542,0.724,-7.388,-14.95,-9.045,0,129
26207,-0.469,-0.546,0.723,-6.03,-15.351,-6.996,0,104
26261,-0.474,-0.551,0.735,-6.17,-16.549,-8.123,0,104
26316,-0.364,-0.548,0.73,-1.654,-6.312,-2.644,0,103
26371,-0.384,-0.555,0.722,-2.489,-8.871,-4.007,0,103
26426,-0.392,-0.555,0.722,-2.175,-9.034,-2.362,0,105
26482,-0.233,-0.554,0.734,2.336,5.978,2.873,0,128
26537,-0.243,-0.551,0.748,1.078,1.402,0.715,0,103
26595,-0.379,-0.545,0.748,-1.993,-10.564,-3.685,0,103
26650,-0.376,-0.546,0.751,-3.026,-9.451,-2.762,0,106
26706,-0.371,-0.544,0.738,-3.676,-10.528,-4.08,0,128
26763,-0.317,-0.557,0.742,-2.853,-4.761,-0.638,0,129
26818,-0.349,-0.553,0.755,-4.745,-13.044,-4.576,0,114
26874,-0.27,-0.555,0.756,-2.485,-6.168,-3.219,0,113
26929,-0.219,-0.571,0.756,0.099,1.218,0.94,0,103
26984,-0.263,-0.572,0.766,-1.296,-4.651,-1.693,0,103
27038,-0.404,-0.571,0.762,-3.834,-13.867,-4.217,0,103
27097,-0.275,-0.553,0.754,0.326,-4.473,-1.284,0,104
27152,-0.224,-0.558,0.773,-0.453,0.877,1.365,0,104
27207,-0.21,-0.562,0.782,-0.426,-2.62,-0.362,0,104
27261,-0.278,-0.558,0.758,-2.091,-6.179,-2.417,0,104
27317,-0.429,-0.571,0.771,-5.073,-12.446,-4.095,0,105
27372,-0.167,-0.553,0.768,0.315,1.905,1.609,0,107
27427,-0.327,-0.554,0.772,-3.763,-4.472,2.23,0,105
27526,-0.246,-0.571,0.768,-0.134,-2.857,1.488,0,106
27581,-0.243,-0.561,0.76,-3.808,-4.282,-1.856,0,107
27639,-0.104,-0.555,0.774,2.411,7.188,2.672,0,108
27695,-0.219,-0.555,0.773,-0.761,-0.932,-0.56,0,109
27750,-0.277,-0.554,0.763,-3.513,-0.748,-0.734,0,109
27806,-0.126,-0.567,0.773,1.107,1.375,0.443,0,132
27863,-0.285,-0.56,0.764,-2.892,0.195,-1.524,0,131
27918,-0.294,-0.569,0.769,-4.166,-0.248,-0.62,0,105
27973,-0.338,-0.567,0.767,-5.707,-1.719,-1.609,0,106
28028,-0.367,-0.561,0.758,-6.392,-2.885,-1.9,0,105
28084,-0.233,-0.572,0.777,-1.357,-1.01,-0.113,0,105
28142,-0.317,-0.565,0.761,-5.375,-4.97,-2.648,0,110
28197,-0.213,-0.576,0.77,-1.943,-2.611,-0.305,0,110
28254,-0.356,-0.567,0.773,-7.302,-9.523,-8.625,0,110
28298,-0.358,-0.532,0.763,-9.164,-23.013,-18.756,18,91
28352,-0.408,-0.424,0.817,-7.29,-8.744,-33.718,0,105
28407,-0.279,0.099,1.702,-47.069,62.382,-67.611,0,104
28450,-0.581,-1.576,1.667,-6.453,64.611,-61.489,10,69
28492,-0.589,-1.738,0.883,168.153,70.489,-41.013,9,71
28535,0.119,-0.88,0.317,221.733,40.817,23.145,10,75
28581,0.172,-0.407,-0.043,101.985,125.947,-8.572,10,80
28624,-0.106,-0.412,0.175,43.267,92.954,-7.792,12,84
28667,-0.241,0.006,0.464,31.742,28.282,34.426,13,89
28711,-0.154,-0.339,0.351,-12.552,-42.525,4.23,13,82
28754,-0.236,-0.251,0.635,-31.197,-8.979,-14.14,13,81
28797,-0.783,-0.579,0.864,-35.695,52.405,-59.933,12,79
28840,-0.667,-0.386,0.972,-7.365,28.13,31.542,12,77
28883,-0.719,-0.163,0.887,32.679,6.002,28.737,13,79
28930,-0.427,-0.246,0.676,1.631,-8.553,-14.037,12,86
28973,-0.419,-0.264,0.569,1.878,-12.768,-6.53,13,82
29017,-0.513,-0.36,0.673,-7.915,25.779,-10.013,13,85
29061,-0.628,-0.097,0.813,-3.666,35.006,-5.301,15,106
29104,-0.592,-0.452,0.892,-14.045,-12.025,-8.885,13,75
29147,-0.622,-0.37,0.818,-0.462,-26.601,-24.234,16,75
29190,-0.383,-0.246,0.72,2.183,8.031,-5.03,13,73
29233,-0.473,-0.265,0.752,-0.567,19.37,-2.225,14,73
29276,-0.657,-0.148,0.783,2.152,-1.645,-3.229,14,73
29322,-0.56,-0.371,0.666,-4.011,-22.977,-6.554,13,74
29365,-0.525,-0.349,0.675,-13.598,-18.616,-13.711,12,73
29408,-0.341,-0.178,0.724,4.706,3.32,7.866,12,74
29451,-0.225,-0.187,0.739,8.677,1.291,10.746,11,78
29494,-0.26,-0.404,0.757,2.898,9.275,-2.595,12,75
29537,-0.496,-0.365,0.874,-20.828,1.328,-14.615,12,75
29580,-0.671,-0.48,0.86,-35.116,-30.708,-34.878,12,78
29624,-0.397,-0.428,0.86,-2.763,-0.739,2.478,11,101
29667,-0.326,-0.426,0.875,5.584,-2.528,8.051,12,85
29714,-0.377,-0.43,0.786,-7.843,-10.143,-19.524,11,82
29757,-0.497,-0.433,0.71,-24.826,-18.811,-40.13,13,74
29800,-0.493,-0.451,0.766,-23.155,-17.474,-31.061,11,74
29843,-0.422,-0.46,0.689,-31.587,-23.4,-41.641,12,74
29928,-0.409,-0.478,0.771,-20.396,-13.962,-18.454,12,73
29972,-0.33,-0.52,0.75,-13.785,-3.493,-9.765,12,72
30014,-0.297,-0.517,0.781,-0.161,5.862,1.326,12,72
30057,-0.346,-0.588,0.781,-11.808,-9.577,-12.629,12,73
30104,-0.293,-0.53,0.718,-12.901,-6.855,-9.906,12,73
30146,-0.45,-0.569,0.727,-45.523,-15.865,-38.237,12,73
30189,-0.306,-0.57,0.708,-18.54,-2.761,-18.951,13,73
30232,-0.379,-0.594,0.7,-28.516,-7.821,-24.161,14,72
30275,-0.269,-0.601,0.697,-3.742,-4.065,-4.525,13,71
30318,-0.304,-0.614,0.68,-14.795,-5.094,-8.908,13,71
30361,-0.238,-0.619,0.689,-2.74,3.672,2.257,11,71
30404,-0.338,-0.634,0.71,-17.872,-1.737,-8.056,13,72
30447,-0.354,-0.685,0.707,-22.987,-8.975,-7.481,13,71
30493,-0.535,-0.701,0.716,-59.99,-35.425,-21.992,12,72
30536,-0.339,-0.627,0.718,-26.164,-22.99,-3.826,12,72
30579,-0.189,-0.636,0.681,22.757,13.548,17.341,12,72
30622,-0.197,-0.75,0.747,11.74,20.401,8.666,12,72
30665,-0.437,-0.628,0.667,-36.743,-6.247,-5.822,11,72
30708,-0.248,-0.722,0.628,-17.219,-5.92,-1.605,11,73
30751,-0.23,-0.724,0.648,-14.583,-6.386,-2.878,12,73
30794,-0.243,-0.704,0.662,1.956,-1.058,-0.736,12,73
30840,-0.242,-0.731,0.662,-10.679,2.513,-0.628,12,73
30883,-0.429,-0.746,0.682,-28.721,-13.64,-1.084,12,74
30926,-0.253,-0.75,0.665,-6.423,-4.843,0.25,12,73
30969,-0.36,-0.745,0.56,-15.561,-13.418,-1.447,13,74
31019,-0.229,-0.76,0.566,-12.189,-16.311,-2.604,13,74
31060,-0.246,-0.751,0.638,-0.553,-0.564,-1.357,13,75
31102,-0.185,-0.732,0.633,-6.937,-15.215,-4.558,14,75
31145,-0.191,-0.751,0.58,-13.675,-19.904,-5.99,14,76
31187,-0.202,-0.768,0.666,-3.193,-4.101,-2.654,15,75
31233,-0.219,-0.74,0.64,-5.057,-2.876,-2.568,14,75
31275,-0.241,-0.772,0.621,-1.73,6.321,3.495,15,75
31316,-0.362,-0.795,0.662,-7.575,-14.02,-0.133,14,75
31360,-0.21,-0.746,0.596,-3.42,-28.948,-2.206,13,76
31401,-0.17,-0.743,0.713,2.331,5.057,4.349,12,76
31443,-0.182,-0.751,0.582,-4.107,-15.553,-0.317,12,76
31485,-0.176,-0.745,0.644,-0.203,0.283,3.921,12,77
31528,-0.172,-0.743,0.637,-1.348,-16.546,-0.037,12,77
31570,-0.166,-0.775,0.667,-0.016,-2.226,0.933,14,77
31616,-0.162,-0.743,0.691,0.371,-1.353,2.78,13,77
31659,-0.14,-0.742,0.695,2.1,-0.295,1.7,14,78
31700,-0.127,-0.726,0.571,-10.429,-16.45,-4.986,15,78
