Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32196,-0.269,-0.582,0.753,-0.893,-3.554,-0.008,0,72
32252,-0.264,-0.581,0.751,-0.373,-1.252,-0.301,0,70
32305,-0.28,-0.582,0.75,-0.209,-0.513,-0.217,0,70
32361,-0.29,-0.59,0.766,-0.199,-1.493,-0.204,0,70
32414,-0.272,-0.574,0.761,0.087,-3.253,-0.406,0,71
32471,-0.268,-0.583,0.747,0.201,-1.418,-0.594,0,72
32523,-0.286,-0.592,0.76,0.336,-2.619,-0.647,0,71
32579,-0.272,-0.586,0.752,0.639,-3.373,-0.25,0,71
32635,-0.271,-0.569,0.76,0.796,-3.969,-0.39,0,72
32688,-0.267,-0.585,0.756,1.023,-2.78,-0.347,0,72
32745,-0.268,-0.58,0.76,0.878,-2.548,-0.1,0,74
32797,-0.275,-0.579,0.763,0.777,-1.935,-0.545,0,75
32855,-0.276,-0.575,0.758,0.178,-3.025,-0.836,0,75
32907,-0.266,-0.575,0.767,0.28,-5.432,-0.445,0,76
32958,-0.251,-0.578,0.766,0.558,-4.2,-0.632,0,32
33014,-0.245,-0.589,0.758,0.811,-2.934,-0.786,0,77
33065,-0.255,-0.573,0.765,0.948,-3.022,-0.593,157,76
33119,-0.256,-0.572,0.755,0.542,-0.762,-1.363,156,77
33169,-0.258,-0.576,0.771,0.281,-1.702,-1.492,156,76
33220,-0.289,-0.568,0.77,-0.307,-1.552,-2.751,156,76
33271,-0.286,-0.579,0.776,-0.591,-7.541,-2.861,156,76
33321,-0.262,-0.591,0.766,-0.349,-13.411,-3.312,156,75
33373,-0.227,-0.57,0.792,-2.015,-9.953,-0.158,157,75
33423,-0.155,-0.527,0.773,7.379,3.101,-5.414,156,76
33474,-0.112,-0.698,0.619,4.131,8.749,-14.915,156,75
33527,0.17,-0.044,0.762,-0.135,126.076,-63.908,158,71
