Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32196,-0.269,-0.597,0.753,-1.12,-4.179,-0.139,0,72
32252,-0.264,-0.627,0.751,-1.024,-3.233,-0.717,5,21
32305,-0.28,-0.569,0.75,-0.05,0.14,-0.087,0,70
32361,-0.29,-0.614,0.766,-0.428,-2.474,-0.505,0,70
32414,-0.272,-0.588,0.761,-0.078,-4.023,-0.633,0,71
32471,-0.268,-0.549,0.747,0.675,0.629,-0.109,0,72
32523,-0.286,-0.584,0.76,0.509,-1.708,-0.485,0,71
32579,-0.272,-0.567,0.752,1.095,-1.861,0.05,0,71
32635,-0.271,-0.568,0.76,0.771,-4.092,-0.392,0,72
32688,-0.267,-0.572,0.756,1.361,-1.774,-0.189,0,72
32745,-0.268,-0.585,0.76,0.776,-2.892,-0.169,0,74
32797,-0.275,-0.601,0.763,0.337,-3.568,-0.87,0,75
32855,-0.276,-0.56,0.758,0.452,-1.681,-0.579,0,75
32907,-0.266,-0.572,0.767,0.356,-5.02,-0.358,0,76
32958,-0.251,-0.569,0.766,0.723,-3.407,-0.456,0,32
33014,-0.245,-0.613,0.758,0.343,-4.776,-1.296,0,77
33065,-0.255,-0.58,0.765,0.837,-3.34,-0.733,157,76
33119,-0.256,-0.575,0.755,0.496,-0.867,-1.443,156,77
33169,-0.258,-0.55,0.771,0.765,0.294,-0.236,156,76
33220,-0.289,-0.548,0.77,0.02,0.998,-1.515,156,76
33271,-0.286,-0.569,0.776,-0.383,-6.219,-2.395,156,76
33321,-0.262,-0.579,0.766,0.288,-11.497,-2.331,156,75
33373,-0.227,-0.566,0.792,-1.881,-9.655,0.06,157,75
33423,-0.155,-0.504,0.773,9.5,19.059,7.986,156,76
33474,-0.112,-0.698,0.619,2.607,-8.037,-35.888,156,75
33527,0.17,-0.044,0.762,-2.091,126.076,-63.908,158,71
33581,-0.617,-0.425,1.096,-0.766,187.137,-74.389,0,69
33623,-0.391,-0.953,0.762,27.198,145.046,-130.924,20,68
33666,-0.05,-1.129,0.275,-0.405,133.168,-161.573,21,69
33709,-0.05,-0.725,0.19,-32.939,178.237,-120.244,38,68
33755,-0.326,-0.958,0.179,-35.092,173.725,-84.374,40,99
33800,-0.519,-0.682,0.461,-13.282,145.252,-47.977,38,95
33849,-0.713,-0.816,0.423,-8.836,-21.819,-25.382,51,164
33898,-0.33,-0.725,0.327,-18.962,-4.271,-43.328,53,137
33951,-0.421,-0.873,0.438,-9.527,-33.809,-43.656,70,161
34001,-0.319,-0.911,0.336,-11.519,-40.42,-43.977,57,157
34051,-0.221,-0.872,0.322,-10.641,-14.52,-24.252,53,155
34101,-0.251,-0.886,0.346,-15.893,-2.564,-37.023,53,160
34150,-0.276,-0.934,0.369,-13.547,-1.113,-40.687,54,152
34199,-0.216,-0.971,0.379,-3.024,1.467,-36.115,54,150
34249,-0.12,-0.95,0.307,-4.347,-11.72,-40.176,72,146
34298,-0.114,-0.898,0.299,-4.896,23.595,-33.168,57,152
34352,0.007,-1.018,0.225,-8.149,27.557,-31.519,70,142
34401,-0.05,-1.06,0.236,-2.798,32.634,-42.359,58,151
34450,-0.1,-0.925,0.299,-9.994,26.405,-41.924,57,154
34500,0.022,-0.973,0.368,-25.168,30.496,-46.008,57,146
34549,-0.102,-1.026,0.347,-3.794,61.702,-15.906,71,147
34599,-0.15,-0.975,0.252,-13.534,32.42,-21.763,58,146
34649,-0.094,-1.066,0.216,-1.752,10.607,-13.348,60,147
34698,0.044,-0.939,0.2,-9.71,7.065,-20.187,60,147
34790,-0.113,-1.046,0.331,5.751,-13.001,-15.597,62,147
34843,0.041,-0.987,0.175,2.729,-32.702,-7.162,71,147
34893,0.122,-0.978,0.184,2.455,17.039,0.51,71,145
34944,0.013,-1.02,0.253,-3.665,16.107,-6.637,71,145
34994,0.079,-0.961,0.215,-0.073,3.368,-4.083,71,145
35044,-0.068,-0.994,0.365,1.453,-0.632,-2.821,71,143
35093,0.021,-1.003,0.197,3.313,-0.502,1.408,61,145
35142,0.069,-1.013,0.275,11.163,-17.4,5.56,61,146
35192,0.097,-0.958,0.21,1.936,4.601,-0.167,71,145
35243,0.04,-1.013,0.309,11.751,19.832,4.56,72,153
35296,-0.011,-0.985,0.315,-3.968,-10.775,1.148,60,144
35345,-0.068,-0.958,0.347,7.111,0.817,3.576,60,143
35393,-0.016,-1.068,0.257,22.344,-17.39,5.251,60,143
35443,0.031,-0.913,0.191,8.988,-26.863,5.687,60,148
35492,0.09,-0.942,0.19,-2.271,-13.583,1.37,60,151
35543,-0.049,-0.936,0.4,4.217,20.466,9.442,61,149
35593,-0.077,-0.95,0.457,4.673,-4.663,6.564,60,149
35642,-0.16,-1.059,0.527,20.351,-6.812,12.48,60,146
35691,-0.011,-0.943,0.303,33.481,-16.721,16.115,60,145
35744,0.015,-0.842,0.229,12.126,-2.178,7.745,61,149
35793,-0.085,-0.944,0.357,12.902,2.658,18.351,60,147
35844,-0.081,-0.874,0.43,6.093,-39.29,4.974,62,149
35895,0.206,-0.892,0.241,6.774,-18.322,1.158,75,150
35944,-0.121,-0.89,0.45,15.321,3.627,0.51,18,45
35994,-0.141,-0.894,0.496,17.979,8.385,11.047,65,146
36044,-0.085,-0.936,0.416,4.83,-10.825,1.334,77,140
36094,-0.09,-0.891,0.396,16.87,13.027,18.229,61,151
36145,-0.016,-0.885,0.441,2.202,12.563,4.63,77,140
36198,-0.181,-0.819,0.492,14.013,27.015,18.68,61,152
36248,-0.257,-0.917,0.554,17.798,13.993,23.928,61,150
36298,-0.133,-0.871,0.397,0.485,-3.035,0.657,63,152
36347,-0.141,-0.859,0.484,10.426,5.782,12.782,63,132
36397,-0.231,-0.862,0.519,19.237,2.876,24.055,64,145
36447,-0.178,-0.811,0.454,10.51,6.455,14.137,64,143
36496,-0.27,-0.787,0.498,9.413,-11.246,18.389,66,142
36548,-0.206,-0.829,0.532,10.385,-20.745,12.393,81,151
36601,-0.218,-0.817,0.532,8.193,8.628,11.673,82,131
36651,-0.264,-0.813,0.61,5.345,-5.573,5.229,60,141
36700,-0.272,-0.794,0.58,16.977,-8.147,1.112,18,41
36751,-0.239,-0.78,0.53,15.125,18.87,19.36,84,152
36801,-0.329,-0.754,0.559,8.978,-2.539,14.129,84,128
36850,-0.278,-0.742,0.441,1.215,-13.561,-5.854,58,136
36909,-0.344,-0.722,0.569,15.561,0.449,21.112,0,151
36957,-0.293,-0.736,0.527,7.891,-4.86,11.36,59,128
37005,-0.315,-0.708,0.587,9.713,-0.825,14.174,57,129
37066,-0.371,-0.769,0.64,9.347,-17.519,10.471,0,155
37123,-0.295,-0.72,0.619,14.399,-19.974,4.577,173,131
37178,-0.28,-0.718,0.613,15.107,-7.76,4.289,171,140
37234,-0.303,-0.688,0.65,18.383,-9.775,5.064,170,138
37289,-0.249,-0.663,0.617,14.21,-4.072,8.146,170,132
37388,-0.301,-0.703,0.603,14.378,-13.454,7.813,169,132
37444,-0.265,-0.672,0.623,1.259,-33.922,2.169,0,120
37502,-0.301,-0.572,0.681,6.701,-15.181,11.621,0,148
37552,-0.266,-0.654,0.706,6.271,-29.015,13.147,75,122
37604,-0.256,-0.635,0.706,2.79,-30.527,1.842,76,123
37654,-0.231,-0.644,0.708,4.619,-25.779,5.796,77,124
37704,-0.238,-0.53,0.702,2.164,-29.595,0.019,50,160
37754,-0.31,-0.599,0.771,3.636,-37.038,4.605,75,142
37806,-0.134,-0.647,0.667,3.657,-38.565,6.385,73,148
37859,-0.094,-0.612,0.68,-1.384,-24.252,3.574,147,125
37908,-0.237,-0.577,0.737,0.223,-26.804,8.079,71,127
37957,-0.239,-0.621,0.745,-6.667,-27.634,6.96,64,127
38011,-0.05,-0.647,0.674,-17.542,-46.534,-3.223,145,128
38062,-0.098,-0.608,0.806,-14.366,-29.374,4.683,37,116
38109,-0.17,-0.603,0.901,-8.817,-33.305,14.318,59,97
38154,-0.078,-0.702,0.772,0.074,-54.031,14.111,38,89
38200,-0.017,-0.661,0.64,3.162,-38.053,14.836,33,97
38245,-0.105,-0.591,0.71,-7.936,-26.229,14.777,32,97
