Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
31797,-0.15,-0.984,0.086,-0.247,-2.635,1.561,0,124
31853,-0.163,-0.99,0.087,-1.952,-12.66,0.856,0,124
31908,-0.158,-0.986,0.075,1.819,5.911,0.891,0,123
31965,-0.169,-0.99,0.083,-3.744,-17.108,-2.328,0,124
32020,-0.167,-1.006,0.095,0.301,7.712,5.619,0,124
32073,-0.183,-1.005,0.115,-1.383,-13.839,3.533,0,76
32130,-0.182,-0.999,0.135,-2.757,-35.358,2.524,0,127
32185,-0.16,-1.009,0.105,-1.752,-33.969,2.031,0,75
32238,-0.103,-0.97,0.071,3.409,-15.519,5.231,0,76
32292,-0.112,-0.968,0.069,-0.432,-14.806,-2.878,0,99
32348,-0.163,-0.976,0.099,-0.202,2.945,-4.176,0,100
32402,-0.184,-0.987,0.118,1.055,6.026,0.243,0,99
32456,-0.18,-0.985,0.117,-5.701,-22.358,-9.334,0,101
32510,-0.15,-0.992,0.101,-4.847,-18.398,-5.608,0,99
32566,-0.144,-0.983,0.103,-0.102,2.755,1.427,0,100
32620,-0.172,-0.976,0.131,-6.241,-12.792,-1.705,0,101
32677,-0.179,-0.987,0.127,-4.897,-12.225,-3.383,0,101
32732,-0.167,-0.99,0.094,-0.121,0.853,11.137,0,101
32787,-0.247,-0.989,0.085,1.09,15.9,45.977,0,100
32840,-0.722,-1.011,0.003,-8.266,-46.005,56.206,0,77
32894,-1.014,-0.942,-0.027,-8.182,-29.846,141.038,0,101
32949,-1.261,-1.16,-0.004,18.712,-2.966,250.13,0,83
33003,-1.031,-1.092,-0.075,34.221,-12.867,250.13,0,96
33054,-0.557,-1.004,-0.104,37.977,-43.809,250.13,148,87
33104,-0.178,-0.713,0.561,8.749,-44.504,224.985,145,91
33153,0.168,-0.892,-0.213,-72.053,-56.519,70.458,25,93
33206,-0.21,-0.198,0.073,-45.298,78.855,52.358,0,92
33250,-1.049,-0.257,0.456,-47.824,95.015,-31.061,23,91
33304,-1.059,-0.183,0.474,-36.893,40.084,-43.259,0,87
33358,-1.029,-0.201,0.135,-24.359,35.076,-36.58,0,85
33412,-1.081,-0.191,0.166,-18.372,6.709,-21.256,0,85
33466,-0.923,-0.218,-0.029,-29.285,2.61,-16.804,0,83
33519,-0.958,-0.146,0.02,-23.565,17.221,-4.979,0,85
33563,-0.949,-0.291,0.063,-32.214,21.068,0.455,20,86
33609,-0.984,-0.328,0.136,-22.221,8.447,-15.145,17,83
33652,-0.969,-0.23,0.053,1.455,4.873,-1.381,19,85
33695,-0.915,-0.278,-0.023,10.368,19.882,5.375,22,87
33739,-0.988,-0.253,-0.003,-18.219,4.691,-15.503,15,80
33782,-0.949,-0.28,-0.022,2.435,17.714,2.673,21,85
33825,-0.904,-0.253,-0.059,-8.697,12.014,-2.58,20,85
33869,-0.969,-0.315,0.017,-14.282,16.709,-6.038,22,81
33912,-0.95,-0.319,-0.011,-11.59,0.81,-8.335,17,79
33958,-0.947,-0.327,-0.035,0.138,7.147,-7.641,22,80
34001,-0.925,-0.288,-0.069,2.168,1.583,-6.664,18,79
34044,-0.937,-0.288,-0.085,5.742,20.563,0.111,21,83
34088,-0.921,-0.262,-0.091,-6.038,0.974,-9.263,16,78
34131,-0.965,-0.284,-0.081,-1.796,18.02,-0.739,20,83
34174,-0.928,-0.297,-0.067,-8.012,-2.614,-3.003,16,79
34217,-0.929,-0.317,-0.067,6.045,19.128,0.574,20,85
34262,-0.944,-0.303,-0.087,9.683,15.135,-0.642,21,84
34348,-0.895,-0.26,-0.155,7.324,18.658,-0.61,19,84
34395,-0.916,-0.303,-0.113,-8.09,-2.598,-8.291,16,87
34443,-0.925,-0.313,-0.126,-4.931,19.26,-11.692,16,172
34486,-1.003,-0.328,-0.109,8.87,23.038,-3.989,22,77
34529,-1.032,-0.288,-0.093,8.88,3.058,-2.322,19,75
34573,-1.012,-0.315,-0.07,25.802,-0.079,1.944,19,79
34616,-1.013,-0.24,-0.091,35.328,5.193,7.64,20,77
34659,-1.263,-0.347,0.095,49.443,22.463,27.031,24,80
34702,-1.135,-0.254,0.005,87.389,-2.052,45.038,22,80
34746,-1.07,-0.278,0.046,87.634,-21.58,57.519,20,83
34792,-1.092,-0.113,-0.126,99.374,-31.442,61.58,18,82
34846,-1.068,-0.171,0.014,57.313,-19.238,72.496,0,86
34890,-1.164,-0.031,0.018,75.412,-3.887,73.336,20,91
34935,-1.1,0.001,-0.12,73.527,-49.015,82.473,22,95
34979,-0.898,0.24,-0.147,46.481,-59.13,83.115,23,98
35024,-0.866,0.189,-0.222,-69.326,-44.618,84.29,6,30
35069,-0.969,0.246,0.084,-28.004,-44.061,92.916,19,107
35116,-0.832,0.167,0.12,-11.287,-53.282,94.534,19,122
35161,-0.748,0.211,-0.019,9.356,-11.01,75.817,23,122
35209,-0.755,0.428,0.107,-16.421,-4.584,65.397,22,94
35252,-0.774,0.511,0.126,-23.702,-13.833,59.328,23,69
35294,-0.808,0.411,0.391,-47.771,-33.985,59.733,20,65
35347,-0.644,0.351,0.174,-18.488,-37.893,44.573,0,65
35390,-0.768,0.299,0.385,-11.275,0.807,30.496,20,66
35433,-0.748,0.601,0.385,-1.142,-24.332,23.832,19,66
35475,-0.774,0.443,0.364,-9.812,-24.617,30.076,19,67
35518,-0.706,0.635,0.394,2.259,-9.395,26.321,20,70
35564,-0.607,0.359,0.5,18.41,-44.252,29.679,24,76
35606,-0.509,0.561,0.37,9.045,-55.437,-9.923,15,64
35649,-0.708,0.653,0.372,-2.187,-57.985,-10.603,15,69
35692,-0.739,0.735,0.491,25.477,10.441,33.746,21,65
35734,-0.768,0.649,0.404,-24.936,-53.313,-20.031,13,64
35777,-0.574,0.626,0.642,-3.052,-50.115,40.229,15,65
35819,-0.45,0.574,0.419,32.115,-49.191,41.496,15,66
35863,-0.379,0.596,0.57,27.374,-45.542,26.647,19,76
35905,-0.466,0.755,0.301,39.282,-46.5,5.875,15,66
35953,-0.643,0.872,0.517,10.912,-35.153,32.603,21,97
35997,-0.532,0.751,0.65,34.282,-61.504,46.969,19,97
36042,-0.231,0.715,0.347,44.015,-71.886,42.595,17,98
36086,-0.149,0.695,0.198,43.626,-39.527,33.061,19,99
36142,-0.135,0.935,0.48,20.282,-34.931,19.743,0,100
36187,-0.206,0.935,0.417,28.244,-49.855,-18.152,20,101
36242,-0.19,0.923,0.439,42.659,-34.763,8.321,0,101
36287,-0.182,0.829,0.359,39.873,-44.802,14.952,30,103
36333,-0.099,0.942,0.435,-5.505,-36.366,8.848,29,103
36381,-0.136,0.815,0.105,0.929,-80.025,-8.538,27,103
36427,-0.14,0.833,0.398,14.644,-36.206,11.557,33,104
36472,0.052,0.833,0.257,17.1,-17.323,-3.052,29,105
36518,0.056,0.839,-0.009,-7.5,-28.709,-59.642,24,105
36563,-0.577,0.809,0.483,-21.812,-16.058,-27.664,24,104
36653,-0.215,0.885,0.398,-15.276,-26.452,-31.771,28,105
36699,-0.211,0.982,0.462,0.65,9.195,-10.497,31,105
36745,-0.203,0.913,0.428,5.911,23.36,-1.332,35,104
36800,-0.372,1.008,0.661,-4.358,-21.982,-1.802,0,105
36858,-0.314,0.723,0.697,10.703,-63.015,1.92,0,107
36915,-0.244,0.728,0.51,34.176,-76.626,-10.816,0,113
36975,-0.216,0.976,0.247,39.153,-55.427,-1.447,0,182
37035,-0.01,0.758,-0.036,-20.642,-84.076,-5.667,0,182
37093,0.073,1.156,0.41,-11.701,-46.031,-6.303,0,151
37151,0.143,0.692,-0.029,8.374,37.518,-1.176,0,151
37210,-0.142,1.014,0.699,-23.153,-40.633,-31.841,0,152
37268,-0.236,0.847,0.625,19.103,14.11,0.523,0,154
37328,-0.077,0.813,0.46,7.197,-57.672,-13.977,0,185
37390,-0.096,0.993,0.505,-2.953,-12.817,-15.787,0,149
37448,-0.241,0.586,0.733,5.643,-62.527,-14.683,0,148
37507,0.1,0.891,0.162,4.847,-65.191,-41.328,0,157
37556,-0.255,1.027,0.759,6.732,-60.015,-41.397,37,158
37608,-0.103,0.858,0.222,26.626,-114.557,-45.855,38,0
37668,-0.146,1.201,0.386,29.267,-49.84,-24.773,0,0
37721,-0.135,0.743,0.268,10.656,-69.366,2.369,33,0
37772,-0.052,0.973,0.358,4.673,-72.656,-20.468,29,0
37822,0.013,0.858,0.338,22.957,-65.817,5.53,33,184
37888,0.103,0.885,0.215,18.09,-41.573,-15.645,0,0
37948,-0.067,0.962,0.192,-1.023,-46.148,-11.672,0,0
38009,0.07,0.833,0.128,1.924,-70.209,-21.883,0,0
38076,-0.125,1.042,0.756,8.526,-42.122,-0.82,0,0
38135,-0.081,1.061,0.642,-1.586,-59.168,-3.197,0,0
38196,-0.004,0.791,0.152,12.007,-68.328,0.464,0,0
38246,0.094,0.882,0.135,1.428,-71.893,-9.926,34,0
38297,0.124,1.037,0.099,3.559,-42.237,-7.637,35,0
38347,-0.063,0.806,0.509,-35.305,-78.115,-14.774,36,0
38411,0.167,0.838,0.402,-12.389,-88.107,-34.37,0,0
38461,0.119,0.811,0.263,30.153,-66.71,-30.374,35,0
38512,0.155,0.992,0.017,32.031,-73.771,-33.328,31,0
38562,0.219,1.081,-0.164,12.642,-42.435,-45.389,30,0
38599,0.04,1.2,-0.077,7.036,-2.669,-28.198,30,0
38649,-0.062,1.136,0.077,6.207,9.611,-8.11,33,0
38686,0.019,1.006,0.139,-8.973,-8.136,-3.253,32,0
38736,0.088,0.933,0.232,-6.409,0.463,1.145,33,0
38773,0.087,0.884,0.121,-1.157,-4.969,-16.282,31,0
38828,0.041,0.907,0.112,-1.191,-2.985,-26.186,35,0
38878,0.017,1.053,0.335,6.978,15.336,12.421,34,0
38915,0.036,0.946,0.161,-9.39,-10.206,-25.73,30,0
38965,-0.013,0.963,0.315,-4.603,-5.8,-9.369,33,0
39002,0.015,0.928,0.262,2.08,-7.663,-12.769,34,0
39053,-0.007,0.981,0.108,1.147,-17.47,-37.82,32,0
39103,-0.082,1.108,0.119,0.363,-15.77,-35.072,32,0
39163,-0.072,1.148,0.104,-1.716,-2.803,0.178,0,0
39200,-0.034,1.045,0.087,-11.433,1.099,-8.026,32,0
39254,-0.033,1.025,0.156,-18.672,-3.584,-5.125,30,0
39348,-0.001,0.984,0.314,10.897,9.703,0.013,37,0
39398,-0.061,0.966,0.151,-12.829,6.868,-13.125,32,0
39449,-0.058,0.912,0.159,-21.398,-5.514,-16.716,30,0
39499,0.002,0.98,0.177,-20.261,1.356,-17.502,32,0
39550,-0.084,0.971,0.232,-29.051,8.765,-23.956,30,0
39601,-0.113,0.953,0.277,-23.183,-1.175,-16.115,32,0
39652,-0.062,1.024,0.222,-1.707,4.402,-1.562,32,0
39703,-0.03,0.886,0.13,-30.992,7.62,-15.209,29,0
39756,-0.146,0.944,0.231,-31.679,18.489,-45.87,27,0
39808,-0.115,0.885,0.346,-29.382,17.878,2.961,35,0
39858,-0.15,1.13,0.441,-20.955,-6.933,-20.661,31,0
39909,-0.181,0.708,0.331,-28.74,15.481,-4.463,29,0
39959,-0.122,0.972,0.339,-2.212,12.672,-6.569,34,0
40005,-0.203,0.802,0.346,-15.526,6.823,0.948,33,112
40051,-0.032,0.928,0.315,-19.907,0.663,-7.767,30,113
40096,-0.077,0.876,0.397,-11.241,3.124,-14.532,30,113
40142,-0.207,0.887,0.406,-11.897,23.511,-15.101,32,113
40190,-0.211,0.855,0.415,-7.489,8.616,-6.449,30,111
40237,-0.179,0.818,0.264,-14.0,-6.445,-21.883,35,111
40283,-0.164,0.942,0.363,-18.862,5.067,-23.773,33,107
40338,-0.133,0.835,0.301,-14.805,17.496,-27.366,0,111
40393,-0.037,0.745,0.167,-27.779,22.954,-40.771,0,112
40448,-0.191,0.781,0.515,-56.718,13.449,-82.908,0,99
40508,-0.207,0.602,0.601,-42.55,-15.414,-101.58,0,0
40555,-0.333,0.73,0.565,-23.351,11.082,-115.137,0,0
40602,-0.518,0.508,0.54,-27.611,9.703,-119.328,0,0
40666,-0.553,0.413,0.664,-27.908,-8.385,-127.794,0,200
40725,-0.569,0.256,0.704,32.729,-0.414,-140.901,0,195
40785,-0.609,0.179,0.622,-23.483,-10.895,-156.076,0,191
40842,-0.821,-0.13,0.667,-31.523,-21.168,-152.527,0,112
40896,-0.842,-0.204,0.667,-5.805,-21.348,-161.321,0,107
40951,-0.799,-0.153,0.643,0.19,-1.406,-128.191,0,103
41007,-0.76,-0.386,0.619,-6.805,-25.892,-153.298,0,99
41062,-0.668,-0.22,0.543,-22.817,25.805,-127.107,0,97
41116,-0.894,-0.603,0.645,-26.389,10.975,-150.969,0,94
41174,-0.726,-0.258,0.606,-29.985,-34.359,-129.321,0,91
41228,-0.544,-0.821,0.441,-37.58,-21.494,-150.84,0,89
41282,-0.529,-0.604,0.659,-41.046,23.435,-104.427,0,90
41331,-0.552,-0.85,0.837,-39.779,-54.275,-107.397,80,104
41379,-0.347,-0.699,0.607,-25.275,-52.092,-101.939,84,107
41426,-0.445,-0.82,0.621,-33.076,-58.145,-81.298,74,86
41474,-0.228,-0.829,0.713,-8.13,-38.824,-61.42,73,87
41521,-0.168,-0.821,0.67,-6.329,-10.893,-48.931,73,88
41570,-0.107,-0.813,0.624,-0.873,-38.718,-32.061,63,88
41623,-0.035,-0.819,0.53,-8.882,-25.186,-42.583,66,0
41676,-0.104,-0.849,0.567,-7.882,-16.617,-29.203,75,0
41730,-0.032,-0.797,0.564,-0.807,-23.778,-5.255,74,0
41784,-0.007,-0.875,0.562,-4.86,-16.958,-0.788,74,0
41836,0.012,-0.845,0.59,-5.502,-46.257,-13.706,64,0
41889,0.094,-0.814,0.529,-2.304,-5.056,0.802,63,0
41985,0.008,-0.834,0.516,-0.963,-28.117,-7.414,62,0
42038,0.071,-0.827,0.536,-7.271,-19.16,4.28,60,0
42093,0.087,-0.819,0.561,2.167,13.45,5.071,60,0
42146,0.091,-0.903,0.623,-2.13,-22.579,-2.495,60,0
42199,0.14,-0.859,0.585,3.316,1.245,-2.38,60,0
42252,0.102,-0.813,0.578,2.479,-38.509,-7.177,61,0
42304,0.129,-0.811,0.491,6.305,10.81,-1.805,60,0
42358,0.069,-0.838,0.566,1.334,-11.286,-0.499,72,0
42405,0.138,-0.836,0.561,4.795,-2.655,3.011,71,89
42451,0.155,-0.846,0.567,-4.13,-51.639,-4.598,19,27
42498,0.187,-0.814,0.539,10.004,1.696,-1.978,68,94
42548,0.129,-0.866,0.585,2.537,-20.904,-1.013,68,85
42595,0.216,-0.807,0.504,5.635,-2.826,-0.937,68,90
42647,0.167,-0.852,0.564,-0.506,-14.636,-3.539,63,0
42700,0.188,-0.812,0.529,1.464,-8.009,-13.815,73,0
42754,0.141,-0.801,0.551,3.113,2.21,-2.981,63,0
42807,0.18,-0.769,0.511,2.457,-12.512,1.348,72,0
42860,0.06,-0.774,0.598,-6.348,-47.542,-5.826,62,0
42900,0.278,-0.825,0.498,3.899,-55.023,14.577,71,0
42953,0.264,-0.809,0.472,-9.171,-55.863,-10.573,70,0
42996,0.33,-0.771,0.165,-38.763,-9.993,-23.925,69,0
43043,0.122,-0.775,0.422,6.841,15.763,20.49,71,91
43097,0.062,-0.783,0.5,-25.481,-23.877,24.138,70,0
43150,0.271,-0.903,0.38,-29.221,-26.564,19.537,68,0
43203,0.297,-0.878,0.457,-33.504,8.269,23.027,69,0
43243,0.307,-0.888,0.446,-25.107,-9.647,5.053,67,0
43296,0.216,-0.906,0.508,-36.024,-11.697,3.248,70,0
43336,0.39,-0.93,0.308,-20.961,-13.374,-1.932,68,0
43383,0.166,-0.886,0.391,-23.71,26.282,-4.756,69,89
43441,0.056,-0.921,0.49,-46.166,-64.51,-2.678,65,91
43493,0.351,-0.873,0.272,-8.59,-22.228,15.596,65,0
43532,0.182,-1.016,0.444,-4.151,15.075,14.287,65,0
43584,0.347,-0.913,0.364,-7.975,-19.05,15.146,70,0
43637,0.264,-1.02,0.4,-1.415,-4.49,0.903,85,0
43677,0.319,-0.97,0.359,-5.879,-7.839,-5.181,84,0
43730,0.367,-0.991,0.322,3.141,15.718,-4.93,83,0
43785,0.074,-0.964,0.487,-0.987,-2.303,-15.358,84,0
43838,0.317,-0.93,0.215,1.867,9.114,-10.149,84,0
43893,0.187,-0.885,0.277,-2.392,3.911,-6.268,72,0
43945,0.189,-0.947,0.248,-5.09,-39.031,-11.518,68,0
43999,0.262,-0.958,0.235,-9.017,29.756,0.381,66,0
44051,-0.023,-0.957,0.363,8.003,-8.298,4.13,68,0
44103,0.024,-0.884,0.121,-8.977,-48.252,-0.38,68,0
44156,-0.048,-0.989,0.137,0.546,-51.145,31.611,68,0
44207,0.082,-0.897,0.068,-24.16,-73.969,35.588,80,143
44255,-0.019,-1.032,0.16,-23.992,-61.786,59.863,94,101
44303,0.002,-1.157,0.273,-14.313,-110.405,57.351,73,107
44353,0.137,-0.971,0.228,-0.098,-98.771,81.305,75,108
44403,-0.167,-1.15,0.697,3.667,-114.084,111.405,70,153
44453,-0.026,-1.198,0.316,56.328,-245.695,111.641,65,158
44549,0.223,-0.877,-0.253,18.274,-188.092,54.443,60,0
44601,0.147,-1.011,-0.218,-15.254,-120.611,49.527,58,0
44652,0.143,-0.815,-0.212,-3.296,0.87,40.374,59,174
44703,-0.059,-0.705,0.019,-51.595,-7.447,27.0,58,173
44755,-0.156,-0.838,0.024,-54.687,-71.349,-13.617,57,0
44805,-0.182,-0.955,0.015,-58.305,-66.122,-12.082,0,0
44848,-0.052,-1.012,-0.231,-40.084,-37.511,-6.049,0,132
44895,-0.186,-0.916,-0.056,-57.649,11.086,23.702,55,117
44942,-0.205,-1.064,-0.059,-63.389,-58.376,39.397,57,119
44988,-0.174,-1.303,-0.051,-56.611,-57.473,45.817,57,90
45036,0.029,-1.183,-0.433,-25.328,-9.232,25.573,91,94
