Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33027,0.112,-0.891,0.491,31.635,89.221,29.322,121,102
33080,-0.327,-1.021,0.167,-22.703,-71.226,-12.336,0,80
33133,-0.327,-1.158,0.211,-21.794,-67.916,-22.496,0,74
33186,-0.041,-0.893,0.09,6.594,-67.29,-2.526,0,72
33239,0.039,-0.9,0.035,21.469,0.838,26.713,0,71
33292,0.164,-1.016,0.104,16.776,46.634,25.026,0,72
33344,-0.38,-0.996,0.153,-5.477,49.565,-42.303,0,72
33395,-0.257,-0.965,0.206,-1.743,24.466,-20.323,111,71
33442,-0.166,-0.992,0.272,0.145,-2.316,-2.073,111,72
33490,-0.371,-0.998,0.136,-4.528,-54.712,-47.818,112,70
33543,-0.004,-1.0,0.09,5.382,2.149,1.47,0,71
33596,-0.165,-0.978,0.111,1.165,4.43,-5.665,0,72
33644,-0.201,-0.976,0.168,1.311,3.41,0.825,113,75
33691,-0.151,-0.986,0.16,2.337,-9.497,4.045,111,76
33739,0.033,-0.997,0.122,3.441,1.397,13.15,113,73
33793,-0.141,-0.994,0.121,0.667,-6.831,4.073,0,73
33848,-0.239,-0.978,0.136,-2.116,-14.197,1.274,0,73
33896,-0.266,-0.979,0.124,-5.102,-23.534,-2.734,111,72
33944,-0.153,-0.991,0.106,-2.709,-9.882,0.744,112,73
33991,-0.171,-0.991,0.123,-3.783,-5.509,-3.131,110,73
34039,-0.092,-0.994,0.136,-1.083,-1.805,-1.77,110,73
34086,-0.179,-0.993,0.14,-2.608,-5.577,-6.977,110,73
34135,-0.068,-0.997,0.137,-0.065,-1.69,-1.532,110,72
34183,-0.034,-1.003,0.133,1.29,2.966,0.308,110,73
34230,-0.11,-0.985,0.132,1.717,-0.148,-4.063,110,73
34281,-0.099,-0.991,0.125,2.202,-0.401,-3.797,110,77
34329,-0.13,-0.99,0.129,2.29,1.281,-5.565,110,76
34377,-0.011,-0.978,0.12,4.162,5.303,2.742,111,81
34424,-0.223,-0.993,0.122,-0.752,-2.99,-6.964,112,71
34478,-0.251,-0.987,0.112,-0.908,-5.818,-6.523,0,70
34531,-0.083,-0.994,0.102,0.257,1.251,0.151,0,76
34584,-0.269,-0.992,0.129,-1.382,-2.532,-3.81,0,73
34637,-0.227,-0.989,0.113,-1.289,-2.855,-3.383,0,73
34691,-0.17,-0.991,0.124,0.053,0.281,-1.442,0,73
34746,-0.318,-1.0,0.119,-1.231,-3.558,-8.007,0,67
34799,-0.08,-0.973,0.131,1.68,11.633,-1.393,0,76
34852,-0.139,-0.987,0.135,1.004,4.207,-0.117,0,75
34906,-0.129,-0.985,0.137,2.08,8.293,7.181,0,73
34959,-0.117,-0.976,0.146,5.566,9.382,20.287,0,78
35011,-0.177,-0.974,0.15,10.509,16.318,46.635,0,73
35065,-0.503,-1.007,0.308,5.317,16.08,45.321,0,82
35119,-0.921,-0.968,0.48,21.985,47.763,119.802,0,78
35174,-1.478,-1.118,0.558,59.267,7.968,202.427,0,116
35230,-1.47,-1.258,0.408,91.45,-55.29,250.13,0,68
35283,-1.154,-1.272,0.115,96.649,-90.504,250.13,0,75
35334,-0.602,-0.85,-0.056,89.366,-90.397,250.13,137,75
35383,-0.095,-0.612,-0.051,55.977,-66.084,228.58,130,67
35439,-0.491,-0.652,-0.044,21.702,-63.825,148.977,0,127
35482,-0.376,0.196,0.337,-32.443,32.474,96.748,42,47
35524,-0.573,0.164,0.783,-21.481,-48.183,56.969,35,48
35609,-0.059,0.305,0.567,10.737,23.628,46.594,35,52
35652,-0.672,0.309,0.622,12.913,26.13,16.676,37,50
35697,-0.716,0.323,0.623,-14.803,-27.993,-0.95,34,52
35740,-0.591,0.305,0.538,10.974,20.209,12.498,39,51
35782,-0.574,0.25,0.578,-18.855,13.06,-11.163,36,53
35835,-0.688,0.244,0.672,-19.374,17.153,-38.831,0,65
35892,-0.622,0.212,0.607,-17.809,-9.602,-40.335,0,62
35936,-0.627,0.21,0.62,-9.476,33.611,-19.38,37,68
35978,-0.692,0.169,0.569,-25.364,23.183,-32.725,31,51
36030,-0.567,0.172,0.463,-21.847,27.046,-42.389,0,51
36082,-0.662,0.039,0.44,-29.099,55.771,-47.718,0,57
36137,-0.765,-0.081,0.532,-28.947,40.87,-63.298,0,59
36197,-0.711,-0.622,0.436,-31.618,52.069,-65.244,0,107
36248,-0.778,0.209,0.539,-34.71,58.481,-69.817,126,106
36299,-0.637,-0.096,0.401,-28.641,65.252,-62.366,134,102
36355,-0.713,-0.102,0.131,-19.802,78.611,-39.489,0,99
36409,-0.928,0.082,0.247,-31.481,34.771,-28.126,0,94
36454,-0.949,-0.15,0.144,0.225,28.618,-32.931,27,92
36508,-1.131,-0.599,0.077,-8.606,103.351,-34.802,0,86
36554,-1.436,-0.256,0.172,12.734,82.756,-16.459,22,83
36598,-1.138,0.102,-0.016,15.3,33.046,11.404,22,87
36642,-0.919,-0.473,-0.124,-17.293,54.679,-29.679,23,79
36686,-1.039,-0.364,0.006,-15.2,56.992,-19.006,23,81
36730,-1.02,-0.166,0.049,-2.343,47.099,-5.65,31,82
36773,-1.063,-0.492,-0.023,1.055,33.786,-11.733,20,78
36816,-0.984,-0.946,-0.093,-17.037,27.397,-18.003,6,20
36860,-0.979,0.115,-0.08,24.436,49.581,6.888,21,81
36903,-0.894,-0.2,-0.156,13.885,18.015,2.012,20,80
36950,-0.954,-0.348,-0.135,8.619,10.753,-2.222,21,78
36994,-0.969,0.248,-0.126,23.048,35.027,4.26,21,86
37038,-0.971,0.238,-0.133,14.374,32.098,9.829,20,87
37082,-1.021,-0.094,-0.123,-4.426,6.701,8.488,43,83
37126,-0.972,-0.252,-0.14,-10.981,-7.044,6.852,22,81
37170,-0.931,-0.2,-0.162,-7.105,2.555,10.396,21,82
37213,-0.954,-0.389,-0.119,-10.541,2.087,6.395,22,80
37257,-0.959,-0.618,-0.113,-21.406,-15.142,-2.913,20,77
37300,-0.916,-0.776,-0.143,-26.716,-24.356,-7.187,20,80
37357,-0.942,-0.326,-0.12,-10.361,-10.259,-2.021,0,81
37401,-0.942,-0.588,-0.142,-20.143,-18.028,-1.808,19,78
37444,-0.941,-0.188,-0.117,-3.523,-1.094,1.571,21,82
37488,-0.976,-0.026,-0.075,-0.807,4.087,1.547,21,84
37532,-0.985,-0.128,-0.086,-2.262,-8.441,0.208,22,83
37576,-0.936,-0.254,-0.11,-1.889,-11.052,1.141,23,83
37620,-0.981,-0.127,-0.069,-1.969,-8.638,0.417,22,84
37664,-0.975,0.201,-0.087,1.785,9.83,9.597,21,87
37719,-0.99,-0.068,-0.051,-1.284,-4.396,10.051,0,86
37767,-0.957,-0.546,-0.04,-11.204,-37.64,-0.987,42,82
37812,-0.954,-0.232,-0.02,-4.944,-16.948,7.764,44,85
37866,-0.961,-0.723,-0.007,-14.477,-48.921,-4.125,0,80
37920,-0.931,-0.146,-0.03,-1.969,-6.49,6.343,0,87
38008,-0.911,-0.457,0.029,-6.346,-39.468,-3.841,21,83
38052,-0.942,0.073,0.074,3.473,3.195,9.966,20,90
38096,-0.992,-0.579,0.101,-3.465,-42.993,-2.719,21,84
38140,-0.996,-0.453,0.1,-2.886,-45.785,-1.755,24,87
38189,-1.015,-0.166,0.177,14.492,-8.077,12.93,22,92
38234,-1.203,-0.246,0.396,24.313,-41.556,8.138,26,91
38288,-1.373,-0.563,0.607,46.534,-48.473,26.015,0,91
38343,-1.585,-0.213,0.562,104.908,-78.847,50.481,0,96
38394,-1.229,-0.023,0.353,143.115,-140.924,59.626,133,102
38437,-0.907,-0.124,0.089,150.038,-87.046,70.794,20,50
38480,-0.849,0.018,0.235,141.916,-33.71,98.443,18,76
38523,-1.081,0.193,0.439,120.908,-67.924,108.191,19,56
38566,-0.804,0.304,0.28,81.55,-149.405,107.344,19,78
38614,-0.406,0.204,0.007,80.359,-109.733,101.336,18,78
38664,-0.419,0.439,0.165,87.382,-61.763,103.153,135,80
38719,-0.209,0.471,0.167,70.504,-74.641,87.481,0,84
38773,-0.034,0.526,0.105,38.046,-60.573,48.634,0,86
38817,-0.037,0.666,0.033,-29.176,-68.714,-38.445,21,83
38862,-0.131,0.743,0.398,2.69,5.476,2.725,21,88
38917,-0.365,0.822,0.575,-10.221,-4.557,-18.802,0,87
38971,-0.395,0.874,0.669,10.398,-7.202,-9.119,0,90
39016,-0.371,0.768,0.509,18.427,-15.984,-5.882,21,88
39063,-0.257,0.853,0.434,18.117,6.405,3.57,22,90
39108,-0.032,0.815,0.378,26.033,21.793,12.048,21,96
39152,-0.288,0.812,0.532,-15.149,-13.49,-12.426,22,91
39213,-0.306,0.713,0.608,-9.362,-4.655,-20.733,0,89
39267,-0.367,0.739,0.619,6.307,-6.812,-24.803,0,89
39320,-0.354,0.748,0.526,13.607,-16.936,-21.167,0,91
39364,-0.199,0.772,0.445,28.085,6.749,4.788,27,94
39408,-0.347,0.783,0.516,12.256,-11.57,-8.559,26,92
39452,-0.452,0.693,0.522,-10.669,-30.538,-46.911,23,89
39498,-0.37,0.728,0.625,17.298,2.045,-26.672,29,95
39542,-0.412,0.555,0.631,29.473,-25.764,-30.053,25,92
39586,-0.422,0.685,0.664,46.198,-34.282,-34.542,23,90
39630,-0.458,0.842,0.557,46.313,-41.519,-41.901,23,97
39675,-0.725,0.637,0.918,25.916,-75.405,-43.969,26,98
39731,-0.524,0.52,0.702,57.847,-97.45,-40.672,0,131
39778,-0.431,0.563,0.583,92.076,-71.702,-60.045,26,130
39833,-0.563,0.515,0.309,120.435,-123.0,-49.748,0,114
39882,-0.43,0.966,-0.004,106.473,-149.588,-67.26,28,123
39926,-0.053,0.966,-0.288,75.718,-122.718,-69.939,25,93
39980,-0.44,1.099,0.256,40.053,-82.038,-71.519,0,100
40026,-0.42,0.969,0.048,40.435,-71.55,-53.885,30,115
40071,-0.555,1.042,0.404,19.445,-63.0,-34.023,29,105
40116,-0.577,0.707,0.492,20.023,-109.58,-29.055,28,117
40162,-0.357,0.729,0.387,20.153,-144.519,-34.29,31,117
40209,-0.513,0.751,-0.008,31.641,-87.832,-42.061,27,124
40254,-0.425,0.785,0.26,16.756,-40.298,-52.183,29,118
40312,-0.51,0.803,0.405,18.534,-77.687,-60.023,0,110
40368,-0.449,0.877,0.279,19.487,-103.328,-56.679,0,119
40462,-0.309,1.014,0.186,-7.051,-35.846,-36.374,29,0
40499,-0.374,0.907,0.218,-26.118,-36.2,-53.578,27,0
40545,-0.417,0.911,0.477,-19.534,-19.738,-41.717,26,119
40590,-0.47,0.786,0.576,-25.389,-33.968,-30.492,26,118
40636,-0.431,0.723,0.633,-23.26,10.766,11.252,34,119
40682,-0.377,0.684,0.567,-23.023,-17.952,2.575,29,121
40738,-0.154,0.691,0.506,-22.809,1.263,5.318,0,124
40797,-0.2,0.733,0.473,-20.351,3.753,-8.931,0,122
40853,-0.142,0.705,0.546,-19.244,20.008,3.275,0,121
40899,-0.371,0.668,0.645,-15.248,21.603,-7.703,30,123
40945,-0.411,0.628,0.647,-25.538,20.282,-8.114,28,125
40991,-0.447,0.597,0.68,-17.511,36.82,7.81,36,123
41038,-0.366,0.586,0.679,-24.002,-0.004,-11.253,29,125
41084,-0.347,0.599,0.663,-17.84,17.824,-1.23,36,122
41141,-0.368,0.636,0.675,-24.148,3.588,-15.468,0,125
41199,-0.407,0.607,0.617,-5.772,6.617,-4.615,0,120
41255,-0.394,0.564,0.611,-15.012,6.78,-8.127,0,120
41311,-0.38,0.543,0.581,-19.937,22.305,-30.023,0,120
41358,-0.305,0.581,0.572,-28.695,33.053,-36.26,35,119
41404,-0.374,0.476,0.617,-38.008,32.511,-58.618,33,117
41450,-0.21,0.376,0.673,-40.855,23.267,-93.802,41,117
41507,-0.42,0.311,0.726,-34.565,31.14,-114.855,193,153
41565,-0.506,0.152,0.779,-31.336,10.589,-137.855,194,148
41624,-0.659,0.057,0.66,-31.809,22.977,-148.046,197,171
41688,-0.808,-0.612,0.678,-33.267,-8.988,-162.992,195,0
41743,-0.781,-0.186,0.702,-22.038,10.375,-114.71,0,116
41797,-0.946,-0.585,0.812,-23.252,-28.638,-125.008,176,115
41852,-0.816,-0.293,0.756,-16.261,-17.7,-88.481,182,114
41908,-0.622,-0.113,0.642,2.662,-2.981,-81.634,0,112
41963,-0.569,-0.574,0.684,-20.468,-18.018,-73.298,0,110
42018,-0.496,-0.286,0.646,2.96,12.306,-72.924,0,101
42074,-0.456,-0.594,0.716,-27.163,-43.866,-81.557,0,100
42128,-0.401,-0.61,0.681,-15.731,-30.954,-95.244,133,98
42179,-0.335,-0.684,0.652,-14.233,-9.839,-97.176,131,108
42230,-0.584,-0.706,0.684,-38.793,-29.623,-96.947,120,106
42279,-0.373,-0.74,0.703,-22.571,-23.024,-95.565,91,105
42328,-0.286,-0.717,0.729,-15.566,-21.385,-88.26,90,103
42376,-0.074,-0.75,0.658,2.151,-0.873,-72.71,70,103
42423,-0.299,-0.705,0.672,-27.865,-24.703,-60.42,72,101
42471,0.024,-0.771,0.667,10.749,16.384,-49.595,72,100
42518,-0.017,-0.772,0.701,-0.115,2.273,-48.015,65,101
42568,-0.099,-0.771,0.664,-11.751,-24.637,-43.618,65,101
42620,0.014,-0.778,0.644,-8.467,-26.293,-36.527,59,0
42669,0.105,-0.784,0.596,-4.96,-19.983,-28.771,59,106
42715,0.093,-0.747,0.652,-5.577,-8.992,-33.45,59,101
42762,0.185,-0.81,0.589,2.302,-3.452,-39.786,60,101
42809,0.212,-0.767,0.605,-23.618,-66.145,-38.244,60,100
42856,0.227,-0.816,0.593,-7.287,-24.755,-38.771,63,101
42903,0.232,-0.75,0.564,-9.186,-15.462,-37.992,63,102
42954,0.243,-0.822,0.553,-3.875,-15.033,-39.229,67,103
43049,0.307,-0.755,0.572,-1.116,-31.702,-37.504,61,0
43089,0.358,-0.743,0.536,-6.459,-51.159,-29.511,65,0
43142,0.346,-0.745,0.567,-3.939,-9.633,-13.473,64,0
43182,0.336,-0.738,0.599,-0.082,-18.975,-14.935,60,0
43234,0.415,-0.77,0.545,2.617,-22.45,-3.265,59,0
43273,0.538,-0.766,0.487,1.952,-31.817,9.23,59,0
43326,0.518,-0.763,0.472,-0.802,-37.04,-39.051,67,0
43365,0.452,-0.755,0.47,5.141,37.922,8.989,70,0
43421,0.312,-0.795,0.459,13.313,106.616,24.234,62,0
43460,0.257,-0.728,0.439,-16.841,-61.924,-33.12,19,5
43513,0.39,-0.764,0.398,-8.715,-88.046,5.684,65,0
43553,0.64,-0.725,0.09,-15.834,-88.389,-13.968,79,0
43608,0.606,-0.635,0.07,22.994,-61.649,4.065,83,0
43661,0.364,-0.708,0.088,-26.947,-51.809,-16.399,76,0
43715,0.252,-0.631,0.462,-23.366,-124.29,25.225,74,0
43768,0.786,-0.862,0.02,-20.718,-206.237,46.618,72,0
43822,1.328,-0.827,-0.122,2.101,-143.366,4.99,68,0
43878,0.972,-0.93,-0.05,-18.308,-60.611,-26.995,67,0
43932,0.721,-0.918,0.106,-4.47,-52.29,-24.923,67,0
43985,0.712,-0.828,-0.058,24.798,-77.168,-9.793,66,0
44024,0.775,-0.771,-0.215,17.992,-43.58,-37.936,67,0
44078,0.736,-0.799,-0.28,9.473,-9.949,-20.933,65,0
44132,0.552,-0.772,-0.115,18.076,30.997,18.389,88,0
44172,0.668,-0.776,-0.224,20.084,-13.431,6.604,65,0
44225,0.671,-0.75,-0.218,-6.318,-24.337,-9.035,66,0
44264,0.726,-0.784,-0.254,-5.182,-11.388,-4.8,65,0
44320,0.568,-0.744,-0.101,-0.864,-2.663,-14.364,65,0
44360,0.603,-0.816,-0.107,-18.633,-64.307,-17.487,20,5
44413,0.578,-0.796,-0.056,22.113,-9.379,18.697,63,0
44452,0.72,-0.866,-0.216,20.174,-45.359,9.828,63,0
44506,0.728,-0.81,-0.246,20.43,-14.181,1.339,63,0
44547,0.669,-0.731,-0.227,-5.699,-54.458,-12.499,85,0
44601,0.671,-0.78,-0.209,-2.456,-22.989,-7.913,85,0
44641,0.687,-0.876,-0.175,-7.064,-37.383,-16.052,85,0
44695,0.609,-0.779,-0.164,9.8,5.436,-9.022,85,0
44739,0.607,-0.8,-0.223,10.969,1.464,0.495,83,0
44793,0.514,-0.778,-0.169,14.765,-8.342,7.511,82,0
44834,0.579,-0.77,-0.241,0.142,-12.69,3.575,84,0
44887,0.603,-0.878,-0.223,12.35,0.937,26.589,61,0
44928,0.547,-0.861,-0.135,6.0,1.621,8.946,83,0
44981,0.567,-0.866,-0.152,-4.788,-5.052,-9.9,59,0
45020,0.597,-0.945,-0.178,17.145,32.608,25.427,67,0
45072,0.528,-0.964,-0.189,-0.052,17.344,-15.388,53,0
45112,0.334,-0.961,-0.172,5.816,37.351,39.214,54,0
45167,0.083,-1.014,-0.088,21.254,17.473,60.229,54,0
45219,0.018,-1.002,-0.176,10.954,-6.482,79.679,52,0
45270,0.125,-0.968,-0.12,-15.077,-69.313,109.954,44,153
45319,0.312,-1.291,-0.092,-1.347,-74.084,116.237,40,154
45367,0.484,-1.199,-0.152,36.573,-49.664,108.244,37,127
45414,0.497,-1.166,-0.2,35.924,-19.945,89.092,35,131
45503,0.246,-1.066,-0.235,32.328,5.894,59.809,31,106
45548,0.198,-0.87,-0.157,24.366,22.29,32.298,32,80
45602,0.06,-0.841,-0.09,22.464,7.649,23.424,33,162
45650,0.086,-0.932,-0.047,34.318,11.344,26.946,40,106
45697,-0.349,-0.993,-0.085,-7.761,-20.772,-10.462,32,103
45742,-0.059,-1.011,-0.083,14.252,6.341,32.22,37,104
45787,0.065,-0.962,-0.031,31.681,24.0,61.57,39,102
45841,-0.061,-0.989,-0.011,26.4,29.198,46.838,0,101
45890,-0.328,-0.958,0.076,0.984,36.405,4.488,102,102
45938,-0.284,-1.001,0.028,20.237,25.252,9.264,100,100
45987,-0.144,-0.974,0.023,16.916,38.977,24.438,101,102
46039,-0.123,-0.95,-0.073,27.833,22.793,15.065,101,101
46088,-0.165,-0.956,-0.024,18.732,39.778,7.226,100,101
46137,-0.465,-0.929,0.081,9.559,0.61,-0.702,101,100
46185,-0.403,-0.908,0.04,13.695,-70.817,6.079,101,101
46234,-0.165,-0.948,-0.125,7.373,-41.443,1.872,104,102
46282,-0.349,-0.879,-0.006,-0.826,19.188,15.691,104,75
46337,-0.535,-0.959,0.098,2.944,7.597,26.794,0,103
46391,-0.651,-0.856,0.043,11.488,-99.649,63.622,0,102
46444,-0.667,-0.953,-0.219,-26.336,-125.824,29.809,0,76
46501,-0.695,-0.875,-0.179,-43.71,-140.954,51.618,0,82
46557,-0.537,-1.044,-0.331,-42.855,-136.046,66.023,0,114
46611,-0.344,-0.871,-0.192,-58.695,-87.534,75.359,0,99
46663,-0.4,-1.245,0.008,-36.763,-37.863,100.748,0,61
46717,-0.398,-1.154,0.042,-44.221,-66.0,123.886,0,94
46771,-0.228,-1.139,0.035,-16.989,-84.168,92.611,0,71
46824,-0.36,-0.672,0.077,-28.443,-50.26,-22.037,0,72
46882,-0.41,-0.756,0.087,-12.613,-67.328,-35.115,0,100
46940,-0.365,-0.822,-0.005,22.366,-7.541,-43.672,0,101
46994,-0.553,-0.714,0.04,28.252,76.687,-26.679,0,101
47049,-0.857,-0.508,0.407,-13.669,70.389,-8.76,0,100
47104,-0.851,-0.866,0.481,-32.466,-68.313,-27.981,0,100
47158,-0.452,-0.8,0.378,-12.612,-32.16,-13.563,0,81
47213,-0.537,-0.864,0.407,2.021,33.496,-4.791,0,109
47267,-0.68,-0.834,0.541,21.244,21.71,4.751,0,102
47323,-0.407,-0.751,0.277,26.466,-33.626,-9.712,0,108
47376,-0.372,-0.768,0.255,22.305,13.867,0.623,0,81
47432,-0.525,-0.735,0.274,-1.869,-1.848,-24.509,0,77
47486,-0.579,-0.826,0.221,5.812,-10.262,-25.514,0,77
47540,-0.475,-0.809,0.177,9.312,-4.29,-17.291,0,75
47593,-0.49,-0.718,0.176,-2.72,34.374,-19.142,0,72
47646,-0.612,-0.73,0.283,3.368,27.176,-18.647,0,72
47699,-0.585,-0.725,0.236,8.952,6.104,-15.105,0,73
47754,-0.576,-0.745,0.194,16.821,19.351,-2.895,0,108
47810,-0.63,-0.752,0.311,14.785,25.718,2.298,0,116
47865,-0.604,-0.761,0.304,3.116,22.578,0.83,0,113
47922,-0.592,-0.747,0.332,-0.105,24.224,2.458,0,70
47979,-0.604,-0.791,0.237,-1.138,7.658,0.452,0,90
48036,-0.627,-0.791,0.402,3.926,36.414,15.583,0,139
48091,-0.671,-0.774,0.224,-7.385,-16.817,3.764,0,105
48188,-0.594,-0.807,0.281,5.22,-35.969,27.015,0,77
48243,-0.567,-0.755,0.401,11.507,18.454,27.13,0,115
48299,-0.59,-0.774,0.128,-9.477,-63.385,-25.163,0,108
48354,-0.582,-0.763,0.199,-4.138,-33.405,-9.415,0,102
48408,-0.6,-0.725,0.327,19.168,1.179,27.58,0,102
48466,-0.617,-0.687,0.33,20.231,0.574,23.508,0,105
48522,-0.64,-0.687,0.407,30.721,3.013,38.284,0,105
48576,-0.658,-0.683,0.411,22.089,-1.325,30.565,0,95
