Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26006,-0.131,-0.979,0.159,0.443,-4.84,4.981,175,71
26058,-0.127,-0.98,0.144,1.731,-0.247,7.355,0,69
26110,-0.129,-0.98,0.149,2.207,0.384,6.77,0,64
26163,-0.125,-0.982,0.14,2.408,1.587,5.265,0,65
26215,-0.132,-0.987,0.165,-2.361,-4.571,-2.904,0,65
26267,-0.124,-0.981,0.164,4.049,1.76,5.842,0,65
26320,-0.127,-0.978,0.158,-0.15,0.017,-0.057,0,65
26373,-0.137,-0.984,0.166,2.407,4.158,2.691,0,64
26428,-0.142,-0.977,0.166,-2.281,-1.632,-6.556,0,65
26480,-0.145,-0.99,0.167,-1.305,-0.671,-7.425,0,69
26532,-0.152,-0.979,0.163,-0.623,0.7,-3.416,0,71
26587,-0.156,-0.994,0.165,-1.591,-2.755,-6.933,0,92
26640,-0.157,-0.983,0.173,0.392,-0.191,-0.165,0,71
26692,-0.157,-0.983,0.167,1.416,2.28,4.315,0,69
26744,-0.144,-0.996,0.172,-1.727,-10.117,-2.752,0,65
26798,-0.141,-0.981,0.156,2.08,6.608,7.521,0,64
26850,-0.143,-0.972,0.167,-2.987,-16.861,-4.723,0,65
26905,-0.142,-0.979,0.163,-0.556,-6.902,2.366,0,65
26957,-0.132,-0.983,0.164,0.85,0.973,6.283,0,67
27011,-0.133,-0.977,0.157,0.878,2.562,6.701,0,68
27063,-0.14,-0.987,0.167,2.27,6.782,10.152,0,68
27116,-0.136,-0.985,0.166,-1.131,-5.29,0.745,0,69
27168,-0.129,-0.988,0.156,2.203,4.478,6.621,0,70
27222,-0.145,-0.98,0.167,0.639,0.736,2.48,0,68
27274,-0.135,-0.987,0.178,-0.072,-1.246,-0.03,0,69
27327,-0.148,-0.989,0.163,-0.338,-4.976,-3.575,0,66
27382,-0.146,-0.975,0.166,3.074,9.499,11.135,0,65
27435,-0.201,-0.99,0.148,-11.1,-7.048,-18.706,0,65
27488,-0.745,-0.991,0.133,-23.219,65.267,43.412,0,70
27542,-1.433,-1.042,-0.059,46.817,216.298,96.924,0,96
27596,-1.914,-1.076,0.863,-32.357,72.267,184.611,0,103
27651,-0.76,-1.552,0.618,9.78,-223.305,222.756,0,92
27704,0.809,-1.061,-0.373,93.351,-139.267,109.794,0,78
27759,-0.055,-0.812,-0.683,85.84,76.603,73.038,0,93
27812,-0.914,-0.545,0.805,-49.351,-36.885,53.221,0,83
27872,-0.453,-0.835,0.55,15.559,-166.794,33.053,0,121
27925,-0.226,-0.497,0.091,44.336,-8.906,-8.49,0,84
27981,-0.704,-0.197,0.182,28.094,30.458,29.445,0,117
28035,-0.722,-0.256,0.676,-28.443,-68.519,32.291,0,82
28089,-0.455,-0.509,0.592,-6.352,-67.824,-13.767,0,80
28142,-0.655,-0.732,0.577,-1.982,-50.499,-15.632,0,82
