Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33832,-0.236,-0.971,0.024,-15.008,-15.557,-5.634,0.0,87.0
33887,-0.229,-0.942,0.031,-14.206,-12.947,-5.832,0.0,102.0
33941,-0.262,-1.111,0.020,-15.084,-5.992,-2.267,0.0,88.0
33995,-0.317,-1.229,0.061,-10.832,-12.069,-4.168,0.0,93.0
34050,-0.306,-1.118,0.029,-0.137,-29.802,1.969,0.0,95.0
34104,-0.169,-0.705,0.038,3.534,-24.710,40.489,0.0,94.0
34158,-0.282,-1.036,0.013,-13.450,-32.275,45.748,0.0,99.0
34216,-0.340,-1.176,-0.021,8.115,-70.267,23.542,0.0,107.0
34272,-0.189,-1.109,-0.138,18.168,-81.962,18.542,0.0,112.0
34329,-0.083,-0.833,-0.105,11.450,-45.496,39.847,0.0,159.0
34382,-0.149,-0.888,-0.071,3.038,-9.183,54.794,0.0,65.0
34444,-0.243,-0.954,-0.004,2.527,-5.481,41.168,0.0,168.0
34503,-0.218,-0.927,-0.032,1.855,-19.290,7.901,0.0,173.0
34553,-0.190,-0.952,-0.040,-1.366,-6.725,-10.847,0.0,33.0
34617,-0.212,-1.027,-0.008,-4.305,6.382,-23.511,0.0,182.0
34676,-0.239,-1.116,0.050,-13.153,15.611,-28.031,0.0,182.0
34731,-0.327,-1.318,0.121,-16.565,16.008,-40.634,0.0,46.0
34794,-0.291,-1.085,0.104,-4.260,8.519,-48.107,0.0,191.0
34848,-0.058,-0.495,0.058,6.557,25.824,2.504,0.0,98.0
34900,-0.160,-0.892,-0.007,10.664,59.618,23.382,0.0,51.0
34964,-0.278,-1.167,-0.047,28.817,67.817,-8.771,0.0,199.0
35024,-0.211,-0.926,-0.012,27.015,78.046,-21.840,0.0,0.0
35077,-0.341,-0.746,0.156,0.947,70.794,4.962,0.0,55.0
35140,-0.479,-0.900,0.199,-10.817,0.191,3.275,0.0,0.0
35192,-0.298,-0.916,0.060,-8.611,-56.458,-15.771,0.0,46.0
35247,-0.190,-0.894,-0.027,-10.198,-32.504,-18.244,0.0,48.0
35302,-0.297,-0.937,0.057,-13.580,2.191,-9.176,0.0,48.0
35353,-0.395,-1.083,0.108,-7.855,-3.618,-5.817,0.0,45.0
35409,-0.300,-1.022,0.021,-11.466,-1.740,4.763,0.0,51.0
35462,-0.421,-1.407,-0.279,-17.183,79.435,17.977,0.0,59.0
35518,-0.602,-1.250,-0.556,34.122,157.870,48.053,0.0,72.0
35564,-1.576,-0.693,1.118,-30.252,11.260,18.542,72.0,77.0
35617,-0.608,-0.797,-0.352,-77.786,-250.137,109.969,0.0,65.0
35674,0.107,-0.931,-0.534,-68.969,-150.756,155.748,0.0,74.0
35731,-0.081,-0.993,-0.365,-21.901,-71.740,122.046,0.0,78.0
35784,-0.114,-1.004,-0.322,-43.183,-48.321,89.160,0.0,77.0
35837,-0.185,-1.054,0.020,-56.916,-44.588,65.695,0.0,65.0
35893,-0.236,-1.065,0.233,-13.557,-59.634,14.580,0.0,46.0
35944,-0.185,-0.943,-0.059,25.282,2.580,-42.076,0.0,44.0
35999,-0.602,-0.788,-0.117,49.618,73.664,-44.550,0.0,34.0
36050,-0.863,-0.708,0.013,28.817,56.634,-45.084,0.0,32.0
36106,-0.806,-0.713,-0.030,33.519,44.237,-37.260,0.0,54.0
36163,-0.750,-0.583,-0.073,50.267,62.557,-26.977,0.0,82.0
36214,-0.797,-0.954,0.015,50.008,54.496,-29.931,0.0,36.0
36265,-0.756,-1.304,0.050,36.573,28.145,-41.992,0.0,43.0
36318,-0.454,-0.704,0.077,34.840,-27.145,-21.237,0.0,55.0
36373,-0.222,-0.718,-0.111,36.832,-4.519,-4.809,0.0,50.0
36428,-0.399,-0.696,-0.038,28.954,70.939,0.679,0.0,109.0
36481,-0.785,-0.685,0.228,11.649,56.687,-5.496,0.0,49.0
36533,-0.720,-0.678,0.179,0.092,-34.809,-5.947,0.0,49.0
36628,-0.485,-0.757,0.012,-21.580,-24.374,-7.679,0.0,56.0
36683,-0.582,-0.781,0.126,-28.244,-26.366,-8.473,0.0,58.0
36736,-0.549,-0.790,0.078,-27.260,-44.137,-10.779,0.0,61.0
36792,-0.528,-0.823,0.033,-31.389,-42.198,-10.893,0.0,52.0
36844,-0.602,-0.783,0.057,-41.321,-33.313,-14.130,0.0,58.0
36901,-0.704,-0.727,0.074,-45.863,-42.206,-10.282,0.0,62.0
36955,-0.986,-0.760,0.195,-54.214,-51.015,5.908,0.0,67.0
37011,-1.555,-1.379,0.154,-39.962,-63.626,23.618,0.0,76.0
37063,-1.741,-1.145,0.041,21.443,-156.252,112.611,0.0,49.0
37120,-1.109,-1.352,-0.375,33.656,-169.252,171.145,0.0,63.0
37175,-0.264,-1.616,-0.355,43.710,-144.321,185.160,161.0,75.0
37226,0.458,-1.200,-0.445,7.351,-181.298,120.710,152.0,79.0
37276,0.947,-0.749,-0.500,-8.649,-144.252,56.626,148.0,72.0
37326,0.123,-0.416,0.126,-39.740,52.206,-14.847,147.0,79.0
37378,-1.026,-0.664,0.873,-12.275,49.420,-23.351,148.0,73.0
37428,-0.907,-0.352,0.805,10.275,-48.038,15.214,148.0,73.0
37479,-0.489,-0.601,0.481,20.802,-32.702,23.527,147.0,72.0
37529,-0.358,-0.495,0.557,18.969,23.206,17.008,147.0,72.0
37582,-0.527,-0.516,0.602,24.336,13.069,-14.084,147.0,75.0
37633,-0.438,-0.442,0.400,18.595,-1.641,-34.733,148.0,67.0
37686,-0.518,-0.420,0.456,13.863,37.626,-40.641,0.0,65.0
37736,-0.728,-0.448,0.715,10.588,40.733,-37.939,153.0,65.0
37789,-0.865,-0.689,0.735,26.366,18.038,-41.435,0.0,60.0
37846,-0.846,-0.717,0.520,31.931,23.076,-45.496,0.0,59.0
37897,-0.781,-0.588,0.381,22.962,27.237,-41.351,155.0,67.0
37947,-0.645,-0.665,0.277,22.954,-0.664,-24.618,155.0,68.0
37998,-0.521,-0.514,0.313,4.855,8.107,-20.511,155.0,71.0
38052,-0.577,-0.499,0.348,4.069,22.542,-25.115,157.0,73.0
38104,-0.674,-0.389,0.351,-7.565,15.153,-33.260,161.0,78.0
38156,-0.705,-0.412,0.317,-16.947,12.168,-22.229,159.0,73.0
38207,-0.725,-0.462,0.383,-33.137,1.412,-7.534,158.0,78.0
38258,-0.731,-0.533,0.446,-43.107,-18.679,-1.542,157.0,77.0
38312,-0.687,-0.574,0.457,-48.244,-41.557,7.344,0.0,82.0
38365,-0.587,-0.600,0.367,-48.664,-36.137,4.420,155.0,88.0
38416,-0.671,-0.633,0.420,-49.786,-24.122,0.252,154.0,81.0
38471,-0.733,-0.623,0.485,-50.313,-39.053,9.725,153.0,83.0
