Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33440,-0.131,-0.931,-0.084,-2.048,-10.31,48.74,0,183
33500,-0.438,-0.963,-0.033,-5.227,-44.75,-22.74,0,188
33560,-0.109,-0.903,-0.038,2.913,-0.221,19.198,0,194
33611,-0.268,-1.036,-0.027,-3.623,0.503,-23.29,0,51
33667,-0.515,-1.121,0.009,-17.97,18.374,-41.397,0,49
33719,-0.406,-1.089,0.089,-20.724,-4.814,-51.183,0,52
33774,-0.089,-1.521,0.072,12.995,44.748,-59.344,0,54
33830,-0.162,-0.588,0.11,18.313,24.244,-53.053,0,77
33882,-0.091,-0.528,0.084,11.443,39.672,31.695,0,43
33936,-0.381,-1.039,0.01,13.237,55.0,-4.035,0,45
33988,-0.476,-1.203,-0.0,34.313,38.366,-39.305,0,46
34052,-0.165,-0.813,-0.01,31.939,38.458,-40.382,0,0
34104,-0.299,-0.765,0.037,-0.443,55.794,-11.614,0,65
34159,-0.465,-0.939,0.125,-12.244,28.641,-11.929,0,56
34212,-0.442,-0.945,0.135,-18.795,-52.805,-18.282,0,59
34268,-0.52,-0.911,0.119,-46.25,-56.557,-17.962,0,54
34323,-0.323,-1.066,0.132,-15.182,-73.908,-6.589,0,56
34378,0.011,-1.042,0.031,27.012,-72.58,25.984,0,62
34430,-0.286,-1.229,0.055,-18.243,-40.977,6.313,0,49
34486,-0.39,-1.532,0.028,-8.861,-45.722,-19.659,0,58
34539,-0.402,-0.569,0.106,28.412,-136.674,-55.661,0,51
34594,-0.243,-0.637,0.335,-1.756,-50.649,70.267,0,59
34647,-0.618,-1.229,-0.076,-50.806,-99.061,44.603,5,18
34701,-0.33,-1.107,-0.087,-1.967,-134.328,4.515,0,23
34751,-0.277,-1.01,-0.145,-2.669,-133.13,-19.373,0,26
34805,-0.047,-0.884,-0.179,16.275,-88.0,1.482,0,33
34859,0.001,-0.817,-0.144,20.735,75.082,66.084,0,25
34911,-0.116,-0.888,-0.086,3.01,38.664,37.542,0,45
34965,-0.257,-0.869,0.025,-10.579,44.336,24.039,0,35
35016,-0.37,-0.965,0.032,-34.995,25.252,-5.62,0,35
35070,-0.105,-1.233,-0.08,-28.786,25.374,-29.313,0,31
35123,-1.36,-1.474,-0.128,-44.962,152.267,-117.992,0,44
35178,-2.0,-0.672,1.386,11.716,18.603,38.137,0,48
35230,-1.574,-1.823,0.483,15.115,-250.137,250.13,0,58
35283,0.189,-2.0,-0.91,167.473,-146.992,203.466,0,46
35333,0.51,-1.795,-0.14,120.985,-163.229,169.153,159,51
35383,0.78,-0.453,-0.196,-29.283,-223.527,-27.198,154,58
35435,0.674,-0.546,-0.98,-56.284,-83.046,-39.977,0,49
35487,-0.486,0.055,0.261,40.282,106.786,-28.117,0,64
35539,-1.181,-0.772,0.838,-49.855,-24.52,-3.613,0,51
35592,-0.811,-0.579,0.897,3.11,-127.87,25.819,0,55
35644,-0.103,-0.615,0.392,-29.641,-92.366,3.642,0,51
35699,-0.087,-0.341,0.383,-25.275,-17.732,-19.722,0,54
