Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35901,-0.346,-0.271,0.869,0.711,-1.013,-1.795,38,67
35944,-0.329,-0.257,0.861,2.503,-1.439,-0.85,40,66
35988,-0.351,-0.26,0.874,2.884,-1.084,-2.404,40,66
36031,-0.35,-0.259,0.88,3.111,-0.099,-3.199,42,66
36074,-0.364,-0.267,0.895,1.865,-3.947,-4.616,39,66
36117,-0.358,-0.267,0.888,0.961,-3.479,-4.688,39,66
36161,-0.364,-0.272,0.912,-2.009,-4.163,-6.422,38,67
36207,-0.338,-0.262,0.896,-2.774,-0.877,-4.7,40,66
36259,-0.339,-0.268,0.893,-4.012,3.978,-5.397,0,67
36316,-0.398,-0.299,0.937,-12.399,12.328,-12.2,0,68
36369,-0.442,-0.369,0.881,-14.971,11.893,-23.802,0,67
36424,-0.347,-0.491,0.783,-7.31,23.099,-32.427,0,67
36477,-0.386,-0.478,0.713,9.077,48.748,-43.977,0,71
36536,-0.487,-0.594,0.687,6.843,50.473,-71.511,0,103
36588,-0.457,-0.413,0.636,13.171,80.466,-84.099,129,124
36638,-0.571,-0.31,0.67,21.519,85.0,-84.878,62,159
36690,-0.586,-0.244,0.643,27.58,65.542,-89.374,60,159
36738,-0.648,-0.254,0.637,31.977,61.969,-86.328,59,110
36788,-0.392,-0.231,0.401,1.049,113.153,-97.573,58,150
36837,-0.534,-0.334,0.424,-18.586,142.969,-90.282,60,154
36887,-0.666,-0.483,0.398,-49.145,130.176,-105.328,58,160
36936,-0.747,-0.561,0.356,-62.374,89.542,-97.053,56,144
36990,-0.695,-0.697,0.298,-72.908,40.321,-82.87,94,200
37043,-0.584,-0.851,0.094,-70.588,25.618,-66.863,93,169
37097,-0.547,-0.872,0.155,-63.511,39.092,-66.366,92,0
37137,-0.627,-0.942,0.161,-58.55,11.542,-75.725,19,0
37186,-0.598,-0.946,0.169,-65.74,-41.542,-80.0,17,186
37234,-0.475,-1.037,0.022,-71.0,-104.611,-68.435,17,179
37280,-0.253,-0.935,-0.111,-81.511,-135.687,-38.374,18,125
37326,-0.254,-0.877,-0.054,-97.366,-131.931,-14.838,19,131
37374,-0.252,-1.028,-0.118,-92.038,-130.176,3.392,48,135
